1	Halt	Halt	N	NN	Masc|_|Sg	0	root	871	871
26	Vogelschießen	Vogelschießen	N	NN	Neut|_|Sg	25	cj	_	_
27	weit	weit	A	ADJD	Pos|	17	pred	_	_
28	und	und	K	KON	_	27	kon	_	_
29	breit	breit	A	ADJD	Pos|	28	cj	_	_
30	,	,	$	$,	_	0	root	_	_
31	wie	wie	P	PWAV	_	0	root	_	_
32	deine	deine	A	PPOSAT	Fem|_|Sg	33	det	418	418
33	Mutter	Mutter	N	NN	Fem|_|Sg	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	Franz	Franz	N	NE	_|_|Sg	33	kon	183	183
36	,	,	$	$,	_	0	root	183	183
37	meine	meine	A	PPOSAT	Fem|_|Sg	38	det	419	419
38	Schwester	Schwester	N	NN	Fem|_|Sg	35	kon	_	_
39	,	,	$	$,	_	0	root	_	_
40	als	als	K	KOUS	_	0	root	_	_
41	das	die	A	ART	Def|Neut|_|Sg	43	det	_	_
42	schönste	schön	A	ADJA	Sup|Neut|_|Sg|Wk|	43	attr	_	_
43	Mädchen	Mädchen	N	NN	Neut|_|Sg	0	root	_	_
44	im	in	P	APPRART	Dat	43	pp	_	_
45	Lande	Land	N	NN	Neut|Dat|Sg	44	pn	808	808
46	.	.	$	$.	_	0	root	_	_

1	Sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	mir	ich	P	PPER	1|Sg|_|Dat	1	objd	419	419
3	damals	damals	A	ADV	_	6	adv	420	420
4	der	die	A	ART	Def|Masc|Nom|Sg	6	det	420	420
5	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	6	attr	420	420
6	Graf	Graf	N	NN	Masc|Nom|Sg	1	subj	420	420
7	,	,	$	$,	_	0	root	420	420
8	der	die	P	PRELS	Masc|Nom|Sg	12	subj	420	420
9	eben	eben	A	ADV	_	12	adv	_	_
10	von	von	P	APPR	_	12	pp	_	_
11	Reisen	Reise	N	NN	_|_|_	10	pn	_	_
12	zurückkam	zurückkommen	V	VVFIN	3|Sg|Past|Ind	6	rel	_	_
13	:	\:	$	$.	_	0	root	_	_
14	›	›	F	FM	Masc|Nom|Sg	19	subj	_	_
15	Hör	Hör	F	FM	Masc|Nom|Sg	14	app	_	_
16	,	,	$	$,	_	0	root	_	_
17	Andreas	Andrea	N	NE	Masc|Nom|Sg	15	app	_	_
18	,	,	$	$,	_	0	root	_	_
19	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
20	in	in	P	APPR	_	19	objp	_	_
21	meinen	meine	A	PPOSAT	Masc|_|Sg	22	det	419	419
22	Dienst	Dienst	N	NN	Masc|_|Sg	20	pn	786	786
23	,	,	$	$,	_	0	root	_	_
24	will	wollen	V	VMFIN	_|Sg|Pres|Ind	19	kon	_	_
25	dich	du	P	PPER	2|Sg|_|Acc	27	obja	418	418
26	gut	gut	A	ADJD	Pos|	27	pred	_	_
27	halten	halten	V	VVINF	_	24	aux	_	_
28	,	,	$	$,	_	0	root	_	_
29	und	und	K	KON	_	24	kon	_	_
30	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	29	cj	_	_
31	es	es	P	PPER	3|Sg|Neut|_	35	expl	_	_
32	dein	deine	A	PPOSAT	_|Nom|Sg	33	det	418	418
33	Schaden	Schaden	N	NN	_|Nom|Sg	30	subj	421	421
34	nicht	nicht	P	PTKNEG	_	35	adv	_	_
35	sein	sein	V	VAINF	_	30	aux	_	_
36	.	.	$	$.	_	0	root	_	_
37	‹	‹	F	FM	_|Dat|_	39	objd	_	_
38	Da	Da	F	FM	_|Dat|_	37	app	_	_
39	faßte	faßte	V	VVFIN	_|Sg|_|_	0	root	_	_
40	mich	ich	P	PPER	1|Sg|_|Acc	39	obja	419	419
41	der	die	A	ART	Def|Masc|Nom|Sg	42	det	_	_
42	Satan	Satan	N	NN	Masc|Nom|Sg	39	subj	_	_
43	,	,	$	$,	_	0	root	_	_
44	daß	daß	K	KOUS	_	51	konj	_	_
45	ich	ich	P	PPER	1|Sg|_|Nom	51	subj	419	419
46	'	'	$	$(	_	0	root	_	_
47	s	s	P	PPER	_	51	obja	421	421
48	für	für	P	APPR	Acc	51	objp	_	_
49	mein	meine	A	PPOSAT	Neut|Acc|Sg	50	det	419	419
50	Glück	Glück	N	NN	Neut|Acc|Sg	48	pn	_	_
51	hielt	halten	V	VVFIN	1|Sg|Past|Ind	42	objc	_	_
52	und	und	K	KON	_	51	kon	_	_
53	einschlug	einschlagen	V	VVFIN	_|Sg|Past|Ind	52	cj	_	_
54	.	.	$	$.	_	0	root	_	_
55	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	422	422
2	Alte	Alt	N	NN	Masc|Nom|Sg	3	subj	422	422
3	stöhnte	stöhnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	hier	hier	A	ADV	_	3	adv	_	_
5	laut	laut	A	ADJD	Pos|	3	adv	_	_
6	auf	auf	P	PTKVZ	_	3	avz	_	_
7	und	und	K	KON	_	3	kon	_	_
8	barg	bergen	V	VVFIN	_|Sg|Past|Ind	7	cj	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	411	411
10	Kopf	Kopf	N	NN	Masc|Acc|Sg	8	obja	411	411
11	in	in	P	APPR	Dat	8	pp	_	_
12	den	die	A	ART	Def|Neut|Dat|Pl	13	det	658	658
13	Kissen	Kissen	N	NN	Neut|Dat|Pl	11	pn	658	658
14	,	,	$	$,	_	0	root	_	_
15	während	während	K	KOUS	_	17	konj	_	_
16	Burchhard	Burchhard	N	NE	_|Nom|Sg	17	subj	410	410
17	aufstand	aufstehen	V	VVFIN	3|Sg|Past|Ind	8	neb	_	_
18	und	und	K	KON	_	17	kon	_	_
19	leise	leise	A	ADJD	Pos|	25	adv	_	_
20	eine	eine	A	ART	Indef|Fem|Nom|Sg	21	det	_	_
21	Jägerweise	Jägerweise	N	NN	Fem|Nom|Sg	25	subj	_	_
22	aus	aus	P	APPR	Dat	25	pp	_	_
23	dem	die	A	ART	Def|Neut|Dat|Sg	24	det	127	127
24	Fenster	Fenster	N	NN	Neut|Dat|Sg	22	pn	127	127
25	pfiff	pfeifen	V	VVFIN	3|Sg|Past|Ind	18	cj	_	_
26	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	419	419
2	beschwor	beschwören	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	423	423
4	Ohm	Ohm	N	NN	Masc|Acc|Sg	2	obja	423	423
5	,	,	$	$,	_	0	root	_	_
6	seine	seine	A	PPOSAT	Fem|_|Sg	7	det	423	423
7	Erzählung	Erzählung	N	NN	Fem|_|Sg	8	obja	_	_
8	abzubrechen	abbrechen	V	VVIZU	_	2	obji	_	_
9	und	und	K	KON	_	8	kon	_	_
10	zu	zu	P	PTKZU	_	11	part	_	_
11	verschieben	verschieben	V	VVINF	_	9	cj	_	_
12	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hab	Hab	N	NE	_|Nom|Sg	16	subj	424	424
3	das	die	P	PDS	Neut|Nom|Sg	5	subj	_	_
4	nie	nie	A	ADV	_	5	adv	_	_
5	getan	tun	V	VVPP	_	16	neb	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	sagte	sagen	V	VVFIN	_|Sg|Past|_	5	par	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	13	det	_	_
10	alte	alt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	13	attr	_	_
11	,	,	$	$,	_	0	root	_	_
12	eiserne	eisern	A	ADJA	Pos|_|Nom|_|_|	10	kon	_	_
13	Mann	Mann	N	NN	Masc|Nom|Sg	8	subj	_	_
14	,	,	$	$,	_	0	root	_	_
15	»	»	$	$(	_	0	root	_	_
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
17	nicht	nicht	P	PTKNEG	_	18	adv	_	_
18	rechte	recht	A	ADJA	Pos|Fem|Nom|Sg|_|	19	attr	_	_
19	Jägermanier	Jägermanier	N	NN	Fem|Nom|Sg	16	pred	_	_
20	,	,	$	$,	_	0	root	_	_
21	eine	eine	A	ART	Indef|Fem|_|Sg	22	det	_	_
22	Kreatur	Kreatur	N	NN	Fem|_|Sg	26	obja	_	_
23	angeschossen	angeschossen	A	ADJD	Pos|	24	adv	_	_
24	umherlaufen	umherlaufen	V	VVINF	_	26	obji	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	lassen	lassen	V	VVINF	_	16	obji	_	_
27	.	.	$	$.	_	0	root	_	_

1	Reine	rein	A	ADJA	Pos|Fem|Nom|Sg|_|	2	attr	_	_
2	Büchse	Büchse	N	NN	Fem|Nom|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	reiner	rein	A	ADJA	Pos|Masc|Nom|Sg|St|	5	attr	_	_
5	Schuß	Schuß	N	NN	Masc|Nom|Sg	2	app	_	_
6	.	.	$	$.	_	0	root	_	_

1	Schuf	schaffen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	s	s	P	PPER	_	1	obja	424	424
4	der	die	A	ART	Def|Masc|Nom|Sg	6	det	_	_
5	böse	bös	A	ADJA	Pos|Masc|Nom|Sg|Wk|	6	attr	_	_
6	Feind	Feind	N	NN	Masc|Nom|Sg	1	subj	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	15	konj	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	420	420
10	Graf	Graf	N	NN	Masc|Nom|Sg	15	subj	420	420
11	die	die	A	ART	Def|Fem|_|Sg	12	det	426	426
12	Luise	Luise	N	NE	Fem|_|Sg	15	obja	426	426
13	zu	zu	P	PTKZU	_	14	part	_	_
14	sehen	sehen	V	VVINF	_	15	obji	_	_
15	kriegte	kriegen	V	VVFIN	3|Sg|Past|_	6	objc	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	0	root	_	_
18	-	-	$	$(	_	0	root	_	_
19	Burchhard	Burchhard	N	NE	_	0	root	410	410
20	,	,	$	$,	_	0	root	410	410
21	erzähl	erzähl	F	FM	_	19	app	410	410
22	'	'	$	$(	_	0	root	_	_
23	s	s	P	PPER	_	0	root	424	424
24	dem	die	A	ART	Def|_|Dat|Sg	25	det	1225	1225
25	Jungen	Junge	N	NN	_|Dat|Sg	0	root	1225	1225
26	weiter	weiter	A	ADV	_	25	adv	1225	1225
27	...	...	$	$.	_	0	root	_	_
28	«	«	$	$(	_	0	root	_	_

1	Dieser	diese	P	PDS	Masc|Nom|Sg	28	subj	_	_
2	,	,	$	$,	_	0	root	_	_
3	der	die	P	PRELS	Masc|Nom|Sg	11	subj	425	425
4	wieder	wieder	A	ADV	_	11	adv	_	_
5	neben	neben	P	APPR	Dat	11	pp	_	_
6	dem	die	A	ART	Def|Neut|Dat|Sg	7	det	_	_
7	Bette	Bett	N	NN	Neut|Dat|Sg	5	pn	_	_
8	seines	seine	A	PPOSAT	Masc|Gen|Sg	10	det	425	425
9	alten	alt	A	ADJA	Pos|Masc|Gen|Sg|_|	10	attr	_	_
10	Freundes	Freund	N	NN	Masc|Gen|Sg	7	gmod	_	_
11	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	1	rel	_	_
12	,	,	$	$,	_	0	root	_	_
13	nickte	nicken	V	VVFIN	_|Sg|Past|_	11	kon	_	_
14	finster	finster	A	ADJD	Pos|	13	adv	_	_
15	und	und	K	KON	_	13	kon	_	_
16	fuhr	fahren	V	VVFIN	_|Sg|Past|Ind	15	cj	_	_
17	fort	fort	P	PTKVZ	_	16	avz	_	_
18	in	in	P	APPR	Dat	16	pp	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	21	det	_	_
20	unterbrochenen	unterbrochen	A	ADJA	Pos|Fem|Dat|Sg|Wk|	21	attr	_	_
21	Erzählung	Erzählung	N	NN	Fem|Dat|Sg	18	pn	_	_
22	,	,	$	$,	_	0	root	_	_
23	den	die	A	ART	Def|Masc|Acc|Sg	24	det	_	_
24	Blick	Blick	N	NN	Masc|Acc|Sg	28	obja	_	_
25	auf	auf	P	APPR	Acc	24	pp	_	_
26	den	die	A	ART	Def|Masc|Acc|Sg	27	det	209	209
27	Boden	Boden	N	NN	Masc|Acc|Sg	25	pn	209	209
28	geheftet	heften	V	VVPP	_	0	root	_	_
29	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Waren	sein	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	_	_
4	zusammen	zusammen	A	ADV	_	5	adv	_	_
5	aufgewachsen	aufwachsen	V	VVPP	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	hatte	haben	V	VAFIN	1|Sg|Past|Ind	7	cj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	427	427
10	sie	sie	P	PPER	3|_|_|_	8	obja	426	426
11	gar	gar	A	ADV	_	8	adv	_	_
12	lieb	lieb	A	ADJD	Pos|	8	pred	_	_
13	,	,	$	$,	_	0	root	_	_
14	die	die	P	PRELS	_|_|_	0	root	426	426
15	Luise	Luise	N	NE	Fem|_|Sg	0	root	426	426
16	,	,	$	$,	_	0	root	426	426
17	mit	mit	P	APPR	Dat	15	pp	426	426
18	ihren	ihre	A	PPOSAT	Neut|Dat|_	20	det	426	426
19	schwarzen	schwarz	A	ADJA	Pos|Neut|Dat|_|_|	20	attr	_	_
20	Haaren	Haar	N	NN	Neut|Dat|_	17	pn	_	_
21	und	und	K	KON	_	20	kon	_	_
22	schwarzen	schwarz	A	ADJA	Pos|Neut|Dat|Pl|_|	23	attr	_	_
23	Augen	Auge	N	NN	Neut|Dat|Pl	21	cj	_	_
24	.	.	$	$.	_	0	root	_	_

1	Hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
2	aber	aber	A	ADV	_	1	adv	_	_
3	nicht	nicht	P	PTKNEG	_	1	adv	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	1767	1767
5	Mut	Mut	N	NN	Masc|Acc|Sg	1	obja	1767	1767
6	,	,	$	$,	_	0	root	_	_
7	ihr	ihr	P	PPER	3|Sg|Fem|Dat	9	objd	426	426
8	zu	zu	P	PTKZU	_	9	part	_	_
9	sagen	sagen	V	VVINF	_	1	obji	_	_
10	:	\:	$	$.	_	0	root	_	_
11	Herzlieb	Herzlieb	N	NE	_	13	vok	_	_
12	,	,	$	$,	_	0	root	_	_
13	wolltest	wollen	V	VMFIN	2|Sg|Past|_	0	root	_	_
14	du	du	P	PPER	2|Sg|_|Nom	13	subj	428	428
15	mich	ich	P	PPER	1|Sg|_|Acc	19	obja	427	427
16	nicht	nicht	P	PTKNEG	_	19	adv	_	_
17	zum	zu	P	APPRART	Dat	19	objp	_	_
18	Manne	Mann	N	NN	Masc|Dat|Sg	17	pn	_	_
19	nehmen	nehmen	V	VVINF	_	13	aux	_	_
20	?	?	$	$.	_	0	root	_	_

1	Wollte	wollen	V	VMFIN	_|Sg|Past|_	0	root	_	_
2	dich	du	P	PPER	2|Sg|_|Acc	8	obja	428	428
3	auch	auch	A	ADV	_	8	adv	_	_
4	auf	auf	P	APPR	Dat	8	objp	_	_
5	'	'	$	$(	_	0	root	_	_
6	n	n	A	ADJA	_|Fem|Dat|Pl|_	7	attr	_	_
7	Händen	Hand	N	NN	Fem|Dat|Pl	4	pn	_	_
8	tragen	tragen	V	VVINF	_	1	aux	_	_
9	!	!	$	$.	_	0	root	_	_

1	Stand	Stand	N	NN	Masc|_|Sg	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	0	root	427	427
3	also	also	A	ADV	_	4	adv	_	_
4	immer	immer	A	ADV	_	2	adv	_	_
5	und	und	K	KON	_	0	root	_	_
6	guckte	gucken	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	ihr	ihr	P	PPER	3|Sg|Fem|Dat	8	pn	426	426
8	nach	nach	P	APPO	Dat	6	pp	_	_
9	auf	auf	P	APPR	_	6	pp	_	_
10	den	die	A	ART	Def|_|_|_	11	det	_	_
11	Kirchwegen	Kirchwegen	N	NN	_|_|_	9	pn	_	_
12	und	und	K	KON	_	9	kon	_	_
13	allenthalben	allenthalben	A	ADV	_	12	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	wenn	wenn	K	KOUS	_	20	konj	_	_
16	sie	sie	P	PPER	3|Sg|Fem|Nom	20	subj	426	426
17	durch	durch	P	APPR	Acc	20	pp	_	_
18	das	die	A	ART	Def|Neut|Acc|Sg	19	det	429	429
19	Dorf	Dorf	N	NN	Neut|Acc|Sg	17	pn	429	429
20	hüpfte	hüpfen	V	VVFIN	3|Sg|Past|_	6	neb	_	_
21	,	,	$	$,	_	0	root	_	_
22	lachend	lachen	A	ADJD	_|<PPRES	0	root	_	_
23	und	und	K	KON	_	22	kon	_	_
24	schäkernd	schäkern	A	ADJD	_|<PPRES	23	cj	_	_
25	,	,	$	$,	_	0	root	_	_
26	flink	flink	A	ADJD	Pos|	0	root	_	_
27	wie	wie	K	KOKOM	_	31	kom	_	_
28	ein	eine	A	ART	Indef|Neut|_|Sg	29	det	_	_
29	Reh	Reh	N	NN	Neut|_|Sg	27	cj	_	_
30	,	,	$	$,	_	0	root	_	_
31	lustig	lustig	A	ADJD	Pos|	0	root	_	_
32	wie	wie	K	KOKOM	_	31	kom	_	_
33	eine	eine	A	ART	Indef|Fem|_|Sg	34	det	_	_
34	Amsel	Amsel	N	NN	Fem|_|Sg	32	cj	_	_
35	!	!	$	$.	_	0	root	_	_

1	...	...	$	$.	_	0	root	_	_
2	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	430	430
2	Kranke	Kranke	N	NN	Masc|Nom|Sg	3	subj	430	430
3	seufzte	seufzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	tief	tief	A	ADJD	Pos|	3	adv	_	_
5	auf	auf	P	PTKVZ	_	3	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	Burchhard	Burchhard	N	NE	_|Nom|Sg	8	subj	410	410
8	legte	legen	V	VVFIN	3|Sg|Past|_	3	kon	_	_
9	ihm	er	P	PPER	3|Sg|_|Dat	8	objd	430	430
10	das	die	A	ART	Def|Neut|_|Sg	11	det	651	651
11	Kopfkissen	Kopfkissen	N	NN	Neut|_|Sg	8	obja	651	651
12	zurecht	zurecht	P	PTKVZ	_	8	avz	_	_
13	und	und	K	KON	_	8	kon	_	_
14	schwieg	schweigen	V	VVFIN	_|Sg|Past|Ind	13	cj	_	_
15	dann	dann	A	ADV	_	14	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	von	von	P	APPR	_	20	pp	_	_
18	seiner	seine	A	PPOSAT	Fem|_|Sg	19	det	410	410
19	Erinnerung	Erinnerung	N	NN	Fem|_|Sg	17	pn	_	_
20	überwältigt	überwältigen	V	VVPP	_	14	neb	_	_
21	,	,	$	$,	_	0	root	_	_
22	einige	einige	A	PIAT	Fem|_|Pl	23	det	_	_
23	Minuten	Minute	N	NN	Fem|_|Pl	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	während	während	K	KOUS	_	31	konj	_	_
26	draußen	draußen	A	ADV	_	31	adv	_	_
27	die	die	A	ART	Def|Masc|Nom|Pl	28	det	431	431
28	Vögel	Vogel	N	NN	Masc|Nom|Pl	31	subj	431	431
29	gar	gar	A	ADV	_	31	adv	_	_
30	lustig	lustig	A	ADJD	Pos|	31	adv	_	_
31	zwitscherten	zwitschern	V	VVFIN	3|Pl|Past|_	0	root	_	_
32	und	und	K	KON	_	31	kon	_	_
33	die	die	A	ART	Def|Fem|Nom|Sg	34	det	432	432
34	Sonne	Sonne	N	NN	Fem|Nom|Sg	39	subj	432	432
35	immer	immer	A	ADV	_	36	adv	_	_
36	glühender	glühend	A	ADJD	Comp|<PPRES	39	adv	_	_
37	dem	die	A	ART	Def|Masc|Dat|Sg	38	det	_	_
38	Untergange	Untergang	N	NN	Masc|Dat|Sg	39	objd	_	_
39	zusank	zusinken	V	VVFIN	3|Sg|Past|Ind	32	cj	_	_
40	.	.	$	$.	_	0	root	_	_

1	Plötzlich	plötzlich	A	ADJD	Pos|	2	adv	_	_
2	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Erzähler	Erzähler	N	NN	Masc|Nom|Sg	2	subj	_	_
5	fast	fast	A	ADV	_	6	adv	_	_
6	barsch	barsch	A	ADJD	Pos|	2	adv	_	_
7	auf	auf	P	PTKVZ	_	2	avz	_	_
8	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	da	da	A	ADV	_	7	adv	_	_
5	weiter	weiter	A	ADV	_	7	adv	_	_
6	zu	zu	P	PTKZU	_	7	part	_	_
7	berichten	berichten	V	VVINF	_	3	aux	_	_
8	!	!	$	$.	_	0	root	_	_

1	War	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	1	subj	433	433
3	ein	eine	A	ART	Indef|Neut|Nom|Sg	5	det	_	_
4	jung	jung	A	ADJD	Pos|	5	adv	_	_
5	Blut	Blut	N	NN	Neut|Nom|Sg	1	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	1	kon	_	_
8	hatte	haben	V	VAFIN	3|Sg|Past|Ind	7	cj	_	_
9	ihr	ihr	P	PPER	3|Sg|Fem|Dat	19	objd	433	433
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	435	435
11	Pastor	Pastor	N	NN	Masc|Nom|Sg	8	subj	435	435
12	mehr	mehr	A	PIAT	Neut|_|Sg	13	det	_	_
13	Gutes	Gut	N	NN	Neut|_|Sg	19	obja	_	_
14	als	als	K	KOKOM	_	19	kom	_	_
15	Böses	Böses	N	NN	Neut|_|Sg	14	cj	434	434
16	von	von	P	APPR	Dat	19	pp	_	_
17	den	die	A	ART	Def|Masc|Dat|Pl	18	det	15	15
18	Menschen	Mensch	N	NN	Masc|Dat|Pl	16	pn	15	15
19	erzählt	erzählen	V	VVPP	_	8	aux	_	_
20	...	...	$	$.	_	0	root	_	_
21	Wurde	Wurde	N	NE	_|_|Sg	0	root	454	454
22	Andreas	Andrea	N	NE	_|_|Sg	21	app	454	454
23	in	in	P	APPR	Acc	22	pp	_	_
24	den	die	A	ART	Def|Masc|Acc|Sg	25	det	_	_
25	Wald	Wald	N	NN	Masc|Acc|Sg	23	pn	_	_
26	geschickt	geschickt	A	ADJD	Pos|	30	adv	_	_
27	auf	auf	P	APPR	_	26	pp	_	_
28	Antrieb	Antrieb	N	NN	Masc|_|Sg	27	pn	_	_
29	des	die	A	ART	Def|Masc|Gen|Sg	30	det	_	_
30	Grafen	Graf	N	NN	Masc|Gen|Sg	25	gmod	_	_
31	;	;	$	$.	_	0	root	_	_
32	jubelte	jubeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
33	er	er	P	PPER	3|Sg|Masc|Nom	32	subj	435	435
34	mächtig	mächtig	A	ADJD	Pos|	32	adv	_	_
35	,	,	$	$,	_	0	root	_	_
36	denn	denn	K	KON	_	32	kon	_	_
37	von	von	P	APPR	_	39	pp	_	_
38	je	je	A	ADV	_	37	adv	_	_
39	war	sein	V	VAFIN	_|Sg|Past|Ind	36	cj	_	_
40	'	'	$	$(	_	0	root	_	_
41	s	s	P	PPER	_|Sg|_|Nom	39	subj	435	435
42	sein	seine	A	PPOSAT	Masc|Nom|Sg	43	det	435	435
43	Wunsch	Wunsch	N	NN	Masc|Nom|Sg	44	pred	_	_
44	gewesen	sein	V	VAPP	_	39	aux	_	_
45	,	,	$	$,	_	0	root	_	_
46	ein	eine	A	ART	Indef|Masc|Nom|Sg	47	det	_	_
47	Jägersmann	Jägersmann	N	NN	Masc|Nom|Sg	49	pred	_	_
48	zu	zu	P	PTKZU	_	49	part	_	_
49	sein	sein	V	VAINF	_	44	obji	_	_
50	,	,	$	$,	_	0	root	_	_
51	und	und	K	KON	_	39	kon	_	_
52	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	51	cj	_	_
53	er	er	P	PPER	3|Sg|Masc|Nom	52	subj	435	435
54	sogleich	sogleich	A	ADV	_	52	adv	_	_
55	fort	fort	P	PTKVZ	_	52	avz	_	_
56	von	von	P	APPR	_	52	pp	_	_
57	Seeburg	Seeburg	N	NN	Fem|Nom|Sg	56	pn	436	436
58	,	,	$	$,	_	0	root	436	436
59	das	die	A	ART	Def|Neut|Nom|Sg	62	det	436	436
60	alte	alt	A	ADJA	Pos|Neut|Nom|Sg|Wk|	62	attr	436	436
61	verfallene	verfallen	A	ADJA	Pos|Neut|Nom|Sg|Wk|	62	attr	436	436
62	Haus	Haus	N	NN	Neut|Nom|Sg	57	kon	436	436
63	,	,	$	$,	_	0	root	436	436
64	so	so	A	ADV	_	65	adv	436	436
