1	Natalie	Natalie	N	NE	Fem|Nom|Sg	2	subj	50	50
14	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
15	vernünftig	vernünftig	A	ADJD	Pos|	14	adv	_	_
16	und	und	K	KON	_	0	root	_	_
17	leg	legen	V	VVIMP	Sg	16	cj	_	_
18	dich	du	P	PRF	2|Sg|Acc	17	obja	_	_
19	wieder	wieder	A	ADV	_	17	adv	_	_
20	hin	hin	P	PTKVZ	_	17	avz	_	_
21	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	786	786
2	fahre	fahren	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	sonst	sonst	A	ADV	_	2	adv	_	_
4	auf	auf	P	APPR	Dat	2	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	282	282
6	Stelle	Stelle	N	NN	Fem|Dat|Sg	4	pn	282	282
7	wieder	wieder	A	ADV	_	2	adv	_	_
8	nach	nach	P	APPR	Dat	2	pp	_	_
9	Hause	Haus	N	NN	Neut|Dat|Sg	8	pn	122	122
10	.	.	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Imstande	Imstande	N	NE	_|Nom|Sg	3	subj	_	_
3	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
4	sie	sie	P	PPER	3|_|_|Nom	3	pred	696	696
5	dazu	dazu	P	PROAV	_	3	pp	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	murmelte	murmeln	V	VVFIN	3|Sg|Past|_	3	s	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	11	det	_	_
10	glückliche	glücklich	A	ADJA	Pos|Masc|Nom|Sg|Wk|	11	attr	_	_
11	Sohn	Sohn	N	NN	Masc|Nom|Sg	8	subj	_	_
12	lächelnd	lächeln	A	ADJD	_|<PPRES	8	adv	_	_
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	69	69
3	du	du	P	PPER	Fem|Nom|Sg	0	root	789	789
4	Sparterin	Sparterin	N	NN	Fem|_|Sg	3	app	789	789
5	,	,	$	$,	_	0	root	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	je	je	A	ADV	_	10	adv	788	788
8	eine	eine	A	ART	Indef|Fem|Nom|Sg	10	det	788	788
9	spartanische	spartanisch	A	ADJA	Pos|Fem|Nom|Sg|_|	10	attr	788	788
10	Mutter	Mutter	N	NN	Fem|Nom|Sg	6	subj	788	788
11	so	so	A	ADV	_	15	adv	_	_
12	mit	mit	P	APPR	Dat	15	objp	_	_
13	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	14	det	788	788
14	Kinde	Kind	N	NN	Neut|Dat|Sg	12	pn	_	_
15	umgegangen	umgehen	V	VVPP	_	6	aux	_	_
16	,	,	$	$,	_	0	root	_	_
17	wenn	wenn	K	KOUS	_	24	konj	_	_
18	es	es	P	PPER	3|Sg|Neut|Nom	24	subj	_	_
19	sich	sie	P	PRF	3|_|_	23	obja	_	_
20	an	an	P	APPR	Dat	23	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
22	Tischecke	Tischeck	N	NN	Fem|Dat|Sg	20	pn	_	_
23	gestoßen	stoßen	V	VVPP	_	24	aux	_	_
24	hatte	haben	V	VAFIN	3|Sg|Past|Ind	6	neb	_	_
25	?	?	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	höre	hören	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	2	obja	788	788
4	einer	eine	P	PIS	Masc|Nom|Sg	2	subj	_	_
5	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	790	790
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	gar	gar	A	ADV	_	4	adv	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	sicher	sicher	A	ADJD	Pos|	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	22	konj	_	_
8	sie	sie	P	PPER	3|Sg|Fem|Nom	22	subj	788	788
9	nicht	nicht	P	PTKNEG	_	21	adv	_	_
10	schon	schon	A	ADV	_	21	adv	_	_
11	acht	acht	C	CARD	_	12	attr	_	_
12	Nächte	Nacht	N	NN	Fem|_|Pl	21	zeit	_	_
13	durch	durch	P	APPR	Acc	21	pp	_	_
14	auf	auf	P	APPR	Dat	13	pp	_	_
15	einer	eine	A	ART	Indef|Fem|Dat|Sg	16	det	_	_
16	Fußdecke	Fußdecke	N	NN	Fem|Dat|Sg	14	pn	_	_
17	da	da	A	ADV	_	21	adv	_	_
18	vor	vor	P	APPR	Dat	21	pp	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	20	det	88	88
20	Tür	Tür	N	NN	Fem|Dat|Sg	18	pn	88	88
21	geschlafen	schlafen	V	VVPP	_	22	aux	_	_
22	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	objc	_	_
23	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	geben	geben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	789	789
4	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	790	790
5	doch	doch	A	ADV	_	2	adv	_	_
6	endlich	endlich	A	ADJD	Pos|	2	adv	_	_
7	Ihre	ihre	A	PPOSAT	Fem|_|Sg	8	det	63	63
8	Hand	Hand	N	NN	Fem|_|Sg	2	obja	789)	789)
9	,	,	$	$,	_	0	root	789)	789)
10	Doktor	Doktor	N	NN	Masc|_|Sg	8	app	789)	789)
11	Wedehop	Wedehop	N	NE	Masc|_|Sg	10	app	63	63
12	;	;	$	$.	_	0	root	_	_
13	von	von	P	APPR	Dat	16	pp	_	_
14	allen	alle	A	PIDAT	_|Dat|Pl	15	det	_	_
15	Erdgeborenen	Erdgeborene	N	NN	_|Dat|Pl	13	pn	_	_
16	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
17	Sie	sie	P	PPER	3|Pl|_|Nom	16	subj	789	789
18	derjenige	diejenige	P	PDS	Masc|Nom|Sg	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	welchen	welche	P	PRELS	Masc|Acc|Sg	25	obja	63	63
21	ich	ich	P	PPER	1|Sg|_|Nom	25	subj	790	790
22	mir	ich	P	PRF	1|Sg|Dat	25	objd	_	_
23	zum	zu	P	APPRART	Dat	25	pp	_	_
24	Cavaliere	Cavaliere	N	NN	_|Dat|_	23	pn	_	_
25	servente	servente	V	VVFIN	1|Sg|_|_	18	rel	_	_
26	da	da	A	ADV	_	25	adv	_	_
27	für	für	P	APPR	Acc	25	pp	_	_
28	die	die	A	ART	Def|Fem|Acc|Sg	30	det	1598	1598
29	alte	alt	A	ADJA	Pos|Fem|Acc|Sg|_|	30	attr	1598	1598
30	Frau	Frau	N	NN	Fem|Acc|Sg	27	pn	1598	1598
31	herausgesucht	heraussuchen	V	VVPP	_	0	root	_	_
32	hätte	haben	V	VAFIN	_|Sg|Past|Subj	0	root	_	_
33	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	4	obja	_	_
2	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	790	790
4	tun	tun	V	VVINF	_	2	aux	_	_
5	-	-	$	$(	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ein	ein	A	ART	Indef|Masc|Nom|Sg	4	det	_	_
3	vernünftiger	vernünftig	A	ADJA	Pos|Masc|Nom|Sg|St|	4	attr	_	_
4	Kerl	Kerl	N	NN	Masc|Nom|Sg	5	pred	_	_
5	sein	sein	V	VAINF	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	Ulrich	Ulrich	N	NE	Masc|_|Sg	0	root	127	127
8	«	«	$	$(	_	0	root	127	127
9	,	,	$	$,	_	0	root	127	127
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	7	par	127	127
11	Wedehop	Wedehop	N	NE	_|Nom|Sg	10	subj	63	63
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	ein	eine	A	ART	Indef|_|_|Sg	17	det	792	792
15	paar	paar	A	PIDAT	Neut|_|Pl	17	attr	792	792
16	ruhige	ruhig	A	ADJA	Pos|Neut|_|Pl|St|	17	attr	792	792
17	Worte	Wort	N	NN	Neut|_|Pl	21	obja	792	792
18	mit	mit	P	APPR	Dat	20	pp	_	_
19	sich	sie	P	PRF	3|_|Dat	18	pn	_	_
20	reden	reden	V	VVINF	_	21	aux	_	_
21	lassen	lassen	V	VVINF	_	0	root	_	_
22	und	und	K	KON	_	21	kon	_	_
23	sonst	sonst	A	ADV	_	35	adv	_	_
24	nicht	nicht	P	PTKNEG	_	35	adv	_	_
25	den	die	A	ART	Def|Masc|Dat|Pl	28	det	_	_
26	übrigen	übrig	A	ADJA	Pos|Masc|Dat|Pl|_|	28	attr	_	_
27	armen	arm	A	ADJA	Pos|Masc|Dat|Pl|_|	28	attr	_	_
28	Teufeln	Teufel	N	NN	Masc|Dat|Pl	35	objd	_	_
29	hier	hier	A	ADV	_	35	adv	_	_
30	rechts	rechts	A	ADV	_	35	adv	_	_
31	und	und	K	KON	_	30	kon	_	_
32	links	links	A	ADV	_	31	cj	_	_
33	die	die	A	ART	Def|Fem|_|Sg	34	det	_	_
34	Ruhe	Ruhe	N	NN	Fem|_|Sg	35	obja	_	_
35	nehmen	nehmen	V	VVINF	_	22	cj	_	_
36	.	.	$	$.	_	0	root	_	_
37	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	A	ART	Def|Neut|_|Sg	3	det	_	_
3	ischt	ischt	F	FM	Neut|_|Sg	0	root	_	_
4	au	au	F	FM	Neut|_|Sg	3	app	_	_
5	wahr	wahr	A	ADJD	Pos|	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	Winckelspinner	Winckelspinner	N	NE	_|Nom|Sg	8	subj	791	791
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
3	ischt	ischt	F	FM	_	0	root	_	_
4	drauße	drauße	F	FM	_	3	app	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	1493	1493
6	recht	recht	A	ADJD	Pos|	7	adv	1493	1493
7	schöner	schön	A	ADJA	Pos|Masc|Nom|Sg|St|	8	attr	1493	1493
8	Morgen	Morgen	N	NN	Masc|Nom|Sg	0	root	1493	1493
9	,	,	$	$,	_	0	root	1493	1493
10	aber	aber	K	KON	_	8	kon	1493	1493
11	die	die	A	ART	Def|Fem|Nom|Sg	12	det	1493	1493
12	Sonne	Sonne	N	NN	Fem|Nom|Sg	10	cj	1493	1493
13	ischt	ischt	N	NE	Fem|Nom|Sg	12	app	1493	1493
14	darum	darum	P	PROAV	_	13	pp	1493	1493
15	doch	doch	A	ADV	_	14	adv	1493	1493
16	nicht	nicht	P	PTKNEG	_	13	adv	1493	1493
17	dem	die	P	PDS	_|Dat|Sg	0	root	_	_
18	einen	eine	A	ART	Indef|Masc|Acc|Sg	0	root	_	_
19	so	so	A	ADV	_	0	root	_	_
20	wie	wie	K	KOKOM	_	19	kom	_	_
21	dem	die	A	ART	Def|_|Dat|Sg	23	det	_	_
22	andern	andern	A	ADJA	_	23	attr	_	_
23	aufgegange	aufgegange	N	NN	_|Dat|Sg	20	cj	_	_
24	!	!	$	$.	_	0	root	_	_
25	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	792	792
2	blickten	blicken	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	alle	alle	A	PIDAT	_|_|_	12	det	793	793
4	nach	nach	P	APPR	Dat	12	pp	793	793
5	rechts	rechts	A	ADV	_	4	adv	793	793
6	und	und	K	KON	_	5	kon	793	793
7	nach	nach	A	ADV	_	8	adv	793	793
8	links	links	A	ADV	_	6	cj	793	793
9	den	die	A	ART	Def|Masc|Acc|Sg	12	det	793	793
10	weiten	weit	A	ADJA	Pos|Masc|Acc|Sg|_|	12	attr	793	793
11	gewölbten	gewölbt	A	ADJA	Pos|Masc|Acc|Sg|_|	12	attr	793	793
12	Saal	Saal	N	NN	Masc|Acc|Sg	2	obja	793	793
13	mit	mit	P	APPR	Dat	2	pp	_	_
14	seinen	seine	A	PPOSAT	Masc|Dat|_	16	det	793	793
15	gotischen	gotisch	A	ADJA	Pos|Masc|Dat|_|_|	16	attr	_	_
16	Pfeilern	Pfeiler	N	NN	Masc|Dat|_	13	pn	_	_
17	und	und	K	KON	_	16	kon	_	_
18	Fenstern	Fenster	N	NN	Neut|Dat|Pl	17	cj	_	_
19	entlang	entlang	P	PTKVZ	_	2	avz	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	2	kon	_	_
22	Herr	Herr	N	NN	Masc|Nom|Sg	25	subj	129	129
23	Ulrich	Ulrich	N	NE	Masc|Nom|Sg	22	app	129	129
24	Schenck	Schenck	N	NE	Masc|Nom|Sg	23	app	129	129
25	legte	legen	V	VVFIN	3|Sg|Past|_	21	cj	_	_
26	wirklich	wirklich	A	ADJD	Pos|	25	adv	_	_
27	den	die	A	ART	Def|Masc|Acc|Sg	28	det	255	255
28	Kopf	Kopf	N	NN	Masc|Acc|Sg	25	obja	255	255
29	wieder	wieder	A	ADV	_	25	adv	_	_
30	verhältnismäßig	verhältnismäßig	A	ADJD	Pos|	25	adv	_	_
31	ruhig	ruhig	A	ADJD	Pos|	25	adv	_	_
32	auf	auf	P	APPR	Acc	25	objp	_	_
33	sein	seine	A	PPOSAT	Neut|Acc|Sg	34	det	129	129
34	Kissen	Kissen	N	NN	Neut|Acc|Sg	32	pn	_	_
35	und	und	K	KON	_	25	kon	_	_
36	hielt	halten	V	VVFIN	_|Sg|Past|Ind	35	cj	_	_
37	nur	nur	A	ADV	_	36	adv	_	_
38	die	die	A	ART	Def|Fem|_|Sg	39	det	_	_
39	Hand	Hand	N	NN	Fem|_|Sg	36	obja	_	_
40	seiner	seine	A	PPOSAT	Fem|Gen|Sg	41	det	129	129
41	Mutter	Mutter	N	NN	Fem|Gen|Sg	39	gmod	_	_
42	um	um	P	APPR	_	36	pp	_	_
43	so	so	A	ADV	_	44	adv	_	_
44	fester	fest	A	ADJD	Comp|	42	pn	_	_
45	.	.	$	$.	_	0	root	_	_

1	Glücklicherweise	glücklicherweise	A	ADV	_	2	adv	_	_
2	fletschte	fletschen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	auf	auf	P	APPR	Dat	2	pp	_	_
4	dem	die	A	ART	Def|Neut|Dat|Sg	6	det	801	801
5	nächsten	nah	A	ADJA	_|Neut|Dat|Sg|Wk|	6	attr	801	801
6	Bett	Bett	N	NN	Neut|Dat|Sg	3	pn	801	801
7	ein	eine	A	ART	Indef|Masc|Nom|Sg	15	det	_	_
8	gleichfalls	gleichfalls	A	ADV	_	15	adv	_	_
9	allgemach	allgemach	A	ADV	_	10	adv	_	_
10	wieder	wieder	A	ADV	_	14	adv	_	_
11	auf	auf	P	APPR	Acc	14	pp	_	_
12	die	die	A	ART	Def|Neut|Acc|Pl	13	det	548	548
13	Beine	Bein	N	NN	Neut|Acc|Pl	11	pn	548	548
14	kommender	kommend	A	ADJA	Pos|Masc|Nom|Sg|St|_	15	attr	_	_
15	Turko	Turko	N	NN	Masc|Nom|Sg	2	subj	_	_
16	der	die	A	ART	Def|Fem|Gen|Sg	17	det	48	48
17	Frau	Frau	N	NN	Fem|Gen|Sg	15	gmod	48	48
18	Professorin	Professorin	N	NN	Fem|Gen|Sg	17	app	48	48
19	zutunlich	zutunlich	A	ADJD	Pos|	2	adv	_	_
20	vergnüglich	vergnüglich	A	ADJD	Pos|	2	adv	_	_
21	die	die	A	ART	Def|Masc|_|Pl	22	det	794	794
22	Zähne	Zahn	N	NN	Masc|_|Pl	2	obja	794	794
23	entgegen	entgegen	P	PTKVZ	_	2	avz	_	_
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	so	so	A	ADV	_	27	adv	_	_
27	vermochte	vermögen	V	VVFIN	3|Sg|Past|Ind	25	cj	_	_
28	sie	sie	P	PPER	3|Sg|Fem|Nom	27	subj	48	48
29	es	es	P	PPER	3|Sg|Neut|_	27	expl	_	_
30	,	,	$	$,	_	0	root	_	_
31	nachdem	nachdem	K	KOUS	_	38	konj	_	_
32	sie	sie	P	PPER	3|Sg|Fem|Nom	38	subj	48	48
33	dem	die	A	ART	Def|_|Dat|Sg	34	det	_	_
34	Schwarzen	Schwarze	N	NN	_|Dat|Sg	37	objd	_	_
35	gleichfalls	gleichfalls	A	ADV	_	37	adv	_	_
36	zutunlich	zutunlich	A	ADJD	Pos|	37	adv	_	_
37	zugenickt	zugenicken	V	VVPP	_	38	aux	_	_
38	hatte	haben	V	VAFIN	3|Sg|Past|Ind	27	neb	_	_
39	,	,	$	$,	_	0	root	_	_
40	die	die	A	ART	Def|_|_|_	42	det	_	_
41	sonstigen	sonstig	A	ADJA	Pos|_|_|Pl|Wk|	42	attr	_	_
42	Schrecknisse	Schrecknisse	N	NN	_|_|_	44	obja	_	_
43	zu	zu	P	PTKZU	_	44	part	_	_
44	überwinden	überwinden	V	VVINF	_	37	obji	_	_
45	und	und	K	KON	_	0	root	_	_
46	,	,	$	$,	_	0	root	_	_
47	zu	zu	P	APPR	Dat	51	pp	_	_
48	dem	die	A	ART	Def|Masc|Dat|Sg	49	det	795	795
49	Sohne	Sohn	N	NN	Masc|Dat|Sg	47	pn	795	795
50	sich	sie	P	PRF	3|_|_	51	obja	_	_
51	niederbeugend	niederbeugen	A	ADJD	_|<PPRES	0	root	_	_
52	,	,	$	$,	_	0	root	_	_
53	ihm	er	P	PPER	3|Sg|_|Dat	54	objd	795	795
54	zuzuflüstern	zuflüstern	V	VVIZU	_	51	obji	_	_
55	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	48	48
3	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	dich	du	P	PPER	2|Sg|_|Acc	3	obja	_	_
5	grüßen	grüßen	V	VVINF	_	3	obji	_	_
6	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	48	48
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	unsern	unsre	A	PPOSAT	Masc|_|_	4	det	134	134
4	Wassermann	Wassermann	N	NN	Masc|_|_	7	obja	134	134
5	zu	zu	P	APPR	Dat	7	objp	_	_
6	sich	sie	P	PRF	3|_|Dat	5	pn	_	_
7	genommen	nehmen	V	VVPP	_	2	aux	_	_
8	;	;	$	$.	_	0	root	_	_
9	und	und	K	KON	_	0	root	_	_
10	-	-	$	$(	_	0	root	_	_
11	ihr	ihre	A	PPOSAT	Masc|Nom|Sg	12	det	48	48
12	Vater	Vater	N	NN	Masc|Nom|Sg	13	subj	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	auch	auch	A	ADV	_	19	adv	_	_
15	aus	aus	P	APPR	Dat	19	objp	_	_
16	Amerika	Amerika	N	NE	Neut|Dat|Sg	15	pn	796	796
17	nach	nach	P	APPR	Dat	15	kon	_	_
18	Hause	Haus	N	NN	Neut|Dat|Sg	17	pn	122	122
19	gekommen	kommen	V	VVPP	_	13	aux	_	_
20	.	.	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	mein	meine	A	PPOSAT	Masc|Nom|Sg	5	det	797	797
4	nichtsnutziger	nichtsnutzig	A	ADJA	Pos|Masc|Nom|Sg|St|	5	attr	_	_
5	Brief	Brief	N	NN	Masc|Nom|Sg	2	cj	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Kam	Kam	N	NE	_|Nom|Sg	3	subj	798	798
3	grade	graden	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
4	zur	zu	P	APPRART	Dat	3	pp	_	_
5	richtigen	richtig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	6	attr	_	_
6	Stunde	Stunde	N	NN	Fem|Dat|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	mein	meine	A	PPOSAT	_|_|Sg	0	root	797	797
9	lieber	lieb	A	ADJD	Comp|	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	lieber	lieb	A	ADJD	Comp|	12	adv	127	127
12	Ulrich	Ulrich	N	NE	Masc|_|Sg	0	root	127	127
13	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	797	797
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	12	obja	127	127
4	ihr	ihr	P	PPER	3|Sg|Fem|Dat	12	objd	798	798
5	zu	zu	P	APPR	Dat	4	pp	_	_
6	ihren	ihre	A	PPOSAT	_|Dat|_	8	det	798	798
7	übrigen	übrig	A	ADJA	Pos|_|Dat|_|_|	8	attr	799	799
8	Sorgen	Sorge	N	NN	_|Dat|_	5	pn	799	799
9	mit	mit	A	ADV	_	12	adv	_	_
10	nach	nach	P	APPR	Dat	12	pp	_	_
11	Hause	Haus	N	NN	Neut|Dat|Sg	10	pn	122	122
12	gegeben	geben	V	VVPP	_	2	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	Liege	Liege	N	NN	Fem|_|Sg	0	root	_	_
2	still	still	A	ADJD	Pos|	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	797	797
2	glaube	glauben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	sicher	sicher	A	ADJD	Pos|	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	sie	sie	P	PPER	3|_|_|_	6	obja	122	122
6	findet	finden	V	VVFIN	3|Sg|Pres|Ind	2	s	_	_
7	aus	aus	P	APPR	Dat	6	pp	_	_
8	dem	die	A	ART	Def|Neut|Dat|Sg	10	det	_	_
9	dummen	dumm	A	ADJA	Pos|Neut|Dat|Sg|Wk|	10	attr	_	_
10	Gekritzel	Gekritzel	N	NN	Neut|Dat|Sg	7	pn	_	_
11	ihr	ihre	A	PPOSAT	Masc|Nom|Sg	12	det	799	799
12	Stück	Stück	N	NN	Masc|Nom|Sg	6	subj	_	_
13	Sonnenschein	Sonnenschein	N	NN	Masc|Nom|Sg	12	app	_	_
14	heraus	heraus	P	PTKVZ	_	6	avz	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	6	kon	_	_
17	du	du	P	PPER	2|Sg|_|Nom	18	subj	800	800
18	kannst	können	V	VMFIN	2|Sg|Pres|Ind	16	cj	_	_
19	es	es	P	PPER	3|Sg|Neut|_	23	obja	_	_
20	nicht	nicht	P	PTKNEG	_	23	adv	_	_
21	vor	vor	P	APPR	Dat	23	objp	_	_
22	ihr	ihr	P	PPER	3|Sg|Fem|Dat	21	pn	799	799
23	verantworten	verantworten	V	VVINF	_	18	aux	_	_
24	,	,	$	$,	_	0	root	_	_
25	wenn	wenn	K	KOUS	_	0	root	_	_
26	du	du	P	PPER	2|Sg|_|Nom	0	root	800	800
27	-	-	$	$(	_	0	root	_	_
28	jetzt	jetzt	A	ADV	_	29	adv	_	_
29	nicht	nicht	P	PTKNEG	_	30	adv	_	_
30	stilliegst	stilliegst	A	ADJD	_	0	root	_	_
31	.	.	$	$.	_	0	root	_	_
32	«	«	$	$(	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	8	objd	4	4
4	jetzt	jetzt	A	ADV	_	8	adv	_	_
5	nun	nun	A	ADV	_	8	adv	_	_
6	gar	gar	A	ADV	_	7	adv	_	_
7	nicht	nicht	P	PTKNEG	_	8	adv	_	_
8	einfallen	einfallen	V	VVINF	_	2	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Zuerst	zuerst	A	ADV	_	2	adv	_	_
2	wenigstens	wenigstens	A	ADV	_	3	adv	_	_
3	richtete	richten	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	4	4
5	sich	sie	P	PRF	3|_|_	3	obja	_	_
6	noch	noch	A	ADV	_	3	adv	_	_
7	einmal	einmal	A	ADV	_	3	adv	_	_
8	auf	auf	P	APPR	Dat	3	pp	_	_
9	dem	die	A	ART	Def|Masc|Dat|Sg	11	det	_	_
10	gesunden	gesund	A	ADJA	Pos|Masc|Dat|Sg|Wk|	11	attr	_	_
11	Ellenbogen	Ellenbogen	N	NN	Masc|Dat|Sg	8	pn	_	_
12	empor	empor	A	ADV	_	3	adv	_	_
13	und	und	K	KON	_	3	kon	_	_
