1	Na	Na	I	ITJ	_	0	root	_	_
18	nichts	nichts	P	PIS	_|Nom|Sg	19	subj	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
20	davon	davon	P	PROAV	_	22	pp	_	_
21	zu	zu	P	PTKZU	_	22	part	_	_
22	beschreiben	beschreiben	V	VVINF	_	19	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Auch	auch	A	ADV	_	2	adv	_	_
2	von	von	P	APPR	Dat	9	pp	_	_
3	dem	die	A	ART	Def|Masc|Dat|Sg	4	det	_	_
4	Ton	Ton	N	NN	Masc|Dat|Sg	2	pn	_	_
5	nicht	nicht	P	PTKNEG	_	6	adv	_	_
6	mit	mit	P	APPR	Dat	4	pp	_	_
7	dem	die	P	PDS	_|Dat|Sg	6	pn	_	_
8	das	die	A	ART	Def|Neut|_|Sg	9	det	_	_
9	Wort	Wort	N	NN	Fem|Nom|Sg	14	subj	_	_
10	»	»	$	$(	_	0	root	_	_
11	Mieze	Mieze	N	NN	Fem|Nom|Sg	9	app	_	_
12	«	«	$	$(	_	0	root	_	_
13	gesprochen	sprechen	V	VVPP	_	14	aux	_	_
14	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	Quakätzchen	Quakätzchen	N	NN	Neut|_|_	1	cj	480	480
3	?	?	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|_|Sg	3	det	151	151
2	geborene	geboren	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	151	151
3	Quakatz	Quakatz	N	NE	Fem|_|Sg	0	root	151	151
4	,	,	$	$,	_	0	root	151	151
5	die	die	A	ART	Def|Masc|_|Pl	6	det	151	151
6	Tochter	Tochter	N	NN	Masc|_|_	3	app	151	151
7	von	von	P	APPR	_	6	pp	151	151
8	Kienbaums	Kienbaums	N	NE	_|_|_	7	pn	151	151
9	Mörder	Mörder	N	NN	Masc|_|_	6	app	151	151
10	,	,	$	$,	_	0	root	151	151
11	Andreas	Andrea	N	NE	Masc|_|_	9	app	151	151
12	Quakatz	Quakatz	N	NE	Masc|_|_	11	app	151	151
13	,	,	$	$,	_	0	root	_	_
14	die	die	P	PRELS	_|_|_	0	root	151	151
15	sich	sie	P	PRF	3|_|_	0	root	_	_
16	bei	bei	P	APPR	Dat	0	root	_	_
17	ihrem	ihre	A	PPOSAT	_|Dat|Sg	18	det	151	151
18	Eheherrn	Eheherrn	N	NN	_|Dat|Sg	16	pn	_	_
19	zu	zu	P	APPR	Dat	18	pp	_	_
20	einer	eine	A	ART	Indef|Fem|Dat|Sg	22	det	_	_
21	»	»	$	$(	_	0	root	_	_
22	Mieze	Mieze	N	NN	Fem|Dat|Sg	19	pn	_	_
23	«	«	$	$(	_	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	ja	ja	P	PTKANT	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	wie	wie	P	PWAV	_	30	adv	_	_
28	ich	ich	P	PPER	1|Sg|_|Nom	30	subj	481	481
29	nachher	nachher	A	ADV	_	30	adv	_	_
30	merkte	merken	V	VVFIN	1|Sg|Past|_	48	subjc	_	_
31	,	,	$	$,	_	0	root	_	_
32	sogar	sogar	A	ADV	_	33	adv	_	_
33	zu	zu	P	APPR	Dat	47	pp	_	_
34	einem	eine	A	ART	Indef|Neut|Dat|Sg	36	det	_	_
35	»	»	$	$(	_	0	root	_	_
36	Müschen	Müschen	N	NN	Neut|Dat|Sg	33	pn	_	_
37	«	«	$	$(	_	0	root	_	_
38	,	,	$	$,	_	0	root	_	_
39	mit	mit	P	APPR	Dat	47	pp	_	_
40	längster	lang	A	ADJA	Sup|Fem|Dat|Sg|St|	43	attr	_	_
41	,	,	$	$,	_	0	root	_	_
42	zärtlichster	zärtlich	A	ADJA	Sup|Fem|Dat|Sg|St|	40	kon	_	_
43	Dehnung	Dehnung	N	NN	Fem|Dat|Sg	39	pn	_	_
44	auf	auf	P	APPR	Dat	47	pp	_	_
45	dem	die	A	ART	Def|_|Dat|Sg	46	det	_	_
46	ü	ü	N	NN	_|Dat|Sg	44	pn	_	_
47	ausgewachsen	auswachsen	V	VVPP	_	48	aux	_	_
48	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
49	und	und	K	KON	_	48	kon	_	_
50	jetzt	jetzt	A	ADV	_	51	adv	1711	1711
51	mir	mir	A	ADJA	_|Masc|_|Sg|_	52	attr	1711	1711
52	Platz	Platz	N	NN	Masc|_|Sg	62	obja	1711	1711
53	im	in	P	APPRART	Dat	62	pp	_	_
54	Sommermorgen	Sommermorgen	N	NN	_|Dat|_	53	pn	_	_
55	und	und	K	KON	_	53	kon	_	_
56	am	an	P	APPRART	Dat	55	cj	_	_
57	Frühstückstisch	Frühstückstisch	N	NN	Masc|Dat|Sg	56	pn	_	_
58	auf	auf	P	APPR	Dat	62	pp	_	_
59	der	die	A	ART	Def|Fem|Dat|Sg	61	det	41	41
60	roten	rot	A	ADJA	Pos|Fem|Dat|Sg|Wk|	61	attr	41	41
61	Schanze	Schanze	N	NN	Fem|Dat|Sg	58	pn	41	41
62	machte	machen	V	VVFIN	_|Sg|Past|_	49	cj	_	_
63	,	,	$	$,	_	0	root	_	_
64	die	die	P	PDS	Fem|Nom|Sg	65	subj	_	_
65	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
66	doch	doch	A	ADV	_	67	adv	_	_
67	beschrieben	beschreiben	V	VVPP	_	68	aux	_	_
68	werden	werden	V	VAINF	_	65	aux	_	_
69	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	481	481
2	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	8	obja	41	41
4	als	als	K	KOKOM	_	8	kom	_	_
5	Kind	Kind	N	NN	Neut|_|Sg	4	cj	482	482
6	nur	nur	A	ADV	_	8	adv	_	_
7	hager	hager	A	ADJD	Pos|	8	adv	_	_
8	gekannt	kennen	V	VVPP	_	2	aux	_	_
9	-	-	$	$(	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	klapperig	klapperig	A	ADJD	Pos|	13	adv	_	_
12	«	«	$	$(	_	0	root	_	_
13	nannte	nennen	V	VVFIN	3|Sg|Past|Ind	2	kon	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
15	Stopfkuchen	Stopfkuchen	N	NN	Masc|_|_	13	obja	32	32
16	;	;	$	$.	_	0	root	_	_
17	aber	aber	K	KON	_	0	root	_	_
18	sie	sie	P	PPER	3|Sg|Fem|Nom	19	subj	41	41
19	hatte	haben	V	VAFIN	3|Sg|Past|Ind	17	cj	_	_
20	es	es	P	PPER	3|Sg|Neut|_	25	obja	_	_
21	nicht	nicht	P	PTKNEG	_	25	adv	_	_
22	so	so	A	ADV	_	25	adv	_	_
23	wie	wie	K	KOKOM	_	25	kom	_	_
24	Stopfkuchen	Stopfkuchen	N	NN	Masc|_|_	23	cj	32	32
25	gemacht	machen	V	VVPP	_	19	aux	_	_
26	,	,	$	$,	_	0	root	_	_
27	sie	sie	P	PPER	3|Sg|Fem|Nom	28	subj	41	41
28	hatte	haben	V	VAFIN	3|Sg|Past|Ind	19	kon	_	_
29	nicht	nicht	P	PTKNEG	_	39	adv	_	_
30	ihre	ihre	A	PPOSAT	Fem|_|Sg	31	det	41	41
31	Körperveranlagung	Körperveranlagung	N	NN	Fem|_|Sg	39	obja	_	_
32	im	in	P	APPRART	Dat	39	pp	_	_
33	Laufe	Lauf	N	NN	Masc|Dat|Sg	32	pn	_	_
34	der	die	A	ART	Def|Neut|Gen|Pl	35	det	26	26
35	Jahre	Jahr	N	NN	Neut|Gen|Pl	33	gmod	26	26
36	zur	zu	P	APPRART	Dat	39	pp	_	_
37	höchsten	hoch	A	ADJA	Sup|Fem|Dat|Sg|Wk|	38	attr	_	_
38	Potenz	Potenz	N	NN	Fem|Dat|Sg	36	pn	_	_
39	ausgebildet	ausbilden	V	VVPP	_	28	aux	_	_
40	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	41	41
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	8	adv	_	_
4	in	in	P	APPR	Dat	8	pp	_	_
5	dem	die	A	ART	Def|_|Dat|Sg	6	det	483	483
6	Grade	Grad	N	NN	_|Dat|Sg	4	pn	483	483
7	dürr	dürr	A	ADJD	Pos|	8	pred	_	_
8	geworden	werden	V	VAPP	_	2	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	wie	wie	P	PWAV	_	13	adv	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	483	483
12	dick	dick	A	ADJD	Pos|	13	pred	_	_
13	geworden	werden	V	VAPP	_	14	aux	_	_
14	war	sein	V	VAFIN	3|Sg|Past|Ind	8	objc	_	_
15	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	41	41
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	eingehuzzelt	eingehuzzelt	A	ADJD	_	2	pred	_	_
5	unter	unter	P	APPR	Dat	2	pp	_	_
6	seinem	seine	A	PPOSAT	Neut|Dat|Sg	7	det	483	483
7	Regimente	Regiment	N	NN	Neut|Dat|Sg	5	pn	1886	1886
8	,	,	$	$,	_	0	root	_	_
9	in	in	P	APPR	Dat	2	pp	_	_
10	dem	die	A	ART	Def|Masc|Dat|Sg	11	det	484	484
11	Schatten	Schatten	N	NN	Masc|Dat|Sg	9	pn	484	484
12	,	,	$	$,	_	0	root	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	485	485
14	beträchtlichen	beträchtlich	A	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	485	485
15	Schatten	Schatten	N	NN	Masc|Dat|Sg	2	objd	485	485
16	,	,	$	$,	_	0	root	485	485
17	den	die	P	PRELS	Masc|Acc|Sg	19	obja	485	485
18	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	483	483
19	warf	werfen	V	VVFIN	3|Sg|Past|Ind	15	rel	_	_
20	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|Nom	8	pred	41	41
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|Nom|Sg	7	det	486	486
4	wohlgebautes	wohlgebaut	A	ADJA	Pos|Neut|Nom|Sg|St|	7	attr	486	486
5	,	,	$	$,	_	0	root	486	486
6	behagliches	behaglich	A	ADJA	Pos|Neut|Nom|Sg|St|	4	kon	486	486
7	Persönchen	Persönchen	N	NN	Neut|Nom|Sg	2	subj	486	486
8	geworden	werden	V	VAPP	_	2	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	mit	mit	P	APPR	Dat	8	pp	_	_
11	einigem	einig	A	ADJA	Pos|_|Dat|Sg|St|	12	attr	487	487
12	Grau	Grau	N	NN	_|Dat|Sg	10	pn	487	487
13	im	in	P	APPRART	Dat	12	pp	487	487
14	Haar	Haar	N	NN	Neut|Dat|Sg	13	pn	487	487
15	,	,	$	$,	_	0	root	_	_
16	wie	wie	P	PWAV	_	26	adv	_	_
17	man	man	P	PIS	_|Nom|Sg	27	subj	_	_
18	es	es	P	PPER	3|Sg|Neut|_	26	obja	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	gegen	gegen	P	APPR	Acc	26	pp	_	_
21	das	die	A	ART	Def|Neut|Acc|Sg	23	det	_	_
22	vierzigste	vierzigst	A	ADJA	_|Neut|Acc|Sg|Wk|	23	attr	_	_
23	Jahr	Jahr	N	NN	Neut|Acc|Sg	20	pn	_	_
24	wohl	wohl	A	ADV	_	25	adv	_	_
25	gelten	gelten	V	VVINF	_	26	obji	_	_
26	lassen	lassen	V	VVINF	_	27	aux	_	_
27	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	8	objc	_	_
28	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	488	488
2	sah	sehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	2	obja	486	486
4	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	489	489
5	natürlich	natürlich	A	ADJD	Pos|	2	adv	_	_
6	zuerst	zuerst	A	ADV	_	2	adv	_	_
7	darauf	darauf	P	PROAV	_	2	pp	_	_
8	an	an	P	PTKVZ	_	2	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	ob	ob	K	KOUS	_	29	konj	_	_
11	sie	sie	P	PPER	3|Sg|Fem|Nom	29	subj	487	487
12	wohl	wohl	A	ADV	_	28	adv	_	_
13	noch	noch	A	ADV	_	28	adv	_	_
14	die	die	A	ART	Def|Masc|_|Pl	15	det	299	299
15	Hunde	Hund	N	NN	Masc|_|Pl	28	obja	299	299
16	über	über	P	APPR	Acc	28	pp	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	436	436
18	Dammweg	Dammweg	N	NN	Masc|Acc|Sg	16	pn	436	436
19	auf	auf	P	APPR	Acc	16	kon	_	_
20	»	»	$	$(	_	0	root	_	_
21	uns	wir	P	PPER	1|Pl|_|Acc	19	pn	_	_
22	Jungens	Jungens	N	NE	_|Acc|Pl	21	app	_	_
23	«	«	$	$(	_	0	root	_	_
24	und	und	K	KON	_	21	kon	_	_
25	die	die	A	ART	Def|Fem|Acc|Sg	27	det	_	_
26	übrige	übrig	A	ADJA	Pos|Fem|Acc|Sg|_|	27	attr	_	_
27	Welt	Welt	N	NN	Fem|Acc|Sg	24	cj	_	_
28	hetzen	hetzen	V	VVINF	_	29	aux	_	_
29	könne	können	V	VMFIN	3|Sg|Pres|Subj	2	objc	_	_
30	;	;	$	$.	_	0	root	_	_
31	ich	ich	P	PPER	1|Sg|_|Nom	32	subj	488	488
32	sah	sehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
33	sie	sie	P	PPER	3|_|_|_	32	obja	487	487
34	mir	ich	P	PPER	1|Sg|_|Dat	32	objd	489	489
35	sehr	sehr	A	ADV	_	36	adv	_	_
36	genau	genau	A	ADJD	Pos|	32	adv	_	_
37	darauf	darauf	P	PROAV	_	32	pp	_	_
38	an	an	P	PTKVZ	_	32	avz	_	_
39	,	,	$	$,	_	0	root	_	_
40	und	und	K	KON	_	32	kon	_	_
41	ich	ich	P	PPER	1|Sg|_|Nom	42	subj	489	489
42	freute	freuen	V	VVFIN	1|Sg|Past|_	40	cj	_	_
43	mich	ich	P	PRF	1|Sg|Acc	42	obja	_	_
44	.	.	$	$.	_	0	root	_	_

1	Vollständig	vollständig	A	ADJD	Pos|	2	adv	_	_
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	487	487
4	den	die	A	ART	Def|Masc|Acc|Sg	10	det	490	490
5	wilden	wild	A	ADJA	Pos|Masc|Acc|Sg|_|	10	attr	490	490
6	,	,	$	$,	_	0	root	490	490
7	manchmal	manchmal	A	ADV	_	9	adv	490	490
8	halb	halb	A	ADJD	Pos|	9	adv	490	490
9	irren	irr	A	ADJA	Pos|_|Acc|_|_|	5	kon	490	490
10	Blick	Blick	N	NN	Masc|Acc|Sg	26	obja	490	490
11	ihrer	ihre	A	PPOSAT	Fem|Gen|Sg	12	det	487	487
12	Kindheit	Kindheit	N	NN	Fem|Gen|Sg	10	gmod	_	_
13	und	und	K	KON	_	12	kon	_	_
14	»	»	$	$(	_	0	root	_	_
15	Jugendblüte	Jugendblüte	N	NN	Fem|Gen|Sg	13	cj	_	_
16	«	«	$	$(	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	der	die	P	PRELS	Masc|Nom|Sg	24	subj	490	490
19	aus	aus	P	APPR	Dat	24	objp	_	_
20	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	22	det	487	487
21	trostlosen	trostlos	A	ADJA	Pos|Fem|Dat|Sg|Wk|	22	attr	_	_
22	Verfemung	Verfemung	N	NN	Fem|Dat|Sg	19	pn	_	_
23	damals	damals	A	ADV	_	19	adv	_	_
24	stammte	stammen	V	VVFIN	3|Sg|Past|_	10	rel	_	_
25	,	,	$	$,	_	0	root	_	_
26	verloren	verlieren	V	VVPP	_	2	aux	_	_
27	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	als	als	K	KOUS	_	12	konj	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	12	subj	487	487
4	lächelnd	lächeln	A	ADJD	_|<PPRES	11	adv	_	_
5	die	die	A	ART	Def|Neut|_|Pl	7	det	_	_
6	ersten	erst	A	ADJA	_|Neut|_|Pl|Wk|	7	attr	_	_
7	Worte	Wort	N	NN	Neut|_|Pl	11	obja	_	_
8	auch	auch	A	ADV	_	11	adv	_	_
9	an	an	P	APPR	Acc	11	objp	_	_
10	mich	ich	P	PPER	1|Sg|_|Acc	9	pn	489	489
11	gerichtet	richten	V	VVPP	_	12	aux	_	_
12	hatte	haben	V	VAFIN	3|Sg|Past|Ind	14	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	wußte	wußte	V	VVFIN	1|Sg|_|_	1	cj	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	489	489
16	nach	nach	P	APPR	Dat	14	pp	_	_
17	diesen	diese	A	PDAT	Neut|Dat|Pl	19	det	_	_
18	ersten	erst	A	ADJA	_|Neut|Dat|Pl|_|	19	attr	_	_
19	Worten	Wort	N	NN	Neut|Dat|Pl	16	pn	_	_
20	,	,	$	$,	_	0	root	_	_
21	daß	daß	K	KOUS	_	28	konj	_	_
22	sie	sie	P	PPER	3|Sg|Fem|Nom	28	subj	487	487
23	seit	seit	P	APPR	Dat	28	pp	_	_
24	lange	lange	A	ADJD	_	23	pn	_	_
25	nicht	nicht	P	PTKNEG	_	28	adv	_	_
26	mehr	mehr	A	ADV	_	25	adv	_	_
27	das	die	P	PDS	Neut|_|Sg	28	obja	_	_
28	verschüchterte	verschüchtern	V	VVFIN	3|Sg|Past|_	19	objc	_	_
29	,	,	$	$,	_	0	root	_	_
30	mit	mit	P	APPR	Dat	28	pp	_	_
31	bösen	bös	A	ADJA	Pos|Neut|Dat|Pl|_|	32	attr	_	_
32	Worten	Wort	N	NN	Neut|Dat|Pl	30	pn	_	_
33	,	,	$	$,	_	0	root	_	_
34	Steinen	Stein	N	NN	Masc|Dat|Pl	19	kon	775	775
35	und	und	K	KON	_	34	kon	_	_
36	Erdklößen	Erdkloß	N	NN	Masc|Dat|Pl	35	cj	_	_
37	beworfene	beworfen	A	ADJA	Pos|Neut|_|_|_|	38	attr	_	_
38	Bauernmädchen	Bauernmädchen	N	NN	Neut|_|_	14	obja	_	_
39	vom	von	P	APPRART	Dat	38	pp	_	_
40	Quakatzenhof	Quakatzenhof	N	NN	Masc|Dat|Sg	39	pn	270	270
41	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
42	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	durchaus	durchaus	A	ADV	_	2	adv	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	nötig	nötig	A	ADJD	Pos|	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	16	konj	_	_
8	mein	meine	A	PPOSAT	Masc|Nom|Sg	9	det	198	198
9	Freund	Freund	N	NN	Masc|Nom|Sg	16	pred	489)	489)
10	Schaumann	Schaumann	N	NE	_|Nom|Sg	9	app	198	198
11	es	es	P	PPER	3|Sg|Neut|_	23	expl	_	_
12	für	für	P	APPR	Acc	15	objp	_	_
13	notwendig	notwendig	A	ADJD	Pos|	12	pn	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	halten	halten	V	VVINF	_	16	obji	_	_
16	schien	scheinen	V	VVFIN	_|Sg|Past|Ind	2	objc	_	_
17	,	,	$	$,	_	0	root	_	_
18	meine	meine	A	PPOSAT	Fem|_|Sg	19	det	489	489
19	Aufmerksamkeit	Aufmerksamkeit	N	NN	Fem|_|Sg	23	obja	_	_
20	noch	noch	A	ADV	_	23	adv	_	_
21	reger	reger	A	ADJD	_	23	pred	_	_
22	zu	zu	P	PTKZU	_	23	part	_	_
23	machen	machen	V	VVINF	_	16	subjc	_	_
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	zwar	zwar	A	ADV	_	27	adv	_	_
27	mit	mit	P	APPR	Dat	25	cj	_	_
28	den	die	A	ART	Def|Neut|Dat|Pl	30	det	_	_
29	abgeschmackten	abgeschmackt	A	ADJA	Pos|Neut|Dat|Pl|_|	30	attr	_	_
30	Worten	Wort	N	NN	Neut|Dat|Pl	27	pn	_	_
31	:	\:	$	$.	_	0	root	_	_
32	»	»	$	$(	_	0	root	_	_
33	Ja	ja	P	PTKANT	_	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	ja	ja	P	PTKANT	_	0	root	_	_
36	,	,	$	$,	_	0	root	_	_
37	Eduard	Eduard	N	NE	Masc|_|Sg	0	root	38	38
38	,	,	$	$,	_	0	root	_	_
39	Bildung	Bildung	N	NN	Fem|Nom|Sg	40	subj	491	491
40	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
41	an	an	P	PTKVZ	_	40	avz	_	_
42	,	,	$	$,	_	0	root	_	_
43	und	und	K	KON	_	40	kon	_	_
44	ich	ich	P	PPER	1|Sg|_|Nom	45	subj	488	488
45	bin	sein	V	VAFIN	1|Sg|Pres|Ind	43	cj	_	_
46	immer	immer	A	ADV	_	51	adv	_	_
47	ein	eine	A	ART	Indef|Masc|Nom|Sg	50	det	_	_
48	sehr	sehr	A	ADV	_	49	adv	_	_
49	gebildeter	gebildet	A	ADJA	Pos|Masc|Nom|Sg|St|	50	attr	_	_
50	Mensch	Mensch	N	NN	Masc|Nom|Sg	51	pred	_	_
51	gewesen	sein	V	VAPP	_	45	aux	_	_
52	,	,	$	$,	_	0	root	_	_
53	wenn	wenn	K	KOUS	_	0	root	_	_
54	ihr	ihr	P	PPER	_|_|_|_	0	root	491	491
55	da	da	A	ADV	_	57	adv	_	_
56	unten	unten	A	ADV	_	57	adv	_	_
57	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
58	auch	auch	A	ADV	_	62	adv	_	_
59	nicht	nicht	P	PTKNEG	_	62	adv	_	_
60	immer	immer	A	ADV	_	62	adv	_	_
61	Wort	Wort	N	NN	Neut|_|Sg	62	obja	689	689
62	haben	haben	V	VAINF	_	63	aux	_	_
63	wolltet	wollen	V	VMFIN	2|Pl|Past|_	0	root	_	_
64	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dann	dann	A	ADV	_	1	cj	_	_
3	,	,	$	$,	_	0	root	_	_
4	Eduard	Eduard	N	NE	Masc|_|Sg	0	root	38	38
5	,	,	$	$,	_	0	root	_	_
6	studiert	studieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	man	man	P	PIS	_|Nom|Sg	6	subj	_	_
8	manchmal	manchmal	A	ADV	_	6	adv	_	_
9	auch	auch	A	ADV	_	6	adv	_	_
10	nicht	nicht	P	PTKNEG	_	6	adv	_	_
11	ganz	ganz	A	ADV	_	12	adv	_	_
12	ohne	ohne	P	APPR	Acc	6	pp	_	_
13	Nutzen	Nutzen	N	NN	_|Acc|_	12	pn	_	_
14	für	für	P	APPR	Acc	13	pp	_	_
15	die	die	A	ART	Def|Masc|Acc|Sg	18	det	1687	1687
16	oder	oder	K	KON	_	15	kon	1687	1687
