1	Dassel	Dassel	N	NE	_|Nom|Sg	2	subj	315	315
11	Not	Not	N	NN	Fem|Dat|Sg	8	pn	_	_
12	?	?	$	$.	_	0	root	_	_

1	O	O	N	NN	Neut|_|_	0	root	_	_
2	liebster	lieb	A	ADJA	Sup|Masc|Gen|Pl|St|	3	attr	112	112
3	Himmel	Himmel	N	NN	Masc|Gen|Pl	1	gmod	112	112
4	,	,	$	$,	_	0	root	112	112
5	Herr	Herr	N	NN	Masc|_|Sg	1	app	112	112
6	Amtmann	Amtmann	N	NE	_|_|Sg	5	app	112	112
7	,	,	$	$,	_	0	root	112	112
8	Herr	Herr	N	NN	Masc|_|Sg	6	app	112	112
9	Amtmann	Amtmann	N	NE	_|_|Sg	8	app	112	112
10	,	,	$	$,	_	0	root	_	_
11	was	was	P	PWS	Neut|_|Sg	14	obja	_	_
12	sollen	sollen	V	VMFIN	1|Pl|Pres|_	9	rel	_	_
13	wir	wir	P	PPER	1|Pl|_|Nom	12	subj	319	319
14	tun	tun	V	VVINF	_	12	aux	_	_
15	?	?	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Vermaledeiter	vermaledeit	A	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	594	594
3	Hund	Hund	N	NN	Masc|Nom|Sg	0	root	594	594
4	,	,	$	$,	_	0	root	_	_
5	vorsichtig	vorsichtig	A	ADJD	Pos|	13	adv	_	_
6	mit	mit	P	APPR	Dat	13	objp	_	_
7	Feuer	Feuer	N	NN	Neut|Dat|Sg	6	pn	1838	1838
8	und	und	K	KON	_	7	kon	_	_
9	Licht	Licht	N	NN	Neut|Dat|Sg	8	cj	323	323
10	in	in	P	APPR	Dat	9	pp	323	323
11	den	die	A	ART	Def|Masc|Dat|Pl	12	det	333	333
12	Ställen	Stall	N	NN	Masc|Dat|Pl	10	pn	323	323
13	umgehen	umgehen	V	VVINF	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	wenn	wenn	K	KOUS	_	23	konj	_	_
17	der	die	A	ART	Def|Masc|Nom|Sg	19	det	_	_
18	jüngste	jung	A	ADJA	Sup|Masc|Nom|Sg|Wk|	19	attr	_	_
19	Tag	Tag	N	NN	Masc|Nom|Sg	23	subj	_	_
20	vor	vor	P	APPR	Dat	23	objp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	525	525
22	Türe	Türe	N	NN	Fem|Dat|Sg	20	pn	525	525
23	stünde	stehen	V	VVFIN	3|Sg|Past|Subj	15	cj	_	_
24	!	!	$	$.	_	0	root	_	_
25	«	«	$	$(	_	0	root	_	_
26	schrie	schreien	V	VVFIN	3|Sg|Past|_	0	root	_	_
27	der	die	A	ART	Def|Masc|Nom|Sg	28	det	112	112
28	Herr	Herr	N	NN	Masc|Nom|Sg	26	subj	112	112
29	Amtmann	Amtmann	N	NE	_|Nom|Sg	28	app	112	112
30	,	,	$	$,	_	0	root	_	_
31	sich	sie	P	PRF	3|_|_	0	root	_	_
32	aus	aus	P	APPR	Dat	42	pp	_	_
33	dem	die	A	ART	Def|Masc|Dat|Sg	35	det	_	_
34	zeternden	zeternd	A	ADJA	Pos|Masc|Dat|Sg|Wk|<PPRES	35	attr	_	_
35	Haufen	Haufe	N	NN	Masc|Dat|Sg	32	pn	_	_
36	unter	unter	P	APPR	Dat	35	pp	_	_
37	der	die	A	ART	Def|Fem|Dat|Sg	39	det	_	_
38	nächsten	nah	A	ADJA	_|Fem|Dat|Sg|Wk|	39	attr	_	_
39	Stalltür	Stalltür	N	NN	Fem|Dat|Sg	36	pn	_	_
40	einen	eine	A	ART	Indef|Masc|Acc|Sg	41	det	320	320
41	Knecht	Knecht	N	NN	Masc|Acc|Sg	42	obja	320	320
42	hervorlangend	hervorlangen	A	ADJD	_|<PPRES	0	root	_	_
43	,	,	$	$,	_	0	root	_	_
44	der	die	P	PRELS	Masc|Nom|Sg	53	subj	320	320
45	mit	mit	P	APPR	Dat	53	pp	_	_
46	einer	eine	A	ART	Indef|Fem|Dat|Sg	50	det	_	_
47	zerbrochenen	zerbrochen	A	ADJA	Pos|Fem|Dat|Sg|Wk|	50	attr	_	_
48	,	,	$	$,	_	0	root	_	_
49	scheibenlosen	scheibenlos	A	ADJA	Pos|_|Dat|_|_|	47	kon	_	_
50	Hornlaterne	Hornlaterne	N	NN	Fem|Dat|Sg	45	pn	_	_
51	das	die	A	ART	Def|Neut|_|Sg	52	det	_	_
52	Getümmel	Getümmel	N	NN	Neut|_|Sg	53	obja	_	_
53	beleuchtete	beleuchten	V	VVFIN	3|Sg|Past|_	0	root	_	_
54	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	3	det	321	321
2	spanische	spanisch	A	ADJA	Pos|Neut|Nom|Sg|Wk|	3	attr	321	321
3	Rohr	Rohr	N	NN	Neut|Nom|Sg	4	subj	321	321
4	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	nieder	nieder	A	ADJD	Pos|	4	adv	_	_
6	auf	auf	P	APPR	Acc	4	pp	_	_
7	die	die	A	ART	Def|Fem|Acc|Sg	8	det	322	322
8	Hand	Hand	N	NN	Fem|Acc|Sg	6	pn	322	322
9	,	,	$	$,	_	0	root	322	322
10	welche	welche	P	PRELS	Fem|Nom|Sg	13	subj	322	322
11	das	die	A	ART	Def|Neut|_|Sg	12	det	323	323
12	Licht	Licht	N	NN	Neut|_|Sg	13	obja	323	323
13	hielt	halten	V	VVFIN	3|Sg|Past|Ind	8	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	13	kon	_	_
16	in	in	P	APPR	Acc	24	pp	_	_
17	das	die	A	ART	Def|Neut|Acc|Sg	19	det	_	_
18	erschreckte	erschreckt	A	ADJA	Pos|Neut|Acc|Sg|Wk|	19	attr	_	_
19	Auseinanderstieben	Auseinanderstieben	N	NN	Neut|Acc|Sg	16	pn	_	_
20	seines	seine	A	PPOSAT	_|Gen|Sg	21	det	321	321
21	Haus-	Haus-	T	TRUNC	Neut|Gen|Sg	19	gmod	_	_
22	und	und	K	KON	_	21	kon	_	_
23	Hofgesindes	Hofgesinde	N	NN	Neut|Gen|Sg	22	cj	_	_
24	donnerte	donnern	V	VVFIN	_|Sg|Past|_	15	cj	_	_
25	der	die	A	ART	Def|Masc|Nom|Sg	26	det	158	158
26	Herr	Herr	N	NN	Masc|Nom|Sg	24	subj	158	158
27	und	und	K	KON	_	26	kon	_	_
28	Meister	Meister	N	NN	Masc|Nom|_	27	cj	577	577
29	hinein	hinein	P	PTKVZ	_	4	avz	_	_
30	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ob	ob	K	KOUS	_	12	konj	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	324	324
4	Satan	Satan	N	NN	Masc|Nom|Sg	12	subj	324	324
5	seinen	seine	A	PPOSAT	Masc|_|Sg	7	det	324	324
6	ganzen	ganz	A	ADJA	Pos|Masc|_|Sg|_|	7	attr	1074	1074
7	Sack	Sack	N	NN	Masc|_|Sg	12	obja	1074	1074
8	voll	voll	P	APPR	Dat	7	pp	1074	1074
9	Gezücht	Gezücht	N	NN	Neut|Dat|Sg	8	pn	1074	1074
10	über	über	P	APPR	Acc	9	pp	1074	1074
11	mich	ich	P	PPER	1|Sg|_|Acc	10	pn	158	158
12	ausschüttet	ausschütten	V	VVFIN	3|Sg|Pres|Ind	18	objc	_	_
13	,	,	$	$,	_	0	root	_	_
14	so	so	A	ADV	_	15	adv	744	744
15	weit	weit	A	ADJD	Pos|	17	adv	744	744
16	mein	meine	A	PPOSAT	Masc|Nom|Sg	17	det	158	158
17	Stock	Stock	N	NN	Masc|Nom|Sg	18	subj	_	_
18	reicht	reichen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	158	158
22	meine	meine	A	PPOSAT	Fem|_|Sg	23	det	158	158
23	Ordnung	Ordnung	N	NN	Fem|_|Sg	24	obja	_	_
24	halten	halten	V	VVINF	_	20	aux	_	_
25	.	.	$	$.	_	0	root	_	_

1	Fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	10	neb	_	_
2	mir	ich	P	PPER	1|Sg|_|Dat	1	objd	158	158
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	19	19
4	Welt	Welt	N	NN	Fem|Nom|Sg	1	subj	19	19
5	über	über	P	APPR	Dat	1	pp	_	_
6	dem	die	A	ART	Def|Masc|Dat|Sg	7	det	325	325
7	Kopfe	Kopf	N	NN	Masc|Dat|Sg	5	pn	325	325
8	ein	ein	P	PTKVZ	_	1	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	soll	sollen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
11	'	'	$	$(	_	0	root	_	_
12	s	s	P	PPER	_|Sg|_|Nom	10	subj	19	19
13	mir	ich	P	PPER	1|Sg|_|Dat	16	objd	158	158
14	allmählich	allmählich	A	ADJD	Pos|	16	adv	_	_
15	recht	recht	A	ADJD	Pos|	16	pred	_	_
16	sein	sein	V	VAINF	_	10	aux	_	_
17	.	.	$	$.	_	0	root	_	_

1	Fliegt	fliegen	V	VVFIN	3|Sg|Pres|Ind	10	neb	_	_
2	mir	ich	P	PPER	1|Sg|_|Dat	1	objd	158	158
3	der	die	A	ART	Def|Masc|Nom|Sg	5	det	326	326
4	rote	rot	A	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	326	326
5	Hahn	Hahn	N	NN	Masc|Nom|Sg	1	subj	326	326
6	aufs	auf	P	APPRART	Acc	1	pp	_	_
7	Dach	Dach	N	NN	Neut|Acc|Sg	6	pn	444	444
8	,	,	$	$,	_	0	root	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	326	326
12	doch	doch	A	ADV	_	21	adv	_	_
13	nicht	nicht	P	PTKNEG	_	21	adv	_	_
14	auf	auf	P	APPR	Dat	21	pp	_	_
15	meinem	meine	A	PPOSAT	Masc|Dat|Sg	17	det	158	158
16	eigenen	eigen	A	ADJA	Pos|Masc|Dat|Sg|Wk|	17	attr	_	_
17	Herd	Herd	N	NN	Masc|Dat|Sg	14	pn	_	_
18	aus	aus	P	APPR	Dat	21	pp	_	_
19	dem	die	A	ART	Def|Neut|Dat|Sg	20	det	327	327
20	Ei	Ei	N	NN	Neut|Dat|Sg	18	pn	327	327
21	gekrochen	kriechen	V	VVPP	_	22	aux	_	_
22	sein	sein	V	VAINF	_	10	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	schiele	schielen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
4	nur	nur	A	ADV	_	3	adv	_	_
5	her	her	P	PTKVZ	_	3	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	Bestie	Bestie	N	NN	Fem|_|Sg	3	vok	_	_
8	von	von	P	APPR	Dat	7	pp	_	_
9	Kerl	Kerl	N	NN	Masc|Dat|Sg	8	pn	1735	1735
10	!	!	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	2	obja	_	_
2	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	328	328
4	Gans	Gans	N	NN	Fem|Nom|Sg	2	subj	328	328
5	da	da	A	ADV	_	2	adv	_	_
6	mit	mit	P	APPR	Dat	2	pp	_	_
7	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	8	det	328	328
8	Schürze	Schürze	N	NN	Fem|Dat|Sg	6	pn	_	_
9	?	?	$	$.	_	0	root	_	_

1	In	in	P	APPR	_	0	root	_	_
2	deinen	deine	A	PPOSAT	Masc|_|Sg	3	det	329	329
3	Stall	Stall	N	NN	Masc|_|Sg	1	pn	1002	1002
4	,	,	$	$,	_	0	root	1002	1002
5	zu	zu	P	APPR	Dat	3	pp	1002	1002
6	deinen	deine	A	PPOSAT	Masc|Dat|Sg	7	det	329	329
7	Kracken	Kracken	N	NN	Masc|Dat|Sg	5	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	Hund	Hund	N	NN	Masc|Dat|Sg	7	app	_	_
10	!	!	$	$.	_	0	root	_	_

1	In	in	P	APPR	Acc	0	root	_	_
2	deine	deine	A	PPOSAT	Fem|Acc|Sg	3	det	329	329
3	Küche	Küche	N	NN	Fem|Acc|Sg	1	pn	488	488
4	,	,	$	$,	_	0	root	488	488
5	Weibsbild	Weibsbild	N	NN	Neut|Acc|Sg	3	app	488	488
6	!	!	$	$.	_	0	root	_	_

1	Krieg	Krieg	N	NN	Masc|_|Sg	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Krieg	Krieg	N	NN	Masc|_|Sg	1	app	_	_
4	-	-	$	$(	_	0	root	_	_
5	Krieg	Krieg	N	NN	Masc|_|Sg	1	app	_	_
6	!	!	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	Dat	6	pp	_	_
2	dem	die	A	ART	Def|Masc|Dat|Sg	3	det	112	112
3	Amtmann	Amtmann	N	NN	Masc|Dat|Sg	1	pn	112	112
4	von	von	P	APPR	_	3	pp	112	112
5	Amelungsborn	Amelungsborn	N	NE	_|_|_	4	pn	13	13
6	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	297	297
8	Krieg	Krieg	N	NN	Masc|Nom|Sg	6	subj	297	297
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	0	root	_	_
11	auf	auf	P	APPR	Dat	10	cj	_	_
12	keinem	keine	A	PIAT	_|Dat|Sg	13	det	_	_
13	andern	andern	A	ADJA	_|Dat|Sg	11	pn	_	_
14	.	.	$	$.	_	0	root	_	_

1	Aus	aus	P	APPR	Dat	0	root	_	_
2	dem	die	A	ART	Def|Masc|Dat|Sg	3	det	_	_
3	Wege	Weg	N	NN	Masc|Dat|Sg	1	pn	_	_
4	-	-	$	$(	_	0	root	_	_
5	aus	aus	P	APPR	Dat	3	pp	_	_
6	dem	die	A	ART	Def|Masc|Dat|Sg	7	det	192	192
7	Wege	Weg	N	NN	Masc|Dat|Sg	5	pn	192	192
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	2	2
2	schwankte	schwanken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	wie	wie	K	KOKOM	_	2	kom	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	_	_
5	Betrunkener	Betrunkene	N	NN	Masc|Nom|Sg	3	cj	_	_
6	über	über	P	APPR	Acc	5	pp	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	9	det	330	330
8	alten	alt	A	ADJA	Pos|Masc|Acc|Sg|_|	9	attr	330	330
9	Klosterhof	Klosterhof	N	NN	Masc|Acc|Sg	6	pn	330	330
10	,	,	$	$,	_	0	root	330	330
11	der	die	P	PRELS	Masc|Nom|Sg	19	subj	330	330
12	in	in	P	APPR	_	19	pp	_	_
13	Frieden	Frieda	N	NN	_|_|_	12	pn	344	344
14	und	und	K	KON	_	13	kon	_	_
15	Krieg	Krieg	N	NN	Masc|_|Sg	14	cj	398	398
16	schon	schon	A	ADV	_	19	adv	_	_
17	soviel	soviel	P	PIS	_|Dat|_	19	objd	_	_
18	gesehen	sehen	V	VVPP	_	19	aux	_	_
19	hatte	haben	V	VAFIN	3|Sg|Past|Ind	9	rel	_	_
20	,	,	$	$,	_	0	root	_	_
21	seinem	seine	A	PPOSAT	Neut|Dat|Sg	22	det	330	330
22	Wohnhause	Wohnhaus	N	NN	Neut|Dat|Sg	2	objd	_	_
23	zu	zu	P	PTKVZ	_	2	avz	_	_
24	;	;	$	$.	_	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	wie	wie	P	PWAV	_	25	cj	_	_
27	er	er	P	PPER	3|Sg|Masc|Nom	0	root	330	330
28	sich	sie	P	PRF	3|_|_	0	root	_	_
29	,	,	$	$,	_	0	root	_	_
30	die	die	A	ART	Def|Fem|_|Sg	31	det	_	_
31	Steintreppe	Steintreppe	N	NN	Fem|_|Sg	0	root	_	_
32	zur	zu	P	APPRART	Dat	31	pp	_	_
33	Haustür	Haustür	N	NN	Fem|Dat|Sg	32	pn	_	_
34	hinauf	hinauf	P	PTKVZ	_	0	root	_	_
35	,	,	$	$,	_	0	root	_	_
36	am	an	P	APPRART	Dat	38	pp	_	_
37	Geländer	Geländer	N	NN	Neut|Dat|Sg	36	pn	_	_
38	hielt	halten	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
39	,	,	$	$,	_	0	root	_	_
40	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
41	er	er	P	PPER	3|Sg|Masc|Nom	40	subj	330	330
42	wirklich	wirklich	A	ADJD	Pos|	40	pred	_	_
43	der	die	A	ART	Def|Fem|Dat|Sg	45	det	_	_
44	festen	fest	A	ADJA	Pos|Fem|Dat|Sg|Wk|	45	attr	_	_
45	Überzeugung	Überzeugung	N	NN	Fem|Dat|Sg	40	objd	_	_
46	,	,	$	$,	_	0	root	_	_
47	daß	daß	K	KOUS	_	56	konj	_	_
48	die	die	A	ART	Def|Fem|Nom|Sg	49	det	944	944
49	Last	Last	N	NN	Fem|Nom|Sg	56	subj	944	944
50	der	die	A	ART	Def|Fem|Gen|Sg	51	det	191	191
51	Zeit	Zeit	N	NN	Fem|Gen|Sg	49	gmod	191	191
52	ganz	ganz	A	ADV	_	53	adv	_	_
53	allein	allein	A	ADV	_	56	adv	_	_
54	auf	auf	P	APPR	Dat	56	pp	_	_
55	ihm	er	P	PPER	3|Sg|_|Dat	54	pn	330	330
56	liege	liegen	V	VVFIN	3|Sg|Pres|Subj	40	objc	_	_
57	-	-	$	$(	_	0	root	_	_
58	auf	auf	P	APPR	Dat	56	pp	_	_
59	ihm	er	P	PPER	3|Sg|_|Dat	58	pn	2	2
60	,	,	$	$,	_	0	root	_	_
61	dem	die	A	ART	Def|Masc|Dat|Sg	62	det	_	_
62	Klosteramtmann	Klosteramtmann	N	NN	Masc|Dat|Sg	59	app	_	_
63	von	von	P	APPR	_	62	pp	_	_
64	Amelungsborn	Amelungsborn	N	NE	_|_|_	63	pn	13	13
65	,	,	$	$,	_	0	root	_	_
66	daß	daß	K	KOUS	_	80	konj	_	_
67	alles	alle	P	PIS	Neut|Nom|Sg	80	subj	_	_
68	,	,	$	$,	_	0	root	_	_
69	was	was	P	PRELS	Neut|_|Sg	75	obja	13	13
70	der	die	A	ART	Def|Masc|Nom|Sg	71	det	331	331
71	Satan	Satan	N	NN	Masc|Nom|Sg	75	subj	331	331
72	in	in	P	APPR	Dat	71	pp	331	331
73	seinem	seine	A	PPOSAT	Masc|Dat|Sg	74	det	331	331
74	Sack	Sack	N	NN	Masc|Dat|Sg	72	pn	_	_
75	habe	haben	V	VAFIN	3|Sg|Pres|Subj	67	rel	_	_
76	,	,	$	$,	_	0	root	_	_
77	über	über	P	APPR	Acc	79	pp	_	_
78	ihn	er	P	PPER	3|Sg|Masc|Acc	77	pn	331	331
79	ausgeschüttet	ausschütten	V	VVPP	_	80	aux	_	_
80	werde	werden	V	VAFIN	3|Sg|Pres|Subj	62	objc	_	_
81	,	,	$	$,	_	0	root	_	_
82	über	über	P	APPR	Acc	79	pp	_	_
83	ihn	er	P	PPER	3|Sg|Masc|Acc	82	pn	2	2
84	,	,	$	$,	_	0	root	_	_
85	den	die	A	ART	Def|Masc|Acc|Sg	86	det	_	_
86	Klosteramtmann	Klosteramtmann	N	NN	Masc|Acc|Sg	83	app	_	_
87	von	von	P	APPR	_	86	pp	_	_
88	Amelungsborn	Amelungsborn	N	NE	_|_|_	87	pn	13	13
89	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
