1	Luise	Luise	N	NE	Fem|Nom|Sg	2	subj	542	542
8	,	,	$	$,	_	0	root	_	_
9	konfusen	konfus	A	ADJA	Pos|_|_|_|_|	7	kon	_	_
10	Welt	Welt	N	NN	Fem|Acc|Sg	3	pn	_	_
11	!	!	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	218	218
2	Tür	Tür	N	NN	Fem|Nom|Sg	3	subj	218	218
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	7	obja	_	_
5	hinter	hinter	P	APPR	Dat	7	pp	_	_
6	ihr	ihr	P	PPER	3|Sg|Fem|Dat	5	pn	1	1
7	geschlossen	geschlossen	V	VVPP	_	3	aux	_	_
8	;	;	$	$.	_	0	root	_	_
9	der	die	A	ART	Def|_|_|_	10	det	_	_
10	alte	alt	A	ADJA	Masc|Nom|Sg	15	subj	_	_
11	und	und	K	KON	_	10	kon	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	14	det	727	727
13	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	14	attr	727	727
14	Mann	Mann	N	NN	Masc|Nom|Sg	11	cj	727	727
15	standen	stehen	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
16	allein	allein	A	ADV	_	15	adv	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	15	kon	_	_
19	der	die	A	ART	Def|Masc|Nom|Sg	20	det	299	299
20	Meister	Meister	N	NN	Masc|Nom|Sg	22	subj	299	299
21	Marten	Marten	N	NE	Masc|Nom|Sg	20	app	299	299
22	hob	heben	V	VVFIN	3|Sg|Past|Ind	18	cj	_	_
23	seine	seine	A	PPOSAT	Fem|_|Sg	24	det	299	299
24	Laterne	Laterne	N	NN	Fem|_|Sg	22	obja	_	_
25	auf	auf	P	PTKVZ	_	22	avz	_	_
26	und	und	K	KON	_	22	kon	_	_
27	ließ	lassen	V	VVFIN	_|Sg|Past|Ind	26	cj	_	_
28	den	die	A	ART	Def|Masc|Acc|Sg	29	det	1400	1400
29	Schein	Schein	N	NN	Masc|Acc|Sg	27	obja	1400	1400
30	nicht	nicht	P	PTKNEG	_	33	adv	_	_
31	nur	nur	A	ADV	_	33	adv	_	_
32	dem	die	A	ART	Def|Masc|Dat|Sg	33	det	_	_
33	Studenten	Student	N	NN	Masc|Dat|Sg	41	objd	_	_
34	,	,	$	$,	_	0	root	_	_
35	sondern	sondern	K	KON	_	33	kon	_	_
36	auch	auch	A	ADV	_	35	cj	_	_
37	sich	sie	P	PRF	3|_|Dat	35	cj	_	_
38	selber	selber	A	ADV	_	39	adv	_	_
39	ins	in	P	APPRART	Acc	41	objp	_	_
40	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	39	pn	364	364
41	fallen	fallen	V	VVINF	_	27	obji	_	_
42	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	3	subj	299	299
2	selber	selber	A	ADV	_	1	adv	_	_
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	bis	bis	P	APPR	Acc	3	pp	_	_
5	jetzt	jetzt	A	ADV	_	4	adv	_	_
6	in	in	P	APPR	Dat	3	pp	_	_
7	diesen	diese	A	PDAT	Fem|Dat|Pl	8	det	1401	1401
8	Wanzaer	Wanzaer	N	NN	Fem|Dat|Pl	6	pn	1401	1401
9	Geschichten	Geschichte	N	NN	Fem|Dat|Pl	8	app	1401	1401
10	noch	noch	A	ADV	_	3	adv	_	_
11	nie	nie	A	ADV	_	3	adv	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	klug	klug	A	ADJD	Pos|	3	pred	_	_
14	und	und	K	KON	_	0	root	_	_
15	Herr	Herr	N	NN	Masc|_|Sg	14	cj	61	61
16	Bernhard	Bernhard	N	NE	Masc|_|Sg	15	app	61	61
17	Grünhage	Grünhage	N	NE	Masc|_|Sg	16	app	61	61
18	noch	noch	A	ADV	_	19	adv	_	_
19	nie	nie	A	ADV	_	20	adv	_	_
20	so	so	A	ADV	_	17	adv	_	_
21	ratlos	ratlos	A	ADJD	Pos|	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	um	um	K	KOUI	_	26	konj	_	_
24	nicht	nicht	P	PTKNEG	_	26	adv	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	sagen	sagen	V	VVINF	_	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	dumm	dumm	A	ADJD	Pos|	0	root	_	_
29	ausgesehen	aussehen	V	VVPP	_	0	root	_	_
30	.	.	$	$.	_	0	root	_	_

1	Für	für	P	APPR	Acc	4	pp	_	_
2	den	die	A	ART	Def|_|_|_	3	part	_	_
3	letztern	letztere	P	PIS	_|Acc|_	1	pn	_	_
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	eine	eine	A	ART	Indef|Fem|Nom|Sg	8	det	_	_
7	wahre	wahr	A	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	_	_
8	Erlösung	Erlösung	N	NN	Fem|Nom|Sg	4	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	als	als	K	KOUS	_	21	konj	_	_
11	ihm	er	P	PPER	3|Sg|_|Dat	21	objd	299	299
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	428	428
13	Alte	Alt	N	NN	Masc|Nom|Sg	21	subj	428	428
14	jetzt	jetzt	A	ADV	_	21	adv	_	_
15	vertraulich	vertraulich	A	ADJD	Pos|	21	adv	_	_
16	den	die	A	ART	Def|Masc|_|_	17	det	_	_
17	Ellbogen	Ellbogen	N	NN	Masc|_|_	21	obja	_	_
18	in	in	P	APPR	Acc	21	objp	_	_
19	die	die	A	ART	Def|Fem|Acc|Sg	20	det	322	322
20	Seite	Seite	N	NN	Fem|Acc|Sg	18	pn	322	322
21	stieß	stoßen	V	VVFIN	3|Sg|Past|Ind	4	neb	_	_
22	und	und	K	KON	_	21	kon	_	_
23	vergnüglich-schlau	vergnüglich-schlau	A	ADJD	Pos|	24	adv	_	_
24	zuflüsterte	zuflüstern	V	VVFIN	_|Sg|Past|_	22	cj	_	_
25	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	dies	dies	P	PDS	Neut|_|Sg	0	root	_	_
5	Frauenzimmervolk	Frauenzimmervolk	N	NN	Neut|_|Sg	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	nun	nun	A	ADV	_	2	adv	_	_
5	mal	mal	A	ADV	_	2	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	von	von	P	APPR	Dat	10	pp	_	_
9	uns	wir	P	PPER	1|Pl|_|Dat	8	pn	1406	1406
10	ändert	ändern	V	VVFIN	3|Sg|Pres|Ind	7	cj	_	_
11	es	es	P	PPER	3|Sg|Neut|_	10	obja	_	_
12	keiner	keine	P	PIS	Masc|Nom|Sg	10	subj	_	_
13	!	!	$	$.	_	0	root	_	_

1	Na	Na	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	1402	1402
4	glauben	glauben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|_	4	expl	_	_
6	doch	doch	A	ADV	_	4	adv	_	_
7	wohl	wohl	A	ADV	_	4	adv	_	_
8	auch	auch	A	ADV	_	4	adv	_	_
9	nicht	nicht	P	PTKNEG	_	4	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	daß	daß	K	KOUS	_	18	konj	_	_
12	es	es	P	PPER	3|Sg|Neut|_	17	expl	_	_
13	heute	heute	A	ADV	_	17	adv	_	_
14	abend	abend	A	ADV	_	17	adv	_	_
15	das	die	A	ART	Def|Neut|Nom|Sg	16	det	1390	1390
16	erstemal	erstemal	N	NN	Neut|Nom|Sg	18	subj	1390	1390
17	gewesen	sein	V	VAPP	_	18	aux	_	_
18	wäre	sein	V	VAFIN	3|Sg|Past|Subj	4	objc	_	_
19	,	,	$	$,	_	0	root	_	_
20	daß	daß	K	KOUS	_	42	konj	_	_
21	sie	sie	P	PPER	3|Pl|_|Nom	42	subj	1402	1402
22	in	in	P	APPR	_	41	pp	_	_
23	Anbetreff	Anbetreff	N	NN	Neut|_|Sg	22	pn	1403	1403
24	des	die	A	ART	Def|Masc|Gen|Sg	26	det	1432	1432
25	seligen	selig	A	ADJA	Pos|Masc|Gen|Sg|_|	26	attr	1432	1432
26	Herrn	Herrn	N	NN	Masc|Gen|Sg	23	gmod	1432	1432
27	Onkels	Onkel	N	NN	Masc|Gen|Sg	26	app	1403	1403
28	das	die	P	PDS	Neut|_|Sg	41	obja	_	_
29	,	,	$	$,	_	0	root	_	_
30	was	was	P	PRELS	Neut|_|Sg	34	obja	1403	1403
31	sie	sie	P	PPER	3|Pl|_|Nom	35	subj	1402	1402
32	in	in	P	APPR	_	34	pp	_	_
33	Eintracht	Eintracht	N	NN	Fem|_|Sg	32	pn	_	_
34	angefangen	anfangen	V	VVPP	_	35	aux	_	_
35	hatten	haben	V	VAFIN	3|Pl|Past|Ind	28	rel	_	_
36	,	,	$	$,	_	0	root	_	_
37	nicht	nicht	P	PTKNEG	_	41	adv	_	_
38	ebenso	ebenso	A	ADV	_	41	adv	_	_
39	zu	zu	P	APPR	Dat	41	pp	_	_
40	Ende	Ende	N	NN	Neut|Dat|Sg	39	pn	452	452
41	abgewickelt	abwickeln	V	VVPP	_	42	aux	_	_
42	hätten	haben	V	VAFIN	3|Pl|Past|Subj	17	objc	_	_
43	?	?	$	$.	_	0	root	_	_

1	Na	Na	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	na	na	I	ITJ	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	nun	nun	A	ADV	_	6	adv	_	_
6	kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	Sie	sie	P	PPER	3|Pl|_|Nom	6	subj	1402	1402
8	nur	nur	A	ADV	_	6	adv	_	_
9	her	her	P	PTKVZ	_	6	avz	_	_
10	und	und	K	KON	_	6	kon	_	_
11	erweisen	erweisen	V	VVFIN	_|Pl|Pres|_	10	cj	_	_
12	Sie	sie	P	PPER	3|_|_|_	11	obja	1402	1402
13	mir	ich	P	PPER	1|Sg|_|Dat	11	objd	1404	1404
14	die	die	A	ART	Def|Fem|_|Sg	15	det	1434	1434
15	Ehre	Ehre	N	NN	Fem|_|Sg	0	root	1434	1434
16	,	,	$	$,	_	0	root	1434	1434
17	Herr	Herr	N	NN	Masc|_|Pl	15	app	1434	1434
18	Studiosius	Studiosius	N	NE	Masc|_|Pl	17	app	1434	1434
19	Grünhage	Grünhag	N	NN	Masc|_|Pl	17	app	_	_
20	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	Acc	12	objp	_	_
2	große	groß	A	ADJA	Pos|_|Acc|_|_|	3	attr	_	_
3	Traktamente	Traktamente	N	NN	_|Acc|_	1	pn	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	333	333
6	Nachtwächter	Nachtwächter	N	NN	Masc|Nom|Sg	4	subj	333	333
7	von	von	P	APPR	_	6	pp	333	333
8	Wanza	Wanza	N	NE	_|_|_	7	pn	43	43
9	freilich	freilich	A	ADV	_	12	adv	_	_
10	wohl	wohl	A	ADV	_	12	adv	_	_
11	nicht	nicht	P	PTKNEG	_	12	adv	_	_
12	eingerichtet	einrichten	V	VVPP	_	4	aux	_	_
13	;	;	$	$.	_	0	root	_	_
14	aber	aber	K	KON	_	0	root	_	_
15	traktieren	traktieren	V	VVINF	_	16	aux	_	_
16	will	wollen	V	VMFIN	1|Sg|Pres|Ind	14	cj	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	1404	1404
18	Sie	sie	P	PPER	3|_|_|_	15	obja	43	43
19	doch	doch	A	ADV	_	15	adv	_	_
20	und	und	K	KON	_	16	kon	_	_
21	nachher	nachher	V	VVFIN	_	20	cj	_	_
22	Sie	sie	P	PPER	3|_|_|_	21	obja	43	43
23	fragen	fragen	V	VVINF	_	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	ob	ob	K	KOUS	_	30	konj	_	_
26	sich	sie	P	PRF	3|_|_	30	obja	_	_
27	die	die	A	ART	Def|Fem|Nom|Sg	28	det	1405	1405
28	Stunde	Stunde	N	NN	Fem|Nom|Sg	30	subj	1405	1405
29	nicht	nicht	P	PTKNEG	_	30	adv	1405	1405
30	lohnte	lohnen	V	VVFIN	3|Sg|Past|_	0	root	1405	1405
31	,	,	$	$,	_	0	root	1405	1405
32	die	die	P	PRELS	Fem|_|Sg	35	obja	1405	1405
33	wir	wir	P	PPER	1|Pl|_|Nom	36	subj	1406	1406
34	noch	noch	A	ADV	_	35	adv	_	_
35	zusammensetzen	zusammensetzen	V	VVINF	_	36	aux	_	_
36	wollen	wollen	V	VMFIN	1|Pl|Pres|_	28	rel	_	_
37	,	,	$	$,	_	0	root	_	_
38	ohne	ohne	K	KOUI	_	45	konj	_	_
39	die	die	A	ART	Def|Fem|_|Sg	40	det	_	_
40	Bettdecke	Bettdecke	N	NN	Fem|_|Sg	45	obja	_	_
41	über	über	P	APPR	Acc	40	pp	_	_
42	den	die	A	ART	Def|Masc|Acc|Sg	43	det	201	201
43	Kopf	Kopf	N	NN	Masc|Acc|Sg	41	pn	201	201
44	zu	zu	P	PTKZU	_	45	part	_	_
45	ziehen	ziehen	V	VVINF	_	36	neb	_	_
46	.	.	$	$.	_	0	root	_	_
47	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	3	3
2	Student	Student	N	NN	Masc|Nom|Sg	3	subj	3	3
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	noch	noch	A	ADV	_	3	adv	_	_
5	nie	nie	A	ADV	_	3	adv	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	_	_
7	Einladung	Einladung	N	NN	Fem|Dat|Sg	3	objd	_	_
8	eines	eine	A	ART	Indef|Masc|Gen|Sg	9	det	_	_
9	Nachtwächters	Nachtwächter	N	NN	Masc|Gen|Sg	7	gmod	_	_
10	,	,	$	$,	_	0	root	_	_
11	mal	mal	A	ADV	_	15	adv	_	_
12	mit	mit	P	APPR	Dat	15	pp	_	_
13	ihm	er	P	PPER	3|Sg|_|Dat	12	pn	3	3
14	zu	zu	P	PTKZU	_	15	part	_	_
15	kommen	kommen	V	VVINF	_	7	obji	_	_
16	,	,	$	$,	_	0	root	_	_
17	so	so	A	ADV	_	18	adv	_	_
18	eifrig	eifrig	A	ADJD	Pos|	20	adv	_	_
19	Folge	Folge	N	NN	Fem|_|Sg	20	obja	_	_
20	geleistet	leisten	V	VVPP	_	15	neb	_	_
21	wie	wie	K	KOKOM	_	3	kom	_	_
22	jetzt	jetzt	A	ADV	_	23	adv	_	_
23	der	die	P	PDS	_|_|Sg	21	cj	_	_
24	des	die	A	ART	Def|Masc|Gen|Sg	26	det	_	_
25	nächtlichen	nächtlich	A	ADJA	Pos|Masc|Gen|Sg|_|	26	attr	_	_
26	Wächters	Wächter	N	NN	Masc|Gen|Sg	23	gmod	_	_
27	von	von	P	APPR	_	26	pp	_	_
28	Wanza	Wanza	N	NE	_|_|_	27	pn	43	43
29	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	da	da	A	ADV	_	4	adv	_	_
4	sitzt	sitzen	V	VVFIN	3|Sg|Pres|Ind	2	cj	_	_
5	nun	nun	A	ADV	_	4	adv	_	_
6	mein	meine	A	PPOSAT	_|Nom|Sg	7	det	1404	1404
7	Alter	Alter	N	NN	_|Nom|Sg	4	subj	1407	1407
8	an	an	P	APPR	Dat	4	pp	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	532	532
10	Aller	Aller	N	NN	Fem|Dat|Sg	8	pn	532	532
11	und	und	K	KON	_	4	kon	_	_
12	weiß	wissen	V	VVFIN	_|Sg|Pres|Ind	11	cj	_	_
13	von	von	P	APPR	_	12	pp	_	_
14	gar	gar	A	ADV	_	15	adv	_	_
15	nichts	nichts	P	PIS	_|_|_	13	pn	_	_
16	!	!	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_
18	murmelte	murmeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	1407	1407
20	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	2	det	_	_
2	Turm	Turm	N	NN	Masc|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	_	_
5	Teichtorturm	Teichtorturm	N	NN	Masc|Nom|Sg	3	pred	_	_
6	eigentlich	eigentlich	A	ADV	_	7	adv	_	_
7	nicht	nicht	P	PTKNEG	_	5	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	sondern	sondern	K	KON	_	5	kon	_	_
10	nur	nur	A	ADV	_	12	adv	_	_
11	eine	eine	A	ART	Indef|Fem|Nom|Sg	12	det	_	_
12	Durchfahrt	Durchfahrt	N	NN	Fem|Nom|Sg	9	cj	_	_
13	unter	unter	P	APPR	Dat	12	pp	_	_
14	einem	eine	A	ART	Indef|Neut|Dat|Sg	15	det	_	_
15	feldschlangenkugelsichern	feldschlangenkugelsichern	N	NN	Neut|Dat|Sg	13	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	schiefergedeckten	schiefergedeckt	A	ADJA	Pos|Neut|Dat|Sg|Wk|	18	attr	_	_
18	Gemäuer	Gemäuer	N	NN	Neut|Dat|Sg	15	app	_	_
19	aus	aus	P	APPR	Dat	18	pp	_	_
20	dem	die	A	ART	Def|Neut|Dat|Sg	22	det	_	_
21	sechzehnten	sechzehnt	A	ADJA	_|Neut|Dat|Sg|Wk|	22	attr	_	_
22	Jahrhundert	Jahrhundert	N	NN	Neut|Dat|Sg	19	pn	_	_
23	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	6	pp	_	_
2	lyrischen	lyrisch	A	ADJA	Pos|Neut|Dat|Pl|_|	3	attr	1408	1408
3	Gedichten	Gedicht	N	NN	Neut|Dat|Pl	1	pn	1408	1408
4	und	und	K	KON	_	3	kon	_	_
5	Balladen	Ballade	N	NN	Fem|Dat|Pl	4	cj	_	_
6	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	das	die	A	ART	Def|Neut|Nom|Sg	8	det	1279	1279
8	Ding	Ding	N	NN	Neut|Nom|Sg	6	subj	1279	1279
9	häufig	häufig	A	ADJD	Pos|	6	adv	_	_
10	vor	vor	P	PTKVZ	_	6	avz	_	_
11	;	;	$	$.	_	0	root	_	_
12	dann	dann	A	ADV	_	13	adv	_	_
13	aber	aber	A	ADV	_	14	adv	_	_
14	schaut	schauen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
15	stets	stets	A	ADV	_	17	adv	_	_
16	des	die	A	ART	Def|_|Gen|Sg	17	det	_	_
17	Wärters	Wärter	N	NN	Neut|Gen|Pl	0	root	_	_
18	rosig	rosig	A	ADJD	Pos|	19	adv	_	_
19	Töchterlein	Töchterlein	N	NN	Neut|Gen|Pl	17	app	_	_
20	hinter	hinter	P	APPR	_	19	pp	_	_
21	ihren	ihre	A	PPOSAT	Neut|_|_	22	det	1408	1408
22	Gelbveigelein	Gelbveigelein	N	NN	Neut|_|_	20	pn	_	_
23	,	,	$	$,	_	0	root	_	_
24	Nelken	Nelke	N	NN	Fem|_|Pl	22	kon	_	_
25	und	und	K	KON	_	24	kon	_	_
26	Rosen	Rosa	N	NN	Fem|_|Pl	25	cj	_	_
27	hervor	hervor	P	PTKVZ	_	0	root	_	_
28	und	und	K	KON	_	0	root	_	_
29	wird	werden	V	VAFIN	3|Sg|Pres|Ind	28	cj	_	_
30	angesungen	ansingen	V	VVPP	_	29	aux	_	_
31	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	hübsch	hübsch	A	ADJD	Pos|	3	adv	_	_
3	können	können	V	VMFIN	1|Pl|Pres|_	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	_	_
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_	13	obja	_	_
7	leider	leider	A	ADV	_	13	adv	_	_
8	in	in	P	APPR	Dat	13	pp	_	_
9	diesem	diese	A	PDAT	Masc|Dat|Sg	11	det	_	_
10	jetzigen	jetzig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	11	attr	_	_
11	Falle	Fall	N	NN	Masc|Dat|Sg	8	pn	_	_
12	nicht	nicht	P	PTKNEG	_	13	adv	_	_
13	liefern	lieferen	V	VVINF	_	3	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Vorgänger	Vorgänger	N	NN	Masc|Nom|Sg	9	subj	_	_
3	des	die	A	ART	Def|_|Gen|Sg	4	det	299	299
4	Meister	Meister	N	NN	_|Gen|Sg	2	gmod	299	299
5	Marten	Marten	N	NE	_|Gen|Sg	4	app	299	299
6	in	in	P	APPR	Dat	4	pp	_	_
7	diesem	diese	A	PDAT	Neut|Dat|Sg	8	det	_	_
8	Torgebäude	Torgebäude	N	NN	Neut|Dat|Sg	6	pn	_	_
9	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	wie	wie	K	KOKOM	_	0	root	_	_
12	schon	schon	A	ADV	_	11	cj	_	_
13	bemerkt	bemerken	V	VVPP	_	0	root	_	_
14	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	der	die	A	ART	Def|Masc|_|_	17	det	1409	1409
17	Stadtbüttel	Stadtbüttel	N	NN	Masc|Nom|Sg	0	root	1409	1409
18	,	,	$	$,	_	0	root	1409	1409
19	der	die	P	PRELS	Masc|Nom|Sg	23	subj	1409	1409
20	darin	darin	P	PROAV	_	23	pp	_	_
21	seine	seine	A	PPOSAT	Fem|_|Sg	22	det	1409	1409
22	Amtswohnung	Amtswohnung	N	NN	Fem|_|Sg	23	obja	_	_
23	hatte	haben	V	VAFIN	3|Sg|Past|Ind	17	rel	_	_
24	und	und	K	KON	_	23	kon	_	_
25	seine	seine	A	PPOSAT	Masc|_|Pl	27	det	1409	1409
26	jeweiligen	jeweilig	A	ADJA	Pos|Masc|_|Pl|Wk|	27	attr	_	_
27	Gäste	Gast	N	NN	Masc|_|Pl	33	obja	_	_
28	hinter	hinter	P	APPR	Dat	32	pp	_	_
29	seinen	seine	A	PPOSAT	Neut|Dat|Pl	30	det	1409	1409
30	Gittern	Gitter	N	NN	Neut|Dat|Pl	28	pn	_	_
31	nicht	nicht	P	PTKNEG	_	32	adv	_	_
32	vorschauen	vorschauen	V	VVINF	_	33	obji	_	_
33	ließ	lassen	V	VVFIN	_|Sg|Past|Ind	24	cj	_	_
34	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	1410	1410
2	Tauben	Taube	N	NN	_|Nom|Pl	10	subj	1410	1410
3	,	,	$	$,	_	0	root	1410	1410
4	die	die	P	PRELS	_|_|Pl	8	obja	1410	1410
5	der	die	A	ART	Def|Masc|Nom|Sg	7	det	_	_
6	jetzige	jetzig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	7	attr	_	_
7	Bewohner	Bewohner	N	NN	Masc|Nom|Sg	8	subj	_	_
8	hielt	halten	V	VVFIN	3|Sg|Past|Ind	2	rel	_	_
9	,	,	$	$,	_	0	root	_	_
10	würden	werden	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
11	wohl	wohl	A	ADV	_	17	adv	_	_
12	schon	schon	A	ADV	_	17	adv	_	_
13	eher	eher	A	ADV	_	17	adv	_	_
14	in	in	P	APPR	Acc	17	objp	_	_
15	ein	eine	A	ART	Indef|Neut|Acc|Sg	16	det	_	_
16	Lied	Lied	N	NN	Neut|Acc|Sg	14	pn	_	_
17	passen	passen	V	VVINF	_	10	aux	_	_
18	,	,	$	$,	_	0	root	_	_
19	aber	aber	K	KON	_	0	root	_	_
20	-	-	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	1410	1410
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	22	s	_	_
4	nur	nur	A	ADV	_	3	adv	_	_
