1	Isothermen	Isotherme	N	NN	Fem|_|Pl	0	root	124	124
19	Gutshof	Gutshof	N	NN	Masc|Dat|Sg	18	cj	_	_
20	zum	zu	P	APPRART	Dat	13	kon	_	_
21	andern	andern	A	ADJA	_|_|Dat|_|_	20	pn	_	_
22	in	in	P	APPR	Acc	28	pp	_	_
23	die	die	A	ART	Def|Fem|Acc|Sg	27	det	_	_
24	weite	weit	A	ADJA	Pos|Fem|Acc|Sg|_|	27	attr	_	_
25	,	,	$	$,	_	0	root	_	_
26	unermeßliche	unermeßlich	A	ADJA	Pos|_|Acc|_|_|	24	kon	_	_
27	Welt	Welt	N	NN	Fem|Acc|Sg	22	pn	_	_
28	hinauskam	hinauskommen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
29	!	!	$	$.	_	0	root	_	_

1	Zu	zu	P	APPR	Dat	7	pp	_	_
2	Hause	Haus	N	NN	Neut|Dat|Sg	1	pn	_	_
3	,	,	$	$,	_	0	root	_	_
4	in	in	P	APPR	_	2	pp	_	_
5	Neuteutoburg	Neuteutoburg	N	NE	_|_|Sg	4	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	129	129
9	nur	nur	A	ADV	_	7	adv	_	_
10	zu	zu	P	PTKA	_	11	adv	_	_
11	gut	gut	A	ADJD	Pos|	7	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	0	root	_	_
14	die	die	A	ART	Def|Fem|_|Sg	15	det	5	5
15	Welt	Welt	N	NN	Fem|_|Sg	0	root	5	5
16	,	,	$	$,	_	0	root	_	_
17	oder	oder	K	KON	_	0	root	_	_
18	in	in	P	APPR	Dat	22	pp	_	_
19	diesem	diese	A	PDAT	Masc|Dat|Sg	20	det	1140	1140
20	Falle	Fall	N	NN	Masc|Dat|Sg	18	pn	1140	1140
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	_	_
22	Erdball	Erdball	N	NN	Masc|Nom|Sg	17	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	durchaus	durchaus	A	ADV	_	27	adv	_	_
25	nicht	nicht	P	PTKNEG	_	27	adv	_	_
26	unabmeßlich	unabmeßlich	A	ADJD	_	27	pred	_	_
27	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	sondern	sondern	K	KON	_	0	root	_	_
30	daß	daß	K	KOUS	_	40	konj	_	_
31	dieser	diese	P	PDS	Fem|Dat|Sg	40	objd	_	_
32	im	in	P	APPRART	Dat	40	pp	_	_
33	Äther	Äther	N	NN	Masc|Dat|Sg	32	pn	_	_
34	schwimmende	schwimmend	A	ADJA	Pos|Masc|Nom|Sg|Wk|<PPRES	35	attr	128	128
35	Kloß	Kloß	N	NN	Masc|Nom|Sg	40	subj	128	128
36	gar	gar	A	ADV	_	37	adv	_	_
37	nicht	nicht	P	PTKNEG	_	40	adv	_	_
38	so	so	A	ADV	_	39	adv	_	_
39	dick	dick	A	ADJD	Pos|	40	pred	_	_
40	ist	sein	V	VAFIN	3|Sg|Pres|Ind	29	cj	_	_
41	,	,	$	$,	_	0	root	_	_
42	wie	wie	P	PWAV	_	45	adv	_	_
43	er	er	P	PPER	3|Sg|Masc|Nom	45	subj	128	128
44	sich	sie	P	PRF	3|_|_	45	obja	_	_
45	einbildet	einbilden	V	VVFIN	3|Sg|Pres|Ind	40	objc	_	_
46	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	17	konj	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	129	129
4	wenigstens	wenigstens	A	ADV	_	16	adv	_	_
5	bis	bis	P	APPR	Acc	16	pp	_	_
6	zu	zu	P	APPR	Dat	5	pp	_	_
7	den	die	A	ART	Def|Masc|Dat|Pl	8	det	_	_
8	Kaffern	Kaffer	N	NN	Masc|Dat|Pl	6	pn	_	_
9	und	und	K	KON	_	8	kon	_	_
10	Buren	Buren	N	NE	Masc|Dat|Pl	9	cj	256	256
11	und	und	K	KON	_	6	kon	_	_
12	zu	zu	P	APPR	Dat	11	cj	_	_
13	einem	eine	A	ART	Indef|Neut|Dat|Sg	15	det	130	130
14	anständigen	anständig	A	ADJA	Pos|Neut|Dat|Sg|Wk|	15	attr	130	130
15	Vermögen	Vermögen	N	NN	Neut|Dat|Sg	12	pn	130	130
16	gekommen	kommen	V	VVPP	_	17	aux	_	_
17	bin	sein	V	VAFIN	1|Sg|Pres|Ind	1	cj	_	_
18	:	\:	$	$.	_	0	root	_	_
19	wem	wer	P	PWS	_|Dat|Sg	21	objd	_	_
20	anders	anders	A	ADV	_	21	adv	_	_
21	verdanke	verdanken	V	VVFIN	1|Sg|Pres|_	0	root	_	_
22	ich	ich	P	PPER	1|Sg|_|Nom	21	subj	129	129
23	das	die	P	PDS	Neut|_|Sg	21	obja	_	_
24	,	,	$	$,	_	0	root	_	_
25	als	als	K	KOKOM	_	23	par	_	_
26	dem	die	A	ART	Def|Masc|Dat|Sg	27	det	_	_
27	Landbriefträger	Landbriefträger	N	NN	Masc|Dat|Sg	25	cj	_	_
28	Friedrich	Friedrich	N	NE	Neut|Dat|Sg	27	app	_	_
29	Störzer	Störzer	N	NN	Neut|Dat|Sg	28	app	_	_
30	und	und	K	KON	_	29	kon	_	_
31	seinem	seine	A	PPOSAT	Neut|Dat|Sg	32	det	130	130
32	Lieblingsbuch	Lieblingsbuch	N	NN	Neut|Dat|Sg	30	cj	_	_
33	Le	Le	N	NE	_|Dat|_	32	app	_	_
34	Vaillants	Vaillants	N	NE	_|Dat|_	33	app	_	_
35	Reisen	Reise	N	NN	_|Dat|_	34	app	_	_
36	in	in	P	APPR	Acc	35	pp	_	_
37	das	die	A	ART	Def|Neut|Acc|Sg	38	det	_	_
38	Innere	Innere	N	NN	Neut|Acc|Sg	36	pn	_	_
39	von	von	P	APPR	Dat	38	pp	_	_
40	Afrika	Afrika	N	NE	Neut|Dat|Sg	39	pn	42	42
41	,	,	$	$,	_	0	root	_	_
42	aus	aus	P	APPR	Dat	45	pp	_	_
43	dem	die	A	ART	Def|_|Dat|Sg	44	det	_	_
44	Französischen	französisch	A	ADJA	_|Dat|Sg	42	pn	_	_
45	übersetzt	übersetzen	V	VVPP	_	21	neb	_	_
46	und	und	K	KON	_	0	root	_	_
47	mit	mit	P	APPR	Dat	46	cj	_	_
48	Anmerkungen	Anmerkung	N	NN	Fem|Dat|Pl	47	pn	_	_
49	von	von	P	APPR	_	48	pp	_	_
50	Johann	Johann	N	NE	_|_|_	49	pn	1945	1945
51	Reinhold	Reinhold	N	NE	_|_|_	50	app	1945	1945
52	Forster	Forster	N	NE	_|_|_	51	app	1945	1945
53	?	?	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	deutlich	deutlich	A	ADJD	Pos|	11	adv	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	129	129
4	in	in	P	APPR	_	11	pp	_	_
5	den	die	A	ART	Def|_|_|_	6	det	174	174
6	Heiligen	Heilige	N	NN	_|_|_	4	pn	174	174
7	Drei	drei	C	CARD	_	8	attr	_	_
8	Königen	König	N	NN	Masc|Dat|Pl	11	objd	_	_
9	die	die	A	ART	Def|Fem|_|Sg	10	det	93	93
10	Stimme	Stimme	N	NN	Fem|_|Sg	11	obja	93	93
11	höre	hören	V	VVFIN	1|Sg|Pres|_	0	root	_	_
12	:	\:	$	$.	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	Die	die	A	ART	Def|Fem|_|Sg	15	det	_	_
15	Geographie	Geographie	N	NN	Fem|_|Sg	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	die	die	A	ART	Def|Fem|_|Sg	18	det	_	_
18	Geographie	Geographie	N	NN	Fem|_|Sg	15	kon	_	_
19	,	,	$	$,	_	0	root	_	_
20	Eduard	Eduard	N	NE	Masc|_|Sg	18	kon	38	38
21	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	so	so	A	ADV	_	4	adv	_	_
3	ein	eine	A	ART	Indef|Masc|Nom|Sg	4	det	_	_
4	Mann	Mann	N	NN	Masc|Nom|Sg	1	cj	_	_
5	wie	wie	K	KOKOM	_	4	kom	_	_
6	dieser	diese	A	PDAT	Masc|Nom|Sg	7	det	101	101
7	Levalljang	Levalljang	N	NN	_|_|_	5	cj	101	101
8	!	!	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	2	subj	_	_
2	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	und	und	K	KON	_	2	kon	_	_
4	wo	wo	P	PWAV	_	5	adv	_	_
5	bliebe	bleiben	V	VVFIN	3|Sg|Past|Subj	3	cj	_	_
6	unsereiner	unsereine	P	PIS	Masc|Nom|Sg	5	subj	_	_
7	ohne	ohne	P	APPR	Acc	5	objp	_	_
8	die	die	A	ART	Def|Fem|Acc|Sg	9	det	131	131
9	Geographie	Geographie	N	NN	Fem|Acc|Sg	7	pn	131	131
10	und	und	K	KON	_	9	kon	_	_
11	solch	solch	A	PIDAT	Neut|Acc|Sg	13	det	_	_
12	ein	eine	A	ART	Indef|Neut|Acc|Sg	13	det	_	_
13	Muster	Muster	N	NN	Neut|Acc|Sg	10	cj	_	_
14	von	von	P	APPR	_	13	pp	_	_
15	Menschen	Mensch	N	NN	Masc|_|_	14	pn	132	132
16	und	und	K	KON	_	15	kon	_	_
17	Reisenden	Reisende	N	NN	_|_|_	16	cj	_	_
18	?	?	$	$.	_	0	root	_	_

1	Nimm	nehmen	V	VVIMP	Sg	0	root	_	_
2	nur	nur	A	ADV	_	1	adv	_	_
3	mal	mal	A	ADV	_	1	adv	_	_
4	an	an	P	PTKVZ	_	1	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	Tag	Tag	N	NN	_|_|Sg	4	par	_	_
8	für	für	P	APPR	Acc	7	pp	_	_
9	Tag	Tag	N	NN	_|Acc|Sg	8	pn	1015	1015
10	,	,	$	$,	_	0	root	_	_
11	jahrein	jahrein	A	ADJD	Pos|	1	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	jahraus	jahraus	V	VVFIN	_|Pl|_|_	0	root	_	_
14	die	die	A	ART	Def|Masc|Nom|Pl	16	det	_	_
15	nämlichen	nämlich	A	ADJA	Pos|Masc|Nom|Pl|Wk|	16	attr	_	_
16	Wege	Weg	N	NN	Masc|Nom|Pl	13	subj	_	_
17	.	.	$	$.	_	0	root	_	_

1	Jedes	jede	A	PIDAT	Neut|_|Sg	2	det	_	_
2	Dorf	Dorf	N	NN	Neut|_|Sg	0	root	_	_
3	wie	wie	K	KOKOM	_	2	kom	_	_
4	deine	deine	A	PPOSAT	Fem|_|Sg	5	det	133	133
5	Tasche	Tasche	N	NN	Fem|_|Sg	3	cj	_	_
6	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	0	root	_	_
2	jedem	jede	A	PIAT	Neut|Dat|Sg	3	det	_	_
3	Hause	Haus	N	NN	Neut|Dat|Sg	1	pn	_	_
4	,	,	$	$,	_	0	root	_	_
5	von	von	P	APPR	Gen	3	pp	_	_
6	der	die	A	ART	Def|Fem|Gen|Sg	8	det	654	654
7	ältesten	alt	A	ADJA	Sup|Fem|Gen|Sg|Wk|	8	attr	654	654
8	Großmutter	Großmutter	N	NN	Fem|Gen|Sg	5	pn	654	654
9	bis	bis	P	APPR	Acc	8	pp	654	654
10	zum	zu	P	APPRART	Dat	9	pp	654	654
11	eben	eben	A	ADV	_	12	adv	654	654
12	ausgekrochenen	ausgekrochen	A	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	654	654
13	,	,	$	$,	_	0	root	654	654
14	jüngsten	jung	A	ADJA	Sup|_|Dat|_|_|	12	kon	654	654
15	Wurm	Wurm	N	NN	Masc|Dat|Sg	10	pn	654	654
16	,	,	$	$,	_	0	root	654	654
17	alles	alle	P	PIS	_|Gen|Sg	8	app	654	654
18	wie	wie	K	KOKOM	_	17	kom	654	654
19	deine	deine	A	PPOSAT	_|_|Pl	21	det	133	133
20	eigenen	eigen	A	ADJA	Pos|_|_|Pl|Wk|	21	attr	_	_
21	Leute	Leute	N	NN	_|_|Pl	18	cj	_	_
22	in	in	P	APPR	Dat	17	pp	_	_
23	deinem	deine	A	PPOSAT	Neut|Dat|Sg	25	det	133	133
24	eigenen	eigen	A	ADJA	Pos|Neut|Dat|Sg|Wk|	25	attr	_	_
25	Hause	Haus	N	NN	Neut|Dat|Sg	22	pn	_	_
26	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	aus	aus	P	APPR	Dat	6	pp	870	870
3	jedem	jede	A	PIAT	Neut|Dat|Sg	4	det	870	870
4	Hause	Haus	N	NN	Neut|Dat|Sg	2	pn	870	870
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	870	870
6	Ruf	Ruf	N	NN	Masc|Nom|Sg	1	cj	870	870
7	:	\:	$	$.	_	0	root	_	_
8	Da	da	A	ADV	_	9	adv	_	_
9	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	Störzer	Störzer	N	NN	Neut|Nom|Sg	9	subj	70	70
11	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	in	in	P	APPR	Dat	1	cj	_	_
3	jedwedem	jedwede	A	PIAT	Neut|Dat|Sg	4	det	_	_
4	Hause	Haus	N	NN	Neut|Dat|Sg	2	pn	_	_
5	:	\:	$	$.	_	0	root	_	_
6	Störzer	Störzer	N	NN	Neut|Nom|Sg	7	subj	70	70
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	die	die	A	ART	Def|Fem|_|Sg	9	det	112	112
9	Zeitung	Zeitung	N	NN	Fem|_|Sg	10	obja	112	112
10	gebracht	bringen	V	VVPP	_	7	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	Störzer	Störzer	N	NN	Neut|Nom|Sg	13	subj	70	70
13	bringt	bringen	V	VVFIN	3|Sg|Pres|Ind	7	kon	_	_
14	'	'	$	$(	_	0	root	_	_
15	n	n	A	ADJA	_|Masc|_|Sg|_	16	attr	_	_
16	Brief	Brief	N	NN	Masc|_|Sg	13	obja	_	_
17	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Könntest	können	V	VMFIN	2|Sg|Past|Subj	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	133	133
4	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
5	auf	auf	P	APPR	_	0	root	_	_
6	Lebenszeit	Lebenszeit	N	NN	Fem|_|Sg	5	pn	_	_
7	und	und	K	KON	_	5	kon	_	_
8	immer	immer	A	ADV	_	9	adv	_	_
9	auf	auf	P	APPR	Dat	7	cj	_	_
10	denselben	dieselbe	A	PDAT	Masc|Dat|Pl	11	det	134	134
11	Wegen	Weg	N	NN	Masc|Dat|Pl	9	pn	134	134
12	aushalten	aushalten	V	VVINF	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	Eduard	Eduard	N	NE	Masc|_|Sg	0	root	38	38
15	,	,	$	$,	_	0	root	_	_
16	ohne	ohne	K	KOUI	_	0	root	_	_
17	deine	deine	A	PPOSAT	Masc|_|Pl	18	det	133	133
18	Gedanken	Gedanke	N	NN	Masc|_|Pl	0	root	_	_
19	und	und	K	KON	_	18	kon	_	_
20	Einbildungskraft	Einbildungskraft	N	NN	Fem|_|Sg	19	cj	_	_
21	und	und	K	KON	_	20	kon	_	_
22	Phantasien	Phantasie	N	NN	Fem|_|Pl	21	cj	_	_
23	und	und	K	KON	_	22	kon	_	_
24	Lektüre	Lektüre	N	NN	Fem|_|Sg	23	cj	_	_
25	,	,	$	$,	_	0	root	_	_
26	Eduard	Eduard	N	NE	Masc|_|Sg	24	app	_	_
27	?	?	$	$.	_	0	root	_	_

1	Müßte	müssen	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
2	dir	du	P	PPER	2|Sg|_|Dat	10	objd	133	133
3	das	die	P	PDS	Neut|Nom|Sg	1	subj	_	_
4	nicht	nicht	P	PTKNEG	_	10	adv	_	_
5	auch	auch	A	ADV	_	10	adv	_	_
6	auf	auf	P	APPR	Acc	10	pp	_	_
7	die	die	A	ART	Def|Fem|Acc|Sg	8	det	_	_
8	Länge	Länge	N	NN	Fem|Acc|Sg	6	pn	_	_
9	langweilig	langweilig	A	ADJD	Pos|	10	pred	_	_
10	werden	werden	V	VAINF	_	1	aux	_	_
11	ohne	ohne	P	APPR	Acc	10	pp	_	_
12	die	die	A	ART	Def|Fem|Acc|Sg	13	det	131	131
13	Geographie	Geographie	N	NN	Fem|Acc|Sg	11	pn	131	131
14	?	?	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nee	Nee	N	NE	Neut|_|Sg	0	root	376	376
3	,	,	$	$,	_	0	root	376	376
4	Störzer	Störzer	N	NN	Neut|_|Sg	2	app	376	376
5	!	!	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	_	_
3	haben	haben	V	VAFIN	1|Pl|Pres|_	1	cj	_	_
4	sie	sie	P	PPER	3|_|_|_	3	obja	131	131
5	auf	auf	P	APPR	Dat	3	pp	_	_
6	dem	die	A	ART	Def|Neut|Dat|Sg	7	det	203	203
7	Gymnasium	Gymnasium	N	NN	Neut|Dat|Sg	5	pn	203	203
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	5	kon	_	_
10	da	da	A	ADV	_	9	cj	_	_
11	haben	haben	V	VAINF	_	0	root	_	_
12	sie	sie	P	PPER	3|_|_|_	0	root	131	131
13	mich	ich	P	PPER	1|Sg|_|Acc	23	obja	135	135
14	gestern	gestern	A	ADV	_	23	adv	_	_
15	erst	erst	A	ADV	_	23	adv	_	_
16	ihretwegen	ihretwegen	A	ADV	_	23	adv	_	_
17	eine	eine	A	ART	Indef|Fem|_|Sg	18	det	_	_
18	Stunde	Stunde	N	NN	Fem|_|Sg	19	grad	_	_
19	länger	lang	A	ADJD	Comp|	23	adv	_	_
20	in	in	P	APPR	Dat	23	objp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	187	187
22	Schule	Schule	N	NN	Fem|Dat|Sg	20	pn	187	187
23	behalten	behalten	V	VVINF	_	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Bithynien	Bithynien	N	NE	Neut|_|Sg	6	obja	137	137
2	,	,	$	$,	_	0	root	137	137
3	Paphlagonien	Paphlagonien	N	NE	Masc|_|Sg	1	kon	137	137
4	und	und	K	KON	_	3	kon	138)	138)
5	Pontus	Pontus	N	NE	Masc|_|Sg	4	cj	139	139
6	wußte	wußte	V	VVFIN	1|Sg|_|_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	135	135
8	:	\:	$	$.	_	0	root	_	_
9	aber	aber	A	ADV	_	10	adv	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	135	135
11	sollte	sollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
12	alle	alle	A	PIDAT	_|_|_	14	det	_	_
13	alten	alt	A	ADJA	Pos|Masc|Dat|Pl|_|	14	attr	_	_
14	Staaten	Staat	N	NN	Masc|Dat|Pl	17	objd	_	_
15	von	von	P	APPR	Dat	17	pp	_	_
16	Kleinasien	Kleinasien	N	NE	Neut|Dat|Sg	15	pn	_	_
17	wissen	wissen	V	VVINF	_	11	aux	_	_
18	.	.	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	tut	tun	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	135	135
5	deinetwegen	deinetwegen	V	VVFIN	_	3	s	_	_
6	ja	ja	A	ADV	_	5	adv	_	_
7	sehr	sehr	A	ADV	_	8	adv	_	_
8	leid	leid	A	ADJD	Pos|	5	adv	_	_
9	,	,	$	$,	_	0	root	_	_
