1	Nettchen	Nettchen	N	NE	_	0	root	31	31
3	neue	neu	A	ADJA	Pos|Fem|Nom|Sg|_|	4	attr	_	_
4	Wendung	Wendung	N	NN	Fem|Nom|Sg	5	subj	_	_
5	war	sein	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
6	eingetreten	eintreten	V	VVPP	_	5	aux	_	_
7	;	;	$	$.	_	0	root	_	_
8	ein	eine	A	ART	Indef|Neut|Nom|Sg	9	det	_	_
9	Fräulein	Fräulein	N	NN	Neut|Nom|Sg	10	subj	_	_
10	beschritt	beschreiten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	_	_
12	Schauplatz	Schauplatz	N	NN	Masc|Acc|Sg	10	obja	_	_
13	der	die	A	ART	Def|Neut|Gen|Pl	14	det	_	_
14	Ereignisse	Ereignis	N	NN	Neut|Gen|Pl	12	gmod	_	_
15	.	.	$	$.	_	0	root	_	_

1	Doch	doch	K	KON	_	0	root	_	_
2	schadete	schaden	V	VVFIN	_|Sg|Past|_	1	cj	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	3	3
4	seine	seine	A	PPOSAT	Fem|Nom|Sg	5	det	3	3
5	Blödigkeit	Blödigkeit	N	NN	Fem|Nom|Sg	2	subj	4	4
6	und	und	K	KON	_	5	kon	_	_
7	übergroße	übergroß	A	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	_	_
8	Ehrerbietung	Ehrerbietung	N	NN	Fem|Nom|Sg	6	cj	_	_
9	nichts	nichts	P	PIS	_	0	root	_	_
10	bei	bei	P	APPR	Dat	9	pp	_	_
11	der	die	A	ART	Def|Fem|Dat|Sg	12	det	_	_
12	Dame	Dame	N	NN	Fem|Dat|Sg	10	pn	_	_
13	;	;	$	$.	_	0	root	_	_
14	im	in	P	APPRART	Dat	0	root	_	_
15	Gegenteil	Gegenteil	N	NN	_|_|Sg	14	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	die	die	A	ART	Def|Fem|_|Sg	18	det	_	_
18	Schüchternheit	Schüchternheit	N	NN	Fem|_|Sg	15	kon	_	_
19	,	,	$	$,	_	0	root	_	_
20	Demut	Demut	N	NN	Fem|_|Sg	18	kon	_	_
21	und	und	K	KON	_	20	kon	_	_
22	Ehrerbietung	Ehrerbietung	N	NN	Fem|_|Sg	21	cj	_	_
23	eines	eine	A	ART	Indef|_|Gen|Sg	0	root	_	_
24	so	so	A	ADV	_	25	adv	_	_
25	vornehmen	vornehmen	V	VVINF	_	0	root	_	_
26	und	und	K	KON	_	0	root	_	_
27	interessanten	interessant	A	ADJA	Pos|Masc|Gen|Sg|_|	29	attr	_	_
28	jungen	jung	A	ADJA	Pos|Masc|Gen|Sg|_|	29	attr	_	_
29	Edelmanns	Edelmann	N	NN	Masc|Gen|Sg	26	cj	_	_
30	erschien	erscheinen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
31	ihr	ihr	P	PPER	3|Sg|Fem|Dat	30	objd	4	4
32	wahrhaft	wahrhaft	A	ADJD	Pos|	30	adv	_	_
33	rührend	rühren	A	ADJD	_|<PPRES	30	adv	_	_
34	,	,	$	$,	_	0	root	_	_
35	ja	ja	A	ADV	_	36	adv	_	_
36	hinreißend	hinreißen	A	ADJD	_|<PPRES	33	kon	_	_
37	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	,	,	$	$,	_	0	root	_	_
5	fuhr	fahren	V	VVFIN	_|Sg|Past|Ind	2	kon	_	_
6	es	es	P	PPER	3|Sg|Neut|_	5	obja	_	_
7	ihr	ihr	P	PPER	3|Sg|Fem|Dat	5	objd	4	4
8	durch	durch	P	APPR	Acc	5	pp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	_	_
10	Sinn	Sinn	N	NN	Masc|Acc|Sg	8	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	je	je	A	ADV	_	13	adv	_	_
13	nobler	nobel	A	ADJD	Comp|	8	kon	_	_
14	,	,	$	$,	_	0	root	_	_
15	desto	desto	A	ADV	_	16	adv	_	_
16	bescheidener	bescheiden	A	ADJD	Comp|	13	kon	_	_
17	und	und	K	KON	_	16	kon	_	_
18	unverdorbener	unverdorben	A	ADJD	Comp|	17	cj	_	_
19	;	;	$	$.	_	0	root	_	_
20	merkt	merken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
21	es	es	P	PPER	3|Sg|Neut|Nom	20	subj	_	_
22	euch	ihr	P	PPER	2|Pl|_|Acc	20	obja	6	6
23	,	,	$	$,	_	0	root	_	_
24	ihr	ihre	A	PPOSAT	_|_|Sg	25	det	_	_
25	Herren	Herr	N	NN	Neut|Acc|Sg	22	app	_	_
26	Wildfänge	Wildfang	N	NN	Masc|Acc|Pl	25	app	_	_
27	von	von	P	APPR	_	26	pp	_	_
28	Goldach	Goldach	N	NE	_|_|_	27	pn	5	5
29	,	,	$	$,	_	0	root	_	_
30	die	die	P	PRELS	_|_|_	0	root	5	5
31	ihr	ihr	P	PPER	2|Pl|_|Nom	39	subj	6	6
32	vor	vor	P	APPR	_	39	pp	_	_
33	jungen	jung	A	ADJA	Pos|Neut|_|_|_|	34	attr	_	_
34	Mädchen	Mädchen	N	NN	Neut|_|_	32	pn	_	_
35	kaum	kaum	A	ADV	_	39	adv	_	_
36	mehr	mehr	A	ADV	_	39	adv	_	_
37	den	die	A	ART	Def|Masc|Acc|Sg	38	det	_	_
38	Hut	Hut	N	NN	Masc|Acc|Sg	39	obja	_	_
39	berührt	berühren	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
40	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	5	5
2	grüßte	grüßen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	_	_
4	Ritter	Ritter	N	NN	Masc|Acc|Sg	2	obja	_	_
5	daher	daher	P	PROAV	_	2	pp	_	_
6	auf	auf	P	APPR	Acc	2	pp	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	_	_
8	holdseligste	holdselig	A	ADJA	Neut|_|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	indem	indem	K	KOUS	_	14	konj	_	_
11	sie	sie	P	PPER	3|Sg|Fem|Nom	14	subj	5	5
12	auch	auch	A	ADV	_	14	adv	_	_
13	lieblich	lieblich	A	ADJD	Pos|	14	adv	_	_
14	errötete	erröten	V	VVFIN	3|Sg|Past|_	2	neb	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	14	kon	_	_
17	sprach	sprechen	V	VVFIN	_|Sg|Past|Ind	16	cj	_	_
18	sogleich	sogleich	A	ADV	_	17	adv	_	_
19	hastig	hastig	A	ADJD	Pos|	17	adv	_	_
20	und	und	K	KON	_	19	kon	_	_
21	schnell	schnell	A	ADJD	Pos|	20	cj	_	_
22	und	und	K	KON	_	0	root	_	_
23	vieles	viele	P	PIS	_|_|Sg	22	cj	_	_
24	mit	mit	P	APPR	Dat	23	pp	_	_
25	ihm	er	P	PPER	3|Sg|_|Dat	24	pn	7	7
26	,	,	$	$,	_	0	root	_	_
27	wie	wie	P	PWAV	_	33	adv	_	_
28	es	es	P	PPER	3|Sg|Neut|Nom	33	subj	_	_
29	die	die	A	ART	Def|Fem|Nom|Sg	30	det	_	_
30	Art	Art	N	NN	Fem|Nom|Sg	33	pred	_	_
31	behaglicher	behaglich	A	ADJA	Pos|Fem|Gen|Pl|St|	32	attr	8	8
32	Kleinstädterinnen	Kleinstädterin	N	NN	Fem|Gen|Pl	30	gmod	8	8
33	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	8	8
34	,	,	$	$,	_	0	root	8	8
35	die	die	P	PRELS	Fem|Nom|Pl	40	subj	8	8
36	sich	sie	P	PRF	3|_|Dat	39	objd	_	_
37	den	die	A	ART	Def|_|_|_	38	det	_	_
38	Fremden	Fremde	N	NN	_|_|_	39	obja	_	_
39	zeigen	zeigen	V	VVINF	_	40	aux	_	_
40	wollen	wollen	V	VMFIN	3|Pl|Pres|_	32	rel	_	_
41	.	.	$	$.	_	0	root	_	_

1	Strapinski	Strapinski	N	NE	_|Nom|Sg	3	subj	9	9
2	hingegen	hingegen	A	ADV	_	1	adv	9	9
3	wandelte	wandeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	in	in	P	APPR	Dat	3	pp	_	_
6	kurzer	kurz	A	ADJA	Pos|Fem|Dat|Sg|St|	7	attr	_	_
7	Zeit	Zeit	N	NN	Fem|Dat|Sg	5	pn	_	_
8	um	um	P	PTKVZ	_	3	avz	_	_
9	;	;	$	$.	_	0	root	_	_
10	während	während	K	KOUS	_	15	konj	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	9	9
12	bisher	bisher	A	ADV	_	14	adv	_	_
13	nichts	nichts	P	PIS	_	14	obja	_	_
14	getan	tun	V	VVPP	_	15	aux	_	_
15	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	um	um	K	KOUI	_	23	konj	_	_
18	im	in	P	APPRART	Dat	23	pp	_	_
19	geringsten	gering	A	ADJA	Sup|_|Dat|_|_|	18	pn	_	_
20	in	in	P	APPR	Acc	23	objp	_	_
21	die	die	A	ART	Def|_|Acc|_	22	det	10	10
22	Rolle	Rolle	N	NN	_|Acc|_	20	pn	10	10
23	einzugehen	eingehen	V	VVIZU	_	15	neb	_	_
24	,	,	$	$,	_	0	root	_	_
25	die	die	P	PRELS	_|_|_	0	root	10	10
26	man	man	P	PIS	_|Nom|Sg	0	root	_	_
27	ihm	er	P	PPER	3|Sg|_|Dat	0	root	9	9
28	aufbürdete	aufbürdete	A	ADJD	_	0	root	_	_
29	,	,	$	$,	_	0	root	_	_
30	begann	beginnen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
31	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	9	9
32	nun	nun	A	ADV	_	30	adv	_	_
33	unwillkürlich	unwillkürlich	A	ADJD	Pos|	30	adv	_	_
34	etwas	etwas	A	ADV	_	35	adv	_	_
35	gesuchter	gesucht	A	ADJD	Comp|	37	adv	_	_
36	zu	zu	P	PTKZU	_	37	part	_	_
37	sprechen	sprechen	V	VVINF	_	30	obji	_	_
38	und	und	K	KON	_	30	kon	_	_
39	mischte	mischen	V	VVFIN	3|Sg|Past|_	38	cj	_	_
40	allerhand	allerhand	N	NE	_|_|_	39	obja	_	_
41	polnische	polnisch	A	ADJA	Pos|_|_|_|_|	42	attr	_	_
42	Brocken	Brocken	N	NN	_|_|_	40	app	_	_
43	in	in	P	APPR	Acc	42	pp	_	_
44	die	die	A	ART	Def|Fem|Acc|Sg	45	det	_	_
45	Rede	Rede	N	NN	Fem|Acc|Sg	43	pn	_	_
46	,	,	$	$,	_	0	root	_	_
47	kurz	kurz	A	ADJD	Pos|	0	root	_	_
48	,	,	$	$,	_	0	root	_	_
49	das	die	A	ART	Def|Neut|Nom|Sg	50	det	11	11
50	Schneiderblütchen	Schneiderblütchen	N	NN	Neut|Nom|Sg	51	subj	11	11
51	fing	fangen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
52	in	in	P	APPR	Dat	51	pp	_	_
53	der	die	A	ART	Def|Fem|Dat|Sg	54	det	_	_
54	Nähe	Nähe	N	NN	Fem|Dat|Sg	52	pn	_	_
55	des	die	A	ART	Def|Neut|Gen|Sg	56	det	_	_
56	Frauenzimmers	Frauenzimmer	N	NN	Neut|Gen|Sg	54	gmod	_	_
57	an	an	P	PTKVZ	_	51	avz	_	_
58	,	,	$	$,	_	0	root	_	_
59	seine	seine	A	PPOSAT	Masc|_|Pl	60	det	11	11
60	Sprünge	Sprung	N	NN	Masc|_|Pl	62	obja	_	_
61	zu	zu	P	PTKZU	_	62	part	_	_
62	machen	machen	V	VVINF	_	51	obji	_	_
63	und	und	K	KON	_	62	kon	_	_
64	seinen	seine	A	PPOSAT	Masc|_|_	65	det	11	11
65	Reiter	Reiter	N	NN	Masc|_|_	66	obja	_	_
66	davonzutragen	davontragen	V	VVIZU	_	63	cj	_	_
67	.	.	$	$.	_	0	root	_	_

1	Am	an	P	APPRART	Dat	3	pp	_	_
2	Tisch	Tisch	N	NN	Masc|Dat|Sg	1	pn	_	_
3	erhielt	erhalten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	7	7
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
6	Ehrenplatz	Ehrenplatz	N	NN	Masc|Acc|Sg	3	obja	_	_
7	neben	neben	P	APPR	Dat	3	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	9	det	_	_
9	Tochter	Tochter	N	NN	Fem|Dat|Sg	7	pn	_	_
10	des	die	A	ART	Def|Neut|Gen|Sg	11	det	_	_
11	Hauses	Haus	N	NN	Neut|Gen|Sg	9	gmod	_	_
12	;	;	$	$.	_	0	root	_	_
13	denn	denn	K	KON	_	0	root	_	_
14	die	die	A	ART	Def|Fem|Nom|Sg	15	det	_	_
15	Mutter	Mutter	N	NN	Fem|Nom|Sg	16	subj	_	_
16	war	sein	V	VAFIN	3|Sg|Past|Ind	13	cj	_	_
17	gestorben	sterben	V	VVPP	_	16	aux	_	_
18	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	zwar	zwar	A	ADV	_	2	adv	_	_
4	bald	bald	A	ADV	_	2	adv	_	_
5	wieder	wieder	A	ADV	_	2	adv	_	_
6	melancholisch	melancholisch	A	ADJD	Pos|	2	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	da	da	K	KOUS	_	10	konj	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	7	7
10	bedachte	bedachen	V	VVFIN	3|Sg|Past|_	13	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	nun	nun	A	ADV	_	13	adv	_	_
13	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	2	kon	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	7	7
15	mit	mit	P	APPR	Dat	22	pp	_	_
16	den	die	A	ART	Def|_|_|_	17	det	_	_
17	andern	andern	A	ADJA	_|_|_	15	pn	_	_
18	wieder	wieder	A	ADV	_	22	adv	_	_
19	in	in	P	APPR	Acc	22	pp	_	_
20	die	die	A	ART	Def|Fem|Acc|Sg	21	det	_	_
21	Stadt	Stadt	N	NN	Fem|Acc|Sg	19	pn	_	_
22	zurückkehren	zurückkehren	V	VVINF	_	13	aux	_	_
23	oder	oder	K	KON	_	13	kon	_	_
24	gewaltsam	gewaltsam	A	ADJD	Pos|	29	adv	_	_
25	in	in	P	APPR	Acc	24	pp	_	_
26	die	die	A	ART	Def|Fem|Acc|Sg	27	det	_	_
27	Nacht	Nacht	N	NN	Fem|Acc|Sg	25	pn	_	_
28	hinaus	hinaus	A	APZR	_	25	part	_	_
29	entrinnen	entrinnen	V	VVFIN	_|Pl|Pres|_	23	cj	_	_
30	,	,	$	$,	_	0	root	_	_
31	und	und	K	KON	_	0	root	_	_
32	da	da	K	KOUS	_	35	konj	_	_
33	er	er	P	PPER	3|Sg|Masc|Nom	35	subj	7	7
34	ferner	ferner	A	ADV	_	35	adv	_	_
35	überlegte	überlegen	V	VVFIN	3|Sg|Past|_	31	cj	_	_
36	,	,	$	$,	_	0	root	_	_
37	wie	wie	P	PWAV	_	38	adv	_	_
38	vergänglich	vergänglich	A	ADJD	Pos|	41	adv	_	_
39	das	die	A	ART	Def|Neut|Nom|Sg	40	det	12	12
40	Glück	Glück	N	NN	Neut|Nom|Sg	41	subj	12	12
41	sei	sein	V	VAFIN	3|Sg|Pres|Subj	35	objc	12	12
42	,	,	$	$,	_	0	root	12	12
43	welches	welche	P	PRELS	Neut|_|Sg	46	obja	12	12
44	er	er	P	PPER	3|Sg|Masc|Nom	46	subj	7	7
45	jetzt	jetzt	A	ADV	_	46	adv	_	_
46	genoß	genoß	V	VVFIN	3|Sg|_|_	40	rel	_	_
47	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	dennoch	dennoch	A	ADV	_	3	adv	_	_
3	empfand	empfinden	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	7	7
5	dies	dies	P	PDS	Neut|_|Sg	3	obja	_	_
6	Glück	Glück	N	NN	Neut|_|Sg	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	sagte	sagen	V	VVFIN	_|Sg|Past|_	7	cj	_	_
9	sich	sie	P	PRF	3|_|_	8	obja	_	_
10	zum	zu	P	APPRART	_|Dat	0	root	_	_
11	voraus	voraus	P	PTKVZ	_	0	root	_	_
12	:	\:	$	$.	_	0	root	_	_
13	Ach	ach	I	ITJ	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	einmal	einmal	A	ADV	_	16	adv	_	_
16	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
17	du	du	P	PPER	2|Sg|_|Nom	16	subj	13	13
18	doch	doch	A	ADV	_	23	adv	_	_
19	in	in	P	APPR	Dat	23	pp	_	_
20	deinem	deine	A	PPOSAT	Neut|Dat|Sg	21	det	13	13
21	Leben	Leben	N	NN	Neut|Dat|Sg	19	pn	_	_
22	etwas	etwas	A	ADV	_	23	adv	_	_
23	vorgestellt	vorstellen	V	VVPP	_	16	aux	_	_
24	und	und	K	KON	_	16	kon	_	_
25	neben	neben	P	APPR	Dat	30	pp	_	_
26	einem	eine	A	ART	Indef|Neut|Dat|Sg	29	det	_	_
27	solchen	solche	A	PIDAT	Neut|Dat|Sg	29	attr	_	_
28	höheren	hoch	A	ADJA	Comp|Neut|Dat|Sg|Wk|	29	attr	_	_
29	Wesen	Wesen	N	NN	Neut|Dat|Sg	25	pn	_	_
30	gesessen	sitzen	V	VVPP	_	31	aux	_	_
31	haben	haben	V	VAFIN	_|Pl|Pres|_	24	cj	_	_
32	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	46	expl	_	_
2	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
3	in	in	P	APPR	Dat	2	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	_	_
5	Tat	Tat	N	NN	Fem|Dat|Sg	3	pn	_	_
6	keine	keine	A	PIAT	Fem|Acc|Sg	7	det	_	_
7	Kleinigkeit	Kleinigkeit	N	NN	Fem|Acc|Sg	2	obja	_	_
8	,	,	$	$,	_	0	root	_	_
9	eine	eine	A	ART	Indef|Fem|_|Sg	10	det	14	14
10	Hand	Hand	N	NN	Fem|_|Sg	15	obja	14	14
11	neben	neben	P	APPR	_	13	pp	14	14
12	sich	sie	P	PRF	3|_|_	11	pn	14	14
13	glänzen	glänzen	V	VVINF	_	15	obji	14	14
14	zu	zu	P	PTKZU	_	15	part	14	14
15	sehen	sehen	V	VVINF	_	7	obji	14	14
16	,	,	$	$,	_	0	root	14	14
17	die	die	P	PRELS	Fem|Nom|Sg	23	subj	14	14
18	von	von	P	APPR	Dat	23	pp	_	_
19	drei	drei	C	CARD	_	22	attr	_	_
20	oder	oder	K	KON	_	19	kon	_	_
21	vier	vier	C	CARD	_	20	cj	_	_
22	Armbändern	Armband	N	NN	Neut|Dat|Pl	18	pn	_	_
23	klirrte	klirren	V	VVFIN	3|Sg|Past|_	10	rel	_	_
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	7	kon	_	_
26	bei	bei	P	APPR	Dat	36	pp	_	_
27	einem	eine	A	ART	Indef|Masc|Dat|Sg	29	det	_	_
28	flüchtigen	flüchtig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	29	attr	_	_
29	Seitenblick	Seitenblick	N	NN	Masc|Dat|Sg	26	pn	_	_
30	jedesmal	jedesmal	A	ADV	_	29	adv	_	_
31	einen	eine	A	ART	Indef|Masc|Acc|Sg	36	det	_	_
32	abenteuerlich	abenteuerlich	A	ADJD	Pos|	35	adv	_	_
33	und	und	K	KON	_	32	kon	_	_
34	reizend	reizend	A	ADJD	_|_	33	cj	_	_
35	frisierten	frisiert	A	ADJA	Pos|Masc|Acc|Sg|_|	36	attr	_	_
36	Kopf	Kopf	N	NN	Masc|Acc|Sg	25	cj	_	_
37	,	,	$	$,	_	0	root	_	_
38	ein	eine	A	ART	Indef|Neut|Acc|Sg	40	det	_	_
39	holdes	hold	A	ADJA	Pos|Neut|Acc|Sg|St|	40	attr	_	_
40	Erröten	Erröten	N	NN	Neut|Acc|Sg	36	app	_	_
41	,	,	$	$,	_	0	root	_	_
42	einen	eine	A	ART	Indef|Masc|Acc|Sg	44	det	_	_
43	vollen	voll	A	ADJA	Pos|Masc|Acc|Sg|_|	44	attr	_	_
44	Augenaufschlag	Augenaufschlag	N	NN	Masc|Acc|Sg	46	obja	_	_
45	zu	zu	P	PTKZU	_	46	part	_	_
46	sehen	sehen	V	VVINF	_	2	subjc	_	_
47	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	7	7
3	mochte	mögen	V	VMFIN	3|Sg|Past|Ind	1	cj	_	_
4	tun	tun	V	VVINF	_	3	aux	_	_
5	oder	oder	K	KON	_	4	kon	_	_
6	lassen	lassen	V	VVINF	_	5	cj	_	_
7	,	,	$	$,	_	0	root	_	_
