1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	28	28
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	17	kon	_	_
20	setzte	setzen	V	VVFIN	_|Sg|Past|_	19	cj	_	_
21	sich	sie	P	PRF	3|_|_	20	obja	_	_
22	auf	auf	P	APPR	Acc	20	objp	_	_
23	den	die	A	ART	Def|Masc|Acc|Sg	24	det	31	31
24	Herd	Herd	N	NN	Masc|Acc|Sg	22	pn	31	31
25	,	,	$	$,	_	0	root	_	_
26	denn	denn	K	KON	_	20	kon	_	_
27	es	es	P	PPER	3|Sg|Neut|Nom	28	subj	_	_
28	war	sein	V	VAFIN	_|Sg|Past|Ind	26	cj	_	_
29	ihm	er	P	PPER	3|Sg|_|Dat	28	objd	0	0
30	ganz	ganz	A	ADV	_	31	adv	_	_
31	elendiglich	elendiglich	A	ADJA	_	32	attr	_	_
32	zumut	zumut	N	NN	_|Nom|_	28	pred	_	_
33	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	sehnte	sehnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	und	und	K	KON	_	2	kon	_	_
5	härmte	härmen	V	VVFIN	_|Sg|Past|_	4	cj	_	_
6	sich	sie	P	PRF	3|_|_	5	obja	_	_
7	ab	ab	P	PTKVZ	_	5	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	den	die	A	ART	Def|_|_|_	10	det	_	_
10	Sali	Sali	N	NN	_|_|_	0	root	_	_
11	nur	nur	A	ADV	_	16	adv	_	_
12	ein	eine	A	ART	Indef|Neut|_|Sg	14	det	_	_
13	einziges	einzig	A	ADJA	Pos|Neut|_|Sg|St|	14	attr	_	_
14	Mal	Mal	N	NN	Neut|_|Sg	16	obja	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	sehen	sehen	V	VVINF	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	0	root	_	_
19	dachte	denken	V	VVFIN	_|Sg|Past|Ind	18	cj	_	_
20	inbrünstig	inbrünstig	A	ADJD	Pos|	19	adv	_	_
21	an	an	P	APPR	Acc	19	objp	_	_
22	ihn	er	P	PPER	3|Sg|Masc|Acc	21	pn	31	31
23	;	;	$	$.	_	0	root	_	_
24	aber	aber	K	KON	_	0	root	_	_
25	die	die	A	ART	Def|Fem|Nom|Pl	26	det	_	_
26	Sorgen	Sorge	N	NN	Fem|Nom|Pl	30	subj	_	_
27	und	und	K	KON	_	26	kon	_	_
28	der	die	A	ART	Def|Masc|Nom|Sg	29	det	_	_
29	Kummer	Kummer	N	NN	Masc|Nom|Sg	27	cj	_	_
30	verbitterten	verbittern	V	VVFIN	_|Pl|Past|_	24	cj	_	_
31	seine	seine	A	PPOSAT	Fem|_|Sg	32	det	31	31
32	Sehnsucht	Sehnsucht	N	NN	Fem|_|Sg	30	obja	_	_
33	und	und	K	KON	_	30	kon	_	_
34	diese	diese	P	PDS	Fem|Nom|Sg	35	subj	_	_
35	machte	machen	V	VVFIN	3|Sg|Past|_	33	cj	_	_
36	die	die	A	ART	Def|Fem|_|Pl	37	det	_	_
37	Sorgen	Sorge	N	NN	Fem|_|Pl	35	obja	_	_
38	wieder	wieder	A	ADV	_	35	adv	_	_
39	viel	viel	A	ADV	_	40	adv	_	_
40	schwerer	schwer	A	ADJD	Comp|	35	pred	_	_
41	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	und	und	K	KON	_	2	kon	_	_
5	stützte	stützen	V	VVFIN	_|Sg|Past|_	4	cj	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	_	_
7	Kopf	Kopf	N	NN	Masc|Acc|Sg	5	obja	_	_
8	in	in	P	APPR	Acc	5	pp	_	_
9	die	die	A	ART	Def|Fem|Acc|Pl	10	det	_	_
10	Hände	Hand	N	NN	Fem|Acc|Pl	8	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	als	als	K	KOUS	_	18	konj	_	_
13	jemand	jemand	P	PIS	_|Nom|Sg	18	subj	_	_
14	durch	durch	P	APPR	Acc	18	pp	_	_
15	die	die	A	ART	Def|Fem|Acc|Sg	17	det	_	_
16	offenstehende	offenstehend	A	ADJA	Pos|Fem|Acc|Sg|_|<PPRES	17	attr	_	_
17	Tür	Tür	N	NN	Fem|Acc|Sg	14	pn	_	_
18	hereinkam	hereinkommen	V	VVFIN	3|Sg|Past|Ind	5	neb	_	_
19	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sali	Sali	N	NE	_	0	root	33	33
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	Vrenchen	Vrenchen	N	NE	_|Nom|Sg	5	subj	0	0
7	,	,	$	$,	_	0	root	_	_
8	als	als	K	KOUS	_	10	konj	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
10	aufsah	aufsehen	V	VVFIN	3|Sg|Past|Ind	5	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	10	kon	_	_
13	fiel	fallen	V	VVFIN	_|Sg|Past|Ind	12	cj	_	_
14	ihm	er	P	PPER	3|Sg|_|Dat	13	objd	0	0
15	um	um	P	APPR	Acc	13	pp	_	_
16	den	die	A	ART	Def|Masc|Acc|Sg	17	det	51	51
17	Hals	Hals	N	NN	Masc|Acc|Sg	15	pn	51	51
18	;	;	$	$.	_	0	root	_	_
19	dann	dann	A	ADV	_	20	adv	_	_
20	sahen	sehen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
21	sich	sie	P	PRF	3|_|_	20	obja	_	_
22	aber	aber	A	ADV	_	20	adv	_	_
23	beide	beide	P	PIS	_|Nom|Pl	20	subj	_	_
24	erschrocken	erschrecken	V	VVPP	_	20	obji	_	_
25	an	an	P	PTKVZ	_	0	root	_	_
26	und	und	K	KON	_	0	root	_	_
27	riefen	rufen	V	VVFIN	_|Pl|Past|_	26	cj	_	_
28	:	\:	$	$.	_	0	root	_	_
29	»	»	$	$(	_	0	root	_	_
30	Wie	Wie	P	PWAV	_	31	adv	_	_
31	siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
32	du	du	P	PPER	2|Sg|_|Nom	31	subj	32	32
33	elend	elend	A	ADJD	Pos|	31	pred	_	_
34	aus	aus	P	PTKVZ	_	31	avz	_	_
35	!	!	$	$.	_	0	root	_	_
36	«	«	$	$(	_	0	root	_	_
37	Denn	denn	K	KON	_	0	root	_	_
38	Sali	Sali	N	NE	_|Nom|Sg	39	subj	_	_
39	sah	sehen	V	VVFIN	3|Sg|Past|Ind	37	cj	_	_
40	nicht	nicht	P	PTKNEG	_	39	adv	_	_
41	minder	minder	A	ADV	_	39	adv	_	_
42	als	als	K	KOKOM	_	39	kom	_	_
43	Vrenchen	Vrenchen	N	NN	_	42	cj	0	0
44	bleich	bleich	A	ADJD	Pos|	39	pred	_	_
45	und	und	K	KON	_	44	kon	_	_
46	abgezehrt	abgezehrt	A	ADJD	Pos|	45	cj	_	_
47	aus	aus	P	PTKVZ	_	39	avz	_	_
48	.	.	$	$.	_	0	root	_	_

1	Alles	alle	P	PIS	_|_|Sg	2	obja	_	_
2	vergessend	vergessen	A	ADJD	_|<PPRES	3	adv	_	_
3	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	ihn	er	P	PPER	3|Sg|Masc|Acc	3	obja	0	0
6	zu	zu	P	APPR	Dat	5	pp	_	_
7	sich	sie	P	PRF	3|_|Dat	6	pn	_	_
8	auf	auf	P	APPR	Acc	3	objp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	31	31
10	Herd	Herd	N	NN	Masc|Acc|Sg	8	pn	31	31
11	und	und	K	KON	_	3	kon	_	_
12	sagte	sagen	V	VVFIN	_|Sg|Past|_	11	cj	_	_
13	:	\:	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	Bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
16	du	du	P	PPER	2|Sg|_|Nom	15	subj	32	32
17	krank	krank	A	ADJD	Pos|	18	pred	_	_
18	gewesen	sein	V	VAPP	_	15	aux	_	_
19	,	,	$	$,	_	0	root	_	_
20	oder	oder	K	KON	_	15	kon	_	_
21	ist	sein	V	VAFIN	3|Sg|Pres|Ind	20	cj	_	_
22	es	es	P	PPER	3|Sg|Neut|Nom	21	subj	_	_
23	dir	du	P	PPER	2|Sg|_|Dat	27	objd	32	32
24	auch	auch	A	ADV	_	27	adv	_	_
25	so	so	A	ADV	_	26	adv	_	_
26	schlimm	schlimm	A	ADJD	Pos|	27	adv	_	_
27	gegangen	gehen	V	VVPP	_	21	aux	_	_
28	?	?	$	$.	_	0	root	_	_
29	«	«	$	$(	_	0	root	_	_
30	Sali	Sali	N	NE	_|Nom|Sg	31	subj	33	33
31	antwortete	antworten	V	VVFIN	3|Sg|Past|_	0	root	_	_
32	:	\:	$	$.	_	0	root	_	_
33	»	»	$	$(	_	0	root	_	_
34	Nein	nein	P	PTKANT	_	0	root	_	_
35	,	,	$	$,	_	0	root	_	_
36	ich	ich	P	PPER	1|Sg|_|Nom	37	subj	0	0
37	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
38	gerade	gerade	A	ADV	_	37	adv	_	_
39	nicht	nicht	P	PTKNEG	_	37	adv	_	_
40	krank	krank	A	ADJD	Pos|	37	pred	_	_
41	,	,	$	$,	_	0	root	_	_
42	außer	außer	P	APPR	Dat	37	pp	_	_
43	vor	vor	P	APPR	_	42	pp	_	_
44	Heimweh	Heimweh	N	NN	Neut|_|Sg	43	pn	_	_
45	nach	nach	P	APPR	Dat	44	pp	_	_
46	dir	du	P	PPER	2|Sg|_|Dat	45	pn	32	32
47	!	!	$	$.	_	0	root	_	_

1	Bei	bei	P	APPR	Dat	3	pp	_	_
2	uns	wir	P	PPER	1|Pl|_|Dat	1	pn	34	34
3	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	jetzt	jetzt	A	ADV	_	3	adv	_	_
6	hoch	hoch	A	ADJD	Pos|	3	adv	_	_
7	und	und	K	KON	_	6	kon	_	_
8	herrlich	herrlich	A	ADJD	Pos|	7	cj	_	_
9	zu	zu	P	PTKVZ	_	3	avz	_	_
10	;	;	$	$.	_	0	root	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	13	13
12	Vater	Vater	N	NN	Masc|Nom|Sg	13	subj	13	13
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	einen	eine	A	ART	Indef|Masc|Acc|Sg	15	det	_	_
15	Einzug	Einzug	N	NN	Masc|Acc|Sg	13	obja	_	_
16	und	und	K	KON	_	15	kon	_	_
17	Unterschleif	Unterschleif	N	NN	Masc|Acc|Sg	16	cj	_	_
18	von	von	P	APPR	Dat	17	pp	_	_
19	auswärtigem	auswärtig	A	ADJA	Pos|Neut|Dat|Sg|St|	20	attr	_	_
20	Gesindel	Gesindel	N	NN	Neut|Dat|Sg	18	pn	_	_
21	und	und	K	KON	_	13	kon	_	_
22	ich	ich	P	PPER	1|Sg|_|Nom	23	subj	0	0
23	glaube	glauben	V	VVFIN	1|Sg|Pres|_	21	cj	_	_
24	,	,	$	$,	_	0	root	_	_
25	soviel	soviel	K	KOUS	_	27	konj	_	_
26	ich	ich	P	PPER	1|Sg|_|Nom	27	subj	0	0
27	merke	merken	V	VVFIN	1|Sg|Pres|_	29	neb	_	_
28	,	,	$	$,	_	0	root	_	_
29	ist	sein	V	VAFIN	3|Sg|Pres|Ind	23	s	_	_
30	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	13	13
31	ein	eine	A	ART	Indef|Masc|Nom|Sg	32	det	_	_
32	Diebshehler	Diebshehler	N	NN	Masc|Nom|Sg	33	pred	_	_
33	geworden	werden	V	VAPP	_	29	aux	_	_
34	.	.	$	$.	_	0	root	_	_

1	Deshalb	Deshalb	P	PROAV	_	2	pp	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	jetzt	jetzt	A	ADV	_	2	adv	_	_
4	einstweilen	einstweilen	A	ADV	_	2	adv	_	_
5	Hülle	Hülle	N	NN	Fem|Nom|Sg	2	subj	_	_
6	und	und	K	KON	_	5	kon	_	_
7	Fülle	Fülle	N	NN	Fem|Nom|Sg	6	cj	_	_
8	in	in	P	APPR	Dat	2	pp	_	_
9	unserer	unsre	A	PPOSAT	Fem|Dat|Sg	10	det	34	34
10	Taverne	Taverne	N	NN	Fem|Dat|Sg	8	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	solang	solang	K	KOUS	_	14	konj	_	_
13	es	es	P	PPER	3|Sg|Neut|Nom	14	subj	_	_
14	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	2	neb	_	_
15	und	und	K	KON	_	14	kon	_	_
16	bis	bis	K	KOUS	_	22	konj	_	_
17	es	es	P	PPER	3|Sg|Neut|Nom	22	subj	_	_
18	ein	eine	A	ART	Indef|Neut|_|Sg	19	det	_	_
19	Ende	Ende	N	NN	Neut|_|Sg	22	obja	_	_
20	mit	mit	P	APPR	Dat	22	pp	_	_
21	Schrecken	Schreck	N	NN	_|Dat|_	20	pn	_	_
22	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	15	cj	_	_
23	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	35	35
2	Mutter	Mutter	N	NN	Fem|Nom|Sg	3	subj	35	35
3	hilft	helfen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	dazu	dazu	P	PROAV	_	3	pp	_	_
5	,	,	$	$,	_	0	root	_	_
6	aus	aus	P	APPR	Dat	15	pp	_	_
7	bitterlicher	bitterlich	A	ADJA	Pos|Fem|Dat|Sg|St|	8	attr	_	_
8	Gier	Gier	N	NN	Fem|Dat|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	nur	nur	A	ADV	_	15	adv	_	_
11	etwas	etwas	A	ADV	_	15	adv	_	_
12	im	in	P	APPRART	Dat	15	pp	_	_
13	Hause	Haus	N	NN	Neut|Dat|Sg	12	pn	36	36
14	zu	zu	P	PTKZU	_	15	part	_	_
15	sehen	sehen	V	VVINF	_	3	obji	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	3	kon	_	_
18	glaubt	glauben	V	VVFIN	_|_|Pres|Ind	17	cj	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	_	_
20	Unfug	Unfug	N	NN	Masc|Acc|Sg	18	obja	_	_
21	noch	noch	A	ADV	_	18	adv	_	_
22	durch	durch	P	APPR	Acc	18	pp	_	_
23	eine	eine	A	ART	Indef|Fem|Acc|Sg	25	det	_	_
24	gewisse	gewiss	A	ADJA	Pos|Fem|Acc|Sg|_|	25	attr	_	_
25	Aufsicht	Aufsicht	N	NN	Fem|Acc|Sg	22	pn	_	_
26	und	und	K	KON	_	25	kon	_	_
27	Ordnung	Ordnung	N	NN	Fem|Acc|Sg	26	cj	_	_
28	annehmlich	annehmlich	N	NE	Fem|Acc|Sg	27	app	_	_
29	und	und	K	KON	_	22	kon	_	_
30	nützlich	nützlich	A	ADJD	Pos|	29	cj	_	_
31	zu	zu	P	PTKZU	_	32	part	_	_
32	machen	machen	V	VVINF	_	18	obji	_	_
33	!	!	$	$.	_	0	root	_	_

1	Mich	ich	P	PPER	1|Sg|_|Acc	2	obja	0	0
2	fragt	fragen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	und	und	K	KON	_	2	kon	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	0	0
7	konnte	können	V	VMFIN	1|Sg|Past|Ind	5	cj	_	_
8	mich	ich	P	PRF	1|Sg|Acc	7	obja	_	_
9	nicht	nicht	P	PTKNEG	_	7	adv	_	_
10	viel	viel	P	PIS	_	0	root	_	_
11	darum	darum	P	PROAV	_	10	pp	_	_
12	kümmern	kümmern	V	VVINF	_	0	root	_	_
13	;	;	$	$.	_	0	root	_	_
14	denn	denn	K	KON	_	0	root	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	0	0
16	kann	können	V	VMFIN	1|Sg|Pres|Ind	14	cj	_	_
17	nur	nur	A	ADV	_	20	adv	_	_
18	an	an	P	APPR	Acc	20	objp	_	_
19	dich	du	P	PRF	2|Sg|Acc	18	pn	_	_
20	denken	denken	V	VVINF	_	16	aux	_	_
21	Tag	Tag	N	NN	_|_|Sg	0	root	37	37
22	und	und	K	KON	_	21	kon	_	_
23	Nacht	Nacht	N	NN	Fem|_|Sg	22	cj	38	38
24	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	6	konj	_	_
2	allerlei	allerlei	A	PIAT	Masc|Nom|Pl	3	det	_	_
3	Landstreicher	Landstreicher	N	NN	Masc|Nom|Pl	6	subj	_	_
4	bei	bei	P	APPR	Dat	6	pp	_	_
5	uns	wir	P	PPER	1|Pl|_|Dat	4	pn	34	34
6	einkehren	einkehren	V	VVFIN	3|Pl|Pres|_	24	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	haben	haben	V	VAFIN	1|Pl|Pres|_	6	par	_	_
10	wir	wir	P	PPER	1|Pl|_|Nom	9	subj	34	34
11	alle	alle	A	PIDAT	Masc|_|Pl	12	det	_	_
12	Tage	Tag	N	NN	Masc|_|Pl	13	zeit	_	_
13	gehört	gehören	V	VVPP	_	9	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	was	was	P	PRELS	Neut|Nom|Sg	18	subj	41	41
16	bei	bei	P	APPR	Dat	18	pp	_	_
17	euch	ihr	P	PPER	2|Pl|_|Dat	16	pn	_	_
18	vorgeht	vorgehen	V	VVFIN	3|Sg|Pres|Ind	24	objc	_	_
19	,	,	$	$,	_	0	root	_	_
20	worüber	worüber	P	PWAV	_	24	pp	_	_
21	mein	meine	A	PPOSAT	Masc|Nom|Sg	22	det	0	0
22	Vater	Vater	N	NN	Masc|Nom|Sg	24	subj	40	40
23	sich	sie	P	PRF	3|_|_	24	obja	_	_
24	freut	freuen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
25	wie	wie	K	KOKOM	_	24	kom	_	_
26	ein	eine	A	ART	Indef|Neut|_|Sg	28	det	_	_
27	kleines	klein	A	ADJA	Pos|Neut|_|Sg|St|	28	attr	_	_
28	Kind	Kind	N	NN	Neut|_|Sg	25	cj	_	_
29	.	.	$	$.	_	0	root	_	_

1	Daß	daß	K	KOUS	_	9	konj	_	_
2	dein	deine	A	PPOSAT	Masc|Nom|Sg	3	det	39	39
3	Vater	Vater	N	NN	Masc|Nom|Sg	9	subj	_	_
4	heute	heute	A	ADV	_	8	adv	_	_
5	nach	nach	P	APPR	Dat	8	pp	_	_
6	dem	die	A	ART	Def|_|Dat|Sg	7	det	_	_
7	Spittel	Spittel	N	NN	_|Dat|Sg	5	pn	_	_
8	gebracht	bringen	V	VVPP	_	9	aux	_	_
9	wurde	werden	V	VAFIN	3|Sg|Past|Ind	14	objc	_	_
10	,	,	$	$,	_	0	root	_	_
11	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
12	wir	wir	P	PPER	1|Pl|_|Nom	11	subj	34	34
13	auch	auch	A	ADV	_	14	adv	_	_
14	vernommen	vernehmen	V	VVPP	_	11	aux	_	_
15	;	;	$	$.	_	0	root	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	0	0
17	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
18	gedacht	denken	V	VVPP	_	17	aux	_	_
19	,	,	$	$,	_	0	root	_	_
20	du	du	P	PPER	2|Sg|_|Nom	21	subj	39	39
21	werdest	werden	V	VAFIN	2|Sg|Pres|Subj	18	s	_	_
22	jetzt	jetzt	A	ADV	_	24	adv	_	_
23	allein	allein	A	ADV	_	24	adv	_	_
24	sein	sein	V	VAINF	_	21	aux	_	_
25	,	,	$	$,	_	0	root	_	_
26	und	und	K	KON	_	21	kon	_	_
27	bin	sein	V	VAFIN	1|Sg|Pres|Ind	26	cj	_	_
28	gekommen	kommen	V	VVPP	_	27	aux	_	_
29	,	,	$	$,	_	0	root	_	_
30	um	um	K	KOUI	_	33	konj	_	_
31	dich	du	P	PRF	2|Sg|Acc	33	obja	_	_
32	zu	zu	P	PTKZU	_	33	part	_	_
33	sehen	sehen	V	VVINF	_	27	neb	_	_
34	!	!	$	$.	_	0	root	_	_
35	«	«	$	$(	_	0	root	_	_
36	Vrenchen	Vrenchen	N	NE	_|Nom|Sg	37	subj	0	0
37	klagte	klagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
38	ihm	er	P	PPER	3|Sg|_|Dat	37	objd	40	40
39	jetzt	jetzt	A	ADV	_	37	adv	_	_
40	auch	auch	A	ADV	_	37	adv	_	_
41	alles	alle	P	PIS	Neut|Gen|Sg	37	adv	_	_
42	,	,	$	$,	_	0	root	_	_
43	was	was	P	PRELS	Neut|Nom|Sg	45	subj	_	_
44	sie	sie	P	PPER	3|_|_|_	45	obja	41	41
45	drückte	drücken	V	VVFIN	3|Sg|Past|_	41	rel	_	_
46	und	und	K	KON	_	45	kon	_	_
47	was	was	P	PWS	Neut|_|Sg	49	obja	_	_
48	sie	sie	P	PPER	3|Sg|Fem|Nom	49	subj	35	35
49	erlitt	erleiden	V	VVFIN	3|Sg|Past|Ind	46	cj	_	_
50	,	,	$	$,	_	0	root	_	_
51	aber	aber	K	KON	_	41	kon	_	_
52	mit	mit	P	APPR	Dat	54	pp	_	_
53	so	so	A	ADV	_	52	adv	_	_
54	leichter	leicht	A	ADJD	Comp|	56	adv	_	_
55	zutraulicher	zutraulich	A	ADJA	Pos|Fem|Gen|Sg|St|	56	attr	_	_
56	Zunge	Zunge	N	NN	Fem|Gen|Sg	51	cj	_	_
57	,	,	$	$,	_	0	root	_	_
58	als	als	K	KOKOM	_	0	root	_	_
59	ob	ob	K	KOUS	_	64	konj	_	_
60	sie	sie	P	PPER	3|Sg|Fem|Nom	64	subj	35	35
61	ein	eine	A	ART	Indef|Neut|_|Sg	63	det	_	_
62	großes	groß	A	ADJA	Pos|Neut|_|Sg|St|	63	attr	_	_
63	Glück	Glück	N	NN	Neut|_|Sg	64	obja	_	_
64	beschriebe	beschreiben	V	VVFIN	3|Sg|Past|Subj	0	root	_	_
65	,	,	$	$,	_	0	root	_	_
66	weil	weil	K	KOUS	_	69	konj	_	_
67	sie	sie	P	PPER	3|Sg|Fem|Nom	69	subj	35	35
68	glücklich	glücklich	A	ADJD	Pos|	69	pred	_	_
69	war	sein	V	VAFIN	3|Sg|Past|Ind	64	neb	_	_
70	,	,	$	$,	_	0	root	_	_
71	Sali	Sali	N	NE	_	75	obja	33	33
72	neben	neben	P	APPR	_	75	pp	_	_
73	sich	sie	P	PRF	3|_|_	72	pn	_	_
74	zu	zu	P	PTKZU	_	75	part	_	_
75	sehen	sehen	V	VVINF	_	69	obji	_	_
76	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	35	35
2	brachte	bringen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	inzwischen	inzwischen	A	ADV	_	2	adv	_	_
4	notdürftig	notdürftig	A	ADJD	Pos|	2	adv	_	_
5	ein	eine	A	ART	Indef|Neut|_|Sg	6	det	_	_
6	Becken	Beck	N	NN	Neut|_|Sg	2	obja	_	_
7	voll	voll	A	ADJD	Pos|	2	adv	_	_
8	warmen	warm	A	ADJA	Pos|_|_|Sg|_|	9	attr	42	42
9	Kaffee	Kaffee	N	NN	_|_|Sg	7	grad	42	42
10	zusammen	zusammen	P	PTKVZ	_	2	avz	_	_
