1	Zwei	zwei	C	CARD	_	2	attr	_	_
16	seine	seine	A	PPOSAT	Fem|Nom|Sg	17	det	1	1
17	Sache	Sache	N	NN	Fem|Nom|Sg	18	subj	10	10
18	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
19	in	in	P	APPR	_	18	pp	_	_
20	Ordnung	Ordnung	N	NN	Fem|_|Sg	19	pn	_	_
21	,	,	$	$,	_	0	root	_	_
22	aber	aber	K	KON	_	18	kon	_	_
23	die	die	A	ART	Def|Fem|Nom|Sg	24	det	22	22
24	Mariann	Mariann	N	NN	Fem|Nom|Sg	25	subj	22	22
25	sollte	sollen	V	VMFIN	3|Sg|Past|_	22	cj	_	_
26	ihn	er	P	PPER	3|Sg|Masc|Acc	28	obja	1	1
27	nicht	nicht	P	PTKNEG	_	28	adv	_	_
28	erwarten	erwarten	V	VVINF	_	25	aux	_	_
29	;	;	$	$.	_	0	root	_	_
30	die	die	A	ART	Def|_|_|_	31	det	_	_
31	Ungewißheit	Ungewißheit	N	NN	Neut|Nom|Sg	35	subj	_	_
32	über	über	P	APPR	_	31	pp	_	_
33	Ferdls	Ferdls	N	NE	_|_|_	32	pn	7	7
34	Schicksal	Schicksal	N	NN	Neut|Nom|Sg	31	app	_	_
35	ließe	lassen	V	VVFIN	3|Sg|Past|Subj	0	root	_	_
36	ihm	er	P	PPER	3|Sg|_|Dat	35	objd	1	1
37	keine	keine	A	PIAT	Fem|_|Sg	38	det	_	_
38	Ruhe	Ruhe	N	NN	Fem|_|Sg	35	obja	_	_
39	,	,	$	$,	_	0	root	_	_
40	und	und	K	KON	_	35	kon	_	_
41	er	er	P	PPER	3|Sg|Masc|Nom	42	subj	1	1
42	möchte	mögen	V	VMFIN	3|Sg|Past|Subj	40	cj	_	_
43	in	in	P	APPR	_	45	pp	_	_
44	München	München	N	NE	Neut|_|Sg	43	pn	_	_
45	bleiben	bleiben	V	VVINF	_	42	aux	_	_
46	,	,	$	$,	_	0	root	_	_
47	bis	bis	K	KOUS	_	53	konj	_	_
48	in	in	P	APPR	_	52	pp	_	_
49	Ferdls	Ferdls	N	NE	_|Gen|_	50	gmod	_	_
50	Sache	Sache	N	NN	Fem|_|Sg	48	pn	_	_
51	etwas	etwas	P	PIS	_|Nom|Sg	53	subj	_	_
52	entschieden	entscheiden	V	VVPP	_	53	aux	_	_
53	wäre	sein	V	VAFIN	3|Sg|Past|Subj	42	neb	_	_
54	.	.	$	$.	_	0	root	_	_

1	Weiter	Weiter	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	keine	keine	A	PIAT	Fem|Nom|Sg	4	det	_	_
4	Nachricht	Nachricht	N	NN	Fem|Nom|Sg	2	subj	_	_
5	mehr	mehr	A	ADV	_	4	adv	_	_
6	gekommen	kommen	V	VVPP	_	2	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Fast	fast	A	ADV	_	2	adv	_	_
2	wußten	wußten	V	VVFIN	_|_|_|_	0	root	_	_
3	die	die	A	ART	Def|_|Nom|_	4	det	_	_
4	Leut	Leut	N	NN	_|Nom|_	2	subj	_	_
5	im	in	P	APPRART	Dat	2	pp	_	_
6	Dorfe	Dorf	N	NN	Neut|Dat|Sg	5	pn	_	_
7	mehr	mehr	A	ADV	_	6	adv	_	_
8	von	von	P	APPR	Dat	2	pp	_	_
9	Jörg	Jörg	N	NE	Masc|Dat|Sg	8	pn	3	3
10	und	und	K	KON	_	9	kon	_	_
11	Ferdl	Ferdl	N	NE	Masc|Dat|Sg	10	cj	9	9
12	als	als	K	KOKOM	_	11	kom	9	9
13	im	in	P	APPRART	Dat	12	cj	9	9
14	Finkenhof	Finkenhof	N	NN	Masc|Dat|Sg	13	pn	4	4
15	die	die	A	ART	Def|_|_|_	16	det	5	5
16	Mariann	Mariann	N	NN	Fem|_|Sg	2	obja	5	5
17	und	und	K	KON	_	2	kon	5	5
18	noch	noch	A	ADV	_	44	adv	5	5
19	eine	eine	A	ART	Indef|Fem|_|Sg	20	det	5	5
20	andere	andere	A	ADJA	Fem|_|Sg	44	subj	5	5
21	,	,	$	$,	_	0	root	5	5
22	die	die	P	PRELS	Fem|Nom|Sg	26	subj	5	5
23	nie	nie	A	ADV	_	26	adv	_	_
24	eine	eine	A	ART	Indef|Fem|_|Sg	25	det	_	_
25	Frage	Frage	N	NN	Fem|_|Sg	26	obja	_	_
26	tat	tun	V	VVFIN	3|Sg|Past|Ind	16	rel	_	_
27	,	,	$	$,	_	0	root	_	_
28	an	an	P	APPR	Dat	20	pp	_	_
29	jedem	jede	A	PIAT	_|Dat|Sg	30	det	_	_
30	Morgen	Morgen	N	NN	_|Dat|Sg	28	pn	_	_
31	aber	aber	A	ADV	_	44	adv	_	_
32	mit	mit	P	APPR	Dat	44	pp	_	_
33	einem	eine	A	ART	Indef|Masc|Dat|Sg	35	det	_	_
34	flehenden	flehend	A	ADJA	Pos|Masc|Dat|Sg|Wk|<PPRES	35	attr	_	_
35	Blick	Blick	N	NN	Masc|Dat|Sg	32	pn	_	_
36	ihrer	ihre	A	PPOSAT	Neut|Gen|Pl	38	det	5	5
37	verstörten	verstört	A	ADJA	Pos|Neut|Gen|Pl|Wk|	38	attr	31	31
38	Augen	Auge	N	NN	Neut|Gen|Pl	35	gmod	31	31
39	an	an	P	APPR	Dat	44	objp	_	_
40	dem	die	A	ART	Def|Neut|Dat|Sg	41	det	29	29
41	Gesicht	Gesicht	N	NN	Neut|Dat|Sg	39	pn	29	29
42	der	die	A	ART	Def|Fem|Gen|Sg	43	det	6	6
43	Bäuerin	Bäuerin	N	NN	Fem|Gen|Sg	41	gmod	6	6
44	hing	hängen	V	VVFIN	3|Sg|Past|Ind	17	cj	_	_
45	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	den	die	A	ART	Def|Fem|Dat|Pl	3	det	_	_
3	Zeitungen	Zeitung	N	NN	Fem|Dat|Pl	1	pn	_	_
4	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
5	die	die	A	ART	Def|_|Nom|Pl	6	det	53	53
6	Leute	Leute	N	NN	_|Nom|Pl	4	subj	53	53
7	die	die	A	ART	Def|Fem|_|Sg	9	det	_	_
8	erste	erst	A	ADJA	_|Fem|_|Sg|_|	9	attr	_	_
9	Nachricht	Nachricht	N	NN	Fem|_|Sg	13	obja	_	_
10	von	von	P	APPR	_	9	pp	_	_
11	Ferdls	Ferdls	N	NE	_|_|_	10	pn	7	7
12	Auferstehung	Auferstehung	N	NN	Fem|_|Sg	9	app	_	_
13	gelesen	lesen	V	VVPP	_	4	aux	_	_
14	und	und	K	KON	_	4	kon	_	_
15	hatten	haben	V	VAFIN	_|Pl|Past|Ind	14	cj	_	_
16	erfahren	erfahren	V	VVPP	_	15	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	daß	daß	K	KOUS	_	0	root	_	_
19	jener	jene	A	PDAT	Masc|Nom|Sg	21	det	8	8
20	böse	bös	A	ADJA	Pos|Masc|Nom|Sg|Wk|	21	attr	8	8
21	Verdacht	Verdacht	N	NN	Masc|Nom|Sg	0	root	8	8
22	,	,	$	$,	_	0	root	_	_
23	in	in	P	APPR	Dat	0	root	_	_
24	dem	die	P	PRELS	_|Dat|Sg	23	pn	8	8
25	er	er	P	PPER	3|Sg|Masc|Nom	0	root	2	2
26	gestanden	gestehen	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	durch	durch	P	APPR	Acc	36	pp	_	_
29	eine	eine	A	ART	Indef|Fem|Acc|Sg	30	det	_	_
30	Aussage	Aussage	N	NN	Fem|Acc|Sg	28	pn	_	_
31	des	die	A	ART	Def|Masc|Gen|Sg	32	det	_	_
32	Grafen	Graf	N	NN	Masc|Gen|Sg	30	gmod	_	_
33	völlig	völlig	A	ADJD	Pos|	34	adv	_	_
34	von	von	P	APPR	Dat	30	pp	_	_
35	ihm	er	P	PPER	3|Sg|_|Dat	34	pn	2	2
36	genommen	nehmen	V	VVPP	_	37	aux	_	_
37	wäre	sein	V	VAFIN	_|Sg|Past|Subj	0	root	_	_
38	,	,	$	$,	_	0	root	_	_
39	so	so	A	ADV	_	40	konj	_	_
40	daß	daß	K	KOUS	_	47	konj	_	_
41	Ferdl	Ferdl	N	NE	_|Nom|Sg	47	subj	9	9
42	nur	nur	A	ADV	_	47	adv	_	_
43	dem	die	A	ART	Def|Masc|Dat|Sg	44	det	_	_
44	Spruch	Spruch	N	NN	Masc|Dat|Sg	47	objd	_	_
45	des	die	A	ART	Def|Neut|Gen|Sg	46	det	23	23
46	Militärgerichts	Militärgericht	N	NN	Neut|Gen|Sg	44	gmod	23	23
47	unterstünde	unterstehen	V	VVFIN	3|Sg|Past|Subj	37	neb	_	_
48	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	allen	alle	A	PIDAT	Fem|Dat|Pl	3	det	_	_
3	Stuben	Stube	N	NN	Fem|Dat|Pl	1	pn	_	_
4	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	die	die	A	ART	Def|Fem|Nom|Sg	6	det	10	10
6	Sache	Sache	N	NN	Fem|Nom|Sg	4	subj	10	10
7	unermüdlich	unermüdlich	A	ADJD	Pos|	8	adv	_	_
8	verhandelt	verhandeln	V	VVPP	_	4	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Wieder	wieder	A	ADV	_	2	adv	_	_
2	führte	führen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	11	11
4	Brennerwastl	Brennerwastl	N	NN	Masc|Nom|Sg	2	subj	11	11
5	das	die	A	ART	Def|Neut|_|Sg	7	det	_	_
6	große	groß	A	ADJA	Pos|Neut|_|Sg|Wk|	7	attr	_	_
7	Wort	Wort	N	NN	Neut|_|Sg	2	obja	_	_
8	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	0	root	11	11
3	das	die	P	PDS	Neut|Nom|Sg	7	subj	_	_
4	schmalzig	schmalzig	A	ADJD	Pos|	7	adv	_	_
5	glänzende	glänzend	A	ADJA	Pos|_|_|_|_|_	6	attr	_	_
6	Köpfl	Köpfl	N	NN	_|_|_	7	obja	_	_
7	wiegte	wiegen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	und	und	K	KON	_	7	kon	_	_
9	mit	mit	P	APPR	Dat	12	pp	_	_
10	blinzelnden	blinzelnd	A	ADJA	Pos|Neut|Dat|Pl|_|<PPRES	11	attr	_	_
11	Augen	Auge	N	NN	Neut|Dat|Pl	9	pn	_	_
12	behauptete	behaupten	V	VVFIN	_|Sg|Past|_	8	cj	_	_
13	:	\:	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	So	so	A	ADV	_	16	adv	_	_
16	ebbes	ebbes	A	ADJD	_	17	adv	_	_
17	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	14	14
19	mir	ich	P	PRF	1|Sg|Dat	17	objd	_	_
20	lang	lang	A	ADJD	Pos|	17	adv	_	_
21	schon	schon	A	ADV	_	17	adv	_	_
22	denkt	denken	V	VVFIN	_|_|Pres|Ind	0	root	_	_
23	!	!	$	$.	_	0	root	_	_
24	«	«	$	$(	_	0	root	_	_
25	-	-	$	$(	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	dann	dann	A	ADV	_	28	adv	_	_
28	wagte	wagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
29	niemand	niemand	P	PIS	_|Nom|Sg	28	subj	_	_
30	diesen	diese	A	PDAT	Masc|Acc|Sg	31	det	_	_
31	Ausspruch	Ausspruch	N	NN	Masc|Acc|Sg	33	obja	_	_
32	zu	zu	P	PTKZU	_	33	part	_	_
33	bezweifeln	bezweifeln	V	VVINF	_	28	obji	_	_
34	.	.	$	$.	_	0	root	_	_

1	Keiner	keine	P	PIS	Masc|Nom|Sg	4	subj	_	_
2	der	die	A	ART	Def|_|Gen|Pl	3	det	12	12
3	Burschen	Bursche	N	NN	_|Gen|Pl	1	gmod	12	12
4	hörte	hören	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|_	4	obja	_	_
6	gerne	gerne	A	ADV	_	4	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	19	konj	_	_
9	ihnen	sie	P	PPER	3|Pl|_|Dat	19	objd	12	12
10	Wastl	Wastl	N	NE	_|Nom|Sg	19	subj	14	14
11	die	die	A	ART	Def|Fem|_|Sg	12	det	_	_
12	Geschichte	Geschichte	N	NN	Fem|_|Sg	19	obja	_	_
13	mit	mit	P	APPR	Dat	19	pp	_	_
14	dem	die	A	ART	Def|_|Dat|Sg	15	det	13	13
15	Dori	Dori	N	NN	_|Dat|Sg	13	pn	13	13
16	unter	unter	P	APPR	Acc	19	pp	_	_
17	die	die	A	ART	Def|Fem|Acc|Sg	18	det	_	_
18	Nase	Nase	N	NN	Fem|Acc|Sg	16	pn	_	_
19	rieb	reiben	V	VVFIN	3|Sg|Past|Ind	4	neb	_	_
20	und	und	K	KON	_	19	kon	_	_
21	daran	daran	P	PROAV	_	24	objp	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	_	_
23	Vorwurf	Vorwurf	N	NN	Masc|Acc|Sg	24	obja	_	_
24	knüpfte	knüpfen	V	VVFIN	_|Sg|Past|_	20	cj	_	_
25	:	\:	$	$.	_	0	root	_	_
26	»	»	$	$(	_	0	root	_	_
27	Hätts	Hätts	F	FM	_	0	root	_	_
28	mir	mir	F	FM	_	27	app	_	_
29	gfolgt	gfolgt	F	FM	_	28	app	_	_
30	!	!	$	$.	_	0	root	_	_

1	Nacher	Nacher	N	NN	Masc|_|Sg	0	root	26	26
2	lebet	leben	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	5	det	_	_
4	arme	arm	A	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	_	_
5	Schlucker	Schlucker	N	NN	Masc|Nom|Sg	0	root	_	_
6	noch	noch	A	ADV	_	5	adv	_	_
7	!	!	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	allweil	allweil	F	FM	_	1	cj	_	_
3	is	is	F	FM	_	2	app	_	_
4	dös	dös	F	FM	_	3	app	_	_
5	a	a	F	FM	_	4	app	_	_
6	so	so	A	ADV	_	0	root	_	_
7	:	\:	$	$.	_	0	root	_	_
8	Is	Is	F	FM	_	0	root	_	_
9	a	a	F	FM	_	8	app	_	_
10	Gscheiter	Gscheiter	F	FM	_	9	app	_	_
11	in	in	P	APPR	Dat	10	pp	_	_
12	der	die	A	ART	Def|Fem|Dat|Sg	13	det	_	_
13	Welt	Welt	N	NN	Fem|Dat|Sg	11	pn	_	_
14	und	und	K	KON	_	0	root	_	_
15	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	14	14
17	ebbes	ebbes	N	NE	_	15	obja	_	_
18	Verstandsams	Verstandsams	N	NE	_	17	app	_	_
19	,	,	$	$,	_	0	root	_	_
20	so	so	A	ADV	_	0	root	_	_
21	lusen	lusen	F	FM	Neut|_|Pl	0	root	_	_
22	d	d	F	FM	Neut|_|Pl	21	app	_	_
23	'	'	$	$(	_	0	root	_	_
24	Rindviecher	Rindviech	N	NN	Neut|_|Pl	22	app	_	_
25	auf	auf	P	APPR	Acc	24	pp	_	_
26	alles	alle	P	PIS	Neut|Acc|Sg	25	pn	_	_
27	andre	andere	P	PIS	_|Acc|_	26	app	_	_
28	,	,	$	$,	_	0	root	_	_
29	bloß	bloß	A	ADV	_	31	adv	_	_
30	net	net	A	ADV	_	31	adv	_	_
31	aufs	auf	P	APPRART	Acc	25	kon	_	_
32	richtige	richtig	A	ADJA	Pos|_|Acc|_|_|	33	attr	_	_
33	Wörtl	Wörtl	N	NN	_|Acc|_	31	pn	_	_
34	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	3	konj	_	_
2	drüber	drüber	P	PROAV	_	3	pp	_	_
3	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	5	neb	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	14	14
5	reden	reden	V	VVFIN	_|Pl|Pres|_	0	root	_	_
6	mit	mit	P	APPR	Dat	5	pp	_	_
7	unserm	unsre	A	PPOSAT	Masc|Dat|Sg	8	det	_	_
8	Herrgott	Herrgott	N	NN	Masc|Dat|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	wann	wann	P	PWAV	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	0	root	14	14
12	auffisäusel	auffisäusel	V	VVINF	_	0	root	_	_
13	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_|_|_|Nom	2	subj	14	14
5	net	net	A	ADV	_	2	adv	_	_
6	weiter	weiter	A	ADV	_	2	adv	_	_
7	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	amal	amal	F	FM	Masc|Nom|Sg	2	subj	_	_
4	a	a	F	FM	Masc|Nom|_	3	app	_	_
5	Wandel	Wandel	N	NN	Masc|Nom|_	4	app	_	_
6	kommen	kommen	V	VVINF	_	2	aux	_	_
7	.	.	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	An	an	P	APPR	Dat	6	pp	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	3	det	_	_
3	Haustür	Haustür	N	NN	Fem|Dat|Sg	1	pn	_	_
4	des	die	A	ART	Def|Masc|Gen|Sg	5	det	19	19
5	Finkenhofes	Finkenhof	N	NN	Masc|Gen|Sg	3	gmod	19	19
6	liefen	laufen	V	VVFIN	3|Pl|Past|_	0	root	_	_
7	die	die	A	ART	Def|_|Nom|Pl	8	det	16	16
8	Neugierigen	Neugierige	N	NN	_|Nom|Pl	6	subj	16	16
9	fast	fast	A	ADV	_	6	adv	_	_
10	die	die	A	ART	Def|Fem|_|Sg	11	det	_	_
11	Schwelle	Schwelle	N	NN	Fem|_|Sg	6	obja	_	_
12	krumm	krumm	A	ADJD	Pos|	6	adv	_	_
13	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|_	2	det	18	18
2	Mariann	Mariann	N	NN	_|Nom|_	3	subj	18	18
3	wußte	wußte	V	VVFIN	_|_|_|_	0	root	_	_
4	sie	sie	P	PPER	3|_|_|_	3	obja	16	16
5	kurz	kurz	A	ADJD	Pos|	3	adv	_	_
6	und	und	K	KON	_	5	kon	_	_
7	bündig	bündig	A	ADJD	Pos|	6	cj	_	_
8	abzufertigen	abfertigen	V	VVIZU	_	3	obji	_	_
9	:	\:	$	$.	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	Ich	ich	P	PPER	1|Sg|_|Nom	12	subj	18	18
12	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
13	nix	nix	P	PIS	_	12	obja	_	_
14	!	!	$	$.	_	0	root	_	_

1	Laßts	Laßts	N	NE	Fem|_|Sg	0	root	17	17
2	mir	mir	F	FM	Fem|_|Sg	1	app	17	17
3	mei	mei	F	FM	Fem|_|Sg	2	app	17	17
4	'	'	$	$(	_	0	root	17	17
5	Ruh	Ruh	N	NN	Fem|_|Sg	3	app	17	17
6	!	!	$	$.	_	0	root	17	17
7	«	«	$	$(	_	0	root	17	17
8	Die	die	A	ART	Def|_|_|_	9	det	17	17
9	einzige	einzig	A	ADJA	_|_|_	17	subj	17	17
10	,	,	$	$,	_	0	root	17	17
11	mit	mit	P	APPR	Dat	15	pp	17	17
12	der	die	P	PRELS	Fem|Dat|Sg	11	pn	17	17
13	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	18	18
14	sich	sie	P	PRF	3|_|_	15	obja	_	_
15	aussprach	aussprechen	V	VVFIN	3|Sg|Past|Ind	5	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
18	die	die	A	ART	Def|_|Nom|_	19	det	_	_
19	Emmerenz	Emmerenz	N	NN	_|Nom|_	17	pred	_	_
20	.	.	$	$.	_	0	root	_	_

1	Jeden	jede	A	PIDAT	Masc|_|Sg	2	det	_	_
2	Abend	Abend	N	NN	Masc|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	wenn	wenn	K	KOUS	_	17	konj	_	_
5	die	die	A	ART	Def|Fem|Nom|Sg	6	det	_	_
6	Enzi	Enzi	N	NN	Fem|Nom|Sg	17	subj	_	_
7	in	in	P	APPR	Dat	16	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	9	det	_	_
9	Krankenpflege	Krankenpflege	N	NN	Fem|Dat|Sg	7	pn	_	_
10	für	für	P	APPR	Acc	9	pp	_	_
11	eine	eine	A	ART	Indef|Fem|Acc|Sg	12	det	_	_
12	Erholungsreise	Erholungsreis	N	NN	Fem|Acc|Sg	10	pn	_	_
13	von	von	P	APPR	_	16	pp	_	_
14	der	die	A	ART	Def|Fem|_|Sg	15	det	_	_
15	Schloßhauserin	Schloßhauserin	N	NN	Fem|_|Sg	13	pn	_	_
16	abgelöst	ablösen	V	VVPP	_	17	aux	_	_
17	wurde	werden	V	VAFIN	3|Sg|Past|Ind	19	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
20	sie	sie	P	PPER	3|Sg|Fem|Nom	19	subj	18	18
21	auf	auf	P	APPR	Acc	19	objp	_	_
22	ein	eine	A	ART	Indef|Neut|Acc|Sg	23	det	_	_
23	Stündl	Stündl	N	NN	Neut|Acc|Sg	21	pn	_	_
24	in	in	P	APPR	Acc	23	pp	_	_
25	den	die	A	ART	Def|Masc|Acc|Sg	26	det	19	19
26	Finkenhof	Finkenhof	N	NN	Masc|Acc|Sg	24	pn	19	19
27	und	und	K	KON	_	19	kon	_	_
28	brachte	bringen	V	VVFIN	3|Sg|Past|Ind	27	cj	_	_
29	immer	immer	A	ADV	_	28	adv	_	_
30	gute	gut	A	ADJA	Pos|Fem|_|Sg|_|	31	attr	_	_
