1	Na	Na	I	ITJ	_	0	root	_	_
8	Muckl	Muckl	N	NE	_|Nom|Sg	7	subj	298	298
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	998	998
3	mag	mögen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
4	net	net	A	ADV	_	3	adv	_	_
5	.	.	$	$.	_	0	root	_	_

1	Verstehst	verstehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
2	?	?	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	wohl	wohl	A	ADV	_	6	adv	_	_
4	Grund	Grund	N	NN	Masc|Dat|Sg	6	objd	_	_
5	gnug	gnug	A	ADJD	_	6	pred	_	_
6	sein	sein	V	VAINF	_	2	aux	_	_
7	!	!	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	ls	ls	F	FM	_	0	root	_	_
3	net	net	F	FM	_	2	app	_	_
4	z	z	F	FM	_	3	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	wenig	wenig	A	ADV	_	14	adv	_	_
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	lachte	lachen	V	VVFIN	3|Sg|Past|_	6	par	_	_
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	39	39
11	Bursche	Bursche	N	NN	Masc|Nom|Sg	9	subj	39	39
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	aber	aber	A	ADV	_	15	adv	_	_
15	z	z	N	NN	_	4	app	_	_
16	'	'	$	$(	_	0	root	_	_
17	dumm	dumm	A	ADJD	Pos|	18	adv	_	_
18	is	is	V	VVFIN	3|Sg|_|_	0	root	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	39	39
20	mir	ich	P	PPER	1|Sg|_|Dat	18	objd	998	998
21	doch	doch	A	ADV	_	18	adv	_	_
22	!	!	$	$.	_	0	root	_	_

1	War	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
2	also	also	A	ADV	_	1	adv	_	_
3	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
4	wirklich	wirklich	A	ADJD	Pos|	6	adv	_	_
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_	0	root	58	58
7	letzte	letzte	A	ADJA	Pos|_|_|_|_|	8	attr	_	_
8	Wörtl	Wörtl	N	NN	_|_|_	0	root	_	_
9	in	in	P	APPR	Dat	8	pp	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	11	det	888	888
11	Sach	Sach	N	NN	Fem|Dat|Sg	9	pn	888	888
12	?	?	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wenn	wenn	K	KOUS	_	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	0	root	317	317
4	'	'	$	$(	_	0	root	_	_
5	s	s	P	PPER	_|Sg|_|Nom	8	subj	5	5
6	net	net	A	ADV	_	7	adv	_	_
7	glauben	glauben	V	VVINF	_	8	aux	_	_
8	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
12	Lonis	Lonis	N	NE	_|Nom|Sg	11	subj	293	293
13	Vater	Vater	N	NN	Masc|Dat|Sg	11	objd	373	373
14	ein	ein	P	PTKVZ	_	11	avz	_	_
15	,	,	$	$,	_	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	nachher	nachher	A	ADV	_	18	adv	_	_
18	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
19	halt	halt	A	ADV	_	22	adv	_	_
20	ins	in	P	APPRART	Acc	22	objp	_	_
21	Wasser	Wasser	N	NN	Neut|Acc|_	20	pn	_	_
22	gehen	gehen	V	VVINF	_	18	aux	_	_
23	,	,	$	$,	_	0	root	_	_
24	daß	daß	K	KOUS	_	28	konj	_	_
25	dich	du	P	PPER	2|Sg|_|Acc	28	obja	317	317
26	die	die	A	ART	Def|_|_|_	27	det	_	_
27	Krebsen	Krebs	N	NN	_|Nom|Pl	28	subj	_	_
28	fressen	fressen	V	VVFIN	3|Pl|Pres|_	18	subjc	_	_
29	!	!	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Fallt	fallen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	318	318
4	ein	ein	P	PTKVZ	_	2	avz	_	_
5	!	!	$	$.	_	0	root	_	_

1	Für	für	P	APPR	Acc	4	pp	_	_
2	ein	eine	A	ART	Indef|Neut|Acc|Sg	3	det	_	_
3	Krebsfutter	Krebsfutter	N	NN	Neut|Acc|Sg	1	pn	_	_
4	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	318	318
6	mir	ich	P	PRF	1|Sg|Dat	4	objd	_	_
7	doch	doch	A	ADV	_	4	adv	_	_
8	z	z	N	NN	_|Nom|_	4	pred	176	176
9	'	'	$	$(	_	0	root	_	_
10	gut	gut	A	ADJD	Pos|	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	318	318
2	denk	denk	V	VVFIN	1|Sg|_|_	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	998	998
4	halt	halt	A	ADV	_	2	adv	_	_
5	:	\:	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	3	det	_	_
2	richtiger	richtig	A	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	_	_
3	Bub	Bub	N	NN	Masc|Nom|Sg	4	subj	_	_
4	Bleibt	bleiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	niemals	niemals	A	ADV	_	4	adv	_	_
6	net	net	A	ADJD	_	4	pred	_	_
7	hint	hint	V	VVPP	_	4	obji	_	_
8	,	,	$	$,	_	0	root	_	_
9	Denn	denn	K	KON	_	0	root	_	_
10	ein	eine	A	ART	Indef|_|_|Sg	12	det	_	_
11	andere	andere	A	ADJA	_|_|_|Sg|_	12	attr	_	_
12	Mutter	Mutter	N	NN	_|_|Sg	0	root	_	_
13	Hat	Hat	N	NE	_|_|Sg	12	app	_	_
14	auch	auch	A	ADV	_	13	adv	_	_
15	ein	eine	A	ART	Indef|Neut|_|Sg	17	det	553	553
16	liebs	liebs	A	ADJA	_|Neut|_|Sg|_	17	attr	553	553
17	Kind	Kind	N	NN	Neut|_|Sg	0	root	553	553
18	!	!	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	3	det	998	998
2	heller	hell	A	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	998	998
3	Jauchzer	Jauchzer	N	NN	Masc|Nom|Sg	4	subj	998	998
4	reihte	reihen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	an	an	P	APPR	Acc	4	pp	_	_
7	das	die	A	ART	Def|Neut|Acc|Sg	8	det	_	_
8	Schnaderhüpfel	Schnaderhüpfel	N	NN	Neut|Acc|Sg	6	pn	_	_
9	;	;	$	$.	_	0	root	_	_
10	dann	dann	A	ADV	_	11	adv	_	_
11	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
12	Muckl	Muckl	N	NE	_|Nom|Sg	11	subj	298	298
13	seinen	seine	A	PPOSAT	_|_|Sg	14	det	298	298
14	Hut	Hut	N	NN	_|_|Sg	11	obja	_	_
15	in	in	P	APPR	Acc	11	objp	_	_
16	die	die	A	ART	Def|Fem|Acc|Sg	17	det	319	319
17	Fensternische	Fensternische	N	NN	Fem|Acc|Sg	15	pn	319	319
18	und	und	K	KON	_	11	kon	319	319
19	setzte	setzen	V	VVFIN	_|Sg|Past|_	18	cj	319	319
20	sich	sie	P	PRF	3|_|_	19	obja	319	319
21	zu	zu	P	APPR	Dat	19	pp	319	319
22	seinem	seine	A	PPOSAT	Masc|Dat|Sg	23	det	298	298
23	Vater	Vater	N	NN	Masc|Dat|Sg	21	pn	_	_
24	,	,	$	$,	_	0	root	_	_
25	der	die	P	PRELS	Fem|Dat|Sg	31	objd	319	319
26	an	an	P	APPR	Dat	31	pp	_	_
27	einem	eine	P	PIS	_|Dat|Sg	26	pn	_	_
28	der	die	A	ART	Def|Masc|Nom|Sg	30	det	_	_
29	Tische	Tisch	A	ADJA	Pos|Masc|Nom|Sg|Wk|	30	attr	_	_
30	Platz	Platz	N	NN	Masc|Nom|Sg	32	subj	_	_
31	genommen	nehmen	V	VVPP	_	32	aux	_	_
32	hatte	haben	V	VAFIN	3|Sg|Past|Ind	17	rel	_	_
33	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hätt	Hätt	N	NE	_|Nom|Sg	4	subj	320	320
3	net	net	A	ADV	_	2	adv	320	320
4	glaubt	glauben	V	VVFIN	3|Sg|Pres|Ind	15	s	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	12	konj	_	_
7	du	du	P	PPER	2|Sg|_|Nom	12	subj	322	322
8	'	'	$	$(	_	0	root	_	_
9	s	s	P	PPER	_	12	obja	320	320
10	so	so	A	ADV	_	11	adv	_	_
11	leicht	leicht	A	ADJD	Pos|	12	adv	_	_
12	nimmst	nehmen	V	VVFIN	2|Sg|Pres|Ind	4	objc	_	_
13	«	«	$	$(	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
16	dieser	diese	P	PDS	Masc|Nom|Sg	15	subj	_	_
17	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Soll	sollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	321	321
4	mich	ich	P	PRF	1|Sg|Acc	9	obja	_	_
5	vielleicht	vielleicht	A	ADV	_	9	adv	_	_
6	abikränken	abikränken	A	ADJD	_	9	pred	_	_
7	und	und	K	KON	_	6	kon	_	_
8	mager	mager	A	ADJD	Pos|	7	cj	_	_
9	werden	werden	V	VAINF	_	2	aux	_	_
10	wie	wie	K	KOKOM	_	9	kom	_	_
11	ein	eine	A	ART	Indef|_|_|Sg	12	det	_	_
12	Zwiefelröhrl	Zwiefelröhrl	N	NN	_|_|Sg	10	cj	_	_
13	...	...	$	$.	_	0	root	_	_
14	fallet	fallen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
15	mir	ich	P	PPER	1|Sg|_|Dat	14	objd	321	321
16	ein	ein	P	PTKVZ	_	14	avz	_	_
17	!	!	$	$.	_	0	root	_	_

1	Siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Loni	Loni	N	NE	_	0	root	204	204
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	321	321
6	gib	gib	V	VVFIN	1|Sg|_|_	0	root	_	_
7	dir	du	P	PRF	2|Sg|Dat	6	objd	_	_
8	sogar	sogar	A	ADV	_	6	adv	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	_	_
10	Rat	Rat	N	NN	Masc|Acc|Sg	6	obja	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	18	konj	_	_
13	du	du	P	PPER	2|Sg|_|Nom	18	subj	322	322
14	jetzt	jetzt	A	ADV	_	18	adv	_	_
15	erst	erst	A	ADV	_	18	adv	_	_
16	recht	recht	A	ADJD	Pos|	17	adv	_	_
17	wählerisch	wählerisch	A	ADJD	Pos|	18	pred	_	_
18	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	10	objc	_	_
19	.	.	$	$.	_	0	root	_	_

1	Brauchst	Brauchst	F	FM	_	6	obja	_	_
2	net	net	F	FM	_	1	app	_	_
3	Sorg	Sorg	F	FM	_	2	app	_	_
4	z	z	F	FM	_	3	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	haben	haben	V	VAFIN	_|Pl|Pres|_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	11	konj	_	_
9	du	du	P	PPER	2|Sg|_|Nom	11	subj	322	322
10	ledig	ledig	A	ADJD	Pos|	11	pred	_	_
11	bleibst	bleiben	V	VVFIN	2|Sg|Pres|Ind	6	subjc	_	_
12	und	und	K	KON	_	11	kon	_	_
13	als	als	K	KOKOM	_	20	kom	_	_
14	alte	alt	A	ADJA	Pos|Fem|_|Sg|_|	15	attr	_	_
15	Jungfer	Jungfer	N	NN	Fem|_|Sg	13	cj	_	_
16	in	in	P	APPR	Dat	20	pp	_	_
17	der	die	A	ART	Def|Fem|Dat|Sg	18	det	_	_
18	Ewigkeit	Ewigkeit	N	NN	Fem|Dat|Sg	16	pn	_	_
19	Wolken	Wolke	N	NN	Fem|_|Pl	20	obja	323	323
20	schieben	schieben	V	VVINF	_	21	aux	_	_
21	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	12	cj	_	_
22	.	.	$	$.	_	0	root	_	_

1	Der	die	P	PDS	_|_|Sg	0	root	_	_
2	da	da	A	ADV	_	1	adv	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	und	und	K	KON	_	0	root	_	_
6	dabei	dabei	P	PROAV	_	7	pp	_	_
7	deutete	deuten	V	VVFIN	3|Sg|Past|_	5	cj	_	_
8	Muckl	Muckl	N	NE	_|Nom|Sg	7	subj	298	298
9	auf	auf	P	APPR	_	7	objp	_	_
10	Pauli	Pauli	N	NE	_|_|_	9	pn	40	40
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	der	die	P	PDS	Masc|Nom|Sg	14	subj	_	_
14	bleibt	bleiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
15	dir	du	P	PPER	2|Sg|_|Dat	14	objd	322	322
16	allweil	allweil	F	FM	_|Nom|_	14	pred	_	_
17	gwiß	gwiß	F	FM	_|Nom|_	16	app	_	_
18	.	.	$	$.	_	0	root	_	_

1	Den	die	P	PDS	Masc|Acc|Sg	2	obja	_	_
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	im	in	P	APPRART	Dat	2	pp	_	_
4	Sack	Sack	N	NN	Masc|Dat|Sg	3	pn	_	_
5	und	und	K	KON	_	2	kon	_	_
6	brauchst	brauchen	V	VVFIN	2|Sg|Pres|Ind	5	cj	_	_
7	ihn	er	P	PPER	3|Sg|Masc|Acc	6	obja	298	298
8	bloß	bloß	A	ADV	_	6	adv	_	_
9	aussizarren	aussizarren	A	ADJD	_	6	adv	_	_
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Lehnl	Lehnl	N	NE	Masc|Nom|Sg	8	subj	97	97
2	,	,	$	$,	_	0	root	97	97
3	der	die	P	PRELS	Masc|Nom|Sg	6	subj	97	97
4	neben	neben	P	APPR	_	6	pp	_	_
5	Pauli	Pauli	N	NE	_|_|_	4	pn	40	40
6	stand	stehen	V	VVFIN	3|Sg|Past|Ind	1	rel	_	_
7	,	,	$	$,	_	0	root	_	_
8	griff	greifen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	hastig	hastig	A	ADJD	Pos|	8	adv	_	_
10	nach	nach	P	APPR	Dat	8	objp	_	_
11	dem	die	A	ART	Def|Masc|Dat|Sg	12	det	_	_
12	Arm	Arm	N	NN	Masc|Dat|Sg	10	pn	_	_
13	des	die	A	ART	Def|Masc|Gen|Sg	14	det	39	39
14	Burschen	Bursche	N	NN	Masc|Gen|Sg	12	gmod	39	39
15	,	,	$	$,	_	0	root	_	_
16	als	als	K	KOKOM	_	17	konj	_	_
17	wollt	wollen	V	VMFIN	2|Pl|Pres|Ind	8	neb	_	_
18	'	'	$	$(	_	0	root	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	0	root	39	39
20	ihn	er	P	PPER	3|Sg|Masc|Acc	0	root	39	39
21	am	an	P	APPRART	Dat	20	pp	_	_
22	Aufspringen	Aufspringen	N	NN	Neut|Dat|Sg	21	pn	_	_
23	hindern	hindern	V	VVINF	_	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	war	sein	V	VAFIN	_|Sg|Past|Ind	1	cj	_	_
4	überflüssige	überflüssig	A	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	662	662
5	Sorge	Sorge	N	NN	Fem|Nom|Sg	3	pred	662	662
6	;	;	$	$.	_	0	root	_	_
7	Pauli	Pauli	N	NE	_|Nom|Sg	8	subj	40	40
8	rührte	rühren	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	sich	sie	P	PRF	3|_|_	8	obja	_	_
10	nicht	nicht	P	PTKNEG	_	8	adv	_	_
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Oder	Oder	N	NE	Fem|_|Sg	5	vok	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	Muckl	Muckl	N	NE	_|Nom|Sg	5	subj	298	298
7	weiter	weiter	A	ADV	_	5	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
11	mich	ich	P	PPER	1|Sg|_|Acc	10	obja	298	298
12	am	an	P	APPRART	Dat	10	pp	_	_
13	End	End	N	NN	Neut|Dat|Sg	12	pn	254	254
14	gar	gar	A	ADV	_	10	adv	_	_
15	abgwiesen	abgwiesen	A	ADJD	_	10	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	weil	weil	K	KOUS	_	23	konj	_	_
18	mit	mit	P	APPR	Dat	22	pp	_	_
19	'	'	$	$(	_	0	root	_	_
20	m	m	N	NN	_|Dat|_	18	pn	40	40
21	Pauli	Pauli	N	NE	_|Dat|_	20	app	40	40
22	verbandelt	verbandeln	V	VVPP	_	23	aux	_	_
23	bist	sein	V	VAFIN	2|Sg|Pres|Ind	10	neb	_	_
24	?	?	$	$.	_	0	root	_	_
25	«	«	$	$(	_	0	root	_	_

1	Loni	Loni	N	NE	_|Nom|Sg	2	subj	191	191
2	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	auf	auf	P	PTKVZ	_	2	avz	_	_
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	K	KOKOM	_	9	kom	_	_
6	von	von	P	APPR	_	5	cj	_	_
7	einer	eine	A	ART	Indef|Fem|_|Sg	8	det	_	_
8	Natter	Natter	N	NN	Fem|_|Sg	6	pn	_	_
9	gestochen	stechen	V	VVPP	_	2	neb	_	_
10	:	\:	$	$.	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	Dein	deine	A	PPOSAT	Neut|Nom|Sg	14	det	324	324
13	dummes	dumm	A	ADJA	Pos|Neut|Nom|Sg|St|	14	attr	732	732
14	Gschwatz	Gschwatz	N	NN	Neut|Nom|Sg	15	subj	732	732
15	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
16	keine	keine	A	PIAT	Fem|_|Sg	17	det	_	_
17	Heimat	Heimat	N	NN	Fem|_|Sg	15	obja	_	_
18	.	.	$	$.	_	0	root	_	_

1	Daß	daß	K	KOUS	_	8	konj	_	_
2	zwischen	zwischen	P	APPR	_	8	pp	_	_
3	uns	wir	P	PPER	1|Pl|_|_	2	pn	_	_
4	nix	nix	F	FM	_|Nom|Sg	8	subj	_	_
5	is	is	F	FM	_|Nom|Sg	4	app	_	_
6	und	und	K	KON	_	5	kon	_	_
7	nix	nix	P	PIS	_|Nom|Sg	6	cj	_	_
8	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	das	die	P	PDS	Neut|_|Sg	11	obja	_	_
11	weißt	weißen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
12	du	du	P	PPER	2|Sg|_|Nom	11	subj	324	324
13	so	so	A	ADV	_	14	adv	_	_
14	gut	gut	A	ADJD	Pos|	11	adv	_	_
15	wie	wie	K	KOKOM	_	11	kom	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	15	cj	298	298
17	,	,	$	$,	_	0	root	_	_
18	sonst	sonst	A	ADV	_	19	adv	_	_
19	wärst	sein	V	VAFIN	2|Sg|Past|Subj	0	root	_	_
20	net	net	A	ADV	_	19	adv	_	_
21	kommen	kommen	V	VVINF	_	0	root	_	_
22	und	und	K	KON	_	0	root	_	_
23	hättest	haben	V	VAFIN	2|Sg|Past|Subj	22	cj	_	_
24	um	um	P	APPR	Acc	23	pp	_	_
25	mich	ich	P	PRF	1|Sg|Acc	24	pn	_	_
26	angehalten	angehalten	A	ADJD	Pos|	23	adv	_	_
27	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	0	root	298	298
3	einmal	einmal	A	ADV	_	5	adv	_	_
4	ein	eine	A	ART	Indef|_|_|Sg	5	det	_	_
5	nimm	nimm	N	NN	_|_|Sg	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	das	die	P	PDS	Neut|_|Sg	8	obja	_	_
8	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
9	einer	eine	P	PIS	Masc|Nom|Sg	8	subj	_	_
10	sein	sein	V	VAINF	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	325	325
13	Schneid	Schneid	N	NN	Masc|Nom|Sg	14	subj	325	325
14	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	ein	eine	A	ART	Indef|Neut|Nom|Sg	18	det	_	_
17	richtigs	richtigs	A	ADJA	_|Neut|Nom|Sg|_	18	attr	_	_
18	Mannsbild	Mannsbild	N	NN	Neut|Nom|Sg	0	root	_	_
19	und	und	K	KON	_	18	kon	_	_
20	net	net	A	ADV	_	21	adv	_	_
21	einer	eine	P	PIS	Masc|Nom|Sg	19	cj	_	_
22	,	,	$	$,	_	0	root	_	_
23	der	die	P	PRELS	Masc|Nom|Sg	26	subj	325	325
