1	›	›	N	NE	_|Nom|Sg	2	subj	285	285
20	profitiert	profitieren	V	VVFIN	3|Sg|Pres|Ind	13	rel	_	_
21	,	,	$	$,	_	0	root	_	_
22	und	und	K	KON	_	0	root	_	_
23	wir	wir	P	PPER	1|Pl|_|Nom	22	cj	681	681
24	gewiß	gewiß	A	ADJD	Pos|	25	adv	_	_
25	nicht	nicht	P	PTKNEG	_	23	adv	_	_
26	.	.	$	$.	_	0	root	_	_

1	Adam	Adam	N	NE	Masc|_|Sg	0	root	660	660
2	,	,	$	$,	_	0	root	660	660
3	Neubeginn	Neubeginn	N	NN	Masc|_|Sg	1	kon	660	660
4	der	die	A	ART	Def|Fem|Gen|Sg	5	det	683	683
5	Menschheit	Menschheit	N	NN	Fem|Gen|Sg	3	gmod	683	683
6	,	,	$	$,	_	0	root	_	_
7	Paradies	Paradies	N	NN	Neut|_|Sg	3	kon	_	_
8	und	und	K	KON	_	7	kon	684)	684)
9	Rousseau	Rousseau	N	NE	Masc|_|Sg	8	cj	684)	684)
10	-	-	$	$(	_	0	root	684)	684)
11	das	die	P	PDS	Neut|Nom|Sg	13	subj	684)	684)
12	alles	alle	P	PIS	Neut|Nom|Sg	11	app	684)	684)
13	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	684)	684)
14	wundervolle	wundervoll	A	ADJA	Pos|Neut|Nom|Pl|St|	15	attr	685	685
15	Themata	Thema	N	NN	Neut|Nom|Pl	13	pred	685	685
16	,	,	$	$,	_	0	root	_	_
17	für	für	P	APPR	Acc	0	root	_	_
18	die	die	P	PRELS	_|Acc|_	17	pn	685	685
19	sich	sie	P	PRF	3|_|_	0	root	_	_
20	in	in	P	APPR	_	0	root	_	_
21	praxi	praxi	N	NE	_|_|_	20	pn	686	686
22	alle	alle	A	PIDAT	_|_|_	0	root	_	_
23	diejenigen	diejenige	P	PDS	_|Nom|Pl	25	subj	_	_
24	begeistern	begeistern	V	VVINF	_	25	aux	_	_
25	mögen	mögen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	die	die	P	PRELS	_|Nom|Pl	30	subj	686	686
28	dabei	dabei	P	PROAV	_	30	pp	_	_
29	nur	nur	A	ADV	_	30	adv	_	_
30	gewinnen	gewinnen	V	VVFIN	3|Pl|Pres|_	23	rel	_	_
31	und	und	K	KON	_	0	root	_	_
32	nichts	nichts	P	PIS	_	33	obja	_	_
33	verlieren	verlieren	V	VVINF	_	34	aux	_	_
34	können	können	V	VMINF	_	31	cj	_	_
35	;	;	$	$.	_	0	root	_	_
36	die	die	A	ART	Def|_|Nom|Pl	37	det	_	_
37	Halderns	Halderns	N	NN	_|Nom|Pl	39	subj	_	_
38	aber	aber	A	ADV	_	37	adv	_	_
39	tun	tun	V	VVFIN	3|Pl|Pres|Ind	0	root	_	_
40	gut	gut	A	ADJD	Pos|	39	pred	_	_
41	,	,	$	$,	_	0	root	_	_
42	all	all	A	PIDAT	Neut|_|Sg	43	det	_	_
43	dies	dies	P	PDS	Neut|_|Sg	48	obja	_	_
44	in	in	P	APPR	Dat	48	objp	_	_
45	der	die	A	ART	Def|Fem|Dat|Sg	46	det	687	687
46	Theorie	Theorie	N	NN	Fem|Dat|Sg	44	pn	687	687
47	zu	zu	P	PTKZU	_	48	part	_	_
48	belassen	belassen	V	VVINF	_	40	obji	_	_
49	und	und	K	KON	_	48	kon	_	_
50	nicht	nicht	P	PTKNEG	_	54	adv	_	_
51	persönlich	persönlich	A	ADJD	Pos|	54	adv	_	_
52	danach	danach	P	PROAV	_	54	pp	_	_
53	zu	zu	P	PTKZU	_	54	part	_	_
54	handeln	handeln	V	VVINF	_	49	cj	_	_
55	.	.	$	$.	_	0	root	_	_
56	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	182	182
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	182	182
3	Graf	Graf	N	NN	Masc|Nom|Sg	4	subj	182	182
4	lächelte	lächeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	vor	vor	P	APPR	_	4	pp	_	_
6	sich	sie	P	PRF	3|_|_	5	pn	_	_
7	hin	hin	A	APZR	_	5	part	_	_
8	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Onkel	Onkel	N	NN	Masc|_|_	0	root	564	564
5	,	,	$	$,	_	0	root	_	_
6	das	die	P	PDS	Neut|Nom|Sg	7	subj	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	das	die	A	ART	Def|Neut|Nom|Sg	9	det	_	_
9	Allgemeine	Allgemeine	N	NN	Neut|Nom|Sg	7	pred	_	_
10	,	,	$	$,	_	0	root	_	_
11	das	die	A	ART	Def|Neut|Nom|Sg	12	det	_	_
12	Alltäglichgültige	Alltäglichgültige	N	NN	Neut|Nom|Sg	9	app	_	_
13	.	.	$	$.	_	0	root	_	_

1	Gewiß	gewiß	A	ADJD	Pos|	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	688	688
4	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|_	4	expl	_	_
6	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	gilt	gelten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	,	,	$	$,	_	0	root	_	_
5	was	was	P	PRELS	Neut|_|Sg	7	obja	_	_
6	du	du	P	PPER	2|Sg|_|Nom	7	subj	689	689
7	sagst	sagen	V	VVFIN	2|Sg|Pres|Ind	3	rel	_	_
8	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	laß	laß	V	VVFIN	_	1	cj	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	688	688
4	dir	du	P	PPER	2|Sg|_|Dat	2	objd	689	689
5	versichern	versichern	V	VVFIN	_|Pl|Pres|_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	688	688
8	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
9	weitab	weitab	A	ADV	_	8	adv	_	_
10	davon	davon	P	PROAV	_	8	pp	_	_
11	,	,	$	$,	_	0	root	_	_
12	den	die	A	ART	Def|_|_|_	13	det	_	_
13	Welt-	Welt-	T	TRUNC	Masc|Acc|Sg	19	obja	_	_
14	oder	oder	K	KON	_	13	kon	_	_
15	auch	auch	A	ADV	_	18	adv	_	_
16	nur	nur	A	ADV	_	18	adv	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	_	_
18	Gesellschaftsreformator	Gesellschaftsreformator	N	NN	Masc|Acc|Sg	14	cj	_	_
19	machen	machen	V	VVINF	_	0	root	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	wollen	wollen	V	VMINF	_	0	root	_	_
22	.	.	$	$.	_	0	root	_	_

1	Dazu	Dazu	P	PROAV	_	2	pp	_	_
2	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	688	688
5	nicht	nicht	P	PTKNEG	_	2	adv	_	_
6	die	die	A	ART	Def|Fem|_|Pl	7	det	_	_
7	Schultern	Schulter	N	NN	Fem|_|Pl	2	obja	_	_
8	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	das	die	A	ART	Def|Neut|_|Sg	3	det	_	_
3	Besondre	Besondre	N	NN	Neut|_|Sg	1	cj	_	_
4	,	,	$	$,	_	0	root	_	_
5	das	die	A	ART	Def|Neut|_|Sg	6	det	_	_
6	Besondre	Besondre	N	NN	Neut|_|Sg	3	app	_	_
7	.	.	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Welches	welche	A	PWAT	_|_|Sg	3	det	_	_
3	Besondre	Besondre	N	NN	_|_|Sg	0	root	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Stine	Stine	N	NE	_	0	root	75	75
3	.	.	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	so	so	A	ADV	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	die	die	A	ART	Def|_|_|_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	11	det	524	524
10	alte	alt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	11	attr	524	524
11	Haldern	Haldern	N	NN	Masc|Nom|Sg	8	subj	524	524
12	und	und	K	KON	_	8	kon	_	_
13	ließ	lassen	V	VVFIN	_|Sg|Past|Ind	12	cj	_	_
14	in	in	P	APPR	Dat	16	pp	_	_
15	allem	alle	P	PIS	_|Dat|Sg	14	pn	_	_
16	erkennen	erkennen	V	VVINF	_	13	obji	_	_
17	,	,	$	$,	_	0	root	_	_
18	daß	daß	K	KOUS	_	30	konj	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	21	21
20	im	in	P	APPRART	Dat	30	pp	_	_
21	Laufe	Lauf	N	NN	Masc|Dat|Sg	20	pn	_	_
22	des	die	A	ART	Def|Neut|Gen|Sg	23	det	418	418
23	Gesprächs	Gespräch	N	NN	Neut|Gen|Sg	21	gmod	418	418
24	den	die	A	ART	Def|Masc|Acc|Sg	25	det	_	_
25	Ausgangspunkt	Ausgangspunkt	N	NN	Masc|Acc|Sg	30	obja	_	_
26	so	so	A	ADV	_	27	adv	_	_
27	gut	gut	A	ADJD	Pos|	30	adv	_	_
28	wie	wie	K	KOKOM	_	30	kom	_	_
29	vergessen	veressen	V	VVPP	_	28	cj	_	_
30	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
31	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Stine	Stine	N	NN	_	0	root	75	75
5	...	...	$	$.	_	0	root	_	_
6	Dummes	dumm	A	ADJA	Pos|Neut|_|Sg|St|	7	attr	690	690
7	Zeug	Zeug	N	NN	Neut|_|Sg	0	root	690	690
8	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	714	714
2	kenne	kennen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	das	die	P	PDS	Neut|_|Sg	2	obja	_	_
4	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	2	det	691	691
2	Junggeselle	Junggeselle	N	NN	Masc|Nom|Sg	0	root	691	691
3	,	,	$	$,	_	0	root	_	_
4	der	die	P	PRELS	_|_|Sg	0	root	691	691
5	über	über	A	ADV	_	6	adv	_	_
6	fünfzig	fünfzig	C	CARD	_	0	root	_	_
7	hinaus	hinaus	A	APZR	_	0	root	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	mehr	mehr	A	ADV	_	12	adv	_	_
12	als	als	K	KOKOM	_	16	kom	_	_
13	einmal	einmal	A	ADV	_	12	cj	_	_
14	in	in	P	APPR	_	16	pp	_	_
15	Gefahr	Gefahr	N	NN	Fem|_|Sg	14	pn	_	_
16	gewesen	sein	V	VAPP	_	10	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	an	an	P	APPR	Dat	22	pp	_	_
19	dieser	diese	A	PDAT	Fem|Dat|Sg	20	det	_	_
20	Klippe	Klippe	N	NN	Fem|Dat|Sg	18	pn	_	_
21	zu	zu	P	PTKZU	_	22	part	_	_
22	scheitern	scheitern	V	VVINF	_	10	subjc	_	_
23	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	sind	sein	V	VAFIN	_|Pl|Pres|Ind	1	cj	_	_
4	Anwandlungen	Anwandlung	N	NN	Fem|Nom|Pl	3	pred	692	692
5	,	,	$	$,	_	0	root	692	692
6	Fieberanfälle	Fieberanfall	N	NN	Masc|Nom|Pl	4	app	692	692
7	.	.	$	$.	_	0	root	_	_

1	Solange	Solange	K	KOUS	_	3	konj	_	_
2	sie	sie	P	PPER	3|Pl|_|Nom	3	subj	692	692
3	dauern	dauern	V	VVFIN	3|Pl|Pres|_	5	neb	_	_
4	,	,	$	$,	_	0	root	_	_
5	legt	legen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	man	man	P	PIS	_|Nom|Sg	5	subj	_	_
7	sich	sie	P	PRF	3|_|Dat	5	objd	_	_
8	die	die	A	ART	Def|Fem|_|Sg	9	det	693	693
9	Weltgeschichte	Weltgeschichte	N	NN	Fem|_|Sg	5	obja	693	693
10	nach	nach	P	APPR	Dat	5	pp	_	_
11	dem	die	A	ART	Def|Neut|Dat|Sg	13	det	694	694
12	kleinen	klein	A	ADJA	Pos|Neut|Dat|Sg|Wk|	13	attr	694	694
13	Gefühl	Gefühl	N	NN	Neut|Dat|Sg	10	pn	694	694
14	zurecht	zurecht	P	PTKVZ	_	5	avz	_	_
15	,	,	$	$,	_	0	root	_	_
16	das	die	P	PRELS	Neut|_|Sg	0	root	694	694
17	einen	eine	A	ART	Indef|Masc|Acc|Sg	0	root	_	_
18	gerade	gerade	A	ADV	_	19	adv	_	_
19	beherrscht	beherrschen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
20	;	;	$	$.	_	0	root	_	_
21	aber	aber	K	KON	_	0	root	_	_
22	von	von	P	APPR	_	21	cj	_	_
23	heute	heute	A	ADV	_	22	adv	_	_
24	auf	auf	P	APPR	Dat	22	kon	_	_
25	morgen	morgen	A	ADV	_	24	adv	_	_
26	,	,	$	$,	_	0	root	_	_
27	oder	oder	K	KON	_	0	root	_	_
28	wenn	wenn	K	KOUS	_	31	konj	_	_
29	es	es	P	PPER	3|Sg|Neut|Nom	31	subj	_	_
30	hoch	hoch	A	ADJD	Pos|	31	adv	_	_
31	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	38	neb	_	_
32	von	von	P	APPR	_	31	pp	_	_
33	heute	heute	A	ADV	_	32	adv	_	_
34	bis	bis	P	APPR	Acc	32	kon	_	_
35	übers	über	P	APPRART	Acc	34	pp	_	_
36	Jahr	Jahr	N	NN	Neut|Acc|Sg	35	pn	82	82
37	,	,	$	$,	_	0	root	_	_
38	hat	haben	V	VAFIN	3|Sg|Pres|Ind	27	cj	_	_
39	man	man	P	PIS	_|Nom|Sg	38	subj	_	_
40	sich	sie	P	PRF	3|_|_	38	obja	_	_
41	besonnen	besonnen	V	VVINF	_	0	root	_	_
42	und	und	K	KON	_	0	root	_	_
43	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	42	cj	_	_
44	die	die	A	ART	Def|Neut|_|Pl	45	det	618	618
45	Dinge	Ding	N	NN	Neut|_|Pl	43	obja	618	618
46	nicht	nicht	P	PTKNEG	_	48	adv	_	_
47	mehr	mehr	A	ADV	_	46	adv	_	_
48	durch	durch	P	APPR	Acc	43	pp	_	_
49	das	die	A	ART	Def|Neut|_|Sg	50	det	_	_
50	Trug-	Trug-	T	TRUNC	Neut|_|Sg	48	pn	_	_
51	und	und	K	KON	_	50	kon	_	_
52	Zauberglas	Zauberglas	N	NN	Neut|_|Sg	51	cj	_	_
53	unsrer	unsre	A	PPOSAT	Fem|Gen|Sg	55	det	_	_
54	erhitzten	erhitzt	A	ADJA	Pos|Fem|Gen|Sg|Wk|	55	attr	_	_
55	Phantasie	Phantasie	N	NN	Fem|Gen|Sg	50	gmod	_	_
56	,	,	$	$,	_	0	root	_	_
57	sondern	sondern	K	KON	_	48	kon	_	_
58	durch	durch	P	APPR	Acc	57	cj	_	_
59	die	die	A	ART	Def|Fem|Acc|Sg	60	det	_	_
60	Fensterscheibe	Fensterscheibe	N	NN	Fem|Acc|Sg	58	pn	_	_
61	der	die	A	ART	Def|Fem|Gen|Sg	62	det	_	_
62	Alltäglichkeit	Alltäglichkeit	N	NN	Fem|Gen|Sg	60	gmod	_	_
63	.	.	$	$.	_	0	root	_	_

1	Stine	Stine	N	NE	_	0	root	75	75
2	!	!	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	695	695
2	sollst	sollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	7	adv	_	_
4	brüsk	brüsk	A	ADJD	Pos|	7	adv	_	_
5	mit	mit	P	APPR	Dat	4	pp	_	_
6	ihr	ihr	P	PPER	3|Sg|Fem|Dat	5	pn	75	75
7	brechen	brechen	V	VVINF	_	2	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	im	in	P	APPRART	Dat	7	pp	_	_
10	Gegenteil	Gegenteil	N	NN	_|Dat|Sg	9	pn	429	429
11	,	,	$	$,	_	0	root	_	_
12	besuche	besuchen	V	VVFIN	_|Sg|Pres|_	2	kon	_	_
13	sie	sie	P	PPER	3|_|_|_	12	obja	75	75
14	,	,	$	$,	_	0	root	_	_
15	solange	solange	K	KOUS	_	20	konj	_	_
16	dich	du	P	PPER	2|Sg|_|Acc	20	obja	695	695
17	'	'	$	$(	_	0	root	_	_
18	s	s	P	PPER	_|_|_|Nom	20	subj	75	75
19	dazu	dazu	P	PROAV	_	20	pp	_	_
20	treibt	treiben	V	VVFIN	_|_|Pres|Ind	12	neb	_	_
21	;	;	$	$.	_	0	root	_	_
22	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
23	deine	deine	A	PPOSAT	Fem|Nom|Sg	24	det	695	695
24	Plauderstunde	Plauderstunde	N	NN	Fem|Nom|Sg	22	subj	_	_
25	mit	mit	P	APPR	Dat	22	pp	_	_
26	ihr	ihr	P	PPER	3|Sg|Fem|Dat	25	pn	75	75
27	ruhig	ruhig	A	ADJD	Pos|	22	adv	_	_
28	weiter	weiter	P	PTKVZ	_	22	avz	_	_
29	;	;	$	$.	_	0	root	_	_
30	aber	aber	K	KON	_	0	root	_	_
31	es	es	P	PPER	3|Sg|Neut|_	35	expl	_	_
32	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	30	cj	_	_
33	der	die	A	ART	Def|Masc|Nom|Sg	34	det	179	179
34	Augenblick	Augenblick	N	NN	Masc|Nom|Sg	32	subj	179	179
35	kommen	kommen	V	VVINF	_	32	aux	_	_
36	,	,	$	$,	_	0	root	_	_
37	wo	wo	P	PWAV	_	41	adv	_	_
38	sich	sie	P	PRF	3|_|_	41	obja	_	_
39	'	'	$	$(	_	0	root	_	_
40	s	s	P	PPER	_|Sg|_|Nom	42	subj	75	75
41	ausgeplaudert	ausplaudern	V	VVPP	_	42	aux	_	_
42	hat	haben	V	VAFIN	3|Sg|Pres|Ind	35	rel	_	_
43	und	und	K	KON	_	42	kon	_	_
44	wo	wo	P	PWAV	_	48	adv	_	_
45	du	du	P	PPER	2|Sg|_|Nom	48	subj	695	695
46	deinen	deine	A	PPOSAT	Masc|_|Sg	47	det	695	695
47	Irrtum	Irrtum	N	NN	Masc|_|Sg	48	obja	_	_
48	empfindest	empfinden	V	VVFIN	2|Sg|Pres|_	43	cj	_	_
49	.	.	$	$.	_	0	root	_	_

1	Eines	eine	A	ART	Indef|Masc|Gen|Sg	3	det	_	_
2	schönen	schön	A	ADJA	Pos|Masc|Gen|Sg|_|	3	attr	_	_
3	Tages	Tag	N	NN	Masc|Gen|Sg	4	zeit	_	_
4	fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	dir	du	P	PPER	2|Sg|_|Dat	4	objd	695	695
7	wie	wie	K	KOKOM	_	4	kom	_	_
8	Schuppen	Schuppe	N	NN	_|_|_	7	cj	_	_
9	von	von	P	APPR	Dat	8	pp	_	_
10	den	die	A	ART	Def|Neut|Dat|Pl	11	det	86	86
11	Augen	Auge	N	NN	Neut|Dat|Pl	9	pn	86	86
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	4	kon	_	_
14	du	du	P	PPER	2|Sg|_|Nom	15	subj	695	695
15	siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	13	cj	_	_
16	in	in	P	APPR	Acc	15	pp	_	_
17	einen	eine	A	ART	Indef|Masc|Acc|Sg	18	det	_	_
18	Abgrund	Abgrund	N	NN	Masc|Acc|Sg	16	pn	_	_
19	.	.	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	In	in	P	APPR	_	0	root	_	_
3	welchen	welche	A	PWAT	_|_|_	0	root	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|_|Sg	3	obja	_	_
3	wag	wag	V	VVFIN	1|Sg|_|_	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	714	714
6	nicht	nicht	P	PTKNEG	_	9	adv	_	_
7	vorher	vorher	A	ADV	_	9	adv	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	sagen	sagen	V	VVINF	_	3	obji	_	_
10	,	,	$	$,	_	0	root	_	_
11	vielleicht	vielleicht	A	ADV	_	13	adv	_	_
12	bloß	bloß	A	ADV	_	13	adv	_	_
13	in	in	P	APPR	Acc	0	root	_	_
14	den	die	P	PRELS	Masc|Acc|Sg	13	pn	_	_
15	der	die	A	ART	Def|Fem|_|Sg	16	det	_	_
16	Langeweile	Langeweile	N	NN	Fem|_|Sg	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	vielleicht	vielleicht	A	ADV	_	20	adv	_	_
19	auch	auch	A	ADV	_	20	adv	_	_
20	in	in	P	APPR	Acc	16	pp	_	_
21	einen	eine	A	ART	Indef|Masc|Acc|Sg	22	det	_	_
22	schlimmeren	schlimm	A	ADJA	Masc|Acc|Sg	20	pn	_	_
23	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	den	die	A	ART	Def|Masc|Acc|Sg	3	det	420	420
3	Tag	Tag	N	NN	Masc|Acc|Sg	4	grad	420	420
4	danach	danach	P	PROAV	_	5	pp	_	_
5	schreibst	schreiben	V	VVFIN	2|Sg|Pres|Ind	1	cj	_	_
6	du	du	P	PPER	2|Sg|_|Nom	5	subj	695	695
7	ihr	ihr	P	PPER	3|Sg|Fem|Dat	5	objd	20	20
8	einen	eine	A	ART	Indef|Masc|Acc|Sg	9	det	_	_
9	Abschiedsbrief	Abschiedsbrief	N	NN	Masc|Acc|Sg	5	obja	_	_
10	und	und	K	KON	_	5	kon	_	_
11	trittst	treten	V	VVFIN	2|Sg|Pres|Ind	10	cj	_	_
12	deine	deine	A	PPOSAT	Fem|_|Sg	14	det	695	695
13	dritte	dritt	A	ADJA	_|Fem|_|Sg|_|	14	attr	_	_
14	Römerfahrt	Römerfahrt	N	NN	Fem|_|Sg	11	obja	_	_
15	an	an	P	PTKVZ	_	11	avz	_	_
16	.	.	$	$.	_	0	root	_	_

1	Rom	Rom	N	NE	Neut|Nom|Sg	2	subj	_	_
2	paßt	paßt	V	VVFIN	_|Sg|_|_	0	root	_	_
3	ohnehin	ohnehin	A	ADV	_	2	adv	_	_
4	für	für	P	APPR	Acc	2	pp	_	_
5	die	die	A	ART	Def|_|Acc|_	6	det	696	696
6	Halderns	Halderns	N	NN	_|Acc|_	4	pn	696	696
7	,	,	$	$,	_	0	root	_	_
8	alt	alt	A	ADJD	Pos|	0	root	_	_
9	zu	zu	P	PTKA	_	10	adv	_	_
10	alt	alt	A	ADJD	Pos|	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	nicht	nicht	P	PTKNEG	_	3	adv	697	697
3	Amerika	Amerika	N	NE	Neut|_|Sg	1	cj	697	697
4	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	für	für	P	APPR	Acc	9	pp	_	_
4	die	die	A	ART	Def|_|_|_	5	det	_	_
5	diggings	diggings	T	TRUNC	_|_|_	3	pn	_	_
6	oder	oder	K	KON	_	5	kon	_	_
7	ein	eine	A	ART	Indef|_|_|Sg	8	det	_	_
8	Goldgräber-Camp	Goldgräber-Camp	N	NN	_|_|Sg	6	cj	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	par	_	_
10	mir	ich	P	PPER	1|Sg|_|Dat	9	objd	699	699
11	,	,	$	$,	_	0	root	_	_
12	offen	offen	A	ADJD	Pos|	0	root	_	_
