1	Sieh	Sieh	N	NE	_	4	vok	452	452
26	«	«	F	FM	_	25	app	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	nun	nun	A	ADV	_	4	adv	_	_
4	sage	sagen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Papchen	Papchen	N	NE	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	9	pred	_	_
9	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	12	det	519	519
11	schönste	schön	A	ADJA	Sup|Fem|Nom|Sg|_|	12	attr	519	519
12	Frau	Frau	N	NN	Fem|Nom|Sg	9	subj	519	519
13	im	in	P	APPRART	Dat	9	pp	_	_
14	Land	Land	N	NN	Neut|Dat|Sg	13	pn	_	_
15	?	?	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Melanie	Melanie	N	NE	Fem|_|Sg	0	root	20	20
3	.	.	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	die	die	A	ART	Def|_|_|_	4	det	_	_
4	liebste	lieb	A	ADJA	_|_|_	2	cj	_	_
5	,	,	$	$,	_	0	root	_	_
6	die	die	A	ART	Def|_|_|_	7	det	_	_
7	klügste	klug	A	ADJA	_|_|_	4	kon	_	_
8	,	,	$	$,	_	0	root	_	_
9	die	die	A	ART	Def|Fem|_|Sg	11	det	_	_
10	beste	gut	A	ADJA	Sup|Fem|_|Sg|_|	11	attr	_	_
11	Frau	Frau	N	NN	Fem|_|Sg	7	kon	_	_
12	?	?	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Melanie	Melanie	N	NE	Fem|_|Sg	0	root	20	20
3	,	,	$	$,	_	0	root	20	20
4	Melanie	Melanie	N	NE	Fem|_|Sg	2	app	20	20
5	.	.	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Gut	Gut	N	NN	Neut|_|Sg	0	root	616	616
3	,	,	$	$,	_	0	root	_	_
4	gut	gut	A	ADJD	Pos|	0	root	_	_
5	...	...	$	$.	_	0	root	_	_
6	Und	und	K	KON	_	8	koord	_	_
7	nun	nun	A	ADV	_	8	adv	_	_
8	gehab	gehab	V	VVFIN	_	0	root	_	_
9	dich	du	P	PPER	2|Sg|_|Acc	8	obja	_	_
10	wohl	wohl	A	ADV	_	8	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	du	du	P	PPER	Masc|Nom|_	0	root	_	_
13	Menschenkenner	Menschenkenner	N	NN	Masc|_|_	12	app	_	_
14	!	!	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	5	det	_	_
2	»	»	$	$(	_	0	root	_	_
3	drei	drei	C	CARD	_	5	attr	_	_
4	gestrengen	gestreng	A	ADJA	Pos|Masc|Nom|Pl|Wk|	5	attr	_	_
5	Herren	Herr	N	NN	Masc|Nom|Pl	7	subj	_	_
6	«	«	$	$(	_	0	root	_	_
7	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
8	ganz	ganz	A	ADV	_	9	adv	_	_
9	ausnahmsweise	ausnahmsweise	A	ADV	_	11	adv	_	_
10	streng	streng	A	ADJD	Pos|	11	pred	_	_
11	gewesen	sein	V	VAPP	_	7	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	aber	aber	K	KON	_	0	root	_	_
14	nicht	nicht	P	PTKNEG	_	15	adv	_	_
15	zu	zu	P	APPR	Dat	13	cj	_	_
16	Verdruß	Verdruß	N	NN	Masc|Dat|Sg	15	pn	_	_
17	beider	beide	A	PIDAT	_|Gen|Pl	18	det	1	1
18	van	van	N	NN	_|Gen|Pl	16	gmod	1	1
19	der	die	A	ART	Def|_|Gen|_	20	det	186	186
20	Straatens	Straatens	N	NN	_|Gen|_	18	gmod	186	186
21	,	,	$	$,	_	0	root	186	186
22	die	die	P	PRELS	_|Nom|_	26	subj	186	186
23	vielmehr	vielmehr	A	ADV	_	26	adv	_	_
24	nun	nun	A	ADV	_	26	adv	_	_
25	erst	erst	A	ADV	_	26	adv	_	_
26	wußten	wußten	V	VVFIN	_|_|_|_	20	rel	_	_
27	,	,	$	$,	_	0	root	_	_
28	daß	daß	K	KOUS	_	0	root	_	_
29	der	die	A	ART	Def|_|_|_	0	root	_	_
30	Winter	Winter	N	NN	Masc|Nom|Pl	34	subj	_	_
31	all	all	A	PIDAT	Masc|_|Pl	33	det	_	_
32	seine	seine	A	PPOSAT	Masc|_|Pl	33	det	186	186
33	Pfeile	Pfeil	N	NN	Masc|_|Pl	34	obja	_	_
34	verschossen	verschießen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
35	und	und	K	KON	_	34	kon	_	_
36	unweigerlich	unweigerlich	A	ADJD	Pos|	43	adv	_	_
37	und	und	K	KON	_	36	kon	_	_
38	ohne	ohne	P	APPR	Acc	37	cj	_	_
39	weitere	weit	A	ADJA	Comp|Fem|Acc|Sg|_|	40	attr	_	_
40	Widerstandsmöglichkeit	Widerstandsmöglichkeit	N	NN	Fem|Acc|Sg	38	pn	_	_
41	seinen	seine	A	PPOSAT	Masc|_|Sg	42	det	186	186
42	Rückzug	Rückzug	N	NN	Masc|_|Sg	43	obja	_	_
43	angetreten	antreten	V	VVPP	_	44	aux	_	_
44	habe	haben	V	VAFIN	_|Sg|Pres|_	35	cj	_	_
45	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	erst	erst	A	ADV	_	3	adv	_	_
3	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
4	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
5	freien	frei	A	ADJA	Pos|Neut|Gen|Sg|_|	6	attr	_	_
6	Herzens	Herzen	N	NN	Neut|Gen|Sg	4	gmod	_	_
7	hinaus	hinaus	P	PTKVZ	_	3	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	hinaus	hinaus	A	APZR	_	0	root	_	_
10	ohne	ohne	P	APPR	Acc	0	root	_	_
11	Sorge	Sorge	N	NN	Fem|Acc|Sg	10	pn	_	_
12	vor	vor	P	APPR	Dat	11	pp	_	_
13	frostigen	frostig	A	ADJA	Pos|_|Dat|_|_|	14	attr	_	_
14	Vormittagen	Vormittag	N	NN	_|Dat|_	12	pn	_	_
15	oder	oder	K	KON	_	12	kon	_	_
16	gar	gar	A	ADV	_	17	adv	_	_
17	vor	vor	P	APPR	Dat	15	cj	_	_
18	Eingeschneitwerden	Eingeschneitwerden	N	NN	Neut|Dat|Sg	17	pn	_	_
19	über	über	P	APPR	_	18	pp	_	_
20	Nacht	Nacht	N	NN	Fem|_|Sg	19	pn	213	213
21	.	.	$	$.	_	0	root	_	_

1	Alles	alle	P	PIS	_|_|Sg	2	adv	_	_
2	freute	freuen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	auf	auf	P	APPR	Acc	2	pp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	414	414
6	Umzug	Umzug	N	NN	Masc|Acc|Sg	4	pn	414	414
7	,	,	$	$,	_	0	root	414	414
8	auch	auch	A	ADV	_	10	adv	414	414
9	die	die	A	ART	Def|Neut|Acc|Pl	10	det	414	414
10	Kinder	Kind	N	NN	Neut|Acc|Pl	6	app	414	414
11	,	,	$	$,	_	0	root	_	_
12	am	an	P	APPRART	Dat	2	pp	_	_
13	meisten	meiste	P	PIS	_|Dat|_	12	pn	_	_
14	aber	aber	A	ADV	_	2	adv	_	_
15	van	van	N	NE	_|Nom|Sg	2	subj	1	1
16	der	die	A	ART	Def|_|Gen|_	17	det	8	8
17	Straaten	Straaten	N	NN	_|Gen|_	15	gmod	1	1
18	,	,	$	$,	_	0	root	_	_
19	der	die	P	PRELS	_|_|Sg	0	root	8	8
20	,	,	$	$,	_	0	root	_	_
21	um	um	K	KOUI	_	26	konj	_	_
22	ihn	er	P	PPER	3|Sg|Masc|Acc	26	obja	1	1
23	selber	selber	A	ADV	_	22	adv	_	_
24	sprechen	sprechen	V	VVINF	_	26	obji	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	lassen	lassen	V	VVINF	_	40	neb	_	_
27	,	,	$	$,	_	0	root	_	_
28	»	»	$	$(	_	0	root	_	_
29	unter	unter	P	APPR	Dat	40	pp	_	_
30	allen	alle	A	PIDAT	Fem|Dat|Pl	32	det	_	_
31	vorkommenden	vorkommend	A	ADJA	Pos|Fem|Dat|Pl|_|_	32	attr	_	_
32	Geburtsszenen	Geburtsszene	N	NN	Fem|Dat|Pl	29	pn	_	_
33	einzig	einzig	A	ADJD	Pos|	40	adv	_	_
34	und	und	K	KON	_	33	kon	_	_
35	allein	allein	A	ADV	_	34	cj	_	_
36	der	die	P	PDS	Masc|Nom|Sg	40	subj	_	_
37	des	die	A	ART	Def|Masc|Gen|Sg	38	det	_	_
38	Frühlings	Frühling	N	NN	Masc|Gen|Sg	36	gmod	_	_
39	beizuwohnen	beiwohnen	V	VVIZU	_	40	obji	_	_
40	liebte	lieben	V	VVFIN	3|Sg|Past|_	0	root	_	_
41	«	«	$	$(	_	0	root	_	_
42	.	.	$	$.	_	0	root	_	_

1	Vorher	vorher	A	ADV	_	2	adv	_	_
2	aber	aber	A	ADV	_	3	adv	_	_
3	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
4	noch	noch	A	ADV	_	8	adv	_	_
5	ein	eine	A	ART	Indef|Neut|Nom|Sg	7	det	_	_
6	kleines	klein	A	ADJA	Pos|Neut|Nom|Sg|St|	7	attr	_	_
7	Abschiedsdiner	Abschiedsdiner	N	NN	Neut|Nom|Sg	3	subj	_	_
8	stattfinden	stattfinden	V	VVINF	_	3	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	0	root	_	_
11	zwar	zwar	A	ADV	_	12	adv	_	_
12	unter	unter	P	APPR	Dat	10	cj	_	_
13	ausschließlicher	ausschließlich	A	ADJA	Pos|Fem|Dat|Sg|St|	14	attr	_	_
14	Heranziehung	Heranziehung	N	NN	Fem|Dat|Sg	12	pn	_	_
15	des	die	A	ART	Def|_|Gen|Sg	0	root	_	_
16	dem	die	A	ART	Def|Neut|Dat|Sg	17	det	_	_
17	Hause	Haus	N	NN	Neut|Dat|Sg	0	root	_	_
18	zunächst	zunächst	A	ADV	_	19	adv	349	349
19	stehenden	stehend	A	ADJA	Pos|Masc|Gen|Sg|_|<PPRES	20	attr	349	349
20	Kreises	Kreis	N	NN	Masc|Gen|Sg	17	gmod	349	349
21	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	,	,	$	$,	_	0	root	_	_
5	übrigens	übrigens	A	ADV	_	6	adv	_	_
6	von	von	P	APPR	_	2	pp	_	_
7	mehr	mehr	A	ADV	_	8	adv	_	_
8	verwandtschaftlicher	verwandtschaftlich	A	ADJD	Comp|	6	pn	_	_
9	als	als	K	KOKOM	_	8	kom	_	_
10	befreundeter	befreundet	A	ADJA	Pos|Fem|_|Sg|St|	11	attr	199	199
11	Seite	Seite	N	NN	Fem|_|Sg	9	cj	199	199
12	her	her	A	APZR	_	6	part	_	_
13	,	,	$	$,	_	0	root	_	_
14	in	in	P	APPR	Dat	2	pp	_	_
15	erster	erst	A	ADJA	_|Fem|Dat|Sg|St|	16	attr	_	_
16	Reihe	Reihe	N	NN	Fem|Dat|Sg	14	pn	_	_
17	der	die	A	ART	Def|Masc|Nom|Sg	22	det	222	222
18	in	in	P	APPR	Dat	21	pp	222	222
19	der	die	A	ART	Def|Fem|Dat|Sg	20	det	363	363
20	Alsenstraße	Alsenstraße	N	NE	Fem|Dat|Sg	18	pn	363	363
21	wohnende	wohnend	A	ADJA	Pos|Masc|Nom|Sg|Wk|<PPRES	22	attr	_	_
22	Major	Major	N	NN	Masc|Nom|Sg	2	pred	_	_
23	von	von	P	APPR	_	22	pp	_	_
24	Gryczinski	Gryczinski	N	NE	_|_|_	23	pn	188	188
25	,	,	$	$,	_	0	root	_	_
26	ein	eine	A	ART	Indef|Masc|Nom|Sg	29	det	_	_
27	noch	noch	A	ADV	_	28	adv	_	_
28	junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	29	attr	_	_
29	Offizier	Offizier	N	NN	Masc|Nom|Sg	22	app	_	_
30	mit	mit	P	APPR	Dat	29	pp	_	_
31	abstehendem	abstehend	A	ADJA	Pos|Masc|Dat|Sg|St|<PPRES	35	attr	187	187
32	,	,	$	$,	_	0	root	187	187
33	englisch	englisch	A	ADJD	Pos|	34	adv	187	187
34	gekräuseltem	gekräuselt	A	ADJA	Pos|_|Dat|Sg|St|	31	kon	187	187
35	Backenbart	Backenbart	N	NN	Masc|Dat|Sg	30	pn	187	187
36	und	und	K	KON	_	35	kon	_	_
37	klugen	klug	A	ADJA	Pos|Neut|Dat|Pl|_|	39	attr	_	_
38	blauen	blau	A	ADJA	Pos|Neut|Dat|Pl|_|	39	attr	_	_
39	Augen	Auge	N	NN	Neut|Dat|Pl	36	cj	_	_
40	,	,	$	$,	_	0	root	_	_
41	der	die	P	PRELS	Masc|Nom|Sg	52	subj	187	187
42	vor	vor	P	APPR	Dat	51	pp	_	_
43	etwa	etwa	A	ADV	_	45	adv	_	_
44	drei	drei	C	CARD	_	45	attr	_	_
45	Jahren	Jahr	N	NN	Neut|Dat|Pl	42	pn	_	_
46	die	die	A	ART	Def|_|_|_	48	det	130	130
47	reizende	reizend	A	ADJA	Pos|_|_|_|_|_	48	attr	130	130
48	Jacobine	Jacobine	N	NN	_|_|_	51	obja	130	130
49	de	de	N	NE	_|_|_	48	app	130	130
50	Caparoux	Caparoux	N	NE	_|_|_	49	app	130	130
51	heimgeführt	heimführen	V	VVPP	_	52	aux	_	_
52	hatte	haben	V	VAFIN	3|Sg|Past|Ind	35	rel	_	_
53	,	,	$	$,	_	0	root	_	_
54	eine	eine	A	ART	Indef|Fem|_|Sg	56	det	1359	1359
55	jüngere	jung	A	ADJA	Comp|Fem|_|Sg|_|	56	attr	1359	1359
56	Schwester	Schwester	N	NN	Fem|_|Sg	0	root	1359	1359
57	Melanies	Melanie	N	NE	Fem|Gen|Sg	56	gmod	20	20
58	und	und	K	KON	_	0	root	_	_
59	nicht	nicht	P	PTKNEG	_	60	adv	_	_
60	voll	voll	A	ADJD	Pos|	61	adv	_	_
61	so	so	A	ADV	_	62	adv	_	_
62	schön	schön	A	ADJD	Pos|	58	cj	_	_
63	wie	wie	K	KOKOM	_	62	kom	_	_
64	diese	diese	P	PDS	_|_|_	63	cj	_	_
65	,	,	$	$,	_	0	root	_	_
66	aber	aber	K	KON	_	62	kon	_	_
67	rotblond	rotblond	A	ADJD	Pos|	66	cj	_	_
68	,	,	$	$,	_	0	root	_	_
69	was	was	P	PRELS	Neut|Nom|Sg	79	subj	190	190
70	in	in	P	APPR	Dat	79	pp	_	_
71	den	die	A	ART	Def|Neut|Dat|Pl	72	det	26	26
72	Augen	Auge	N	NN	Neut|Dat|Pl	70	pn	26	26
73	einiger	einige	A	PIAT	_|_|_	75	det	_	_
74	das	die	A	ART	Def|Neut|_|Sg	75	det	_	_
75	Gleichgewicht	Gleichgewicht	N	NN	Neut|_|Sg	79	obja	_	_
76	zwischen	zwischen	P	APPR	_	75	pp	_	_
77	beiden	beide	P	PIS	_|_|Pl	76	pn	_	_
78	wieder	wieder	A	ADV	_	79	adv	_	_
79	herstellte	herstellen	V	VVFIN	3|Sg|Past|_	0	root	_	_
80	.	.	$	$.	_	0	root	_	_

1	Gryczinski	Gryczinski	N	NE	_|Nom|Sg	2	subj	188	188
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	Generalstäbler	Generalstäbler	N	NN	Masc|Nom|_	2	pred	_	_
4	und	und	K	KON	_	2	kon	_	_
5	hielt	halten	V	VVFIN	_|Sg|Past|Ind	4	cj	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	0	root	_	_
8	jeder	jede	P	PIS	_|_|Sg	0	root	_	_
9	dieses	diese	A	PDAT	Masc|Gen|Sg	10	det	_	_
10	Standes	Stand	N	NN	Masc|Gen|Sg	8	gmod	_	_
11	,	,	$	$,	_	0	root	_	_
12	an	an	P	APPR	Dat	0	root	_	_
13	dem	die	A	ART	Def|_|Dat|Sg	14	det	_	_
14	Glauben	Glaube	N	NN	_|Dat|Sg	12	pn	_	_
15	fest	fest	P	PTKVZ	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	daß	daß	K	KOUS	_	28	konj	_	_
18	es	es	P	PPER	3|Sg|Neut|Nom	28	subj	_	_
19	in	in	P	APPR	Dat	28	pp	_	_
20	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
21	ganzen	ganz	A	ADJA	Pos|Fem|Dat|Sg|Wk|	22	attr	_	_
22	Welt	Welt	N	NN	Fem|Dat|Sg	19	pn	_	_
23	nicht	nicht	P	PTKNEG	_	28	adv	_	_
24	zwei	zwei	C	CARD	_	27	attr	_	_
25	so	so	A	ADV	_	26	adv	_	_
26	grundverschiedene	grundverschieden	A	ADJA	Pos|Fem|_|Pl|St|	27	attr	_	_
27	Farben	Farbe	N	NN	Fem|_|Pl	28	obja	_	_
28	gäbe	geben	V	VVFIN	3|Sg|Past|Subj	0	root	_	_
29	wie	wie	K	KOKOM	_	28	kom	_	_
30	das	die	A	ART	Def|Neut|_|Sg	33	det	_	_
31	allgemeine	allgemein	A	ADJA	Pos|Neut|_|Sg|Wk|	33	attr	_	_
32	preußische	preußisch	A	ADJA	Pos|Neut|_|Sg|Wk|	33	attr	_	_
33	Militär-Rot	Militär-Rot	N	NN	Neut|_|Sg	29	cj	_	_
34	und	und	K	KON	_	33	kon	_	_
35	das	die	A	ART	Def|Neut|_|Sg	36	det	_	_
36	Generalstabs-Rot	Generalstabs-Rot	N	NN	Neut|_|Sg	34	cj	_	_
37	.	.	$	$.	_	0	root	_	_

1	Daß	daß	K	KOUS	_	5	konj	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	188	188
3	den	die	A	ART	Def|Masc|Dat|Pl	4	det	_	_
4	Strebern	Streber	N	NN	Masc|Dat|Pl	5	objd	_	_
5	zugehörte	zugehören	V	VVFIN	3|Sg|Past|_	7	objc	_	_
6	,	,	$	$,	_	0	root	_	_
7	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
8	eine	eine	A	ART	Indef|Fem|Nom|Sg	10	det	_	_
9	selbstverständliche	selbstverständlich	A	ADJA	Pos|Fem|Nom|Sg|_|	10	attr	_	_
10	Sache	Sache	N	NN	Fem|Nom|Sg	7	subj	_	_
11	,	,	$	$,	_	0	root	_	_
12	wohl	wohl	A	ADV	_	13	adv	_	_
13	aber	aber	A	ADV	_	14	adv	_	_
14	verdient	verdienen	V	VVFIN	3|Sg|Pres|Ind	7	kon	_	_
15	es	es	P	PPER	3|Sg|Neut|Nom	14	subj	_	_
16	,	,	$	$,	_	0	root	_	_
17	in	in	P	APPR	_	29	pp	_	_
18	Rücksicht	Rücksicht	N	NN	Fem|_|Sg	17	pn	_	_
19	gegen	gegen	P	APPR	Acc	18	pp	_	_
20	den	die	A	ART	Def|Masc|Acc|Sg	21	det	14	14
21	Ernst	Ernst	N	NN	Masc|Acc|Sg	19	pn	14	14
22	der	die	A	ART	Def|Fem|Gen|Sg	23	det	14	14
23	Historie	Historie	N	NN	Fem|Gen|Sg	21	gmod	14	14
24	,	,	$	$,	_	0	root	_	_
25	schon	schon	A	ADV	_	29	adv	_	_
26	an	an	P	APPR	Dat	29	pp	_	_
27	dieser	diese	A	PDAT	Fem|Dat|Sg	28	det	215	215
28	Stelle	Stelle	N	NN	Fem|Dat|Sg	26	pn	215	215
29	hervorgehoben	hervorheben	V	VVPP	_	31	aux	_	_
30	zu	zu	P	PTKZU	_	31	part	_	_
31	werden	werden	V	VAINF	_	14	obji	_	_
32	,	,	$	$,	_	0	root	_	_
33	daß	daß	K	KOUS	_	0	root	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	0	root	188	188
35	,	,	$	$,	_	0	root	_	_
36	alles	alle	A	PIDAT	Neut|Gen|Sg	37	det	_	_
37	Strebertums	Strebertum	N	NN	Neut|Gen|Sg	0	root	_	_
38	unerachtet	unerachtet	A	ADJD	Pos|	0	root	_	_
39	,	,	$	$,	_	0	root	_	_
40	in	in	P	APPR	_	52	pp	_	_
41	allen	alle	A	PIDAT	_|_|_	40	pn	_	_
42	nicht	nicht	P	PTKNEG	_	52	adv	_	_
43	zu	zu	P	APPR	Dat	52	pp	_	_
44	verlockenden	verlockend	A	ADJA	Pos|_|Dat|_|_|<PPRES	45	attr	_	_
45	Fällen	Fall	N	NN	_|Dat|_	43	pn	_	_
46	ein	eine	A	ART	Indef|Neut|Nom|Sg	48	det	_	_
47	bescheidenes	bescheiden	A	ADJA	Pos|Neut|Nom|Sg|St|	48	attr	_	_
48	Maß	Maß	N	NN	Neut|Nom|Sg	52	subj	_	_
49	von	von	P	APPR	_	48	pp	_	_
50	Rücksichtsnahme	Rücksichtsnahme	N	NE	_|_|_	49	pn	_	_
51	gelten	gelten	V	VVINF	_	52	obji	_	_
52	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
53	und	und	K	KON	_	0	root	_	_
54	den	die	A	ART	Def|Masc|Acc|Sg	55	det	_	_
55	Kampf	Kampf	N	NN	Masc|Acc|Sg	53	cj	_	_
56	ums	um	P	APPRART	Acc	55	pp	_	_
57	Dasein	Dasein	N	NN	Neut|Acc|Sg	56	pn	189	189
58	nicht	nicht	P	PTKNEG	_	56	adv	_	_
59	absolut	absolut	A	ADJD	Pos|	0	root	_	_
60	als	als	K	KOKOM	_	66	kom	_	_
61	einen	eine	A	ART	Indef|Masc|Acc|Sg	62	det	_	_
62	Übergang	Übergang	N	NN	Masc|Acc|Sg	60	cj	_	_
63	über	über	P	APPR	Acc	62	pp	_	_
64	die	die	A	ART	Def|Fem|Acc|Sg	65	det	_	_
