1	Leo	Leo	N	NE	Masc|Nom|Sg	2	subj	53	53
43	deren	die	A	PRELAT	Neut|Nom|Sg	44	det	24	24
44	Eintreffen	Eintreffen	N	NN	Neut|Nom|Sg	56	subj	24	24
45	Friederike	Friederike	N	NE	Fem|Nom|Sg	44	app	24	24
46	,	,	$	$,	_	0	root	_	_
47	wenn	wenn	K	KOUS	_	50	konj	_	_
48	sie	sie	P	PPER	3|Sg|Fem|Nom	50	subj	24	24
49	sie	sie	P	PPER	3|_|_|_	50	obja	754	754
50	öffnete	öffnen	V	VVFIN	3|Sg|Past|_	56	neb	_	_
51	,	,	$	$,	_	0	root	_	_
52	jedesmal	jedesmal	A	ADV	_	56	adv	_	_
53	mit	mit	P	APPR	Dat	56	pp	_	_
54	derselben	dieselbe	A	PDAT	Fem|Dat|Sg	55	det	438	438
55	Rede	Rede	N	NN	Fem|Dat|Sg	53	pn	438	438
56	begleitete	begleiten	V	VVFIN	3|Sg|Past|_	41	rel	_	_
57	:	\:	$	$.	_	0	root	_	_
58	»	»	$	$(	_	0	root	_	_
59	Wieder	wieder	A	ADV	_	60	adv	_	_
60	frische	frisch	A	ADJA	Pos|Neut|_|Pl|St|	61	attr	_	_
61	Eier	Ei	N	NN	Neut|_|Pl	64	obja	_	_
62	und	und	K	KON	_	61	kon	_	_
63	alle	alle	P	PIS	_|_|_	62	cj	_	_
64	eingewickelt	einwickeln	V	VVPP	_	0	root	_	_
65	und	und	K	KON	_	0	root	_	_
66	in	in	P	APPR	_	65	cj	_	_
67	Häcksel	Häcksel	N	NN	_|_|Sg	66	pn	_	_
68	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	das	die	P	PRELS	Neut|_|Sg	0	root	_	_
4	laß	laß	V	VVIMP	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	0	root	755	755
6	mir	ich	P	PRF	1|Sg|Dat	7	objd	755	755
7	gefallen	gefallen	V	VVFIN	_|Pl|Pres|_	0	root	755	755
8	,	,	$	$,	_	0	root	755	755
9	gnäd	gnäd	F	FM	_	0	root	755	755
10	'	'	$	$(	_	0	root	755	755
11	ge	ge	N	NE	Fem|_|Sg	9	app	755	755
12	Frau	Frau	N	NN	Fem|_|Sg	11	app	755	755
13	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	erstens	erstens	A	ADV	_	3	adv	_	_
3	kriegt	kriegen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
4	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
5	keine	keine	P	PIS	_|_|_	3	obja	_	_
6	frischen	frischen	V	VVINF	_	3	obji	_	_
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	11	konj	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
10	auch	auch	A	ADV	_	11	adv	_	_
11	draufsteht	draufstehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	11	kon	_	_
14	zweitens	zweitens	A	ADV	_	15	adv	_	_
15	sind	sein	V	VAFIN	3|Pl|Pres|Ind	13	cj	_	_
16	Eier	Ei	N	NN	Neut|Nom|Pl	15	subj	756	756
17	doch	doch	A	ADV	_	15	adv	_	_
18	immer	immer	A	ADV	_	19	adv	_	_
19	besser	gut	A	ADJD	Comp|	15	pred	_	_
20	,	,	$	$,	_	0	root	_	_
21	als	als	K	KOKOM	_	0	root	_	_
22	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
23	eben	eben	A	ADV	_	25	adv	_	_
24	erst	erst	A	ADV	_	25	adv	_	_
25	geschlachtet	schlachten	V	VVPP	_	0	root	_	_
26	is	is	F	FM	_	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Ente	Ente	N	NN	Fem|Nom|Sg	2	subj	_	_
2	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	noch	noch	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	weil	weil	K	KOUS	_	8	konj	_	_
6	Ente	Ente	N	NN	Fem|Nom|Sg	8	subj	_	_
7	fett	fett	A	ADJD	Pos|	8	pred	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	neb	_	_
9	;	;	$	$.	_	0	root	_	_
10	aber	aber	K	KON	_	0	root	_	_
11	schon	schon	A	ADV	_	12	adv	_	_
12	bei	bei	P	APPR	Dat	14	pp	_	_
13	Hühnern	Huhn	N	NN	Neut|Dat|Pl	12	pn	_	_
14	fängt	fangen	V	VVFIN	3|Sg|Pres|Ind	10	cj	_	_
15	es	es	P	PPER	3|Sg|Neut|Nom	14	subj	_	_
16	an	an	P	PTKVZ	_	14	avz	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	14	kon	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	18	cj	_	_
20	es	es	P	PPER	3|Sg|Neut|Nom	19	subj	_	_
21	gar	gar	A	ADV	_	22	adv	_	_
22	Kalb	Kalb	N	NN	Neut|Nom|Sg	19	pred	_	_
23	,	,	$	$,	_	0	root	_	_
24	dann	dann	A	ADV	_	25	adv	_	_
25	hat	haben	V	VAFIN	3|Sg|Pres|Ind	19	kon	_	_
26	es	es	P	PPER	3|Sg|Neut|Nom	25	subj	_	_
27	immer	immer	A	ADV	_	25	adv	_	_
28	einen	eine	A	ART	Indef|Masc|Acc|Sg	29	det	_	_
29	Stich	Stich	N	NN	Masc|Acc|Sg	25	obja	_	_
30	...	...	$	$.	_	0	root	_	_

1	Un	Un	N	NE	_	0	root	82	82
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	755	755
3	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	755	755
4	auch	auch	A	ADV	_	7	adv	755	755
5	gleich	gleich	A	ADJD	Pos|	7	adv	755	755
6	eins	eins	C	CARD	_	7	obja	755	755
7	kochen	kochen	V	VVINF	_	3	aux	755	755
8	,	,	$	$,	_	0	root	755	755
9	gnäd	gnäd	F	FM	_	0	root	755	755
10	'	'	$	$(	_	0	root	755	755
11	ge	ge	N	NE	Fem|_|Sg	9	app	755	755
12	Frau	Frau	N	NN	Fem|_|Sg	11	app	755	755
13	;	;	$	$.	_	0	root	_	_
14	Sie	sie	P	PPER	3|Pl|_|Nom	15	subj	756	756
15	müssen	müssen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
16	sich	sie	P	PRF	3|_|Dat	20	objd	_	_
17	auch	auch	A	ADV	_	20	adv	_	_
18	mal	mal	A	ADV	_	20	adv	_	_
19	was	was	P	PIS	_	20	obja	_	_
20	gönnen	gönnen	V	VVINF	_	15	aux	_	_
21	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	wahr	wahr	A	ADJD	Pos|	2	pred	_	_
4	,	,	$	$,	_	0	root	_	_
5	Sie	sie	P	PPER	3|Pl|_|Nom	6	subj	756	756
6	haben	haben	V	VAFIN	3|Pl|Pres|_	2	kon	_	_
7	ja	ja	A	ADV	_	6	adv	_	_
8	die	die	A	ART	Def|_|_|Pl	9	det	_	_
9	Bonbons	Bonbon	N	NN	_|_|Pl	6	obja	_	_
10	,	,	$	$,	_	0	root	_	_
11	aber	aber	K	KON	_	6	kon	_	_
12	das	die	P	PDS	Neut|Nom|Sg	13	subj	_	_
13	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	11	cj	_	_
14	keine	keine	A	PIAT	Fem|_|Sg	15	det	_	_
15	Kraft	Kraft	N	NN	Fem|_|Sg	13	obja	_	_
16	un	un	F	FM	Fem|_|Sg	15	app	_	_
17	is	is	F	FM	Fem|_|Sg	16	app	_	_
18	bloß	bloß	A	ADV	_	13	adv	_	_
19	von	von	P	APPR	_	13	pp	_	_
20	wegen	wegen	P	APPR	Dat	19	pp	_	_
21	den	die	A	ART	Def|Masc|Dat|Pl	22	det	_	_
22	Husten	Husten	N	NN	Masc|Dat|Pl	20	pn	_	_
23	.	.	$	$.	_	0	root	_	_
24	«	«	$	$(	_	0	root	_	_

1	Sophiens	Sophiens	N	NE	_|Gen|_	2	gmod	757	757
2	Briefe	Brief	N	NN	Masc|Nom|Pl	3	subj	757	757
3	teilten	teilen	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	der	die	A	ART	Def|Fem|_|Sg	7	det	670	670
7	Zeit	Zeit	N	NN	Fem|_|Sg	0	root	670	670
8	nach	nach	P	PTKVZ	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	in	in	P	APPR	Acc	0	root	_	_
11	solche	solche	P	PIS	_|Acc|_	10	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	die	die	P	PRELS	_|_|_	0	root	670	670
14	sich	sie	P	PRF	3|_|_	0	root	_	_
15	mit	mit	P	APPR	Dat	0	root	_	_
16	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	18	det	670	670
17	fortschreitenden	fortschreitend	A	ADJA	Pos|Fem|Dat|Sg|Wk|<PPRES	18	attr	_	_
18	Genesung	Genesung	N	NN	Fem|Dat|Sg	15	pn	_	_
19	und	und	K	KON	_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	als	als	K	KOUS	_	25	konj	_	_
22	diese	diese	P	PDS	Fem|Nom|Sg	25	subj	_	_
23	schließlich	schließlich	A	ADV	_	25	adv	_	_
24	da	da	A	ADV	_	25	adv	_	_
25	war	sein	V	VAFIN	3|Sg|Past|Ind	31	neb	_	_
26	,	,	$	$,	_	0	root	_	_
27	mit	mit	P	APPR	Dat	31	pp	_	_
28	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	30	det	757	757
29	malerischen	malerisch	A	ADJA	Pos|Fem|Dat|Sg|Wk|	30	attr	_	_
30	Tätigkeit	Tätigkeit	N	NN	Fem|Dat|Sg	27	pn	_	_
31	beschäftigten	beschäftigen	V	VVFIN	_|Pl|Past|_	19	cj	_	_
32	.	.	$	$.	_	0	root	_	_

1	Diese	diese	A	PDAT	Masc|_|Pl	2	det	758	758
2	Briefe	Brief	N	NN	Masc|_|Pl	4	obja	758	758
3	zu	zu	P	PTKZU	_	4	part	_	_
4	lesen	lesen	V	VVINF	_	5	aux	_	_
5	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	immer	immer	A	ADV	_	4	adv	_	_
7	ein	eine	A	ART	Indef|Neut|Nom|Sg	8	det	759	759
8	Vergnügen	Vergnügen	N	NN	Neut|Nom|Sg	5	subj	759	759
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	0	root	_	_
11	einzelne	einzeln	A	ADJA	Pos|_|_|_|_|	10	cj	_	_
12	davon	davon	P	PROAV	_	13	pp	_	_
13	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
14	Manon	Manon	N	NE	_|Nom|Sg	13	subj	39	39
15	sogar	sogar	A	ADV	_	13	adv	_	_
16	mit	mit	A	ADV	_	13	adv	_	_
17	zu	zu	P	APPR	Dat	13	objp	_	_
18	Bartensteins	Bartenstein	N	NN	Masc|Gen|Sg	17	pn	125	125
19	,	,	$	$,	_	0	root	_	_
20	um	um	K	KOUI	_	26	konj	_	_
21	sie	sie	P	PPER	3|_|_|_	26	obja	759	759
22	da	da	A	ADV	_	26	adv	_	_
23	zum	zu	P	APPRART	Dat	26	objp	_	_
24	besten	gut	A	ADJA	Sup|_|Dat|_|_|	23	pn	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	geben	geben	V	VVINF	_	13	neb	_	_
27	,	,	$	$,	_	0	root	_	_
28	aber	aber	K	KON	_	13	kon	_	_
29	freilich	freilich	A	ADV	_	43	adv	_	_
30	meist	meist	A	ADV	_	43	adv	_	_
31	nur	nur	A	ADV	_	43	adv	_	_
32	,	,	$	$,	_	0	root	_	_
33	wenn	wenn	K	KOUS	_	37	konj	_	_
34	der	die	A	ART	Def|Masc|Nom|Sg	35	det	265	265
35	Alte	Alt	N	NN	Masc|Nom|Sg	37	subj	265	265
36	zugegen	zugegen	A	ADJD	Pos|	37	pred	_	_
37	war	sein	V	VAFIN	3|Sg|Past|Ind	43	neb	_	_
38	,	,	$	$,	_	0	root	_	_
39	der	die	A	ART	Def|_|_|_	41	part	_	_
40	so	so	A	ADV	_	41	adv	_	_
41	was	was	P	PIS	_|Nom|Sg	43	subj	_	_
42	gern	gern	A	ADV	_	43	adv	_	_
43	hörte	hören	V	VVFIN	3|Sg|Past|_	28	cj	_	_
44	,	,	$	$,	_	0	root	_	_
45	während	während	K	KOUS	_	52	konj	_	_
46	die	die	A	ART	Def|Fem|Nom|Pl	47	det	46	46
47	Damen	Dame	N	NN	Fem|Nom|Pl	52	subj	46	46
48	eigentlich	eigentlich	A	ADV	_	52	adv	_	_
49	nur	nur	A	ADV	_	52	adv	_	_
50	aus	aus	P	APPR	Dat	52	objp	_	_
51	Artigkeit	Artigkeit	N	NN	Fem|Dat|Sg	50	pn	_	_
52	folgten	folgen	V	VVFIN	3|Pl|Past|_	43	neb	_	_
53	.	.	$	$.	_	0	root	_	_

1	Flora	Flora	N	NE	Fem|Nom|Sg	16	subj	760	760
2	(	(	$	$(	_	0	root	760	760
3	vielleicht	vielleicht	A	ADV	_	4	adv	760	760
4	weil	weil	K	KOUS	_	14	konj	760	760
5	sie	sie	P	PPER	3|Sg|Fem|Nom	14	subj	760	760
6	wegen	wegen	P	APPR	Gen	14	pp	_	_
7	eines	eine	A	ART	Indef|Masc|Gen|Sg	9	det	_	_
8	geplanten	geplant	A	ADJA	Pos|Masc|Gen|Sg|_|	9	attr	_	_
9	Ausfluges	Ausflug	N	NN	Masc|Gen|Sg	6	pn	_	_
10	nach	nach	P	APPR	Dat	9	pp	_	_
11	Olympia	Olympia	N	NE	Neut|Dat|Sg	10	pn	_	_
12	gerade	gerade	A	ADV	_	14	adv	_	_
13	Neugriechisch	Neugriechisch	N	NN	Neut|_|Sg	14	obja	761	761
14	lernte	lernen	V	VVFIN	3|Sg|Past|_	1	par	_	_
15	)	)	$	$(	_	0	root	_	_
16	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
17	eine	eine	A	ART	Indef|Fem|_|Sg	18	det	_	_
18	Neigung	Neigung	N	NN	Fem|_|Sg	16	obja	_	_
19	,	,	$	$,	_	0	root	_	_
20	alles	alle	P	PIS	_|_|Sg	25	obja	_	_
21	»	»	$	$(	_	0	root	_	_
22	unbedeutend	unbedeutend	A	ADJD	Pos|_	25	pred	_	_
23	«	«	$	$(	_	0	root	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	finden	finden	V	VVINF	_	16	obji	_	_
26	,	,	$	$,	_	0	root	_	_
27	was	was	P	PRELS	Neut|_|Sg	0	root	761	761
28	Manon	Manon	N	NN	_	0	root	39	39
29	,	,	$	$,	_	0	root	_	_
30	so	so	A	ADV	_	31	adv	_	_
31	verliebt	verlieben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
32	sie	sie	P	PPER	3|Sg|Fem|Nom	31	subj	760	760
33	in	in	P	APPR	Acc	31	pp	_	_
34	die	die	A	ART	Def|Fem|Acc|Sg	35	det	762	762
35	Freundin	Freundin	N	NN	Fem|Acc|Sg	33	pn	762	762
36	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
37	,	,	$	$,	_	0	root	_	_
38	doch	doch	K	KON	_	0	root	_	_
39	bestimmte	bestimmt	A	ADJA	Pos|_|_|_|_|	38	cj	_	_
40	,	,	$	$,	_	0	root	_	_
41	mit	mit	P	APPR	Dat	48	pp	_	_
42	ihren	ihre	A	PPOSAT	Fem|Dat|Pl	43	det	760	760
43	Mitteilungen	Mitteilung	N	NN	Fem|Dat|Pl	41	pn	_	_
44	schließlich	schließlich	A	ADV	_	48	adv	_	_
45	etwas	etwas	A	ADV	_	46	adv	_	_
46	zurückhaltender	zurückhaltend	A	ADJD	Comp|_	48	pred	_	_
47	zu	zu	P	PTKZU	_	48	part	_	_
48	sein	sein	V	VAINF	_	0	root	_	_
49	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	5	pp	_	_
2	einem	eine	P	PIS	_|Dat|Sg	1	pn	_	_
3	dieser	diese	A	PDAT	Masc|Gen|Pl	4	det	758	758
4	Briefe	Brief	N	NN	Masc|Gen|Pl	2	gmod	758	758
5	hieß	heißen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
7	:	\:	$	$.	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	Ich	ich	P	PPER	1|Sg|_|Nom	10	subj	765	765
10	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
11	jetzt	jetzt	A	ADV	_	10	adv	_	_
12	bei	bei	P	APPR	Dat	10	pp	_	_
13	der	die	A	ART	Def|Fem|Dat|Sg	14	det	763	763
14	Sündflut	Sündflut	N	NN	Fem|Dat|Sg	12	pn	763	763
15	,	,	$	$,	_	0	root	763	763
16	die	die	P	PRELS	Fem|Nom|Sg	26	subj	763	763
17	ja	ja	A	ADV	_	26	adv	_	_
18	,	,	$	$,	_	0	root	_	_
19	wenn	wenn	K	KOUS	_	21	konj	_	_
20	man	man	P	PIS	_|Nom|Sg	21	subj	_	_
21	will	wollen	V	VMFIN	3|Sg|Pres|Ind	26	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	auch	auch	A	ADV	_	26	adv	_	_
24	ins	in	P	APPRART	Acc	26	objp	_	_
25	Landschaftliche	Landschaftliche	N	NN	_|Acc|_	24	pn	_	_
26	fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	14	rel	_	_
27	.	.	$	$.	_	0	root	_	_

1	Wasser	Wasser	N	NN	Neut|Nom|Sg	2	subj	764	764
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	doch	doch	A	ADV	_	2	adv	_	_
4	auch	auch	A	ADV	_	2	adv	_	_
5	Gegend	Gegend	N	NN	Fem|Nom|Sg	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	Gegend	Gegend	N	NN	Fem|Nom|Sg	9	subj	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	7	cj	_	_
10	Landschaft	Landschaft	N	NN	_|Nom|Sg	9	pred	_	_
11	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	was	was	P	PWS	Neut|_|Sg	1	cj	_	_
3	denkt	denken	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
4	Ihr	ihr	P	PPER	2|Pl|_|Nom	3	subj	766	766
5	nun	nun	A	ADV	_	3	adv	_	_
6	wohl	wohl	A	ADV	_	3	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	11	pred	_	_
9	meine	meine	A	PPOSAT	_|Nom|Sg	10	det	765	765
10	Sündflut	Sündflut	N	NN	_|Nom|Sg	11	subj	_	_
11	aussieht	aussehen	V	VVFIN	3|Sg|Pres|Ind	3	objc	_	_
12	?	?	$	$.	_	0	root	_	_

1	Ganz	ganz	A	ADV	_	2	adv	_	_
2	anders	anders	A	ADV	_	0	root	_	_
3	wie	wie	K	KOKOM	_	2	kom	_	_
4	andre	andere	P	PIS	Neut|_|Sg	3	cj	_	_
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PRELS	Neut|_|Sg	14	obja	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	765	765
8	,	,	$	$,	_	0	root	_	_
9	ohne	ohne	K	KOUI	_	12	konj	_	_
10	unbescheiden	unbescheiden	A	ADJD	Pos|	12	pred	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	sein	sein	V	VAINF	_	15	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	sagen	sagen	V	VVINF	_	15	aux	_	_
15	darf	dürfen	V	VMFIN	1|Sg|Pres|Ind	4	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	weil	weil	K	KOUS	_	28	konj	_	_
18	die	die	A	ART	Def|Fem|Nom|Sg	19	det	774	774
19	Idee	Idee	N	NN	Fem|Nom|Sg	28	subj	774	774
20	nicht	nicht	P	PTKNEG	_	21	adv	_	_
21	von	von	P	APPR	Dat	28	objp	_	_
22	mir	ich	P	PPER	1|Sg|_|Dat	21	pn	765	765
23	,	,	$	$,	_	0	root	_	_
24	sondern	sondern	K	KON	_	21	kon	_	_
25	von	von	P	APPR	Dat	24	cj	_	_
26	Onkel	Onkel	N	NN	Masc|Dat|Sg	25	pn	164	164
27	Eberhard	Eberhard	N	NE	Masc|Dat|Sg	26	app	164	164
28	herrührt	herrühren	V	VVFIN	3|Sg|Pres|Ind	15	neb	_	_
29	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	auch	auch	A	ADV	_	5	adv	_	_
3	eigentlich	eigentlich	A	ADV	_	4	adv	_	_
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	von	von	P	APPR	Dat	1	cj	_	_
6	ihm	er	P	PPER	3|Sg|_|Dat	5	pn	164	164
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	11	adv	_	_
9	Ihr	ihr	P	PPER	2|Pl|_|Nom	12	subj	766	766
10	gleich	gleich	A	ADJD	Pos|	11	adv	_	_
11	hören	hören	V	VVINF	_	12	aux	_	_
12	werdet	werden	V	VAFIN	2|Pl|Pres|_	0	root	_	_
13	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	0	root	_	_
