1	Franziska	Franziska	N	NE	Fem|Nom|Sg	2	subj	148	148
11	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
12	ein	eine	A	ART	Indef|Neut|Nom|Sg	14	det	_	_
13	silberglänzendes	silberglänzend	A	ADJA	Pos|Neut|Nom|Sg|St|_	14	attr	_	_
14	Gewölk	Gewölk	N	NN	Neut|Nom|Sg	11	subj	_	_
15	,	,	$	$,	_	0	root	_	_
16	während	während	K	KOUS	_	30	konj	_	_
17	unten	unten	A	ADV	_	18	adv	_	_
18	im	in	P	APPRART	Dat	30	objp	_	_
19	Tale	Tal	N	NN	Neut|Dat|Sg	18	pn	_	_
20	schon	schon	A	ADV	_	30	adv	_	_
21	die	die	A	ART	Def|Fem|Nom|Sg	27	det	930	930
22	mit	mit	P	APPR	Dat	25	pp	930	930
23	jedem	jede	A	PIAT	Masc|Dat|Sg	24	det	930	930
24	Augenblicke	Augenblick	N	NN	Masc|Dat|Sg	22	pn	930	930
25	bedrücklicher	bedrücklicher	A	ADJD	_	26	adv	930	930
26	werdende	werdende	A	ADJA	_|Fem|Nom|Sg|_	27	attr	930	930
27	Hitze	Hitze	N	NN	Fem|Nom|Sg	30	subj	930	930
28	des	die	A	ART	Def|Masc|Gen|Sg	29	det	476	476
29	Tages	Tag	N	NN	Masc|Gen|Sg	27	gmod	476	476
30	lag	liegen	V	VVFIN	3|Sg|Past|Ind	11	neb	_	_
31	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Neut|_|Sg	2	det	599	599
2	Fähnlein	Fähnlein	N	NN	Neut|_|Sg	0	root	599	599
3	,	,	$	$,	_	0	root	599	599
4	das	die	P	PRELS	Neut|Nom|Sg	7	subj	599	599
5	die	die	A	ART	Def|Fem|_|Sg	6	det	_	_
6	Schützenplatzstelle	Schützenplatzstelle	N	NN	Fem|_|Sg	7	obja	_	_
7	bezeichnete	bezeichnen	V	VVFIN	3|Sg|Past|_	2	rel	_	_
8	,	,	$	$,	_	0	root	_	_
9	hing	hängen	V	VVFIN	_|Sg|Past|Ind	7	kon	_	_
10	schlaff	schlaff	A	ADJD	Pos|	9	adv	_	_
11	am	an	P	APPRART	Dat	9	objp	_	_
12	Mast	Mast	N	NN	_|Dat|Sg	11	pn	_	_
13	herab	herab	A	ADV	_	9	adv	_	_
14	und	und	K	KON	_	9	kon	_	_
15	regte	regen	V	VVFIN	_|Sg|Past|_	14	cj	_	_
16	sich	sie	P	PRF	3|_|_	15	obja	_	_
17	immer	immer	A	ADV	_	18	adv	_	_
18	nur	nur	A	ADV	_	15	adv	_	_
19	,	,	$	$,	_	0	root	_	_
20	wenn	wenn	K	KOUS	_	23	konj	_	_
21	ein	eine	A	ART	Indef|Masc|Nom|Sg	22	det	_	_
22	Luftzug	Luftzug	N	NN	Masc|Nom|Sg	23	subj	_	_
23	ging	gehen	V	VVFIN	3|Sg|Past|Ind	15	neb	_	_
24	.	.	$	$.	_	0	root	_	_

1	Plötzlich	plötzlich	A	ADJD	Pos|	3	adv	_	_
2	aber	aber	A	ADV	_	1	adv	_	_
3	klang	klingen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	_	_
5	Paukenschlag	Paukenschlag	N	NN	Masc|Nom|Sg	3	subj	_	_
6	vereinzelt	vereinzelt	A	ADJD	Pos|	3	pred	_	_
7	und	und	K	KON	_	6	kon	_	_
8	wie	wie	P	PWAV	_	9	adv	_	_
9	zufällig	zufällig	A	ADJD	Pos|	7	cj	_	_
10	herüber	herüber	P	PTKVZ	_	3	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	die	die	A	ART	Def|Fem|_|Sg	14	det	110	110
14	Gräfin	Gräfin	N	NN	Fem|_|Sg	12	cj	110	110
15	,	,	$	$,	_	0	root	_	_
16	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	17	det	110	110
17	Sinnen	Sinn	N	NN	Neut|Dat|Sg	19	objd	_	_
18	dadurch	dadurch	P	PROAV	_	19	pp	_	_
19	entrissen	entreißen	V	VVFIN	_|Pl|Past|_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	nahm	nehmen	V	VVFIN	_|Sg|Past|Ind	19	kon	_	_
22	die	die	A	ART	Def|Fem|_|Sg	23	det	_	_
23	Feder	Feder	N	NN	Fem|_|Sg	21	obja	_	_
24	wieder	wieder	A	ADV	_	23	adv	_	_
25	auf	auf	P	PTKVZ	_	21	avz	_	_
26	und	und	K	KON	_	21	kon	_	_
27	schrieb	schreiben	V	VVFIN	_|Sg|Past|Ind	26	cj	_	_
28	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Lieber	lieb	A	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	_	_
3	Freund	Freund	N	NN	Masc|Nom|Sg	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	5	pp	_	_
2	meinem	meine	A	PPOSAT	Neut|Dat|Sg	3	det	601	601
3	Leben	Leben	N	NN	Neut|Dat|Sg	1	pn	_	_
4	hier	hier	A	ADV	_	1	adv	_	_
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	sich	sie	P	PRF	3|_|_	11	obja	_	_
7	seit	seit	P	APPR	Dat	11	pp	_	_
8	voriger	vorig	A	ADJA	Pos|Fem|Dat|Sg|St|	9	attr	_	_
9	Woche	Woche	N	NN	Fem|Dat|Sg	7	pn	_	_
10	manches	manche	P	PIS	Neut|Nom|Sg	5	subj	_	_
11	geändert	ändern	V	VVPP	_	5	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	5	kon	_	_
14	seit	seit	P	APPR	Dat	16	pp	_	_
15	gestern	gestern	A	ADV	_	14	adv	_	_
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	13	cj	_	_
17	es	es	P	PPER	3|Sg|Neut|Nom	16	subj	_	_
18	ein	eine	A	ART	Indef|_|Nom|Sg	19	det	_	_
19	Saus	Saus	N	NN	_|Nom|Sg	16	pred	_	_
20	und	und	K	KON	_	19	kon	_	_
21	Braus	Braus	N	NE	_|Nom|Sg	20	cj	_	_
22	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	_	4	pp	_	_
2	aller	alle	A	PIDAT	Masc|Nom|Sg	3	det	_	_
3	Frühe	Frühe	N	NN	Masc|Nom|Sg	1	pn	_	_
4	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	Egon	Egon	N	NE	Neut|Nom|Sg	4	subj	600	600
6	Asperg	Asperg	N	NE	Neut|Nom|Sg	5	app	600	600
7	und	und	K	KON	_	6	kon	_	_
8	mit	mit	P	APPR	Dat	12	pp	319	319
9	ihm	er	P	PPER	3|Sg|_|Dat	8	pn	5	5
10	der	die	A	ART	Def|Masc|Nom|Sg	12	det	_	_
11	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	12	attr	_	_
12	Pejevics	Pejevics	N	NN	Masc|Nom|Sg	7	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	der	die	P	PRELS	Masc|Nom|Sg	28	subj	5	5
15	,	,	$	$,	_	0	root	_	_
16	wie	wie	P	PWAV	_	19	adv	_	_
17	Sie	sie	P	PPER	3|Pl|_|Nom	19	subj	602	602
18	vielleicht	vielleicht	A	ADV	_	19	adv	_	_
19	wissen	wissen	V	VVFIN	3|Pl|Pres|_	28	objc	_	_
20	,	,	$	$,	_	0	root	_	_
21	einige	einige	A	PIAT	Fem|Nom|Pl	22	det	_	_
22	Wochen	Woche	N	NN	Fem|Nom|Pl	28	pred	_	_
23	der	die	A	ART	Def|Neut|Gen|Pl	24	det	_	_
24	Rennen	Rennen	N	NN	Neut|Gen|Pl	22	gmod	_	_
25	halber	halber	A	ADV	_	24	adv	_	_
26	in	in	P	APPR	_	28	pp	_	_
27	England	England	N	NE	Neut|_|Sg	26	pn	481	481
28	war	sein	V	VAFIN	3|Sg|Past|Ind	12	rel	_	_
29	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	601	601
2	freute	freuen	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	2	obja	_	_
4	aufrichtig	aufrichtig	A	ADJD	Pos|	2	adv	_	_
5	und	und	K	KON	_	2	kon	_	_
6	beschloß	beschloß	V	VVFIN	_	5	cj	_	_
7	,	,	$	$,	_	0	root	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	476	476
9	Tag	Tag	N	NN	Masc|Acc|Sg	16	obja	476	476
10	in	in	P	APPR	Dat	16	pp	_	_
11	aller	alle	A	PIDAT	Fem|Dat|Sg	12	det	_	_
12	Heiterkeit	Heiterkeit	N	NN	Fem|Dat|Sg	10	pn	_	_
13	mit	mit	P	APPR	Dat	16	pp	_	_
14	ihnen	sie	P	PPER	3|Pl|_|Dat	13	pn	602	602
15	zu	zu	P	PTKZU	_	16	part	_	_
16	verbringen	verbringen	V	VVINF	_	6	obji	_	_
17	,	,	$	$,	_	0	root	_	_
18	würd	würd	F	FM	_|Nom|_	23	pred	_	_
19	'	'	$	$(	_	0	root	_	_
20	aber	aber	A	ADV	_	22	adv	_	_
21	damit	damit	P	PROAV	_	22	pp	_	_
22	gescheitert	scheitern	V	VVPP	_	23	aux	_	_
23	sein	sein	V	VAINF	_	16	kon	_	_
24	,	,	$	$,	_	0	root	_	_
25	wenn	wenn	K	KOUS	_	0	root	_	_
26	ich	ich	P	PPER	1|Sg|_|Nom	0	root	601	601
27	nicht	nicht	P	PTKNEG	_	31	adv	603	603
28	die	die	A	ART	Def|Fem|_|Pl	31	det	603	603
29	beiden	beide	A	PIDAT	Fem|_|Pl	31	attr	603	603
30	jungen	jung	A	ADJA	Pos|Fem|_|Pl|Wk|	31	attr	603	603
31	Damen	Dame	N	NN	Fem|_|Pl	0	root	603	603
32	,	,	$	$,	_	0	root	_	_
33	derer	die	P	PRELS	_|Gen|Pl	0	root	603	603
34	ich	ich	P	PPER	1|Sg|_|Nom	40	subj	601	601
35	neulich	neulich	A	ADV	_	40	adv	_	_
36	schon	schon	A	ADV	_	40	adv	_	_
37	Ihnen	sie	P	PPER	3|Pl|_|Dat	40	objd	602	602
38	gegenüber	gegenüber	P	APPR	Dat	40	pp	_	_
39	Erwägung	Erwägung	N	NN	Fem|Dat|Sg	38	pn	_	_
40	tat	tun	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
41	,	,	$	$,	_	0	root	_	_
42	als	als	K	KOKOM	_	45	kom	_	_
43	Hilfstruppe	Hilfstruppe	N	NN	Fem|_|Sg	42	cj	_	_
44	hätte	haben	V	VAFIN	_|Sg|Past|Subj	0	root	_	_
45	heranziehen	heranziehen	V	VVINF	_	46	aux	_	_
46	können	können	V	VMINF	_	44	aux	_	_
47	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|_|_|Sg	4	det	_	_
2	paar	paar	A	PIDAT	Fem|Nom|Pl	4	attr	_	_
3	junge	jung	A	ADJA	Pos|Fem|Nom|Pl|St|	4	attr	_	_
4	Schauspielerinnen	Schauspielerin	N	NN	Fem|Nom|Pl	5	subj	_	_
5	interessieren	interessieren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
6	eben	eben	A	ADV	_	5	adv	_	_
7	lebhafter	lebhaft	A	ADJD	Comp|	5	adv	_	_
8	als	als	K	KOKOM	_	5	kom	_	_
9	eine	eine	A	ART	Indef|Fem|_|Sg	10	det	_	_
10	Tante	Tante	N	NN	Fem|_|Sg	8	cj	_	_
11	von	von	P	APPR	_	10	pp	_	_
12	beinahe	beinahe	A	ADV	_	13	adv	_	_
13	siebenzig	siebenzig	A	ADJD	Pos|	11	pn	_	_
14	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	heute	heute	A	ADV	_	3	adv	_	_
3	mehr	mehr	A	ADV	_	4	adv	_	_
4	denn	denn	K	KOKOM	_	1	cj	_	_
5	je	je	A	ADV	_	4	cj	_	_
6	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	die	die	A	ART	Def|Neut|Nom|Pl	3	det	604	604
3	Dinge	Ding	N	NN	Neut|Nom|Pl	12	subj	604	604
4	,	,	$	$,	_	0	root	604	604
5	die	die	P	PRELS	Neut|Nom|Pl	10	subj	604	604
6	für	für	P	APPR	Acc	10	pp	_	_
7	uns	wir	P	PPER	1|Pl|_|Acc	6	pn	_	_
8	das	die	A	ART	Def|Neut|_|Sg	9	det	157	157
9	Leben	Leben	N	NN	Neut|_|Sg	10	obja	157	157
10	ausmachen	ausmachen	V	VVFIN	3|Pl|Pres|_	3	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	erscheinen	erscheinen	V	VVFIN	3|Pl|Pres|_	1	cj	_	_
13	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	601	601
14	in	in	P	APPR	_	12	pp	_	_
15	den	die	A	ART	Def|_|_|_	16	det	_	_
16	Herzen	Herzen	N	NN	_|_|_	14	pn	_	_
17	der	die	A	ART	Def|Fem|Gen|Sg	19	det	605	605
18	gegenwärtigen	gegenwärtig	A	ADJA	Pos|Fem|Gen|Sg|Wk|	19	attr	605	605
19	Generation	Generation	N	NN	Fem|Gen|Sg	16	gmod	605	605
20	um	um	P	APPR	_	12	pp	_	_
21	noch	noch	A	ADV	_	22	adv	_	_
22	vieles	viele	P	PIS	_|_|Sg	20	pn	_	_
23	erstorbener	erstorben	A	ADJD	Comp|	12	adv	_	_
24	als	als	K	KOKOM	_	0	root	_	_
25	in	in	P	APPR	Dat	0	root	_	_
26	dem	die	P	PRELS	_|Dat|Sg	25	pn	605	605
27	der	die	A	ART	Def|_|_|_	28	det	_	_
28	vorigen	vorig	A	ADJA	_|_|_	0	root	_	_
29	.	.	$	$.	_	0	root	_	_

1	Mein	meine	A	PPOSAT	Masc|Nom|Sg	2	det	601	601
2	Bruder	Bruder	N	NN	Masc|Nom|Sg	3	subj	_	_
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	wenigstens	wenigstens	A	ADV	_	3	adv	_	_
5	noch	noch	A	ADV	_	3	adv	_	_
6	Spott	Spott	N	NN	Masc|_|Sg	3	obja	_	_
7	für	für	P	APPR	Acc	6	pp	_	_
8	diese	diese	A	PDAT	Neut|Acc|Pl	9	det	19	19
9	Dinge	Ding	N	NN	Neut|Acc|Pl	7	pn	19	19
10	,	,	$	$,	_	0	root	19	19
11	Graf	Graf	N	NE	Neut|Acc|Sg	9	app	19	19
12	Egon	Egon	N	NE	Neut|Acc|Sg	11	app	19	19
13	aber	aber	A	ADV	_	15	adv	_	_
14	nur	nur	A	ADV	_	15	adv	_	_
15	Schweigen	Schweigen	N	NN	Neut|Acc|Sg	12	app	_	_
16	und	und	K	KON	_	15	kon	_	_
17	Gleichgültigkeit	Gleichgültigkeit	N	NN	Fem|Acc|Sg	16	cj	1768	1768
18	.	.	$	$.	_	0	root	_	_

1	Indessen	Indessen	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	601	601
4	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	6	adv	_	_
6	anklagen	anklagen	V	VVINF	_	4	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	sondern	sondern	K	KON	_	6	kon	_	_
9	berichten	berichten	V	VVINF	_	8	cj	_	_
10	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	2	det	_	_
2	Ausflug	Ausflug	N	NN	Masc|Nom|Sg	6	subj	_	_
3	in	in	P	APPR	Acc	2	pp	_	_
4	die	die	A	ART	Def|Masc|Acc|Pl	5	det	435	435
5	Berge	Berg	N	NN	Masc|Acc|Pl	3	pn	435	435
6	ward	ward	V	VAFIN	_|Sg|_|_	0	root	_	_
7	also	also	A	ADV	_	8	adv	_	_
8	verabredet	verabreden	V	VVPP	_	6	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Egon	Egon	N	NE	Masc|Nom|Sg	0	root	19	19
2	und	und	K	KON	_	1	kon	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	cj	601	601
4	zu	zu	P	PTKZU	_	5	part	_	_
5	Wagen	wagen	V	VVINF	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	alles	alle	A	PIDAT	Neut|_|Sg	8	det	_	_
8	andere	andere	P	PIS	_|_|_	0	root	_	_
9	zu	zu	P	APPR	Dat	8	pp	_	_
10	Fuß	Fuß	N	NN	Masc|Dat|Sg	9	pn	606	606
11	,	,	$	$,	_	0	root	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	brachen	brechen	V	VVFIN	1|Pl|Past|_	0	root	_	_
14	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	609	609
15	in	in	P	APPR	_	13	pp	_	_
16	zwei	zwei	C	CARD	_	17	attr	657	657
17	Partien	Partie	N	NN	Fem|_|Pl	15	pn	657	657
18	auf	auf	P	PTKVZ	_	13	avz	_	_
19	,	,	$	$,	_	0	root	_	_
20	um	um	K	KOUI	_	28	konj	_	_
21	oben	oben	A	ADV	_	22	adv	_	_
22	auf	auf	P	APPR	Dat	28	pp	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	608	608
24	Kuppe	Kuppe	N	NN	Fem|Dat|Sg	22	pn	608	608
25	von	von	P	APPR	Dat	24	pp	608	608
26	Heiligenkreuz	Heiligenkreuz	N	NN	Neut|Dat|Sg	25	pn	608	608
27	wieder	wieder	A	ADV	_	28	adv	_	_
28	zusammenzutreffen	zusammentreffen	V	VVIZU	_	13	neb	_	_
29	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Pl	4	det	480	480
2	beiden	beide	A	PIDAT	Fem|Nom|Pl	4	attr	480	480
3	jungen	jung	A	ADJA	Pos|Fem|Nom|Pl|Wk|	4	attr	480	480
4	Damen	Dame	N	NN	Fem|Nom|Pl	5	subj	480	480
5	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
6	allerliebst	allerliebst	A	ADJD	_|	5	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PRELS	Neut|_|Sg	0	root	607	607
9	Sie	sie	P	PPER	3|_|_|_	0	root	480	480
10	,	,	$	$,	_	0	root	_	_
11	der	die	P	PRELS	_|_|Sg	0	root	607	607
12	Sie	sie	P	PPER	3|Pl|_|Nom	20	subj	480	480
13	der	die	A	ART	Def|_|_|_	14	det	_	_
14	jüngeren	jung	A	ADJA	_|_|_	20	objd	_	_
15	von	von	P	APPR	Dat	20	pp	_	_
16	Anfang	Anfang	N	NN	Masc|Dat|Sg	15	pn	644	644
17	an	an	A	APZR	_	15	part	_	_
18	Ihre	ihre	A	PPOSAT	Fem|_|Pl	19	det	480	480
19	Sympathien	Sympathie	N	NN	Fem|_|Pl	20	obja	_	_
20	entgegenbrachten	entgegenbringen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	nicht	nicht	P	PTKNEG	_	23	adv	_	_
23	überraschen	überraschen	V	VVINF	_	24	aux	_	_
24	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
25	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	325	325
2	meinerseits	meinerseits	A	ADV	_	1	adv	325	325
3	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	0	root	325	325
4	fast	fast	A	ADV	_	20	adv	325	325
5	der	die	A	ART	Def|_|_|_	6	det	325	325
6	älteren	alt	A	ADJA	Fem|Dat|Sg	20	objd	325	325
7	,	,	$	$,	_	0	root	325	325
8	dem	die	A	ART	Def|Neut|Dat|Sg	9	det	325	325
9	Fräulein	Fräulein	N	NN	Neut|Dat|Sg	6	app	325	325
10	Phemi	Phemi	N	NE	Neut|Dat|Sg	9	app	325	325
11	,	,	$	$,	_	0	root	_	_
12	wie	wie	P	PWAV	_	15	adv	_	_
13	sie	sie	P	PPER	3|Sg|Fem|Nom	16	subj	608	608
14	kurzweg	kurzweg	A	ADV	_	15	adv	_	_
15	genannt	nennen	V	VVPP	_	16	aux	_	_
16	wird	werden	V	VAFIN	3|Sg|Pres|Ind	6	objc	_	_
17	,	,	$	$,	_	0	root	_	_
