1	Van	Van	N	NE	_|Nom|Sg	4	subj	62	62
29	ans	an	P	APPRART	Acc	31	objp	_	_
30	Fenster	Fenster	N	NN	Neut|Acc|_	29	pn	438	438
31	geschoben	schieben	V	VVPP	_	32	aux	_	_
32	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
33	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Kommis	Kommis	N	NN	Masc|Nom|Sg	4	subj	_	_
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|_	8	obja	_	_
6	inzwischen	inzwischen	A	ADV	_	8	adv	_	_
7	wieder	wieder	A	ADV	_	8	adv	_	_
8	entfernt	entfernen	V	VVPP	_	4	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	van	van	F	FM	_	0	root	_	_
11	der	die	P	PRELS	Fem|Dat|Sg	27	objd	_	_
12	Straaten	Straaten	N	NE	_|Nom|Sg	27	subj	8	8
13	aber	aber	A	ADV	_	27	adv	_	_
14	,	,	$	$,	_	0	root	_	_
15	während	während	K	KOUS	_	25	konj	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	20	20
17	Melanie	Melanie	N	NE	Fem|Nom|Sg	16	app	20	20
18	mit	mit	P	APPR	Dat	25	pp	_	_
19	einer	eine	A	ART	Indef|Fem|Dat|Sg	21	det	_	_
20	gewissen	gewiss	A	ADJA	Pos|Fem|Dat|Sg|Wk|	21	attr	_	_
21	Feierlichkeit	Feierlichkeit	N	NN	Fem|Dat|Sg	18	pn	_	_
22	vor	vor	P	APPR	Acc	25	objp	_	_
23	das	die	A	ART	Def|Neut|Acc|Sg	24	det	75	75
24	Bild	Bild	N	NN	Neut|Acc|Sg	22	pn	75	75
25	führte	führen	V	VVFIN	3|Sg|Past|_	27	neb	_	_
26	,	,	$	$,	_	0	root	_	_
27	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
28	:	\:	$	$.	_	0	root	_	_
29	»	»	$	$(	_	0	root	_	_
30	Nun	nun	A	ADV	_	0	root	_	_
31	,	,	$	$,	_	0	root	_	_
32	Lanni	Lanni	N	NE	_	0	root	46	46
33	,	,	$	$,	_	0	root	_	_
34	wie	wie	P	PWAV	_	35	adv	_	_
35	findest	finden	V	VVFIN	2|Sg|Pres|_	0	root	_	_
36	du	du	P	PPER	2|Sg|_|Nom	35	subj	72	72
37	'	'	$	$(	_	0	root	_	_
38	s	s	P	PPER	_	35	obja	_	_
39	?	?	$	$.	_	0	root	_	_
40	...	...	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	8	8
2	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	dir	du	P	PRF	2|Sg|Dat	7	objd	_	_
4	übrigens	übrigens	A	ADV	_	7	adv	_	_
5	zu	zu	P	APPR	Dat	7	objp	_	_
6	Hilfe	Hilfe	N	NN	Fem|Dat|Sg	5	pn	_	_
7	kommen	kommen	V	VVINF	_	2	aux	_	_
8	...	...	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|_|_|Sg	2	det	117	117
2	Tintoretto	Tintoretto	N	NN	_|_|Sg	0	root	117	117
3	.	.	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Kopie	Kopie	N	NN	Fem|_|Sg	0	root	_	_
3	?	?	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Freilich	freilich	A	ADV	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	stotterte	stottern	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	van	van	N	NE	_|Nom|Sg	5	subj	1	1
7	der	die	A	ART	Def|_|Gen|_	8	det	8	8
8	Straaten	Straaten	N	NN	_|Gen|_	6	gmod	1	1
9	etwas	etwas	A	ADV	_	5	adv	_	_
10	verlegen	verlegen	V	VVINF	_	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Originale	Original	N	NN	_|Nom|Pl	3	subj	_	_
3	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	hergegeben	hergeben	V	VVPP	_	3	aux	_	_
6	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	würden	werden	V	VAFIN	3|Pl|Past|Subj	1	cj	_	_
3	auch	auch	A	ADV	_	6	adv	_	_
4	meine	meine	A	PPOSAT	Neut|Nom|Pl	5	det	76	76
5	Mittel	Mittel	N	NN	Neut|Nom|Pl	2	subj	_	_
6	übersteigen	übersteigen	V	VVINF	_	2	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Dennoch	dennoch	A	ADV	_	2	adv	_	_
2	dächt	dächt	C	CARD	_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	0	root	76	76
5	...	...	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	Melanie	Melanie	N	NE	Fem|Nom|Sg	2	subj	20	20
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	mittlerweile	mittlerweile	A	ADV	_	11	adv	_	_
4	die	die	A	ART	Def|Fem|_|Pl	5	det	_	_
5	Hauptfiguren	Hauptfigur	N	NN	Fem|_|Pl	11	obja	_	_
6	des	die	A	ART	Def|Neut|Gen|Sg	7	det	75	75
7	Bildes	Bild	N	NN	Neut|Gen|Sg	5	gmod	75	75
8	mit	mit	P	APPR	Dat	11	pp	_	_
9	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	10	det	20	20
10	Lorgnon	Lorgnon	N	NN	Neut|Dat|Sg	8	pn	_	_
11	gemustert	mustern	V	VVPP	_	2	aux	_	_
12	und	und	K	KON	_	2	kon	_	_
13	sagte	sagen	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	jetzt	jetzt	A	ADV	_	13	adv	_	_
15	:	\:	$	$.	_	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	Ah	Ah	N	NN	Fem|_|Sg	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	l	l	F	FM	Fem|_|Sg	17	app	_	_
20	'	'	$	$(	_	0	root	_	_
21	Adultera	Adultera	N	NE	Fem|_|Sg	19	app	_	_
22	!	!	$	$.	_	0	root	_	_
23	...	...	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	erkenn	erkennen	V	VVIMP	Sg	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	0	root	76	76
5	'	'	$	$(	_	0	root	_	_
6	s.	s.	N	NE	_	0	root	77	77

1	Aber	aber	K	KON	_	0	root	_	_
2	daß	daß	K	KOUS	_	7	konj	_	_
3	du	du	P	PPER	2|Sg|_|Nom	7	subj	_	_
4	gerade	gerade	A	ADV	_	5	adv	_	_
5	das	die	P	PDS	Neut|_|Sg	6	obja	_	_
6	wählen	wählen	V	VVINF	_	7	aux	_	_
7	mußtest	müssen	V	VMFIN	2|Sg|Past|Ind	1	cj	_	_
8	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	eigentlich	eigentlich	A	ADV	_	6	adv	_	_
4	ein	eine	A	ART	Indef|Neut|Nom|Sg	6	det	_	_
5	gefährliches	gefährlich	A	ADJA	Pos|Neut|Nom|Sg|St|	6	attr	_	_
6	Bild	Bild	N	NN	Neut|Nom|Sg	2	subj	_	_
7	,	,	$	$,	_	0	root	_	_
8	fast	fast	A	ADV	_	10	adv	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	gefährlich	gefährlich	A	ADJD	Pos|	2	pred	_	_
11	wie	wie	K	KOKOM	_	10	kom	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	_	_
13	Spruch	Spruch	N	NN	Masc|Nom|Sg	11	cj	_	_
14	...	...	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	pred	_	_
2	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	77	77
4	doch	doch	A	ADV	_	2	adv	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	›	›	N	NE	_|Nom|Sg	8	subj	181	181
3	Wer	wer	P	PWS	_|Nom|Sg	8	pred	_	_
4	unter	unter	P	APPR	_	8	pp	_	_
5	euch	ihr	P	PPER	2|Pl|_|_	4	pn	_	_
6	ohne	ohne	P	APPR	Acc	8	pp	_	_
7	Sünde	Sünde	N	NN	Fem|Acc|Sg	6	pn	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	...	...	$	$.	_	0	root	_	_
10	‹	‹	F	FM	_	0	root	_	_
11	«	«	F	FM	_	10	app	_	_

1	»	»	$	$(	_	0	root	_	_
2	Richtig	richtig	A	ADJD	Pos|	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	20	20
3	kann	können	V	VMFIN	1|Sg|Pres|Ind	1	cj	_	_
4	mir	ich	P	PRF	1|Sg|Dat	6	objd	_	_
5	nicht	nicht	P	PTKNEG	_	6	adv	_	_
6	helfen	helfen	V	VVINF	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|_	9	expl	_	_
9	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	3	kon	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	was	was	A	PIAT	Neut|Nom|Sg	12	det	_	_
12	Ermutigendes	Ermutigende	N	NN	Neut|Nom|Sg	9	subj	_	_
13	darin	darin	P	PROAV	_	9	objp	_	_
14	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dieser	diese	A	PDAT	Masc|Nom|Sg	3	det	_	_
3	Schelm	Schelm	N	NN	Masc|Nom|Sg	6	subj	_	_
4	von	von	P	APPR	_	3	pp	_	_
5	Tintoretto	Tintoretto	N	NE	_|_|_	4	pn	78	78
6	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
7	es	es	P	PPER	3|Sg|Neut|_	13	obja	_	_
8	auch	auch	A	ADV	_	13	adv	_	_
9	ganz	ganz	A	ADV	_	10	adv	_	_
10	in	in	P	APPR	Dat	13	pp	_	_
11	diesem	diese	A	PDAT	Masc|Dat|Sg	12	det	1182	1182
12	Sinne	Sinn	N	NN	Masc|Dat|Sg	10	pn	1182	1182
13	genommen	nehmen	V	VVPP	_	6	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Sieh	sehen	V	VVIMP	Sg	0	root	_	_
2	nur	nur	A	ADV	_	1	adv	_	_
3	!	!	$	$.	_	0	root	_	_
4	...	...	$	$.	_	0	root	_	_

1	Geweint	weinen	V	VVPP	_	2	aux	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	78	78
4	...	...	$	$.	_	0	root	_	_
5	Gewiß	gewiß	A	ADJD	Pos|	0	root	_	_
6	...	...	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	warum	warum	P	PWAV	_	1	cj	_	_
3	?	?	$	$.	_	0	root	_	_

1	Weil	weil	K	KOUS	_	0	root	_	_
2	man	man	P	PIS	_|Nom|Sg	0	root	_	_
3	ihr	ihre	A	PPOSAT	_|_|Sg	0	root	78	78
4	immer	immer	A	ADV	_	5	adv	_	_
5	wieder	wieder	A	ADV	_	8	adv	_	_
6	und	und	K	KON	_	5	kon	_	_
7	wieder	wieder	A	ADV	_	6	cj	_	_
8	gesagt	sagen	V	VVPP	_	9	aux	_	_
9	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	wie	wie	P	PWAV	_	12	adv	_	_
12	schlecht	schlecht	A	ADJD	Pos|	14	adv	_	_
13	sie	sie	P	PPER	3|Sg|Fem|Nom	14	subj	78	78
14	sei	sein	V	VAFIN	3|Sg|Pres|Subj	8	objc	_	_
15	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	glaubt	glauben	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	78	78
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_	0	root	_	_
7	auch	auch	A	ADV	_	6	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	oder	oder	K	KON	_	0	root	_	_
10	will	wollen	V	VMFIN	3|Sg|Pres|Ind	9	cj	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
12	wenigstens	wenigstens	A	ADV	_	13	adv	_	_
13	glauben	glauben	V	VVINF	_	10	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ihr	ihre	A	PPOSAT	_|Nom|Sg	3	det	78	78
3	Herz	Herz	N	NN	_|Nom|Sg	4	subj	79	79
4	wehrt	wehren	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	dagegen	dagegen	P	PROAV	_	4	pp	_	_
7	und	und	K	KON	_	4	kon	_	_
8	kann	können	V	VMFIN	_|Sg|Pres|Ind	7	cj	_	_
9	es	es	P	PPER	3|Sg|Neut|_	11	obja	_	_
10	nicht	nicht	P	PTKNEG	_	11	adv	_	_
11	finden	finden	V	VVINF	_	8	aux	_	_
12	...	...	$	$.	_	0	root	_	_
13	Und	und	K	KON	_	0	root	_	_
14	daß	daß	K	KOUS	_	19	konj	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	80	80
16	dir	du	P	PPER	2|Sg|_|Dat	19	objd	82	82
17	'	'	$	$(	_	0	root	_	_
18	s	s	P	PPER	_	19	obja	79	79
19	gestehe	gestehen	V	VVFIN	1|Sg|Pres|_	13	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	sie	sie	P	PPER	3|Sg|Fem|Nom	22	subj	79	79
22	wirkt	wirken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
23	eigentlich	eigentlich	A	ADV	_	22	adv	_	_
24	rührend	rühren	A	ADJD	_|<PPRES	22	pred	_	_
25	auf	auf	P	APPR	Acc	22	pp	_	_
26	mich	ich	P	PPER	1|Sg|_|Acc	25	pn	80	80
27	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	so	so	A	ADV	_	4	adv	81	81
4	viel	viel	A	PIDAT	Fem|Nom|Sg	5	det	81	81
5	Unschuld	Unschuld	N	NN	Fem|Nom|Sg	2	pred	81	81
6	in	in	P	APPR	Dat	5	pp	81	81
7	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	8	det	81	81
8	Schuld	Schuld	N	NN	Fem|Dat|Sg	6	pn	81	81
9	...	...	$	$.	_	0	root	_	_
10	Und	und	K	KON	_	0	root	_	_
11	alles	alle	P	PIS	_|_|Sg	10	cj	_	_
12	wie	wie	K	KOKOM	_	11	kom	_	_
13	vorherbestimmt	vorherbestimmen	V	VVPP	_	12	cj	_	_
14	.	.	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	Melanie	Melanie	N	NE	Fem|_|Sg	8	vok	20	20
2	,	,	$	$,	_	0	root	_	_
3	während	während	K	KOUS	_	6	konj	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	6	subj	20	20
5	so	so	A	ADV	_	6	adv	_	_
6	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
9	ernster	ernst	A	ADJD	Comp|	10	pred	_	_
10	geworden	werden	V	VAPP	_	8	aux	_	_
11	und	und	K	KON	_	10	kon	_	_
12	von	von	P	APPR	Dat	15	pp	_	_
13	dem	die	A	ART	Def|Neut|Dat|Sg	14	det	75	75
14	Bilde	Bild	N	NN	Neut|Dat|Sg	12	pn	75	75
15	zurückgetreten	zurücktreten	V	VVPP	_	11	cj	_	_
16	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	aber	aber	A	ADV	_	3	adv	_	_
3	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	20	20
5	:	\:	$	$.	_	0	root	_	_
6	»	»	$	$(	_	0	root	_	_
7	Hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
8	du	du	P	PPER	2|Sg|_|Nom	7	subj	82	82
9	schon	schon	A	ADV	_	7	adv	_	_
10	einen	eine	A	ART	Indef|Masc|Acc|Sg	11	det	447	447
11	Platz	Platz	N	NN	Masc|Acc|Sg	7	obja	447	447
12	dafür	dafür	P	PROAV	_	11	pp	447	447
13	?	?	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	hier	hier	A	ADV	_	0	root	_	_
5	.	.	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	Und	und	K	KON	_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	13	13
9	wies	weisen	V	VVFIN	3|Sg|Past|Ind	7	cj	_	_
10	auf	auf	P	APPR	Acc	9	pp	_	_
11	eine	eine	A	ART	Indef|Fem|Acc|Sg	12	det	_	_
12	Wandstelle	Wandstelle	N	NN	Fem|Acc|Sg	10	pn	_	_
