1	Weihnachten	Weihnachten	N	NN	_|Nom|Sg	2	subj	2003	2003
16	jedesmal	jedesmal	A	ADV	_	18	adv	_	_
17	blutsauer	blutsauer	A	ADJD	Pos|	18	pred	_	_
18	wurde	werden	V	VAFIN	3|Sg|Past|Ind	12	objc	_	_
19	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	wiewohl	wiewohl	K	KOUS	_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	0	root	1887	1887
4	unter	unter	P	APPR	Dat	3	pp	_	_
5	Umständen	Umstand	N	NN	Masc|Dat|Pl	4	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	18	adv	_	_
8	vielleicht	vielleicht	A	ADV	_	11	adv	_	_
9	nur	nur	A	ADV	_	11	adv	_	_
10	allzuoft	allzuoft	A	ADJD	_	11	adv	_	_
11	hervorgehoben	hervorheben	V	VVPP	_	18	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	in	in	P	APPR	Dat	11	pp	_	_
14	reizendster	reizend	A	ADJA	Sup|Fem|Dat|Sg|St|_	15	attr	_	_
15	Weise	Weise	N	NN	Fem|Dat|Sg	13	pn	_	_
16	mit	mit	P	APPR	Dat	18	pp	_	_
17	uns	wir	P	PPER	1|Pl|_|Dat	16	pn	1885	1885
18	plaudern	plaudern	V	VVFIN	_|Pl|Pres|_	5	objc	_	_
19	und	und	K	KON	_	18	kon	_	_
20	uns	wir	P	PPER	1|Pl|_|Dat	38	objd	1885	1885
21	durch	durch	P	APPR	Acc	20	pp	_	_
22	freie	frei	A	ADJA	Pos|Masc|Acc|Pl|St|	23	attr	1890	1890
23	Einfälle	Einfall	N	NN	Masc|Acc|Pl	21	pn	1890	1890
24	,	,	$	$,	_	0	root	1890	1890
25	die	die	P	PRELS	Masc|_|Pl	27	obja	1890	1890
26	wir	wir	P	PPER	1|Pl|_|Nom	27	subj	1885	1885
27	verstanden	verstehen	V	VVFIN	1|Pl|Past|Ind	23	rel	_	_
28	oder	oder	K	KON	_	27	kon	_	_
29	auch	auch	A	ADV	_	31	adv	_	_
30	nicht	nicht	P	PTKNEG	_	31	adv	_	_
31	verstanden	verstehen	V	VVPP	_	35	neb	_	_
32	,	,	$	$,	_	0	root	_	_
33	zu	zu	P	PTKZU	_	34	part	_	_
34	vergnügen	vergnügen	V	VVINF	_	31	obji	_	_
35	wußte	wußte	V	VVFIN	_	28	cj	_	_
36	,	,	$	$,	_	0	root	_	_
37	so	so	A	ADV	_	21	adv	_	_
38	war	sein	V	VAFIN	3|Sg|Past|Ind	19	cj	_	_
39	er	er	P	PPER	3|Sg|Masc|Nom	38	subj	1887	1887
40	doch	doch	A	ADV	_	38	adv	_	_
41	ganz	ganz	A	ADV	_	42	adv	_	_
42	unfähig	unfähig	A	ADJD	Pos|	38	pred	_	_
43	,	,	$	$,	_	0	root	_	_
44	etwas	etwas	P	PIS	Neut|_|Sg	65	obja	_	_
45	einer	eine	A	ART	Indef|Fem|_|Sg	47	det	_	_
46	bestimmten	bestimmt	A	ADJA	Pos|Neut|Gen|_|_|	47	attr	_	_
47	Situation	Situation	N	NN	Neut|Gen|_	44	gmod	_	_
48	Anzupassendes	Anzupassende	N	NN	Neut|Gen|_	47	app	_	_
49	,	,	$	$,	_	0	root	_	_
50	also	also	A	ADV	_	51	adv	_	_
51	etwas	etwas	P	PIS	Neut|_|Sg	44	app	_	_
52	für	für	P	APPR	Acc	51	pp	_	_
53	ihn	er	P	PPER	3|Sg|Masc|Acc	52	pn	1887	1887
54	mehr	mehr	A	ADV	_	51	adv	_	_
55	oder	oder	K	KON	_	51	kon	_	_
56	weniger	wenige	A	PIAT	_|_|_	57	det	_	_
57	Zwangsmäßiges	Zwangsmäßiges	N	NN	Neut|_|Sg	55	cj	_	_
58	,	,	$	$,	_	0	root	_	_
59	leicht	leicht	A	ADJD	Pos|	65	adv	_	_
60	und	und	K	KON	_	59	kon	_	_
61	unbefangen	unbefangen	A	ADJD	Pos|	60	cj	_	_
62	zum	zu	P	APPRART	Dat	65	objp	_	_
63	besten	gut	A	ADJA	Sup|_|Dat|_|_|	62	pn	_	_
64	zu	zu	P	PTKZU	_	65	part	_	_
65	geben	geben	V	VVINF	_	38	obji	_	_
66	.	.	$	$.	_	0	root	_	_

1	Sonst	sonst	A	ADV	_	5	adv	_	_
2	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	glücklicher	glücklich	A	ADJA	Pos|Masc|Nom|Sg|St|	5	attr	_	_
5	Humorist	Humorist	N	NN	Masc|Nom|Sg	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	1887	1887
9	den	die	A	ART	Def|Masc|Acc|Sg	11	det	_	_
10	richtigen	richtig	A	ADJA	Pos|Masc|Acc|Sg|_|	11	attr	_	_
11	Ton	Ton	N	NN	Masc|Acc|Sg	16	obja	_	_
12	bei	bei	P	APPR	Dat	16	pp	_	_
13	solchen	solche	A	PIDAT	Fem|Dat|Pl	14	det	_	_
14	Gelegenheiten	Gelegenheit	N	NN	Fem|Dat|Pl	12	pn	_	_
15	nie	nie	A	ADV	_	16	adv	_	_
16	treffen	treffen	V	VVINF	_	7	aux	_	_
17	.	.	$	$.	_	0	root	_	_

1	Am	an	P	APPRART	Dat	3	pp	_	_
2	Weihnachtsabend	Weihnachtsabend	N	NN	Masc|Dat|Sg	1	pn	1916	1916
3	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	dies	dies	P	PDS	Neut|Nom|Sg	3	subj	_	_
5	immer	immer	A	ADV	_	6	adv	_	_
6	sehr	sehr	A	ADV	_	7	adv	_	_
7	stark	stark	A	ADJD	Pos|	3	adv	_	_
8	hervor	hervor	P	PTKVZ	_	3	avz	_	_
9	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1887	1887
2	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	dann	dann	A	ADV	_	2	adv	_	_
4	wohl	wohl	A	ADV	_	2	adv	_	_
5	zu	zu	P	APPR	Dat	2	pp	_	_
6	sich	sie	P	PRF	3|_|Dat	5	pn	_	_
7	selbst	selbst	A	ADV	_	5	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	fast	fast	A	ADV	_	10	adv	_	_
10	als	als	K	KOKOM	_	0	root	_	_
11	ob	ob	K	KOUS	_	19	konj	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	1887	1887
13	sich	sie	P	PRF	3|_|_	19	obja	_	_
14	auf	auf	P	APPR	Acc	19	pp	_	_
15	eine	eine	A	ART	Indef|Fem|Acc|Sg	17	det	_	_
16	richtige	richtig	A	ADJA	Pos|Fem|Acc|Sg|_|	17	attr	_	_
17	Stimmung	Stimmung	N	NN	Fem|Acc|Sg	14	pn	_	_
18	hin	hin	A	APZR	_	14	part	_	_
19	präparierte	präparieren	V	VVFIN	3|Sg|Past|_	0	root	_	_
20	:	\:	$	$.	_	0	root	_	_
21	»	»	$	$(	_	0	root	_	_
22	Ja	ja	P	PTKANT	_	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	das	die	P	PDS	Neut|Nom|Sg	25	subj	_	_
25	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
26	nun	nun	A	ADV	_	25	adv	_	_
27	also	also	A	ADV	_	28	adv	_	_
28	Weihnachten	Weihnachten	N	NN	_|Nom|_	25	pred	_	_
29	...	...	$	$.	_	0	root	_	_
30	An	an	P	APPR	Dat	33	pp	_	_
31	diesem	diese	A	PDAT	Masc|Dat|Sg	32	det	172	172
32	Tage	Tag	N	NN	Masc|Dat|Sg	30	pn	172	172
33	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
34	der	die	A	ART	Def|Masc|Nom|Sg	35	det	_	_
35	Heiland	Heiland	N	NN	Masc|Nom|Sg	33	subj	_	_
36	geboren	gebären	V	VVPP	_	33	aux	_	_
37	...	...	$	$.	_	0	root	_	_
38	ein	eine	A	ART	Indef|Neut|_|Sg	41	det	_	_
39	sehr	sehr	A	ADV	_	40	adv	_	_
40	schönes	schön	A	ADJA	Pos|Neut|_|Sg|St|	41	attr	_	_
41	Fest	Fest	N	NN	Neut|_|Sg	0	root	_	_
42	...	...	$	$.	_	0	root	_	_
43	«	«	$	$(	_	0	root	_	_
44	und	und	K	KON	_	0	root	_	_
45	hinterher	hinterher	A	ADV	_	46	adv	_	_
46	wiederholte	wiederholen	V	VVFIN	3|Sg|Past|_	44	cj	_	_
47	er	er	P	PPER	3|Sg|Masc|Nom	46	subj	1887	1887
48	all	all	A	PIDAT	Neut|_|Pl	50	det	_	_
49	diese	diese	A	PDAT	Neut|_|Pl	50	det	_	_
50	Worte	Wort	N	NN	Neut|_|Pl	46	obja	_	_
51	auch	auch	A	ADV	_	46	adv	_	_
52	wohl	wohl	A	ADV	_	46	adv	_	_
53	zu	zu	P	APPR	Dat	46	pp	_	_
54	uns	wir	P	PPER	1|Pl|_|Dat	53	pn	1885	1885
55	und	und	K	KON	_	46	kon	_	_
56	sah	sehen	V	VVFIN	_|Sg|Past|Ind	55	cj	_	_
57	uns	wir	P	PPER	1|Pl|_|_	56	obja	1885	1885
58	dabei	dabei	P	PROAV	_	56	pp	_	_
59	mit	mit	P	APPR	Dat	56	pp	_	_
60	zurechtgemachter	zurechtgemacht	A	ADJA	Pos|Fem|Dat|Sg|St|	61	attr	_	_
61	Feierlichkeit	Feierlichkeit	N	NN	Fem|Dat|Sg	59	pn	_	_
62	an	an	P	PTKVZ	_	56	avz	_	_
63	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	3	koord	_	_
2	eigentlich	eigentlich	A	ADV	_	3	adv	_	_
3	schwankte	schwanken	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	1887	1887
5	bloß	bloß	A	ADV	_	3	adv	_	_
6	zwischen	zwischen	P	APPR	_	3	pp	_	_
7	Verlegenheit	Verlegenheit	N	NN	Fem|_|Sg	6	pn	1057	1057
8	und	und	K	KON	_	7	kon	_	_
9	Gelangweiltsein	Gelangweiltsein	N	NN	Neut|_|Sg	8	cj	_	_
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	0	root	_	_
12	wenn	wenn	K	KOUS	_	21	konj	_	_
13	dann	dann	A	ADV	_	21	adv	_	_
14	zuletzt	zuletzt	A	ADV	_	16	adv	_	_
15	die	die	A	ART	Def|Fem|Nom|Sg	16	det	_	_
16	Klingel	Klingel	N	NN	Fem|Nom|Sg	21	subj	_	_
17	der	die	A	ART	Def|Fem|Gen|Sg	18	det	436	436
18	Mama	Mama	N	NN	Fem|Gen|Sg	16	gmod	436	436
19	das	die	A	ART	Def|Neut|_|Sg	20	det	1891	1891
20	Zeichen	Zeichen	N	NN	Neut|_|Sg	21	obja	1891	1891
21	gab	geben	V	VVFIN	3|Sg|Past|Ind	11	cj	_	_
22	und	und	K	KON	_	0	root	_	_
23	wir	wir	P	PPER	1|Pl|_|Nom	22	cj	1885	1885
24	nach	nach	P	APPR	Dat	23	pp	_	_
25	dreimaligem	dreimalig	A	ADJA	Pos|_|Dat|Sg|St|	26	attr	_	_
26	Ummarsch	Ummarsch	N	NN	_|Dat|Sg	24	pn	_	_
27	um	um	P	APPR	Acc	26	pp	_	_
28	einen	eine	A	ART	Indef|Masc|Acc|Sg	31	det	_	_
29	kleinen	klein	A	ADJA	Pos|Masc|Acc|Sg|_|	31	attr	_	_
30	runden	rund	A	ADJA	Pos|Masc|Acc|Sg|_|	31	attr	_	_
31	Tisch	Tisch	N	NN	Masc|Acc|Sg	27	pn	_	_
32	und	und	K	KON	_	27	kon	_	_
33	unter	unter	P	APPR	Acc	32	cj	_	_
34	Absingung	Absingung	N	NN	Fem|Acc|Sg	33	pn	_	_
35	eines	eine	A	ART	Indef|Masc|Gen|Sg	42	det	_	_
36	an	an	P	APPR	_	41	pp	_	_
37	Plattheit	Plattheit	N	NN	Fem|_|Sg	36	pn	_	_
38	nicht	nicht	P	PTKNEG	_	41	adv	_	_
39	leicht	leicht	A	ADJD	Pos|	41	adv	_	_
40	zu	zu	P	PTKZU	_	41	part	_	_
41	übertreffenden	übertreffend	A	ADJA	Pos|Masc|Gen|Sg|_|_	42	attr	_	_
42	Verses	Vers	N	NN	Masc|Gen|Sg	34	gmod	_	_
43	:	\:	$	$.	_	0	root	_	_

1	über	über	P	APPR	Acc	0	root	_	_
2	den	die	A	ART	Def|Masc|Acc|Sg	3	det	306	306
3	Flur	Flur	N	NN	Masc|Acc|Sg	1	pn	306	306
4	fort	fort	P	PTKVZ	_	0	root	_	_
5	in	in	P	APPR	Acc	8	pp	_	_
6	das	die	A	ART	Def|Neut|Acc|Sg	7	det	_	_
7	Vorderzimmer	Vorderzimmer	N	NN	Neut|Acc|Sg	5	pn	_	_
8	einmarschierten	einmarschieren	V	VVFIN	_|Pl|Past|_	10	s	_	_
9	,	,	$	$,	_	0	root	_	_
10	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	7	7
12	,	,	$	$,	_	0	root	_	_
13	mein	meine	A	PPOSAT	Masc|Nom|Sg	14	det	_	_
14	Vater	Vater	N	NN	Masc|Nom|Sg	11	app	_	_
15	,	,	$	$,	_	0	root	_	_
16	womöglich	womöglich	A	ADV	_	10	adv	_	_
17	noch	noch	A	ADV	_	10	adv	_	_
18	froher	froh	A	ADJD	Comp|	10	pred	_	_
19	und	und	K	KON	_	18	kon	_	_
20	erlöster	erlöst	A	ADJD	Comp|	19	cj	_	_
21	als	als	K	KOKOM	_	20	kom	_	_
22	wir	wir	P	PPER	1|Pl|_|Nom	21	cj	1885	1885
23	,	,	$	$,	_	0	root	_	_
24	die	die	P	PRELS	_|_|_	32	obja	7	7
25	wir	wir	P	PPER	1|Pl|_|Nom	33	subj	1885	1885
26	bis	bis	P	APPR	Acc	32	pp	_	_
27	dahin	dahin	A	ADV	_	26	adv	_	_
28	doch	doch	A	ADV	_	32	adv	_	_
29	bloß	bloß	A	ADV	_	32	adv	_	_
30	vor	vor	P	APPR	_	32	pp	_	_
31	Ungeduld	Ungeduld	N	NN	Fem|_|Sg	30	pn	_	_
32	gelitten	leiden	V	VVPP	_	33	aux	_	_
33	hatten	haben	V	VAFIN	1|Pl|Past|Ind	22	rel	_	_
34	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	denn	denn	A	ADV	_	2	adv	_	_
5	auch	auch	A	ADV	_	2	adv	_	_
6	an	an	P	APPR	_	0	root	_	_
7	dem	die	A	ART	Def|_|Dat|Sg	0	root	_	_
8	hier	hier	A	ADV	_	9	adv	_	_
9	zu	zu	P	APPR	Dat	0	root	_	_
10	schildernden	schildernd	A	ADJA	Pos|Masc|Dat|Sg|Wk|<PPRES	11	attr	_	_
11	Weihnachtsabend	Weihnachtsabend	N	NN	Masc|Dat|Sg	9	pn	_	_
12	wieder	wieder	A	ADV	_	9	adv	_	_
13	.	.	$	$.	_	0	root	_	_

1	Unser	unsre	A	PPOSAT	Masc|Nom|Sg	2	det	1885	1885
2	Einmarsch	Einmarsch	N	NN	Masc|Nom|Sg	7	subj	_	_
3	unter	unter	P	APPR	_	2	pp	_	_
4	Absingung	Absingung	N	NN	Fem|_|Sg	3	pn	_	_
5	obiger	obig	A	ADJA	Pos|Fem|Gen|Sg|St|	6	attr	_	_
6	Strophe	Strophe	N	NN	Fem|Gen|Sg	4	gmod	_	_
7	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
8	eben	eben	A	ADV	_	9	adv	_	_
9	erfolgt	erfolgen	V	VVPP	_	7	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	7	kon	_	_
12	verwirrt	verwirren	V	VVFIN	_|_|Pres|Ind	11	cj	_	_
13	und	und	K	KON	_	12	kon	_	_
14	befangen	befangen	A	ADJD	Pos|	15	adv	_	_
15	standen	stehen	V	VVFIN	1|Pl|Past|Ind	13	cj	_	_
16	wir	wir	P	PPER	1|Pl|_|Nom	15	subj	1885	1885
17	,	,	$	$,	_	0	root	_	_
18	auf	auf	P	APPR	Acc	21	pp	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	1651	1651
20	Baum	Baum	N	NN	Masc|Acc|Sg	18	pn	1651	1651
21	starrend	starren	A	ADJD	_|<PPRES	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	um	um	K	KOUI	_	0	root	_	_
24	die	die	A	ART	Def|Fem|_|Sg	25	det	993	993
25	Tafel	Tafel	N	NN	Fem|_|Sg	0	root	993	993
26	herum	herum	P	PTKVZ	_	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	bis	bis	K	KOUS	_	36	konj	_	_
29	die	die	A	ART	Def|Fem|Nom|Sg	30	det	436	436
30	Mama	Mama	N	NN	Fem|Nom|Sg	36	subj	436	436
31	uns	wir	P	PPER	1|Pl|_|_	36	obja	1885	1885
32	endlich	endlich	A	ADJD	Pos|	36	adv	_	_
33	bei	bei	P	APPR	Dat	36	pp	_	_
34	der	die	A	ART	Def|Fem|Dat|Sg	35	det	200	200
35	Hand	Hand	N	NN	Fem|Dat|Sg	33	pn	200	200
36	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
37	und	und	K	KON	_	36	kon	_	_
38	sagte	sagen	V	VVFIN	_|Sg|Past|_	37	cj	_	_
39	:	\:	$	$.	_	0	root	_	_
40	»	»	$	$(	_	0	root	_	_
41	Aber	aber	K	KON	_	0	root	_	_
42	nun	nun	A	ADV	_	43	adv	_	_
