1	Ach	ach	I	ITJ	_	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	2	koord	_	_
2	sehen	sehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	894	894
4	,	,	$	$,	_	0	root	_	_
5	die	die	P	PRELS	_|_|_	0	root	894	894
6	,	,	$	$,	_	0	root	_	_
7	die	die	P	PRELS	_|Nom|Pl	9	subj	894	894
8	so	so	A	ADV	_	9	adv	_	_
9	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	die	die	P	PRELS	_|Nom|Pl	12	subj	894	894
12	reden	reden	V	VVFIN	3|Pl|Pres|_	7	rel	_	_
13	immer	immer	A	ADV	_	12	adv	_	_
14	von	von	P	APPR	_	12	pp	_	_
15	sterben	sterben	A	ADJA	_|_|_|_|_	14	pn	_	_
16	und	und	K	KON	_	0	root	_	_
17	Kirchhof	Kirchhof	N	NE	_	16	cj	895	895
18	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	sollen	sollen	V	VMFIN	3|Pl|Pres|_	1	cj	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	894	894
5	sie	sie	P	PPER	3|_|_|_	3	obja	893	893
6	nachher	nachher	A	ADV	_	3	adv	_	_
7	sehn	sehnen	V	VVIMP	Sg	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	Solang	Solang	K	KOUS	_	4	konj	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	6	neb	_	_
5	,	,	$	$,	_	0	root	_	_
6	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	es	es	P	PPER	3|Sg|Neut|Nom	6	subj	_	_
8	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	6	konj	_	_
3	dann	dann	A	ADV	_	6	adv	_	_
4	die	die	A	ART	Def|Fem|Nom|Sg	5	det	896	896
5	Bowle	Bowle	N	NN	Fem|Nom|Sg	6	subj	896	896
6	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
7	und	und	K	KON	_	0	root	_	_
8	wieder	wieder	A	ADV	_	9	adv	_	_
9	leer	leer	A	ADJD	Pos|	7	cj	_	_
10	is	is	F	FM	_	0	root	_	_
11	und	und	K	KON	_	0	root	_	_
12	wieder	wieder	A	ADV	_	13	adv	_	_
13	kommt	kommen	V	VVFIN	_|_|Pres|Ind	11	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	dann	dann	A	ADV	_	16	adv	_	_
16	quietscht	quietschen	V	VVFIN	_|_|Pres|Ind	13	kon	_	_
17	und	und	K	KON	_	16	kon	_	_
18	johlt	johlen	V	VVFIN	_|_|Pres|Ind	17	cj	_	_
19	sie	sie	P	PPER	3|_|_|_	18	obja	896	896
20	.	.	$	$.	_	0	root	_	_

1	Keine	keine	A	PIAT	Fem|_|Sg	2	det	_	_
2	Idee	Idee	N	NN	Fem|_|Sg	0	root	_	_
3	von	von	P	APPR	Dat	2	pp	_	_
4	Anstand	Anstand	N	NN	Masc|Dat|Sg	3	pn	1071	1071
5	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	wo	wo	P	PWAV	_	3	adv	_	_
3	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	1	cj	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	auch	auch	A	ADV	_	6	adv	_	_
6	herkommen	herkommen	V	VVINF	_	3	aux	_	_
7	?	?	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	896	896
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	immer	immer	A	ADV	_	4	adv	_	_
4	bloß	bloß	A	ADJD	Pos|	2	pred	_	_
5	bei	bei	P	APPR	Dat	2	pp	_	_
6	kleinen	klein	A	ADJA	Pos|_|Dat|Pl|_|	7	attr	899	899
7	Leuten	Leute	N	NN	_|Dat|Pl	5	pn	899	899
8	,	,	$	$,	_	0	root	_	_
9	draußen	draußen	A	ADV	_	10	adv	_	_
10	auf	auf	P	APPR	Dat	2	pp	_	_
11	der	die	A	ART	Def|Fem|Dat|Sg	12	det	_	_
12	Chaussee	Chaussee	N	NN	Fem|Dat|Sg	10	pn	_	_
13	nach	nach	P	APPR	Dat	12	pp	_	_
14	Tegel	Tegel	N	NE	_|Dat|_	13	pn	897	897
15	,	,	$	$,	_	0	root	_	_
16	wo	wo	P	PWAV	_	20	adv	_	_
17	kein	keine	A	PIAT	_|Nom|Sg	18	det	900	900
18	Mensch	Mensch	N	NN	_|Nom|Sg	20	subj	900	900
19	recht	recht	A	ADJD	Pos|	20	adv	_	_
20	hinkommt	hinkommen	V	VVFIN	3|Sg|Pres|Ind	2	objc	_	_
21	und	und	K	KON	_	20	kon	_	_
22	bloß	bloß	A	ADV	_	25	adv	_	_
23	mal	mal	A	ADV	_	25	adv	_	_
24	Artillerie	Artillerie	N	NN	Fem|Nom|Sg	25	subj	898	898
25	vorbeifährt	vorbeifahren	V	VVFIN	3|Sg|Pres|Ind	21	cj	_	_
26	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	Artillerie	Artillerie	N	NN	Fem|_|Sg	1	cj	898	898
3	...	...	$	$.	_	0	root	_	_
4	Nu	Nu	N	NN	_|_|Sg	0	root	_	_
5	ja	ja	A	ADV	_	4	adv	_	_
6	...	...	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	899	899
2	glauben	glauben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	gar	gar	A	ADV	_	2	adv	_	_
4	nich	nich	A	ADJD	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	wie	wie	P	PWAV	_	7	adv	_	_
7	verschieden	verschieden	A	ADJD	Pos|	10	adv	_	_
8	das	die	P	PDS	Neut|Nom|Sg	10	subj	_	_
9	alles	alle	P	PIS	Neut|Nom|Sg	8	app	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	objc	_	_
11	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	sie	sie	P	PPER	3|_|_|_	8	obja	899	899
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	465	465
6	Serge	Serge	N	NN	Masc|Nom|Sg	3	subj	465	465
7	da	da	A	ADV	_	8	adv	_	_
8	rausgenommen	rausnehmen	V	VVPP	_	3	aux	_	_
9	und	und	K	KON	_	3	kon	_	_
10	will	wollen	V	VMFIN	_|Sg|Pres|Ind	9	cj	_	_
11	was	was	P	PIS	_	14	obja	_	_
12	aus	aus	P	APPR	Dat	14	objp	_	_
13	ihr	ihr	P	PPER	3|Sg|Fem|Dat	12	pn	900	900
14	machen	machen	V	VVINF	_	10	aux	_	_
15	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	0	root	_	_
4	meine	meine	A	PPOSAT	Fem|_|Sg	5	det	_	_
5	Güte	Güte	N	NN	Fem|_|Sg	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	das	die	P	PDS	Neut|Nom|Sg	8	subj	_	_
10	nicht	nicht	P	PTKNEG	_	8	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	oder	oder	K	KON	_	10	kon	_	_
13	wenigstens	wenigstens	A	ADV	_	14	adv	_	_
14	nicht	nicht	P	PTKNEG	_	16	adv	_	_
15	so	so	A	ADV	_	16	adv	_	_
16	flink	flink	A	ADJD	Pos|	12	cj	_	_
17	;	;	$	$.	_	0	root	_	_
18	gut	gut	A	ADJD	Pos|	19	adv	_	_
19	Ding	Ding	N	NN	Neut|Nom|Sg	20	subj	_	_
20	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
21	Weile	Weile	N	NN	Fem|_|Sg	22	obja	_	_
22	haben	haben	V	VAINF	_	20	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	da	da	A	ADV	_	3	adv	_	_
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	1	cj	_	_
4	ja	ja	A	ADV	_	3	adv	_	_
5	noch	noch	A	ADV	_	3	adv	_	_
6	Erdbeeren	Erdbeere	N	NN	Fem|Nom|Pl	3	subj	902	902
7	.	.	$	$.	_	0	root	_	_

1	Ei	Ei	N	NN	Neut|_|Sg	4	vok	901	901
2	,	,	$	$,	_	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	nett	nett	A	ADJD	Pos|	4	pred	_	_
6	.	.	$	$.	_	0	root	_	_

1	Kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	902	902
3	,	,	$	$,	_	0	root	_	_
4	Kleine	klein	A	ADJA	Pos|_|_|_|_|	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	wir	wir	P	PPER	1|Pl|_|Nom	7	subj	903	903
7	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
8	welche	welche	P	PIS	_|_|_	9	obja	_	_
9	pflücken	pflücken	V	VVINF	_	7	aux	_	_
10	(	(	$	$(	_	0	root	_	_
11	wenn	wenn	K	KOUS	_	0	root	_	_
12	nur	nur	A	ADV	_	15	adv	_	_
13	das	die	A	ART	Def|Neut|_|Sg	15	det	_	_
14	verdammte	verdammt	A	ADJA	Pos|Neut|_|Sg|Wk|	15	attr	_	_
15	Bücken	Bücken	N	NN	Neut|_|Sg	0	root	_	_
16	nicht	nicht	P	PTKNEG	_	15	adv	_	_
17	wär	wär	A	ADJD	_	0	root	_	_
18	'	'	$	$(	_	0	root	_	_
19	)	)	$	$(	_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	0	root	_	_
22	wenn	wenn	K	KOUS	_	27	konj	_	_
23	wir	wir	P	PPER	1|Pl|_|Nom	27	subj	903	903
24	eine	eine	A	ART	Indef|Fem|_|Sg	26	det	_	_
25	recht	recht	A	ADJD	Pos|	26	adv	_	_
26	große	groß	A	ADJA	Fem|_|Sg	27	obja	_	_
27	finden	finden	V	VVFIN	1|Pl|Pres|_	30	neb	_	_
28	,	,	$	$,	_	0	root	_	_
29	dann	dann	A	ADV	_	30	adv	_	_
30	wollen	wollen	V	VMFIN	1|Pl|Pres|_	21	cj	_	_
31	wir	wir	P	PPER	1|Pl|_|Nom	30	subj	903	903
32	sie	sie	P	PPER	3|_|_|_	30	obja	902	902
33	mitnehmen	mitnehmen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
34	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|_|_	2	det	_	_
2	steck	steck	A	ADJA	_|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	0	root	858	858
5	ihm	er	P	PPER	3|Sg|_|Dat	0	root	904	904
6	dann	dann	A	ADV	_	7	adv	_	_
7	in	in	P	APPR	Acc	13	pp	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	220	220
9	Mund	Mund	N	NN	Masc|Acc|Sg	7	pn	220	220
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	7	kon	_	_
12	dann	dann	A	ADV	_	11	cj	_	_
13	freut	freuen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	904	904
15	sich	sie	P	PRF	3|_|_	13	obja	_	_
16	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	902	902
3	müssen	müssen	V	VMFIN	3|Pl|Pres|_	1	cj	_	_
4	wissen	wissen	V	VVINF	_	3	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	904	904
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	_
8	ein	eine	A	ART	Indef|Masc|Nom|Sg	9	det	_	_
9	Mann	Mann	N	NN	Masc|Nom|Sg	7	pred	_	_
10	wie	wie	K	KOKOM	_	7	kom	_	_
11	'	'	$	$(	_	0	root	_	_
12	n	n	A	ADJA	_|Neut|Nom|Sg|_	13	attr	_	_
13	Kind	Kind	N	NN	Neut|Nom|Sg	10	cj	_	_
14	und	und	K	KON	_	13	kon	_	_
15	eigentlich	eigentlich	A	ADV	_	17	adv	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	17	det	_	_
17	Beste	Beste	N	NN	Masc|Nom|Sg	14	cj	_	_
18	.	.	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	Lene	Lene	N	NE	Fem|Nom|Sg	14	subj	17	17
2	,	,	$	$,	_	0	root	17	17
3	die	die	P	PRELS	Fem|Nom|Sg	5	subj	17	17
4	wohl	wohl	A	ADV	_	5	adv	_	_
5	merkte	merken	V	VVFIN	3|Sg|Past|_	1	rel	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	12	konj	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
9	sich	sie	P	PRF	3|_|_	12	obja	_	_
10	um	um	P	APPR	_	12	objp	_	_
11	Balafré	Balafré	N	NE	_|_|_	10	pn	500	500
12	handelte	handeln	V	VVFIN	3|Sg|Past|_	5	objc	_	_
13	,	,	$	$,	_	0	root	_	_
14	tat	tun	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	ein	eine	A	ART	Indef|Neut|_|Sg	17	det	_	_
16	paar	paar	A	PIDAT	_|_|_	17	attr	_	_
17	Fragen	Frage	N	NN	_|_|_	14	obja	_	_
18	und	und	K	KON	_	0	root	_	_
19	frug	frug	T	TRUNC	_	0	root	_	_
20	unter	unter	P	APPR	Dat	0	root	_	_
21	anderm	andere	P	PIS	_|Dat|Sg	20	pn	_	_
22	auch	auch	A	ADV	_	20	adv	_	_
23	wieder	wieder	A	ADV	_	20	adv	_	_
24	,	,	$	$,	_	0	root	_	_
25	warum	warum	P	PWAV	_	32	adv	_	_
26	die	die	A	ART	Def|Masc|Nom|Pl	27	det	118	118
27	Herren	Herr	N	NN	Masc|Nom|Pl	32	subj	118	118
28	eigentlich	eigentlich	A	ADV	_	31	adv	_	_
29	die	die	A	ART	Def|Masc|_|Pl	31	det	_	_
30	sonderbaren	sonderbar	A	ADJA	Pos|Masc|_|Pl|Wk|	31	attr	_	_
31	Namen	Name	N	NN	Masc|_|Pl	32	obja	_	_
32	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
33	?	?	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	17	17
2	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
3	schon	schon	A	ADV	_	6	adv	_	_
4	früher	früh	A	ADJD	_|	6	adv	_	_
5	danach	danach	P	PROAV	_	6	pp	_	_
6	gefragt	fragen	V	VVPP	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	aber	aber	K	KON	_	2	kon	_	_
9	nie	nie	A	ADV	_	10	adv	_	_
10	was	was	P	PIS	_|Nom|Sg	11	subj	_	_
11	gehört	gehören	V	VVFIN	3|Sg|Pres|Ind	8	cj	_	_
12	,	,	$	$,	_	0	root	_	_
13	was	was	P	PRELS	Neut|Nom|Sg	18	subj	_	_
14	der	die	A	ART	Def|Fem|Dat|Sg	15	det	483	483
15	Rede	Rede	N	NN	Fem|Dat|Sg	17	objd	483	483
16	wert	wert	A	ADJD	Pos|	17	pred	_	_
17	gewesen	sein	V	VAPP	_	18	aux	_	_
18	wäre	sein	V	VAFIN	3|Sg|Past|Subj	11	objc	_	_
19	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jott	Jott	N	NE	_	0	root	71	71
3	«	«	$	$(	_	0	root	71	71
4	,	,	$	$,	_	0	root	71	71
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	2	par	71	71
6	die	die	A	ART	Def|Fem|Nom|Sg	7	det	858	858
7	Königin	Königin	N	NN	Fem|Nom|Sg	5	subj	71	71
8	,	,	$	$,	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
11	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	was	was	P	PIS	_|Nom|_	14	pred	_	_
14	sein	sein	V	VAINF	_	11	aux	_	_
15	und	und	K	KON	_	11	kon	_	_
16	soll	sollen	V	VMFIN	_|Sg|Pres|Ind	15	cj	_	_
17	keiner	keine	P	PIS	Fem|Dat|Sg	16	objd	_	_
18	was	was	P	PIS	_	0	root	_	_
19	merken	merken	V	VVINF	_	0	root	_	_
20	und	und	K	KON	_	0	root	_	_
21	is	is	F	FM	_	20	cj	_	_
22	doch	doch	A	ADV	_	23	adv	_	_
23	alles	alle	P	PIS	Fem|_|Sg	0	root	_	_
24	bloß	bloß	A	ADV	_	25	adv	_	_
25	Ziererei	Ziererei	N	NN	Fem|_|Sg	23	app	_	_
26	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	3	koord	_	_
2	erstens	erstens	A	ADV	_	3	adv	_	_
3	kümmert	kümmern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	keiner	keine	P	PIS	Masc|Nom|Sg	3	subj	_	_
6	drum	drum	P	PROAV	_	3	pp	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	wenn	wenn	K	KOUS	_	0	root	_	_
10	sich	sie	P	PRF	3|_|_	0	root	_	_
11	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
12	drum	drum	P	PROAV	_	13	pp	_	_
13	kümmert	kümmern	V	VVFIN	_|_|Pres|_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	is	is	V	VVFIN	3|Sg|_|_	0	root	_	_
16	es	es	P	PPER	3|Sg|Neut|Nom	15	subj	_	_
17	auch	auch	A	ADV	_	15	adv	_	_
18	noch	noch	A	ADV	_	15	adv	_	_
19	so	so	A	ADV	_	15	adv	_	_
20	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	warum	warum	P	PWAV	_	1	cj	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	?	?	$	$.	_	0	root	_	_

1	Wen	wer	P	PWS	_|Acc|Sg	5	obja	_	_
2	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	denn	denn	A	ADV	_	5	adv	_	_
5	schaden	schaden	V	VVINF	_	2	aux	_	_
6	?	?	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	_	_
2	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	alle	alle	A	PIDAT	_|_|_	5	det	_	_
5	nichts	nichts	P	PIS	_|Dat|_	6	objd	_	_
6	vorzuwerfen	vorwerfen	V	VVIZU	_	2	obji	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	2	kon	_	_
9	einer	eine	P	PIS	Masc|Nom|Sg	10	subj	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	8	cj	_	_
11	wie	wie	K	KOKOM	_	10	kom	_	_
12	der	die	A	ART	Def|_|_|_	13	part	_	_
13	andre	andere	P	PIS	Masc|Nom|Sg	11	cj	_	_
14	.	.	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	Lene	Lene	N	NE	_|Nom|Sg	2	subj	17	17
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	vor	vor	P	APPR	_	2	pp	_	_
4	sich	sie	P	PRF	3|_|_	3	pn	_	_
5	hin	hin	A	APZR	_	3	part	_	_
6	und	und	K	KON	_	2	kon	_	_
7	schwieg	schweigen	V	VVFIN	_|Sg|Past|Ind	6	cj	_	_
8	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	eigentlich	eigentlich	A	ADV	_	2	cj	_	_
4	,	,	$	$,	_	0	root	_	_
5	Kind	Kind	N	NN	Neut|_|Sg	0	root	538	538
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	Sie	sie	P	PPER	3|Pl|_|Nom	9	subj	19	19
9	werden	werden	V	VAFIN	3|Pl|Pres|_	7	cj	_	_
10	das	die	P	PDS	Neut|_|Sg	9	obja	_	_
11	auch	auch	A	ADV	_	9	adv	_	_
12	noch	noch	A	ADV	_	9	adv	_	_
13	sehn	sehn	A	ADJD	_	9	pred	_	_
14	,	,	$	$,	_	0	root	_	_
15	eigentlich	eigentlich	A	ADV	_	16	adv	_	_
16	is	is	V	VVFIN	3|Sg|_|_	9	kon	_	_
17	es	es	P	PPER	3|Sg|Neut|Nom	16	subj	_	_
18	alles	alle	P	PIS	Neut|Nom|Sg	17	app	_	_
19	bloß	bloß	A	ADV	_	16	adv	_	_
20	langweilig	langweilig	A	ADJD	Pos|	16	adv	_	_
21	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|Nom|Sg	2	det	905	905
2	Weile	Weile	N	NN	Fem|Nom|Sg	3	subj	905	905
3	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|_	3	expl	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	3	kon	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	907	907
8	will	wollen	V	VMFIN	1|Sg|Pres|Ind	6	cj	_	_
9	nichts	nichts	P	PIS	_	11	obja	_	_
10	dagegen	dagegen	P	PROAV	_	11	pp	_	_
11	sagen	sagen	V	VVINF	_	8	aux	_	_
12	und	und	K	KON	_	8	kon	_	_
13	will	wollen	V	VMFIN	_|Sg|Pres|Ind	12	cj	_	_
14	'	'	$	$(	_	0	root	_	_
15	s	s	P	PPER	_|_|_|Dat	18	objd	905	905
16	auch	auch	A	ADV	_	18	adv	_	_
17	nicht	nicht	P	PTKNEG	_	18	adv	_	_
18	abschwören	abschwören	V	VVINF	_	13	aux	_	_
19	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	die	die	A	ART	Def|Fem|Nom|Sg	3	det	729	729
3	Länge	Länge	N	NN	Fem|Nom|Sg	4	subj	729	729
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
5	die	die	A	ART	Def|Fem|_|Sg	6	det	_	_
6	Last	Last	N	NN	Fem|_|Sg	4	obja	_	_
7	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	von	von	P	APPR	_	0	root	_	_
3	fuffzehn	fuffzehn	N	NE	_|_|_	2	pn	907	907
4	an	an	P	PTKVZ	_	0	root	_	_
5	und	und	K	KON	_	0	root	_	_
6	noch	noch	A	ADV	_	9	adv	_	_
7	nich	nich	A	ADJD	_	9	adv	_	_
8	mal	mal	A	ADV	_	9	adv	_	_
9	eingesegnet	einsegnen	V	VVPP	_	5	cj	_	_
10	.	.	$	$.	_	0	root	_	_

1	Wahrhaftig	wahrhaftig	A	ADJD	Pos|	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	je	je	A	ADV	_	4	adv	_	_
4	bälder	bälder	V	VVFIN	_|Sg|_|_	0	root	_	_
5	man	man	P	PIS	_|Nom|Sg	4	subj	_	_
6	wieder	wieder	A	ADV	_	4	adv	_	_
7	raus	raus	A	ADV	_	8	adv	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	s	_	_
9	,	,	$	$,	_	0	root	_	_
10	desto	desto	A	ADV	_	11	adv	_	_
11	besser	gut	A	ADJD	Comp|	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	906	906
2	kaufe	kaufen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	mir	ich	P	PRF	1|Sg|Dat	2	objd	_	_
4	denn	denn	A	ADV	_	2	adv	_	_
5	(	(	$	$(	_	0	root	_	_
6	denn	denn	A	ADV	_	8	adv	1194	1194
7	das	die	A	ART	Def|Neut|_|Sg	8	det	1194	1194
