1	Zehn	zehn	C	CARD	_	2	attr	_	_
18	mich	ich	P	PPER	1|Sg|_|Acc	21	obja	168	168
19	heute	heute	A	ADV	_	21	adv	_	_
20	magisch	magisch	A	ADJD	Pos|	21	adv	_	_
21	umfangen	umfangen	V	VVFIN	_|Pl|Pres|_	15	rel	_	_
22	?	?	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	kaum	kaum	A	ADV	_	1	cj	_	_
3	daß	daß	K	KOUS	_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	0	root	174	174
5	,	,	$	$,	_	0	root	_	_
6	rasch	rasch	A	ADJD	Pos|	7	adv	_	_
7	genähert	nähern	V	VVPP	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	guten	gut	A	ADJA	Pos|Neut|Gen|Sg|_|	10	attr	_	_
10	Lächelns	Lächeln	N	NN	Neut|Gen|Sg	8	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	jetzt	jetzt	A	ADV	_	13	adv	_	_
13	vortrat	vortreten	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
16	schon	schon	A	ADV	_	15	adv	_	_
17	seine	seine	A	PPOSAT	_|Nom|Sg	18	det	174	174
18	Gegenwart	Gegenwart	N	NN	_|Nom|Sg	15	subj	175	175
19	alle	alle	A	PIDAT	Fem|_|Sg	20	det	_	_
20	Befangenheit	Befangenheit	N	NN	Fem|_|Sg	15	obja	_	_
21	,	,	$	$,	_	0	root	_	_
22	ja	ja	P	PTKANT	_	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	ohne	ohne	P	APPR	Acc	25	konj	_	_
25	daß	daß	K	KOUS	_	0	root	_	_
26	er	er	P	PPER	3|Sg|Masc|Nom	0	root	175	175
27	mich	ich	P	PPER	1|Sg|_|Acc	0	root	168	168
28	gedrängt	gedrängt	A	ADJD	Pos|	0	root	_	_
29	,	,	$	$,	_	0	root	_	_
30	beichtete	beichten	V	VVFIN	1|Sg|Past|_	0	root	_	_
31	ich	ich	P	PPER	1|Sg|_|Nom	30	subj	168	168
32	(	(	$	$(	_	0	root	_	_
33	unfähig	unfähig	A	ADJD	Pos|	30	adv	_	_
34	,	,	$	$,	_	0	root	_	_
35	vor	vor	P	APPR	Dat	39	pp	_	_
36	ihm	er	P	PPER	3|Sg|_|Dat	35	pn	175	175
37	mich	ich	P	PRF	1|Sg|Acc	39	obja	_	_
38	zu	zu	P	PTKZU	_	39	part	_	_
39	verbergen	verbergen	V	VVINF	_	33	obji	_	_
40	)	)	$	$(	_	0	root	_	_
41	,	,	$	$,	_	0	root	_	_
42	mein	meine	A	PPOSAT	Neut|_|Sg	44	det	168	168
43	erstes	erst	A	ADJA	_|Neut|_|Sg|St|	44	attr	_	_
44	Semester	Semester	N	NN	Neut|_|Sg	47	obja	_	_
45	so	so	A	ADV	_	46	adv	_	_
46	ziemlich	ziemlich	A	ADJD	_	47	adv	_	_
47	versäumt	versäumen	V	VVPP	_	49	aux	_	_
48	zu	zu	P	PTKZU	_	49	part	_	_
49	haben	haben	V	VAINF	_	33	obji	_	_
50	.	.	$	$.	_	0	root	_	_

1	Wieder	wieder	A	ADV	_	2	adv	_	_
2	umfing	umfangen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	168	168
4	jener	jene	A	PDAT	Masc|Nom|Sg	7	det	176	176
5	warme	warm	A	ADJA	Pos|Masc|Nom|Sg|Wk|	7	attr	176	176
6	anteilnehmende	anteilnehmend	A	ADJA	Pos|Masc|Nom|Sg|Wk|<PPRES	7	attr	176	176
7	Blick	Blick	N	NN	Masc|Nom|Sg	2	subj	176	176
8	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Auch	auch	A	ADV	_	4	adv	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	_	_
4	Pause	Pause	N	NN	Fem|Nom|Sg	5	subj	_	_
5	gehört	gehören	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	zur	zu	P	APPRART	Dat	5	objp	_	_
7	Musik	Musik	N	NN	Fem|Dat|Sg	6	pn	867	867
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	lächelte	lächeln	V	VVFIN	3|Sg|Past|_	5	s	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	176	176
12	ermutigend	ermutigen	A	ADJD	_|<PPRES	10	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	10	kon	_	_
15	offenbar	offenbar	A	ADJD	Pos|	24	adv	_	_
16	um	um	P	APPR	Acc	24	pp	_	_
17	mich	ich	P	PRF	1|Sg|Acc	16	pn	_	_
18	nicht	nicht	P	PTKNEG	_	24	adv	_	_
19	weiter	weiter	A	ADV	_	24	adv	_	_
20	in	in	P	APPR	Dat	24	pp	_	_
21	meiner	meine	A	PPOSAT	Fem|Dat|Sg	22	det	168	168
22	Unwissenheit	Unwissenheit	N	NN	Fem|Dat|Sg	20	pn	_	_
23	zu	zu	P	PTKZU	_	24	part	_	_
24	beschämen	beschämen	V	VVINF	_	26	obji	_	_
25	,	,	$	$,	_	0	root	_	_
26	erkundigte	erkundigen	V	VVFIN	3|Sg|Past|_	14	cj	_	_
27	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	176	176
28	sich	sie	P	PRF	3|_|_	26	obja	_	_
29	nach	nach	P	APPR	Dat	26	objp	_	_
30	bloß	bloß	A	ADV	_	31	adv	_	_
31	persönlichen	persönlich	A	ADJA	Pos|Neut|Dat|_|_|	32	attr	_	_
32	Dingen	Ding	N	NN	Neut|Dat|_	29	pn	_	_
33	,	,	$	$,	_	0	root	_	_
34	nach	nach	P	APPR	Dat	29	kon	_	_
35	meiner	meine	A	PPOSAT	Fem|Dat|Sg	36	det	168	168
36	Heimat	Heimat	N	NN	Fem|Dat|Sg	34	pn	_	_
37	,	,	$	$,	_	0	root	_	_
38	und	und	K	KON	_	34	kon	_	_
39	wo	wo	P	PWAV	_	38	cj	_	_
40	ich	ich	P	PPER	1|Sg|_|Nom	0	root	168	168
41	hier	hier	A	ADV	_	43	adv	_	_
42	zu	zu	P	PTKZU	_	43	part	_	_
43	wohnen	wohnen	V	VVINF	_	0	root	_	_
44	gedächte	gedächte	V	VVINF	_	0	root	_	_
45	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	4	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	168	168
3	ihm	er	P	PPER	3|Sg|_|Dat	4	objd	176	176
4	mitteilte	mitteilen	V	VVFIN	1|Sg|Past|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	0	root	168	168
7	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
8	bislang	bislang	A	ADV	_	12	adv	_	_
9	noch	noch	A	ADV	_	12	adv	_	_
10	kein	keine	A	PIAT	Neut|Nom|Sg	11	det	_	_
11	Zimmer	Zimmer	N	NN	Neut|Nom|Sg	7	subj	_	_
12	gefunden	finden	V	VVPP	_	7	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	bot	bieten	V	VVFIN	3|Sg|Past|Ind	12	s	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	176	176
16	mir	ich	P	PPER	1|Sg|_|Dat	14	objd	168	168
17	seine	seine	A	PPOSAT	Fem|_|Sg	18	det	176	176
18	Hilfe	Hilfe	N	NN	Fem|_|Sg	14	obja	_	_
19	an	an	P	PTKVZ	_	14	avz	_	_
20	und	und	K	KON	_	14	kon	_	_
21	riet	raten	V	VVFIN	_|Sg|Past|Ind	20	cj	_	_
22	,	,	$	$,	_	0	root	_	_
23	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	168	168
24	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	21	kon	_	_
25	vorerst	vorerst	A	ADV	_	30	adv	_	_
26	in	in	P	APPR	Dat	30	pp	_	_
27	seinem	seine	A	PPOSAT	Neut|Dat|Sg	28	det	176	176
28	Haus	Haus	N	NN	Neut|Dat|Sg	26	pn	_	_
29	mich	ich	P	PPER	1|Sg|_|Acc	30	obja	194	194
30	erkundigen	erkundigen	V	VVINF	_	24	aux	_	_
31	,	,	$	$,	_	0	root	_	_
32	dort	dort	A	ADV	_	33	adv	_	_
33	vermiete	vermieten	V	VVFIN	3|Sg|Pres|Subj	24	kon	_	_
34	eine	eine	A	ART	Indef|Fem|Nom|Sg	38	det	346	346
35	alte	alt	A	ADJA	Pos|Fem|Nom|Sg|_|	38	attr	346	346
36	,	,	$	$,	_	0	root	346	346
37	halbtaube	halbtaub	A	ADJA	Pos|_|Nom|_|_|	35	kon	346	346
38	Frau	Frau	N	NN	Fem|Nom|Sg	33	subj	346	346
39	ein	eine	A	ART	Indef|Neut|_|Sg	41	det	177	177
40	nettes	nett	A	ADJA	Pos|Neut|_|Sg|St|	41	attr	177	177
41	Zimmerchen	Zimmerchen	N	NN	Neut|_|Sg	33	obja	177	177
42	,	,	$	$,	_	0	root	177	177
43	mit	mit	P	APPR	Dat	50	pp	177	177
44	dem	die	P	PRELS	Neut|Dat|Sg	43	pn	177	177
45	jeder	jede	P	PIS	Masc|Nom|Sg	51	subj	_	_
46	seiner	seine	A	PPOSAT	Masc|Gen|Pl	47	det	177	177
47	Schüler	Schüler	N	NN	Masc|Gen|Pl	45	gmod	_	_
48	jeweils	jeweils	A	ADV	_	50	adv	_	_
49	zufrieden	zufrieden	A	ADJD	Pos|	50	pred	_	_
50	gewesen	sein	V	VAPP	_	51	aux	_	_
51	sei	sein	V	VAFIN	3|Sg|Pres|Subj	41	rel	_	_
52	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	für	für	P	APPR	Acc	8	objp	_	_
3	alles	alle	A	PIDAT	Neut|Acc|Sg	4	det	_	_
4	andere	andere	P	PIS	_|Acc|_	2	pn	_	_
5	wolle	wollen	V	VMFIN	3|Sg|Pres|Subj	1	cj	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	176	176
7	selber	selber	A	ADV	_	6	adv	_	_
8	sorgen	sorgen	V	VVINF	_	5	aux	_	_
9	:	\:	$	$.	_	0	root	_	_
10	erfülle	erfüllen	V	VVFIN	1|Sg|Pres|_	23	neb	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	168	168
12	wirklich	wirklich	A	ADJD	Pos|	10	adv	_	_
13	die	die	A	ART	Def|Fem|_|Sg	14	det	_	_
14	Absicht	Absicht	N	NN	Fem|_|Sg	10	obja	_	_
15	,	,	$	$,	_	0	root	_	_
16	das	die	A	ART	Def|Neut|_|Sg	17	det	36	36
17	Studium	Studium	N	NN	Neut|_|Sg	20	obja	36	36
18	ernst	ernst	A	ADJD	Pos|	20	adv	_	_
19	zu	zu	P	PTKZU	_	20	part	_	_
20	nehmen	nehmen	V	VVINF	_	14	obji	_	_
21	,	,	$	$,	_	0	root	_	_
22	so	so	A	ADV	_	23	adv	_	_
23	betrachte	betrachten	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
24	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	176	176
25	es	es	P	PPER	3|Sg|Neut|_	23	obja	_	_
26	als	als	K	KOKOM	_	23	kom	_	_
27	liebste	lieb	A	ADJA	Sup|Fem|_|Sg|_|	28	attr	_	_
28	Pflicht	Pflicht	N	NN	Fem|_|Sg	26	cj	_	_
29	,	,	$	$,	_	0	root	_	_
30	mir	ich	P	PPER	1|Sg|_|Dat	36	objd	168	168
31	in	in	P	APPR	Dat	36	pp	_	_
32	jeder	jede	A	PIDAT	Fem|Dat|Sg	33	det	_	_
33	Weise	Weise	N	NN	Fem|Dat|Sg	31	pn	_	_
34	förderlich	förderlich	A	ADJD	Pos|	36	pred	_	_
35	zu	zu	P	PTKZU	_	36	part	_	_
36	sein	sein	V	VAINF	_	28	obji	_	_
37	.	.	$	$.	_	0	root	_	_

1	Wieder	wieder	A	ADV	_	2	adv	_	_
2	bot	bieten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	176	176
4	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	168	168
5	,	,	$	$,	_	0	root	_	_
6	vor	vor	P	APPR	Dat	9	pp	_	_
7	seiner	seine	A	PPOSAT	Fem|Dat|Sg	8	det	176	176
8	Wohnung	Wohnung	N	NN	Fem|Dat|Sg	6	pn	_	_
9	angelangt	anlangen	V	VVPP	_	2	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	die	die	A	ART	Def|Fem|_|Sg	12	det	68	68
12	Hand	Hand	N	NN	Fem|_|Sg	0	root	68	68
13	und	und	K	KON	_	0	root	_	_
14	lud	laden	V	VVFIN	_|Sg|Past|Ind	13	cj	_	_
15	mich	ich	P	PPER	1|Sg|_|Acc	14	obja	168	168
16	ein	ein	P	PTKVZ	_	14	avz	_	_
17	,	,	$	$,	_	0	root	_	_
18	ihn	er	P	PPER	3|Sg|Masc|Acc	25	obja	176	176
19	am	an	P	APPRART	Dat	25	pp	_	_
20	nächsten	nah	A	ADJA	_|Masc|Dat|Sg|Wk|	21	attr	436	436
21	Abend	Abend	N	NN	Masc|Dat|Sg	19	pn	436	436
22	zu	zu	P	APPR	Dat	25	pp	_	_
23	Hause	Haus	N	NN	Neut|Dat|Sg	22	pn	178	178
24	zu	zu	P	PTKZU	_	25	part	_	_
25	besuchen	besuchen	V	VVINF	_	14	obji	_	_
26	,	,	$	$,	_	0	root	_	_
27	damit	damit	K	KOUS	_	32	konj	_	_
28	wir	wir	P	PPER	1|Pl|_|Nom	32	subj	_	_
29	einen	eine	A	ART	Indef|Masc|Acc|Sg	30	det	_	_
30	Studienplan	Studienplan	N	NN	Masc|Acc|Sg	32	obja	_	_
31	gemeinsam	gemeinsam	A	ADJD	Pos|	32	adv	_	_
32	ausarbeiten	ausarbeiten	V	VVFIN	1|Pl|Pres|_	25	neb	_	_
33	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	groß	groß	A	ADJD	Pos|	4	pred	_	_
4	war	sein	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
5	meine	meine	A	PPOSAT	Fem|Nom|Sg	6	det	168	168
6	Dankbarkeit	Dankbarkeit	N	NN	Fem|Nom|Sg	4	subj	_	_
7	für	für	P	APPR	Acc	6	pp	_	_
8	die	die	A	ART	Def|Fem|Acc|Sg	10	det	_	_
9	unverhoffte	unverhofft	A	ADJA	Pos|Fem|Acc|Sg|_|	10	attr	_	_
10	Güte	Güte	N	NN	Fem|Acc|Sg	7	pn	_	_
11	dieses	diese	A	PDAT	Masc|Gen|Sg	12	det	46	46
12	Menschen	Mensch	N	NN	Masc|Gen|Sg	10	gmod	46	46
13	,	,	$	$,	_	0	root	_	_
14	daß	daß	K	KOUS	_	20	konj	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	168	168
16	nur	nur	A	ADV	_	20	adv	_	_
17	ehrfürchtig	ehrfürchtig	A	ADJD	Pos|	20	adv	_	_
18	seine	seine	A	PPOSAT	Fem|_|Sg	19	det	46	46
19	Hand	Hand	N	NN	Fem|_|Sg	20	obja	_	_
20	ertastete	ertasten	V	VVFIN	1|Sg|Past|_	4	objc	_	_
21	,	,	$	$,	_	0	root	_	_
22	verworren	verworren	A	ADJD	Pos|	25	adv	_	_
23	den	die	A	ART	Def|Masc|Acc|Sg	24	det	179	179
24	Hut	Hut	N	NN	Masc|Acc|Sg	25	obja	179	179
25	zog	ziehen	V	VVFIN	_|Sg|Past|Ind	20	kon	_	_
26	und	und	K	KON	_	25	kon	_	_
27	vergaß	vergessen	V	VVFIN	_|Sg|Past|Ind	26	cj	_	_
28	,	,	$	$,	_	0	root	_	_
29	ihm	er	P	PPER	3|Sg|_|Dat	34	objd	179	179
30	mit	mit	P	APPR	Dat	34	pp	_	_
31	einem	eine	A	ART	Indef|Neut|Dat|Sg	32	det	_	_
32	Worte	Wort	N	NN	Neut|Dat|Sg	30	pn	_	_
33	zu	zu	P	PTKZU	_	34	part	_	_
34	danken	danken	V	VVINF	_	27	obji	_	_
35	.	.	$	$.	_	0	root	_	_

1	Selbstverständlich	selbstverständlich	A	ADJD	Pos|	2	adv	_	_
2	mietete	mieten	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	168	168
4	sogleich	sogleich	A	ADV	_	2	adv	_	_
5	das	die	A	ART	Def|Neut|_|Sg	6	det	177	177
6	Zimmerchen	Zimmerchen	N	NN	Neut|_|Sg	2	obja	177	177
7	im	in	P	APPRART	Dat	2	pp	_	_
8	gleichen	gleich	A	ADJA	Pos|Neut|Dat|Sg|Wk|	9	attr	_	_
9	Hause	Haus	N	NN	Neut|Dat|Sg	7	pn	_	_
10	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	168	168
2	hätte	haben	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	6	obja	_	_
4	nicht	nicht	P	PTKNEG	_	6	adv	_	_
5	minder	minder	A	ADV	_	6	adv	_	_
6	genommen	nehmen	V	VVPP	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	hätte	haben	V	VAFIN	_|Sg|Past|Subj	2	kon	_	_
9	es	es	P	PPER	3|Sg|Neut|_	14	obja	_	_
10	mir	ich	P	PPER	1|Sg|_|Dat	14	objd	168	168
11	auch	auch	A	ADV	_	14	adv	_	_
12	durchaus	durchaus	A	ADV	_	14	adv	_	_
13	nicht	nicht	P	PTKNEG	_	14	adv	_	_
14	zugesagt	zusagen	V	VVPP	_	8	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	0	root	_	_
17	dies	dies	P	PDS	Neut|_|Sg	16	cj	_	_
18	einzig	einzig	A	ADJD	Pos|	0	root	_	_
19	aus	aus	P	APPR	Dat	18	pp	_	_
20	dem	die	A	ART	Def|Neut|Dat|Sg	23	det	180	180
21	naiv	naiv	A	ADJD	Pos|	22	adv	180	180
22	dankbaren	dankbar	A	ADJA	Pos|Neut|Dat|Sg|Wk|	23	attr	180	180
23	Gefühl	Gefühl	N	NN	Neut|Dat|Sg	19	pn	180	180
24	,	,	$	$,	_	0	root	180	180
25	diesem	diese	A	PDAT	Masc|Dat|Sg	27	det	180	180
26	zauberischen	zauberisch	A	ADJA	Pos|Masc|Dat|Sg|Wk|	27	attr	180	180
27	Lehrer	Lehrer	N	NN	Masc|Dat|Sg	23	app	180	180
28	,	,	$	$,	_	0	root	_	_
29	der	die	P	PRELS	_|_|Sg	0	root	180	180
30	mir	ich	P	PPER	1|Sg|_|Dat	35	objd	168	168
31	in	in	P	APPR	Dat	35	pp	_	_
32	einer	eine	A	ART	Indef|Fem|Dat|Sg	33	det	_	_
33	Stunde	Stunde	N	NN	Fem|Dat|Sg	31	pn	_	_
34	mehr	mehr	A	ADV	_	33	adv	_	_
35	gegeben	geben	V	VVPP	_	0	root	_	_
36	als	als	K	KOKOM	_	0	root	_	_
37	alle	alle	A	PIDAT	_|_|_	38	det	_	_
38	andern	andern	A	ADJA	_|_|_	36	cj	_	_
39	,	,	$	$,	_	0	root	_	_
40	räumlich	räumlich	A	ADJD	Pos|	43	adv	_	_
41	näher	nah	A	ADJD	Comp|	43	pred	_	_
42	zu	zu	P	PTKZU	_	43	part	_	_
43	sein	sein	V	VAINF	_	38	obji	_	_
44	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	177	177
3	Zimmerchen	Zimmerchen	N	NN	Neut|Nom|Sg	4	subj	177	177
4	war	sein	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
5	reizend	reizend	A	ADJD	_|_	4	pred	_	_
6	:	\:	$	$.	_	0	root	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	_	_
8	Dachgeschoß	Dachgeschoß	N	NN	Neut|_|Sg	0	root	_	_
9	über	über	P	APPR	Dat	8	pp	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	11	det	_	_
11	Wohnung	Wohnung	N	NN	Fem|Dat|Sg	9	pn	_	_
12	meines	meine	A	PPOSAT	Masc|Gen|Sg	13	det	168	168
13	Lehrers	Lehrer	N	NN	Masc|Gen|Sg	11	gmod	_	_
14	,	,	$	$,	_	0	root	_	_
15	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
16	wenig	wenig	A	ADV	_	17	adv	_	_
17	dunkel	dunkel	A	ADJD	Pos|	0	root	_	_
18	vom	von	P	APPRART	Dat	17	pp	_	_
19	überhängenden	überhängend	A	ADJA	Pos|Masc|Dat|Sg|Wk|<PPRES	20	attr	_	_
20	Holzgiebel	Holzgiebel	N	NN	Masc|Dat|Sg	18	pn	_	_
21	,	,	$	$,	_	0	root	_	_
22	gestattete	gestatten	V	VVFIN	3|Sg|Past|_	0	root	_	_
23	es	es	P	PPER	3|Sg|Neut|Nom	22	subj	_	_
24	weitgerundeten	weitgerundet	A	ADJA	Pos|Masc|Acc|Sg|_|	25	attr	_	_
25	Fensterblick	Fensterblick	N	NN	Masc|Acc|Sg	22	obja	_	_
26	auf	auf	P	APPR	Acc	25	pp	_	_
27	die	die	A	ART	Def|Neut|Acc|Pl	29	det	_	_
28	nachbarlichen	nachbarlich	A	ADJA	Pos|Neut|Acc|Pl|Wk|	29	attr	_	_
29	Dächer	Dach	N	NN	Neut|Acc|Pl	26	pn	_	_
30	und	und	K	KON	_	25	kon	_	_
31	den	die	A	ART	Def|Masc|Acc|Sg	32	det	_	_
32	Kirchturm	Kirchturm	N	NN	Masc|Acc|Sg	30	cj	_	_
33	;	;	$	$.	_	0	root	_	_
34	ferne	fern	A	ADJA	Pos|_|_|_|_|	0	root	_	_
35	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
36	man	man	P	PIS	_|Nom|Sg	35	subj	_	_
37	schon	schon	A	ADV	_	38	adv	_	_
38	grünes	grün	A	ADJA	Pos|Neut|_|Sg|St|	39	attr	_	_
39	Geviert	Geviert	N	NN	Neut|_|Sg	35	obja	_	_
40	und	und	K	KON	_	39	kon	_	_
41	darüber	darüber	P	PROAV	_	43	pp	723	723
42	die	die	A	ART	Def|Fem|_|Pl	43	det	723	723
43	Wolken	Wolke	N	NN	Fem|_|Pl	40	cj	723	723
44	,	,	$	$,	_	0	root	723	723
45	die	die	A	ART	Def|_|_|_	46	det	723	723
46	heimatgeliebten	heimatgeliebt	A	ADJA	_|_|Pl	43	app	723	723
47	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Neut|Nom|Sg	4	det	_	_
2	altes	alt	A	ADJA	Pos|Neut|Nom|Sg|St|	4	attr	_	_
3	stocktaubes	stocktaub	A	ADJA	Pos|Neut|Nom|Sg|St|	4	attr	_	_
4	Frauchen	Frauchen	N	NN	Neut|Nom|Sg	5	subj	_	_
5	sorgte	sorgen	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	mit	mit	P	APPR	Dat	5	pp	_	_
7	rührender	rührend	A	ADJA	Pos|Fem|Dat|Sg|St|<PPRES	8	attr	181	181
8	Mütterlichkeit	Mütterlichkeit	N	NN	Fem|Dat|Sg	6	pn	181	181
9	für	für	P	APPR	Acc	5	objp	_	_
10	ihre	ihre	A	PPOSAT	_|Acc|Pl	12	det	181	181
11	jeweiligen	jeweilig	A	ADJA	Pos|_|Acc|Pl|Wk|	12	attr	_	_
12	Pfleglinge	Pfleglinge	N	NN	_|Acc|Pl	9	pn	_	_
13	;	;	$	$.	_	0	root	_	_
14	in	in	P	APPR	_	17	pp	_	_
15	zwei	zwei	C	CARD	_	16	attr	_	_
16	Minuten	Minute	N	NN	Fem|_|Pl	14	pn	_	_
17	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	168	168
