1	Willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
13	fühlte	fühlen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	sprang	springen	V	VVFIN	_|Sg|Past|Ind	13	kon	_	_
16	plötzlich	plötzlich	A	ADJD	Pos|	15	adv	_	_
17	auf	auf	P	PTKVZ	_	15	avz	_	_
18	und	und	K	KON	_	15	kon	_	_
19	schoß	schoß	V	VVFIN	_	18	cj	_	_
20	wie	wie	K	KOKOM	_	19	kom	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	_	_
22	Blitz	Blitz	N	NN	Masc|Nom|Sg	20	cj	_	_
23	zur	zu	P	APPRART	Dat	19	pp	_	_
24	Tür	Tür	N	NN	Fem|Dat|Sg	23	pn	357	357
25	hinaus	hinaus	P	PTKVZ	_	19	avz	_	_
26	.	.	$	$.	_	0	root	_	_

1	Überrascht	überrascht	A	ADJD	Pos|	2	adv	_	_
2	schauten	schauen	V	VVFIN	_|Pl|Past|_	0	root	_	_
3	ihr	ihr	P	PPER	_|_|_|_	0	root	357	357
4	alle	alle	P	PIS	_|Nom|_	3	app	_	_
5	nach	nach	P	PTKVZ	_	0	root	_	_
6	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Donnerwetter	Donnerwetter	N	NN	_|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	264	264
7	Wirt	Wirt	N	NN	Masc|Nom|Sg	5	subj	264	264
8	ganz	ganz	A	ADV	_	9	adv	_	_
9	verwundert	verwundern	V	VVPP	_	5	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	Ihr	ihr	P	PPER	2|Pl|_|Nom	13	subj	_	_
13	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
14	da	da	A	ADV	_	17	adv	_	_
15	ein	eine	A	ART	Indef|Neut|_|Sg	16	det	_	_
16	Meisterstück	Meisterstück	N	NN	Neut|_|Sg	17	obja	_	_
17	gemacht	machen	V	VVPP	_	13	aux	_	_
18	.	.	$	$.	_	0	root	_	_

1	Nie	nie	A	ADV	_	2	adv	_	_
2	hätte	haben	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	264	264
4	gedacht	denken	V	VVPP	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	11	konj	_	_
7	das	die	A	ART	Def|Neut|Nom|Sg	9	det	_	_
8	scheue	scheu	A	ADJA	Pos|Neut|Nom|Sg|Wk|	9	attr	_	_
9	Ding	Ding	N	NN	Neut|Nom|Sg	11	subj	_	_
10	einwilligen	einwilligen	V	VVINF	_	11	aux	_	_
11	würde	werden	V	VAFIN	3|Sg|Past|Subj	4	objc	_	_
12	!	!	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wie	wie	K	KOKOM	_	5	kom	_	_
3	zur	zu	P	APPRART	Dat	2	cj	_	_
4	Bekräftigung	Bekräftigung	N	NN	Fem|Dat|Sg	3	pn	_	_
5	goß	goß	V	VVFIN	3|Sg|_|_	1	cj	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	16	16
7	wieder	wieder	A	ADV	_	5	adv	_	_
8	ein	eine	A	ART	Indef|Neut|_|Sg	9	det	_	_
9	Glas	Glas	N	NN	Neut|_|Sg	5	obja	_	_
10	hinab	hinab	A	ADV	_	5	adv	_	_
11	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	358	358
2	Maler	Maler	N	NN	Masc|Nom|Sg	19	subj	358	358
3	,	,	$	$,	_	0	root	358	358
4	dem	die	P	PRELS	Masc|Dat|Sg	9	objd	358	358
5	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
6	unbehaglich	unbehaglich	A	ADJD	Pos|	8	pred	_	_
7	zu	zu	P	PTKZU	_	8	part	_	_
8	werden	werden	V	VAINF	_	9	obji	_	_
9	begann	beginnen	V	VVFIN	3|Sg|Past|Ind	2	rel	_	_
10	in	in	P	APPR	Dat	9	pp	_	_
11	dieser	diese	A	PDAT	Fem|Dat|Sg	12	det	359	359
12	Gesellschaft	Gesellschaft	N	NN	Fem|Dat|Sg	10	pn	359	359
13	,	,	$	$,	_	0	root	359	359
14	die	die	P	PRELS	Fem|Nom|Sg	17	subj	359	359
15	langsam	langsam	A	ADJD	Pos|	17	adv	_	_
16	vertraulich	vertraulich	A	ADJD	Pos|	17	pred	_	_
17	wurde	werden	V	VAFIN	3|Sg|Past|Ind	12	rel	_	_
18	,	,	$	$,	_	0	root	_	_
19	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
20	Geld	Geld	N	NN	Neut|_|Sg	19	obja	_	_
21	auf	auf	P	APPR	Acc	19	objp	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	360	360
23	Tisch	Tisch	N	NN	Masc|Acc|Sg	21	pn	360	360
24	,	,	$	$,	_	0	root	_	_
25	besprach	besprechen	V	VVFIN	_|Sg|Past|Ind	19	kon	_	_
26	mit	mit	P	APPR	Dat	25	pp	_	_
27	dem	die	A	ART	Def|Masc|Dat|Sg	28	det	264	264
28	Wirt	Wirt	N	NN	Masc|Dat|Sg	26	pn	264	264
29	alles	alle	A	PIDAT	Neut|_|Sg	30	det	_	_
30	Nähere	Nähere	N	NN	Neut|_|Sg	25	obja	_	_
31	und	und	K	KON	_	25	kon	_	_
32	schüttelte	schütteln	V	VVFIN	_|Sg|Past|_	31	cj	_	_
33	ihm	er	P	PPER	3|Sg|_|Dat	32	objd	16	16
34	dankbar	dankbar	A	ADJD	Pos|	32	adv	_	_
35	die	die	A	ART	Def|Fem|_|Sg	36	det	25	25
36	Hand	Hand	N	NN	Fem|_|Sg	32	obja	25	25
37	,	,	$	$,	_	0	root	_	_
38	beeilte	beeilen	V	VVFIN	_|Sg|Past|_	25	kon	_	_
39	sich	sie	P	PRF	3|_|_	38	obja	_	_
40	aber	aber	A	ADV	_	38	adv	_	_
41	,	,	$	$,	_	0	root	_	_
42	aus	aus	P	APPR	Dat	46	objp	_	_
43	der	die	A	ART	Def|Fem|Dat|Sg	44	det	_	_
44	Schenke	Schenke	N	NN	Fem|Dat|Sg	42	pn	_	_
45	zu	zu	P	PTKZU	_	46	part	_	_
46	treten	treten	V	VVINF	_	38	obji	_	_
47	,	,	$	$,	_	0	root	_	_
48	deren	die	A	PRELAT	Masc|Nom|Sg	49	det	47	47
49	Dunst	Dunst	N	NN	Masc|Nom|Sg	53	subj	47	47
50	und	und	K	KON	_	49	kon	_	_
51	Lärm	Lärm	N	NN	Masc|Nom|Sg	50	cj	981	981
52	ihn	er	P	PPER	3|Sg|Masc|Acc	53	obja	16	16
53	anwiderte	anwidern	V	VVFIN	_|Sg|Past|_	44	rel	_	_
54	,	,	$	$,	_	0	root	_	_
55	und	und	K	KON	_	38	kon	_	_
56	deren	die	A	PDAT	_|Nom|Pl	60	det	_	_
57	saufende	saufend	A	ADJA	Pos|_|Nom|Pl|St|<PPRES	60	attr	_	_
58	und	und	K	KON	_	57	kon	_	_
59	grölende	grölend	A	ADJA	Pos|_|Nom|_|_|<PPRES	58	cj	_	_
60	Insassen	Insasse	N	NN	_|Nom|Pl	64	subj	_	_
61	ihn	er	P	PPER	3|Sg|Masc|Acc	64	obja	16	16
62	mit	mit	P	APPR	Dat	64	objp	_	_
63	Ekel	Ekel	N	NN	_|Dat|Sg	62	pn	570	570
64	erfüllten	erfüllen	V	VVFIN	_|Pl|Past|_	55	cj	_	_
65	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	6	konj	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	16	16
3	auf	auf	P	APPR	Acc	6	objp	_	_
4	die	die	A	ART	Def|_|Acc|_	5	det	361	361
5	Straße	Straß	N	NN	_|Acc|_	3	pn	361	361
6	trat	treten	V	VVFIN	3|Sg|Past|Ind	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	197	197
10	Sonne	Sonne	N	NN	Fem|Nom|Sg	8	subj	197	197
11	schon	schon	A	ADV	_	12	adv	_	_
12	gesunken	sinken	V	VVPP	_	8	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	8	kon	_	_
15	nur	nur	A	ADV	_	17	adv	_	_
16	mattrosa	mattrosa	A	ADJD	Pos|	17	adv	_	_
17	Dämmerung	Dämmerung	N	NN	Fem|Nom|Sg	18	subj	_	_
18	umhüllte	umhüllen	V	VVFIN	3|Sg|Past|_	14	cj	_	_
19	noch	noch	A	ADV	_	18	adv	_	_
20	den	die	A	ART	Def|Masc|Acc|Sg	21	det	362	362
21	Himmel	Himmel	N	NN	Masc|Acc|Sg	18	obja	362	362
22	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	200	200
2	Abend	Abend	N	NN	Masc|Nom|Sg	3	subj	200	200
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	mild	mild	A	ADJD	Pos|	3	pred	_	_
5	und	und	K	KON	_	4	kon	_	_
6	rein	rein	A	ADJD	Pos|	5	cj	_	_
7	.	.	$	$.	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	4	pp	_	_
2	langsamem	langsam	A	ADJA	Pos|Masc|Dat|Sg|St|	3	attr	_	_
3	Schritt	Schritt	N	NN	Masc|Dat|Sg	1	pn	_	_
4	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	7	det	363	363
6	alte	alt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	7	attr	363	363
7	Mann	Mann	N	NN	Masc|Nom|Sg	4	subj	363	363
8	heimwärts	heimwärts	A	ADV	_	4	adv	_	_
9	und	und	K	KON	_	4	kon	_	_
10	dachte	denken	V	VVFIN	_|Sg|Past|Ind	9	cj	_	_
11	der	die	A	ART	Def|Neut|Gen|Pl	12	det	364	364
12	Ereignisse	Ereignis	N	NN	Neut|Gen|Pl	0	root	364	364
13	,	,	$	$,	_	0	root	364	364
14	die	die	P	PRELS	Neut|Nom|Pl	21	subj	364	364
15	ihn	er	P	PPER	3|Sg|Masc|Acc	21	obja	363	363
16	so	so	A	ADV	_	17	adv	_	_
17	seltsam	seltsam	A	ADJD	Pos|	21	adv	_	_
18	und	und	K	KON	_	17	kon	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	begütigend	begütigend	A	ADJD	_	18	cj	_	_
21	dünkten	dünken	V	VVFIN	3|Pl|Past|_	12	rel	_	_
22	wie	wie	K	KOKOM	_	21	kom	_	_
23	ein	eine	A	ART	Indef|Masc|Nom|Sg	24	det	_	_
24	Traum	Traum	N	NN	Masc|Nom|Sg	22	cj	_	_
25	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	4	koord	_	_
2	gottesfürchtige	gottesfürchtig	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	_
3	Stimmung	Stimmung	N	NN	Fem|Nom|Sg	4	subj	_	_
4	umfing	umfangen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	sein	seine	A	PPOSAT	_|_|Sg	6	det	200	200
6	Herz	Herz	N	NN	Neut|_|Sg	4	obja	365	365
7	,	,	$	$,	_	0	root	365	365
8	das	die	P	PRELS	Neut|Nom|Sg	12	subj	365	365
9	selig	selig	A	ADJD	Pos|	11	adv	_	_
10	zu	zu	P	PTKZU	_	11	part	_	_
11	erzittern	erzittern	V	VVINF	_	12	obji	_	_
12	begann	beginnen	V	VVFIN	3|Sg|Past|Ind	6	rel	_	_
13	,	,	$	$,	_	0	root	_	_
14	wie	wie	P	PWAV	_	24	adv	_	_
15	nun	nun	A	ADV	_	24	adv	_	_
16	von	von	P	APPR	Dat	24	pp	_	_
17	einem	eine	A	ART	Indef|Masc|Dat|Sg	18	det	_	_
18	Turme	Turm	N	NN	Masc|Dat|Sg	16	pn	_	_
19	die	die	A	ART	Def|Fem|Nom|Sg	21	det	_	_
20	erste	erst	A	ADJA	_|Fem|Nom|Sg|_|	21	attr	_	_
21	Glocke	Glocke	N	NN	Fem|Nom|Sg	24	subj	_	_
22	zum	zu	P	APPRART	Dat	24	pp	_	_
23	Gebete	Gebet	N	NN	Neut|Dat|Sg	22	pn	_	_
24	rief	rufen	V	VVFIN	3|Sg|Past|Ind	12	objc	_	_
25	und	und	K	KON	_	24	kon	_	_
26	Glockenstimmen	Glockenstimme	N	NN	Fem|Nom|Pl	32	subj	_	_
27	von	von	P	APPR	Dat	26	pp	_	_
28	allen	alle	A	PIDAT	Masc|Dat|Pl	29	det	_	_
29	Türmen	Turm	N	NN	Masc|Dat|Pl	27	pn	_	_
30	der	die	A	ART	Def|_|Gen|_	31	det	_	_
31	Runde	Rund	N	NN	_|Gen|_	29	gmod	_	_
32	einfielen	einfallen	V	VVFIN	3|Pl|Past|_	25	cj	_	_
33	,	,	$	$,	_	0	root	_	_
34	mit	mit	P	APPR	Dat	32	pp	_	_
35	hellen	hell	A	ADJA	Pos|_|Dat|_|_|	46	attr	_	_
36	und	und	K	KON	_	35	kon	_	_
37	tiefen	tief	A	ADJA	Pos|_|Dat|_|_|	36	cj	_	_
38	,	,	$	$,	_	0	root	_	_
39	dumpfen	dumpf	A	ADJA	Pos|_|Dat|_|_|	37	kon	_	_
40	und	und	K	KON	_	39	kon	_	_
41	freudigen	freudig	A	ADJA	Pos|_|Dat|_|_|	40	cj	_	_
42	,	,	$	$,	_	0	root	_	_
43	klingenden	klingend	A	ADJA	Pos|_|Dat|_|_|<PPRES	41	kon	_	_
44	und	und	K	KON	_	43	kon	_	_
45	murrenden	murrend	A	ADJA	Pos|_|Dat|_|_|<PPRES	44	cj	_	_
46	Stimmen	Stimme	N	NN	_|Dat|_	34	pn	_	_
47	,	,	$	$,	_	0	root	_	_
48	wie	wie	P	PWAV	_	0	root	_	_
49	Menschen	Mensch	N	NN	Masc|_|_	0	root	_	_
50	in	in	P	APPR	_	49	pp	_	_
51	Freude	Freude	N	NN	Fem|_|Sg	50	pn	849	849
52	und	und	K	KON	_	51	kon	_	_
53	Sorge	Sorge	N	NN	Fem|_|Sg	52	cj	_	_
54	und	und	K	KON	_	53	kon	_	_
55	Schmerz	Schmerz	N	NN	Masc|_|Sg	54	cj	_	_
56	.	.	$	$.	_	0	root	_	_

1	Unglaublich	unglaublich	A	ADJD	Pos|	2	adv	_	_
2	dünkte	dünken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	200	200
5	zwar	zwar	A	ADV	_	2	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	0	root	_	_
8	über	über	P	APPR	Acc	0	root	_	_
9	ein	eine	A	ART	Indef|Neut|Acc|Sg	10	det	366	366
10	Herz	Herz	N	NN	Neut|Acc|Sg	8	pn	366	366
11	,	,	$	$,	_	0	root	_	_
12	das	die	P	PRELS	Neut|_|Sg	0	root	366	366
13	ein	eine	A	ART	Indef|Neut|Acc|Sg	14	det	_	_
14	Leben	Leben	N	NN	Neut|Acc|Sg	15	pn	_	_
15	lang	lang	P	APPO	Acc	31	pp	_	_
16	schlicht	schlicht	A	ADJD	Pos|	21	adv	_	_
17	im	in	P	APPRART	Dat	21	pp	_	_
18	Dunkel	Dunkel	N	NN	Neut|Dat|Sg	17	pn	_	_
19	geraden	gerade	A	ADJA	Pos|Masc|Gen|Sg|_|	20	attr	_	_
20	Weges	Weg	N	NN	Masc|Gen|Sg	18	gmod	_	_
21	gegangen	gehen	V	VVPP	_	31	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	noch	noch	A	ADV	_	31	adv	_	_
24	spät	spät	A	ADJD	Pos|	31	adv	_	_
25	die	die	A	ART	Def|Fem|Nom|Pl	27	det	_	_
26	milden	mild	A	ADJA	Pos|Fem|Nom|Pl|Wk|	27	attr	_	_
27	Leuchten	Leuchte	N	NN	Fem|Nom|Pl	31	subj	_	_
28	göttlicher	göttlich	A	ADJA	Pos|_|Gen|_|St|	29	attr	_	_
29	Wunder	Wunder	N	NN	_|Gen|_	27	gmod	_	_
30	sich	sie	P	PRF	3|_|_	31	obja	_	_
31	entzündeten	entzünden	V	VVFIN	3|Pl|Past|_	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	aber	aber	K	KON	_	31	kon	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	35	subj	200	200
35	wagte	wagen	V	VVFIN	3|Sg|Past|_	33	cj	_	_
36	nicht	nicht	P	PTKNEG	_	35	adv	_	_
37	mehr	mehr	A	ADV	_	36	adv	_	_
38	zu	zu	P	PTKZU	_	39	part	_	_
39	zweifeln	zweifeln	V	VVINF	_	35	obji	_	_
40	;	;	$	$.	_	0	root	_	_
41	und	und	K	KON	_	0	root	_	_
42	diesen	diese	A	PDAT	Masc|Acc|Sg	43	det	_	_
43	Glanz	Glanz	N	NN	Masc|Acc|Sg	46	obja	_	_
44	erträumter	erträumt	A	ADJA	Pos|Fem|Gen|Sg|St|	45	attr	_	_
45	Gnade	Gnade	N	NN	Fem|Gen|Sg	43	gmod	_	_
46	trug	tragen	V	VVFIN	3|Sg|Past|Ind	41	cj	_	_
47	er	er	P	PPER	3|Sg|Masc|Nom	46	subj	200	200
48	durch	durch	P	APPR	Acc	46	pp	_	_
49	das	die	A	ART	Def|Neut|Acc|Sg	50	det	_	_
50	Dunkel	Dunkel	N	NN	Neut|Acc|Sg	48	pn	_	_
51	der	die	A	ART	Def|Fem|Gen|Pl	53	det	_	_
52	verdämmernden	verdämmernd	A	ADJA	Pos|Fem|Gen|Pl|Wk|<PPRES	53	attr	_	_
53	Straßen	Straß	N	NN	Fem|Gen|Pl	50	gmod	_	_
54	heimwärts	heimwärts	A	ADV	_	46	adv	_	_
55	in	in	P	APPR	Acc	46	objp	_	_
56	ein	eine	A	ART	Indef|Neut|Acc|Sg	58	det	_	_
57	seliges	selig	A	ADJA	Pos|Neut|Acc|Sg|St|	58	attr	_	_
58	Wachen	Wache	N	NN	Neut|Acc|Sg	55	pn	_	_
59	und	und	K	KON	_	58	kon	_	_
60	einen	eine	A	ART	Indef|Masc|Acc|Sg	62	det	_	_
61	wundersamen	wundersam	A	ADJA	Pos|Masc|Acc|Sg|_|	62	attr	_	_
62	Traum	Traum	N	NN	Masc|Acc|Sg	59	cj	_	_
63	...	...	$	$.	_	0	root	_	_

1	*	*	F	FM	_	0	root	_	_
2	*	*	F	FM	_	1	app	_	_
3	*	*	F	FM	_	2	app	_	_

1	Tage	Tag	N	NN	Masc|Nom|Pl	2	subj	_	_
2	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	verflossen	verfließen	V	VVPP	_	2	aux	_	_
4	,	,	$	$,	_	0	root	_	_
5	und	und	K	KON	_	2	kon	_	_
6	noch	noch	A	ADV	_	7	adv	_	_
7	immer	immer	A	ADV	_	8	adv	_	_
8	stand	stehen	V	VVFIN	3|Sg|Past|Ind	5	cj	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	147	147
10	Leinwand	Leinwand	N	NN	Fem|Nom|Sg	8	subj	147	147
11	unberührt	unberührt	A	ADJD	Pos|	8	adv	_	_
12	auf	auf	P	APPR	_	8	objp	_	_
13	des	die	A	ART	Def|_|Gen|Sg	14	det	_	_
14	Malers	Maler	N	NN	Fem|Gen|Sg	12	pn	_	_
15	Staffelei	Staffelei	N	NN	Fem|Gen|Sg	14	app	_	_
16	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	aber	aber	A	ADV	_	2	adv	_	_
5	nicht	nicht	P	PTKNEG	_	6	adv	367	367
6	Verzagtheit	Verzagtheit	N	NN	Fem|Nom|Sg	2	pred	367	367
7	mehr	mehr	A	ADV	_	6	adv	367	367
8	,	,	$	$,	_	0	root	367	367
9	die	die	P	PRELS	Fem|Nom|Sg	12	subj	367	367
10	seine	seine	A	PPOSAT	Fem|_|Pl	11	det	16	16
11	Hände	Hand	N	NN	Fem|_|Pl	12	obja	371	371
12	fesselte	fesseln	V	VVFIN	3|Sg|Past|_	6	rel	_	_
13	,	,	$	$,	_	0	root	_	_
14	sondern	sondern	K	KON	_	6	kon	_	_
15	ein	eine	A	ART	Indef|Neut|Nom|Sg	18	det	368	368
16	sicheres	sicher	A	ADJA	Pos|Neut|Nom|Sg|St|	18	attr	368	368
17	inneres	inner	A	ADJA	Pos|Neut|Nom|Sg|St|	18	attr	368	368
