1	Oh	oh	I	ITJ	_	0	root	_	_
1	Nein	nein	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	niemand	niemand	P	PIS	_|Nom|Sg	4	subj	_	_
4	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
5	mehr	mehr	A	ADV	_	4	adv	_	_
6	da	da	A	ADV	_	4	adv	_	_
7	...	...	$	$.	_	0	root	_	_
8	oder	oder	K	KON	_	0	root	_	_
9	doch	doch	A	ADV	_	8	cj	_	_
10	!	!	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	doch	doch	A	ADV	_	0	root	_	_
3	–	–	$	$(	_	0	root	_	_
4	die	die	A	ART	Def|Fem|Nom|Sg	5	det	120	120
5	Frau	Frau	N	NN	Fem|Nom|Sg	7	subj	120	120
6	Sporschil	Sporschil	N	NE	Fem|Nom|Sg	5	app	120	120
7	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
8	noch	noch	A	ADV	_	7	adv	_	_
9	da	da	A	ADV	_	7	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	die	die	A	ART	Def|Fem|_|Sg	12	det	_	_
12	Toilettenfrau	Toilettenfrau	N	NN	Fem|_|Sg	0	root	_	_
13	(	(	$	$(	_	0	root	_	_
14	vulgo	vulgo	F	FM	Fem|_|Sg	12	app	_	_
15	Schokoladefrau	Schokoladefrau	N	NN	Fem|_|Sg	14	app	_	_
16	)	)	$	$(	_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	die	die	P	PDS	Fem|Nom|Sg	3	subj	_	_
3	könne	können	V	VMFIN	3|Sg|Pres|Subj	1	cj	_	_
4	sich	sie	P	PRF	3|_|_	12	obja	_	_
5	gewiß	gewiß	A	ADJD	Pos|	12	adv	_	_
6	nicht	nicht	P	PTKNEG	_	12	adv	_	_
7	mehr	mehr	A	ADV	_	6	adv	_	_
8	an	an	P	APPR	Acc	12	objp	_	_
9	die	die	A	ART	Def|Masc|Acc|Pl	11	det	_	_
10	einzelnen	einzeln	A	ADJA	Pos|Masc|Acc|Pl|Wk|	11	attr	_	_
11	Gäste	Gast	N	NN	Masc|Acc|Pl	8	pn	_	_
12	erinnern	erinnern	V	VVINF	_	3	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	121	121
2	dachte	denken	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	gleich	gleich	A	ADJD	Pos|	2	adv	_	_
4	:	\:	$	$.	_	0	root	_	_
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	29	29
6	Jakob	Jakob	N	NE	Masc|Acc|Sg	8	obja	29	29
7	Mendel	Mendel	N	NE	Masc|Acc|Sg	6	app	29	29
8	vergißt	vergißt	V	VVFIN	_|Sg|_|_	0	root	_	_
9	man	man	P	PIS	_|Nom|Sg	8	subj	_	_
10	nicht	nicht	P	PTKNEG	_	8	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	8	kon	_	_
13	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	12	cj	_	_
14	sie	sie	P	PPER	3|Sg|Fem|Nom	13	subj	120	120
15	mir	ich	P	PPER	1|Sg|_|Dat	13	objd	121	121
16	kommen	kommen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	120	120
2	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	die	die	A	ART	Def|Fem|_|Sg	5	det	120	120
5	Frau	Frau	N	NN	Fem|_|Sg	0	root	120	120
6	Sporschil	Sporschil	N	NE	Fem|_|Sg	5	app	120	120
7	,	,	$	$,	_	0	root	_	_
8	weißhaarig	weißhaarig	A	ADJD	Pos|	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	zerrauft	zerraufen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	mit	mit	P	APPR	Dat	0	root	_	_
13	ein	eine	A	ART	Indef|_|_|Sg	16	det	122	122
14	wenig	wenig	A	PIDAT	Masc|Dat|Pl	16	attr	122	122
15	wassersüchtigen	wassersüchtig	A	ADJA	Pos|Masc|Dat|Pl|_|	16	attr	122	122
16	Schritten	Schritt	N	NN	Masc|Dat|Pl	12	pn	122	122
17	aus	aus	P	APPR	Dat	16	pp	122	122
18	ihren	ihre	A	PPOSAT	Neut|Dat|Pl	20	det	122	122
19	hintergründigen	hintergründig	A	ADJA	Pos|Neut|Dat|Pl|_|	20	attr	_	_
20	Gemächern	Gemach	N	NN	Neut|Dat|Pl	17	pn	_	_
21	und	und	K	KON	_	0	root	_	_
22	rieb	reiben	V	VVFIN	_|Sg|Past|Ind	21	cj	_	_
23	sich	sie	P	PRF	3|_|Dat	22	objd	_	_
24	noch	noch	A	ADV	_	22	adv	_	_
25	hastig	hastig	A	ADJD	Pos|	22	adv	_	_
26	die	die	A	ART	Def|Fem|_|Pl	28	det	_	_
27	roten	rot	A	ADJA	Pos|Fem|_|Pl|Wk|	28	attr	_	_
28	Hände	Hand	N	NN	Fem|_|Pl	22	obja	_	_
29	mit	mit	P	APPR	Dat	22	pp	_	_
30	einem	eine	A	ART	Indef|Neut|Dat|Sg	31	det	_	_
31	Tuch	Tuch	N	NN	Neut|Dat|Sg	29	pn	_	_
32	:	\:	$	$.	_	0	root	_	_
33	Offenbar	offenbar	A	ADJD	Pos|	34	adv	_	_
34	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
35	sie	sie	P	PPER	3|Sg|Fem|Nom	34	subj	120	120
36	gerade	gerade	A	ADV	_	40	adv	_	_
37	ihr	ihre	A	PPOSAT	Neut|_|Sg	39	det	120	120
38	trübes	trüb	A	ADJA	Pos|Neut|_|Sg|St|	39	attr	_	_
39	Gelaß	Gelaß	N	NN	Neut|_|Sg	40	obja	_	_
40	gefegt	fegen	V	VVPP	_	34	aux	_	_
41	oder	oder	K	KON	_	40	kon	_	_
42	Fenster	Fenster	N	NN	Neut|_|_	43	obja	_	_
43	geputzt	putzen	V	VVPP	_	41	cj	_	_
44	.	.	$	$.	_	0	root	_	_

1	An	an	P	APPR	Dat	5	objp	_	_
2	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	4	det	120	120
3	unsicheren	unsicher	A	ADJA	Pos|Fem|Dat|Sg|Wk|	4	attr	_	_
4	Art	Art	N	NN	Fem|Dat|Sg	1	pn	_	_
5	merkte	merken	V	VVFIN	1|Sg|Past|_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	121	121
7	sofort	sofort	A	ADV	_	5	adv	_	_
8	:	\:	$	$.	_	0	root	_	_
9	Ihr	ihr	P	PPER	2|Pl|_|Nom	10	pred	_	_
10	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
11	'	'	$	$(	_	0	root	_	_
12	s	s	P	PPER	_|Sg|_|Nom	10	subj	8	8
13	unbehaglich	unbehaglich	A	ADJD	Pos|	10	adv	_	_
14	,	,	$	$,	_	0	root	_	_
15	so	so	A	ADV	_	16	adv	_	_
16	plötzlich	plötzlich	A	ADJD	Pos|	13	kon	_	_
17	nach	nach	P	APPR	Dat	29	pp	_	_
18	vorn	vorn	A	ADV	_	17	adv	_	_
19	unter	unter	P	APPR	Acc	29	pp	_	_
20	die	die	A	ART	Def|Fem|Acc|Pl	22	det	_	_
21	großen	groß	A	ADJA	Pos|Fem|Acc|Pl|Wk|	22	attr	_	_
22	Glühbirnen	Glühbirne	N	NN	Fem|Acc|Pl	19	pn	_	_
23	in	in	P	APPR	Acc	29	pp	_	_
24	den	die	A	ART	Def|Masc|Acc|Sg	26	det	_	_
25	noblen	nobel	A	ADJA	Pos|Masc|Acc|Sg|_|	26	attr	_	_
26	Teil	Teil	N	NN	Masc|Acc|Sg	23	pn	_	_
27	des	die	A	ART	Def|Neut|Gen|Sg	28	det	123	123
28	Cafés	Café	N	NN	Neut|Gen|Sg	26	gmod	123	123
29	gerufen	rufen	V	VVPP	_	31	aux	_	_
30	zu	zu	P	PTKZU	_	31	part	_	_
31	werden	werden	V	VAINF	_	10	obji	_	_
32	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	120	120
4	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	121	121
5	zunächst	zunächst	A	ADV	_	2	adv	_	_
6	mißtrauisch	mißtrauisch	A	ADJD	Pos|	2	adv	_	_
7	an	an	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	mit	mit	P	APPR	Dat	0	root	_	_
10	einem	eine	A	ART	Indef|Masc|Dat|Sg	11	det	_	_
11	Blick	Blick	N	NN	Masc|Dat|Sg	9	pn	_	_
12	von	von	P	APPR	_	11	pp	_	_
13	unten	unten	A	ADV	_	12	adv	_	_
14	herauf	herauf	P	PTKVZ	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	einem	eine	A	ART	Indef|Masc|Dat|Sg	20	det	_	_
17	sehr	sehr	A	ADV	_	18	adv	_	_
18	vorsichtig	vorsichtig	A	ADJD	Pos|	19	adv	_	_
19	geduckten	geduckt	A	ADJA	Pos|Masc|Dat|Sg|Wk|	20	attr	_	_
20	Blick	Blick	N	NN	Masc|Dat|Sg	0	root	_	_
21	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	konnte	können	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	121	121
4	Gutes	Gut	N	NN	Neut|_|Sg	7	obja	_	_
5	von	von	P	APPR	Dat	4	pp	_	_
6	ihr	ihr	P	PPER	3|Sg|Fem|Dat	5	pn	120	120
7	wollen	wollen	V	VMINF	_	2	aux	_	_
8	?	?	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	kaum	kaum	A	ADV	_	3	adv	_	_
3	daß	daß	K	KOUS	_	8	konj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	121	121
5	nach	nach	P	APPR	Dat	8	pp	_	_
6	Jakob	Jakob	N	NE	_|Dat|_	5	pn	29	29
7	Mendel	Mendel	N	NE	_|Dat|_	6	app	29	29
8	fragte	fragen	V	VVFIN	1|Sg|Past|_	1	cj	_	_
9	,	,	$	$,	_	0	root	_	_
10	starrte	starren	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	120	120
12	mich	ich	P	PPER	1|Sg|_|Acc	10	obja	121	121
13	mit	mit	P	APPR	Dat	10	pp	_	_
14	vollen	voll	A	ADJA	Pos|Neut|Dat|Pl|_|	18	attr	_	_
15	,	,	$	$,	_	0	root	_	_
16	geradezu	geradezu	A	ADV	_	17	adv	_	_
17	strömenden	strömend	A	ADJA	Pos|_|Dat|_|_|<PPRES	14	kon	_	_
18	Augen	Auge	N	NN	Neut|Dat|Pl	13	pn	_	_
19	an	an	P	PTKVZ	_	10	avz	_	_
20	,	,	$	$,	_	0	root	_	_
21	die	die	A	ART	Def|Fem|Nom|Pl	22	det	249	249
22	Schultern	Schulter	N	NN	Fem|Nom|Pl	23	subj	249	249
23	fuhren	fahren	V	VVFIN	3|Pl|Past|Ind	10	kon	_	_
24	ihr	ihr	P	PPER	_|_|_|_	0	root	120	120
25	ruckhaft	ruckhaft	A	ADJD	Pos|	0	root	_	_
26	auf	auf	P	PTKVZ	_	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Mein	meine	A	PPOSAT	Masc|Nom|Sg	3	det	29	29
3	Gott	Gott	N	NN	Masc|Nom|Sg	0	root	121)	121)
4	,	,	$	$,	_	0	root	121)	121)
5	der	die	A	ART	Def|Masc|Nom|Sg	7	det	121)	121)
6	arme	arm	A	ADJA	Pos|Masc|Nom|Sg|Wk|	7	attr	121)	121)
7	Herr	Herr	N	NN	Masc|Nom|Sg	3	app	121)	121)
8	Mendel	Mendel	N	NE	Masc|Nom|Sg	7	app	29	29
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	15	konj	_	_
11	an	an	P	APPR	_	15	objp	_	_
12	den	die	A	ART	Def|_|_|_	14	part	_	_
13	noch	noch	A	ADV	_	14	adv	_	_
14	jemand	jemand	P	PIS	_|_|_	11	pn	_	_
15	denkt	denken	V	VVFIN	_|_|Pres|Ind	7	objc	_	_
16	!	!	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	5	det	29	29
4	arme	arm	A	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	29	29
5	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	29	29
6	Mendel	Mendel	N	NE	Masc|Nom|Sg	5	app	29	29
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	–	–	$	$(	_	0	root	_	_
10	fast	fast	A	ADV	_	11	adv	_	_
11	weinte	weinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	sie	sie	P	PPER	3|Sg|Fem|Nom	11	subj	120	120
13	,	,	$	$,	_	0	root	_	_
14	so	so	A	ADV	_	15	adv	_	_
15	gerührt	rühren	V	VVPP	_	16	aux	_	_
16	war	sein	V	VAFIN	3|Sg|Past|Ind	12	par	_	_
17	sie	sie	P	PPER	3|Sg|Fem|Nom	16	subj	120	120
18	,	,	$	$,	_	0	root	_	_
19	wie	wie	P	PWAV	_	24	adv	_	_
20	alte	alt	A	ADJA	Pos|_|Nom|Pl|St|	21	attr	124	124
21	Leute	Leute	N	NN	_|Nom|Pl	24	subj	124	124
22	es	es	P	PPER	3|Sg|Neut|Nom	24	pred	_	_
23	immer	immer	A	ADV	_	22	adv	_	_
24	werden	werden	V	VAFIN	3|Pl|Pres|_	11	objc	_	_
25	,	,	$	$,	_	0	root	_	_
26	wenn	wenn	K	KOUS	_	0	root	_	_
27	man	man	P	PIS	_|Nom|Sg	0	root	_	_
28	sie	sie	P	PPER	3|_|_|_	0	root	120	120
29	an	an	P	APPR	Acc	28	pp	_	_
30	ihre	ihre	A	PPOSAT	Fem|Acc|Sg	31	det	124	124
31	Jugend	Jugend	N	NN	Fem|Acc|Sg	29	pn	_	_
32	,	,	$	$,	_	0	root	_	_
33	an	an	P	APPR	Acc	38	objp	_	_
34	irgendeine	irgendeine	A	ADJA	_|Fem|Acc|Sg|_	37	attr	_	_
35	gute	gut	A	ADJA	Pos|Fem|Acc|Sg|_|	37	attr	_	_
36	vergessene	vergessen	A	ADJA	Pos|Fem|Acc|Sg|_|	37	attr	_	_
37	Gemeinsamkeit	Gemeinsamkeit	N	NN	Fem|Acc|Sg	33	pn	_	_
38	erinnert	erinnern	V	VVFIN	_|_|Pres|_	0	root	_	_
39	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	121	121
2	fragte	fragen	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	ob	ob	K	KOUS	_	7	konj	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	29	29
6	noch	noch	A	ADV	_	7	adv	_	_
7	lebe	leben	V	VVFIN	3|Sg|Pres|Subj	2	objc	_	_
8	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	_	_
3	mein	meine	A	PPOSAT	Masc|Nom|Sg	4	det	29	29
4	Gott	Gott	N	NN	Masc|Nom|Sg	0	root	121)	121)
5	,	,	$	$,	_	0	root	121)	121)
6	der	die	A	ART	Def|Masc|Nom|Sg	8	det	121)	121)
7	arme	arm	A	ADJA	Pos|Masc|Nom|Sg|Wk|	8	attr	121)	121)
8	Herr	Herr	N	NN	Masc|Nom|Sg	4	app	121)	121)
9	Mendel	Mendel	N	NE	Neut|Nom|Pl	8	app	29	29
10	,	,	$	$,	_	0	root	_	_
11	fünf	fünf	C	CARD	_	14	attr	_	_
12	oder	oder	K	KON	_	11	kon	_	_
13	sechs	sechs	C	CARD	_	12	cj	_	_
14	Jahre	Jahr	N	NN	Neut|Nom|Pl	9	app	_	_
15	,	,	$	$,	_	0	root	_	_
16	nein	nein	P	PTKANT	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	sieben	sieben	C	CARD	_	19	attr	_	_
19	Jahre	Jahr	N	NN	Neut|_|Pl	20	zeit	_	_
20	muß	müssen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
21	der	die	A	ART	Def|_|_|_	0	root	_	_
22	schon	schon	A	ADV	_	23	adv	_	_
23	tot	tot	A	ADJD	_	0	root	_	_
24	sein	sein	V	VAINF	_	0	root	_	_
25	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	125	125
2	a	a	A	ADJD	_	3	adv	125	125
3	lieber	lieb	A	ADJD	Comp|	6	adv	125	125
4	,	,	$	$,	_	0	root	125	125
5	guter	gut	A	ADJA	Pos|_|_|_|St|	3	kon	125	125
6	Mensch	Mensch	N	NN	_|_|Sg	0	root	125	125
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	wenn	wenn	K	KOUS	_	11	konj	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	121	121
11	denk	denk	V	VVFIN	1|Sg|_|_	8	cj	_	_
12	,	,	$	$,	_	0	root	_	_
13	wie	wie	P	PWAV	_	14	adv	_	_
14	lang	lang	A	ADJD	Pos|	0	root	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	0	root	121	121
16	ihn	er	P	PPER	3|Sg|Masc|Acc	17	obja	125	125
17	kennt	kennen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
18	hab	hab	N	NE	Neut|Nom|Sg	17	subj	_	_
19	,	,	$	$,	_	0	root	_	_
20	mehr	mehr	A	ADV	_	21	adv	_	_
21	als	als	K	KOKOM	_	23	kom	_	_
22	fünfundzwanzig	fünfundzwanzig	C	CARD	_	21	cj	_	_
23	Jahr	Jahr	N	NN	Neut|Nom|Sg	18	app	_	_
24	,	,	$	$,	_	0	root	_	_
25	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	125	125
26	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
27	doch	doch	A	ADV	_	26	adv	_	_
28	schon	schon	A	ADV	_	26	adv	_	_
29	da	da	A	ADV	_	26	adv	_	_
30	,	,	$	$,	_	0	root	_	_
31	wie	wie	P	PWAV	_	0	root	_	_
32	ich	ich	P	PPER	1|Sg|_|Nom	0	root	121	121
33	eintreten	eintreten	V	VVINF	_	0	root	_	_
34	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
35	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	eine	eine	A	ART	Indef|Fem|Nom|Sg	3	det	126	126
3	Schand	Schand	N	NN	Fem|Nom|Sg	4	subj	126	126
4	war	sein	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_|_|_|Nom	4	pred	125	125
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	11	adv	_	_
9	man	man	P	PIS	_|Nom|Sg	11	subj	_	_
10	ihn	er	P	PPER	3|Sg|Masc|Acc	13	obja	125	125
11	hat	haben	V	VAFIN	3|Sg|Pres|Ind	4	objc	_	_
12	sterben	sterben	V	VVINF	_	13	obji	_	_
13	lassen	lassen	V	VVINF	_	11	aux	_	_
14	.	.	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_
16	Sie	sie	P	PPER	3|Sg|Fem|Nom	17	subj	126	126
17	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
18	immer	immer	A	ADV	_	19	adv	_	_
19	aufgeregter	aufgeregt	A	ADJD	Comp|	17	pred	_	_
20	,	,	$	$,	_	0	root	_	_
21	fragte	fragen	V	VVFIN	_|Sg|Past|_	17	kon	_	_
22	,	,	$	$,	_	0	root	_	_
23	ob	ob	K	KOUS	_	27	konj	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	27	subj	121	121
25	ein	eine	A	ART	Indef|Masc|Nom|Sg	26	det	_	_
26	Verwandter	Verwandte	N	NN	Masc|Nom|Sg	27	pred	_	_
27	sei	sein	V	VAFIN	1|Sg|Pres|Subj	21	objc	_	_
28	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	9	expl	_	_
2	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	sich	sie	P	PRF	3|_|_	9	obja	_	_
4	ja	ja	A	ADV	_	9	adv	_	_
5	nie	nie	A	ADV	_	9	adv	_	_
6	jemand	jemand	P	PIS	_|Nom|Sg	2	subj	_	_
7	um	um	P	APPR	Acc	9	objp	_	_
8	ihn	er	P	PPER	3|Sg|Masc|Acc	7	pn	125	125
9	gekümmert	kümmern	V	VVPP	_	2	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	nie	nie	A	ADV	_	12	adv	_	_
12	jemand	jemand	P	PIS	_|Nom|_	15	subj	_	_
13	nach	nach	P	APPR	Dat	15	objp	_	_
14	ihm	er	P	PPER	3|Sg|_|Dat	13	pn	125	125
15	erkundigt	erkundigen	V	VVPP	_	2	neb	_	_
16	–	–	$	$(	_	0	root	_	_
17	und	und	K	KON	_	15	kon	_	_
18	ob	ob	K	KOUS	_	22	konj	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	121	121
20	denn	denn	A	ADV	_	22	adv	_	_
21	nicht	nicht	P	PTKNEG	_	22	adv	_	_
22	wisse	wissen	V	VVFIN	1|Sg|Pres|Subj	17	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	was	was	P	PRELS	Neut|Nom|Sg	28	subj	_	_
25	mit	mit	P	APPR	Dat	27	pp	_	_
26	ihm	er	P	PPER	3|Sg|_|Dat	25	pn	125	125
27	passiert	passieren	V	VVPP	_	28	aux	_	_
28	sei	sein	V	VAFIN	3|Sg|Pres|Subj	22	objc	_	_
29	.	.	$	$.	_	0	root	_	_

1	Nein	nein	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	121	121
4	wüßte	wüßte	V	VVFIN	1|Sg|_|_	7	s	_	_
5	nichts	nichts	P	PIS	_	4	obja	_	_
6	,	,	$	$,	_	0	root	_	_
7	versicherte	versichern	V	VVFIN	1|Sg|Past|_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	121	121
9	;	;	$	$.	_	0	root	_	_
10	sie	sie	P	PPER	3|Sg|Fem|Nom	11	subj	126	126
11	solle	sollen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
12	mir	ich	P	PPER	1|Sg|_|Dat	13	objd	121	121
13	erzählen	erzählen	V	VVINF	_	11	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	alles	alle	P	PIS	_|_|Sg	16	obja	_	_
16	erzählen	erzählen	V	VVINF	_	13	kon	_	_
17	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	127	127
2	gute	gut	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	127	127
3	Person	Person	N	NN	Fem|Nom|Sg	4	subj	127	127
4	tat	tun	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	scheu	scheu	A	ADJD	Pos|	4	adv	_	_
6	und	und	K	KON	_	4	kon	_	_
7	geniert	genieren	V	VVFIN	_|_|Pres|Ind	6	cj	_	_
8	und	und	K	KON	_	7	kon	_	_
9	wischte	wischen	V	VVFIN	_|Sg|Past|_	8	cj	_	_
10	immer	immer	A	ADV	_	11	adv	_	_
11	wieder	wieder	A	ADV	_	9	adv	_	_
12	an	an	P	APPR	Dat	9	pp	_	_
13	ihren	ihre	A	PPOSAT	Fem|Dat|Pl	15	det	127	127
14	nassen	nass	A	ADJA	Pos|Fem|Dat|Pl|_|	15	attr	_	_
15	Händen	Hand	N	NN	Fem|Dat|Pl	12	pn	_	_
16	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	121	121
2	begriff	begreifen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Ihr	ihr	P	PPER	3|Sg|Fem|Dat	5	objd	127	127
5	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
7	peinlich	peinlich	A	ADJD	Pos|	5	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	als	als	K	KOKOM	_	11	kom	_	_
10	Toilettenfrau	Toilettenfrau	N	NN	Fem|_|Sg	9	cj	_	_
11	mit	mit	P	APPR	Dat	25	pp	_	_
12	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	14	det	127	127
13	schmutzigen	schmutzig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	14	attr	128	128
