1	Berlin	Berlin	N	NE	_|_|Sg	8	vok	305	305
18	Namensverwechslung	Namensverwechslung	N	NN	Fem|Gen|Sg	16	cj	_	_
19	zu	zu	P	PTKZU	_	20	part	_	_
20	hören	hören	V	VVINF	_	9	obji	_	_
21	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	452	452
2	könnte	können	V	VMFIN	1|Sg|Past|Subj	0	root	_	_
3	Dir	du	P	PPER	2|Sg|_|Dat	6	objd	458	458
4	gerade	gerade	A	ADV	_	6	adv	_	_
5	davon	davon	P	PROAV	_	6	pp	_	_
6	erzählen	erzählen	V	VVINF	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	denn	denn	K	KON	_	2	kon	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
10	sind	sein	V	VAFIN	_|Pl|Pres|Ind	8	cj	_	_
11	keine	keine	A	PIAT	Masc|Nom|Pl	13	det	_	_
12	drei	drei	C	CARD	_	13	attr	_	_
13	Tage	Tag	N	NN	Masc|Nom|Pl	10	pred	_	_
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	29	konj	_	_
16	wir	wir	P	PPER	1|Pl|_|Nom	29	subj	465	465
17	(	(	$	$(	_	0	root	_	_
18	wenigstens	wenigstens	A	ADV	_	19	adv	_	_
19	von	von	P	APPR	Dat	28	pp	_	_
20	diesen	diese	A	PDAT	Fem|Dat|Pl	21	det	_	_
21	Verwechslungen	Verwechslung	N	NN	Fem|Dat|Pl	19	pn	_	_
22	)	)	$	$(	_	0	root	_	_
23	ein	eine	A	ART	Indef|Neut|_|Sg	27	det	_	_
24	gerüttelt	gerüttelt	A	ADJD	Pos|	27	adv	_	_
25	und	und	K	KON	_	24	kon	_	_
26	geschüttelt	geschüttelt	A	ADJD	Pos|	25	cj	_	_
27	Maß	Maß	N	NN	Neut|_|Sg	28	obja	_	_
28	gehabt	haben	V	VAPP	_	29	aux	_	_
29	haben	haben	V	VAFIN	1|Pl|Pres|_	10	objc	_	_
30	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	auf	auf	P	APPR	Dat	2	pp	_	_
4	einer	eine	A	ART	Indef|Fem|Dat|Sg	5	det	_	_
5	Spazierfahrt	Spazierfahrt	N	NN	Fem|Dat|Sg	3	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	die	die	A	ART	Def|_|_|_	8	det	466	466
8	Herr	Herr	N	NN	Fem|Nom|Sg	13	subj	466	466
9	von	von	P	APPR	Dat	8	pp	466	466
10	Schach	Schach	N	NN	Neut|Dat|Sg	9	pn	125	125
11	mit	mit	P	APPR	Dat	10	pp	125	125
12	uns	wir	P	PPER	1|Pl|_|Dat	11	pn	125	125
13	machte	machen	V	VVFIN	3|Sg|Past|_	2	kon	465)	465)
14	,	,	$	$,	_	0	root	465)	465)
15	nach	nach	P	APPR	Dat	13	pp	465)	465)
16	Tempelhof	Tempelhof	N	NN	Masc|Dat|Sg	15	pn	330	330
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	15	kon	_	_
19	zu	zu	P	APPR	Dat	18	cj	_	_
20	der	die	P	PRELS	Fem|Dat|Sg	19	pn	467	467
21	auch	auch	A	ADV	_	13	adv	_	_
22	das	die	A	ART	Def|Neut|_|Sg	23	det	306	306
23	Tantchen	Tantchen	N	NN	Neut|_|Sg	13	obja	306	306
24	aufgefordert	auffordern	V	VVPP	_	25	aux	_	_
25	werden	werden	V	VAINF	_	26	aux	_	_
26	mußte	müssen	V	VMFIN	_|Sg|Past|Ind	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	weil	weil	K	KOUS	_	32	konj	_	_
29	es	es	P	PPER	3|Sg|Neut|Nom	32	subj	_	_
30	ihr	ihre	A	PPOSAT	_|Nom|Sg	31	det	466	466
31	Tag	Tag	N	NN	_|Nom|Sg	32	pred	_	_
32	war	sein	V	VAFIN	3|Sg|Past|Ind	26	neb	_	_
33	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	458	458
2	weißt	weißen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	0	root	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	0	root	465	465
6	sie	sie	P	PPER	3|_|_|_	0	root	466	466
7	jeden	jede	A	PIDAT	_|_|Sg	8	det	_	_
8	Dienstag	Dienstag	N	NN	_|_|Sg	0	root	_	_
9	als	als	K	KOKOM	_	8	kom	_	_
10	Gast	Gast	N	NN	Masc|_|Sg	9	cj	_	_
11	in	in	P	APPR	Dat	10	pp	_	_
12	unsrem	unsre	A	PPOSAT	Neut|Dat|Sg	13	det	465	465
13	Hause	Haus	N	NN	Neut|Dat|Sg	11	pn	871	871
14	sehn	sehn	N	NE	Neut|Dat|Sg	13	app	871	871
15	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	467	467
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	auch	auch	A	ADV	_	2	adv	_	_
5	mit	mit	P	APPR	Dat	2	pp	_	_
6	uns	wir	P	PPER	1|Pl|_|Dat	5	pn	465	465
7	in	in	P	APPR	Dat	2	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	10	det	334	334
9	»	»	$	$(	_	0	root	334	334
10	Kürche	Kürche	N	NE	Fem|Dat|Sg	7	pn	334	334
11	«	«	$	$(	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	wo	wo	P	PWAV	_	0	root	_	_
14	sie	sie	P	PPER	3|_|_|_	0	root	467	467
15	,	,	$	$,	_	0	root	_	_
16	beim	bei	P	APPRART	Dat	19	pp	_	_
17	Anblick	Anblick	N	NN	Masc|Dat|Sg	16	pn	_	_
18	einiger	einige	A	PIAT	_|_|_	19	det	_	_
19	Heiligenbilder	Heiligenbild	N	NN	_|_|_	0	root	_	_
20	aus	aus	P	APPR	Dat	19	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	23	det	404	404
22	katholischen	katholisch	A	ADJA	Pos|Fem|Dat|Sg|Wk|	23	attr	404	404
23	Zeit	Zeit	N	NN	Fem|Dat|Sg	20	pn	404	404
24	her	her	P	PTKVZ	_	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	nicht	nicht	P	PTKNEG	_	33	adv	_	_
27	nur	nur	A	ADV	_	33	adv	_	_
28	beständig	beständig	A	ADJD	Pos|	33	adv	_	_
29	auf	auf	P	APPR	_	33	objp	_	_
30	Ausrottung	Ausrottung	N	NN	Fem|_|Sg	29	pn	_	_
31	des	die	A	ART	Def|_|Gen|Sg	32	det	468	468
32	Aberglaubens	Aberglaube	N	NN	_|Gen|Sg	30	gmod	468	468
33	drang	dringen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	sondern	sondern	K	KON	_	33	kon	_	_
36	sich	sie	P	PRF	3|_|_	45	obja	_	_
37	mit	mit	P	APPR	Dat	45	pp	_	_
38	eben	eben	A	ADV	_	40	adv	_	_
39	diesem	diese	A	PDAT	Neut|Dat|Sg	40	det	_	_
40	Anliegen	Anliegen	N	NN	Neut|Dat|Sg	37	pn	_	_
41	auch	auch	A	ADV	_	45	adv	_	_
42	regelmäßig	regelmäßig	A	ADJD	Pos|	45	adv	_	_
43	an	an	P	APPR	_	45	pp	_	_
44	Schach	Schach	N	NN	Neut|_|Sg	43	pn	99	99
45	wandte	wandte	V	VVFIN	_	35	cj	_	_
46	,	,	$	$,	_	0	root	_	_
47	wie	wie	K	KOKOM	_	0	root	_	_
48	wenn	wenn	K	KOUS	_	52	konj	_	_
49	dieser	diese	P	PDS	Masc|Nom|Sg	52	subj	_	_
50	im	in	P	APPRART	Dat	52	pp	_	_
