1	O	O	N	NN	Neut|_|_	5	vok	34	34
5	unglücklichen	unglücklich	A	ADJA	Pos|_|_|_|Wk|	6	attr	_	_
6	Alten	Alt	N	NN	Fem|_|Sg	3	pn	_	_
7	sprachst	sprechen	V	VVFIN	2|Sg|Past|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	da	da	A	ADV	_	10	adv	_	_
10	war	sein	V	VAFIN	3|Sg|Past|Ind	7	kon	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
12	plötzlich	plötzlich	A	ADJD	Pos|	10	adv	_	_
13	nicht	nicht	P	PTKNEG	_	15	adv	_	_
14	mehr	mehr	A	ADV	_	13	adv	_	_
15	sie	sie	P	PPER	3|_|_|Nom	10	pred	198	198
16	,	,	$	$,	_	0	root	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	173	173
18	war	sein	V	VAFIN	1|Sg|Past|Ind	10	kon	_	_
19	es	es	P	PPER	3|Sg|Neut|Nom	18	pred	_	_
20	selbst	selbst	A	ADV	_	19	adv	_	_
21	,	,	$	$,	_	0	root	_	_
22	in	in	P	APPR	Dat	27	pp	_	_
23	der	die	P	PRELS	Fem|Dat|Sg	22	pn	198	198
24	die	die	A	ART	Def|Masc|Nom|Pl	26	det	309	309
25	schaudervollen	schaudervoll	A	ADJA	Pos|Masc|Nom|Pl|Wk|	26	attr	309	309
26	Schmerzen	Schmerz	N	NN	Masc|Nom|Pl	27	subj	309	309
27	wühlten	wühlen	V	VVFIN	3|Pl|Past|_	6	rel	_	_
28	;	;	$	$.	_	0	root	_	_
29	o	o	F	FM	_	0	root	_	_
30	!	!	$	$.	_	0	root	_	_
31	«	«	$	$(	_	0	root	_	_
32	und	und	K	KON	_	0	root	_	_
33	sie	sie	P	PPER	3|Sg|Fem|Nom	34	subj	198	198
34	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
35	still	still	A	ADJD	Pos|	34	adv	_	_
36	und	und	K	KON	_	34	kon	_	_
37	stöhnte	stöhnen	V	VVFIN	_|Sg|Past|_	36	cj	_	_
38	,	,	$	$,	_	0	root	_	_
39	als	als	K	KOKOM	_	0	root	_	_
40	ob	ob	K	KOUS	_	0	root	_	_
41	das	die	A	ART	Def|Neut|_|Sg	42	det	385	385
42	Gefühl	Gefühl	N	NN	Neut|_|Sg	0	root	385	385
43	ihr	ihr	P	PPER	_|_|_|_	0	root	198	198
44	wiederkomme	wiederkommen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
45	;	;	$	$.	_	0	root	_	_
46	»	»	$	$(	_	0	root	_	_
47	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
48	in	in	P	APPR	_	47	pp	_	_
49	Wirklichkeit	Wirklichkeit	N	NN	Fem|_|Sg	48	pn	_	_
50	mir	ich	P	PPER	1|Sg|_|Dat	47	objd	173	173
51	das	die	P	PDS	Neut|Nom|Sg	47	subj	_	_
52	bevorstehen	bevorstehen	V	VVFIN	_	0	root	_	_
53	«	«	$	$(	_	0	root	_	_
54	,	,	$	$,	_	0	root	_	_
55	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
56	sie	sie	P	PPER	3|Sg|Fem|Nom	55	subj	198	198
57	,	,	$	$,	_	0	root	_	_
58	mich	ich	P	PPER	1|Sg|_|Acc	0	root	173	173
59	zum	zu	P	APPRART	Dat	61	pp	_	_
60	Fortgehen	Fortgehen	N	NN	Neut|Dat|Sg	59	pn	_	_
61	treibend	treiben	A	ADJD	_|<PPRES	0	root	_	_
62	,	,	$	$,	_	0	root	_	_
63	»	»	$	$(	_	0	root	_	_
64	ich	ich	P	PPER	1|Sg|_|Nom	65	subj	173	173
65	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
66	,	,	$	$,	_	0	root	_	_
67	ich	ich	P	PPER	1|Sg|_|Nom	68	subj	173	173
68	glaube	glauben	V	VVFIN	1|Sg|Pres|_	65	kon	_	_
69	es	es	P	PPER	3|Sg|Neut|Nom	70	subj	_	_
70	bestimmt	bestimmen	V	VVPP	_	68	neb	_	_
71	zu	zu	P	PTKZU	_	72	part	_	_
72	wissen	wissen	V	VVINF	_	0	root	_	_
73	,	,	$	$,	_	0	root	_	_
74	die	die	A	ART	Def|Fem|Nom|Sg	75	det	_	_
75	Angst	Angst	N	NN	Fem|Nom|Sg	76	subj	_	_
76	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
77	mich	ich	P	PPER	1|Sg|_|Acc	78	obja	173	173
78	töten	töten	V	VVINF	_	76	aux	_	_
79	,	,	$	$,	_	0	root	_	_
80	bevor	bevor	K	KOUS	_	89	konj	_	_
81	die	die	A	ART	Def|Fem|Nom|Pl	82	det	199	199
82	Qualen	Qual	N	NN	Fem|Nom|Pl	89	subj	199	199
83	ihre	ihre	A	PPOSAT	_|_|_	84	det	199	199
84	Klammern	Klammer	N	NN	_|_|_	89	obja	_	_
85	in	in	P	APPR	_	89	objp	_	_
86	meinen	meine	A	PPOSAT	Masc|_|_	88	det	173	173
87	armen	arm	A	ADJA	Pos|Masc|_|_|_|	88	attr	_	_
88	Körper	Körper	N	NN	Masc|_|_	85	pn	_	_
89	setzten	setzen	V	VVFIN	3|Pl|Past|_	76	neb	_	_
90	!	!	$	$.	_	0	root	_	_
91	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Möge	mögen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	nie	nie	A	ADV	_	5	adv	_	_
5	geschehen	geschehen	V	VVINF	_	2	aux	_	_
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	sagte	sagen	V	VVFIN	1|Sg|Past|_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	173	173
10	und	und	K	KON	_	8	kon	_	_
11	schlug	schlagen	V	VVFIN	_|Sg|Past|Ind	10	cj	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	200	200
13	Arm	Arm	N	NN	Masc|Acc|Sg	11	obja	200	200
14	um	um	P	APPR	Acc	11	objp	_	_
15	ihre	ihre	A	PPOSAT	Fem|Acc|Sg	16	det	199	199
16	Hüfte	Hüfte	N	NN	Fem|Acc|Sg	14	pn	_	_
17	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	was	was	P	PWS	Neut|_|Sg	0	root	_	_
4	schiltst	schelten	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	4	subj	195	195
6	deine	deine	A	PPOSAT	Fem|_|Sg	7	det	195	195
7	Feigheit	Feigheit	N	NN	Fem|_|Sg	4	obja	_	_
8	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	201	201
2	übermäßige	übermäßig	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	201	201
3	Tapferkeit	Tapferkeit	N	NN	Fem|Nom|Sg	6	subj	201	201
4	der	die	A	ART	Def|Fem|Gen|Pl	5	det	424	424
5	Frauen	Frau	N	NN	Fem|Gen|Pl	3	gmod	201	201
6	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
7	niemals	niemals	A	ADV	_	6	adv	_	_
8	meine	meine	A	PPOSAT	_|Nom|Sg	9	det	173	173
9	Leidenschaft	Leidenschaft	N	NN	_|Nom|Sg	6	pred	_	_
10	.	.	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	201	201
2	antwortete	antworten	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	darauf	darauf	P	PROAV	_	2	pp	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOKOM	_	7	konj	_	_
7	hätt	hätt	V	VAFIN	1|Sg|_|_	2	neb	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	173	173
9	nur	nur	A	ADV	_	13	adv	_	_
10	um	um	P	APPR	_	13	pp	_	_
11	ihretwillen	ihretwillen	C	CARD	_	10	pn	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	gesprochen	sprechen	V	VVPP	_	7	aux	_	_
14	;	;	$	$.	_	0	root	_	_
15	sie	sie	P	PPER	3|Sg|Fem|Nom	16	subj	201	201
16	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
17	nur	nur	A	ADV	_	16	adv	_	_
18	:	\:	$	$.	_	0	root	_	_
19	»	»	$	$(	_	0	root	_	_
20	Nun	nun	A	ADV	_	21	adv	_	_
21	weißt	weißen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
22	du	du	P	PPER	2|Sg|_|Nom	21	subj	195	195
23	es	es	P	PPER	3|Sg|Neut|_	21	expl	_	_
24	,	,	$	$,	_	0	root	_	_
25	Franz	Franz	N	NE	_|_|Sg	23	kon	34	34
26	;	;	$	$.	_	0	root	_	_
27	liebst	lieben	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
28	du	du	P	PPER	2|Sg|_|Nom	27	subj	195	195
29	mich	ich	P	PPER	1|Sg|_|Acc	27	obja	173	173
30	noch	noch	A	ADV	_	27	adv	_	_
31	?	?	$	$.	_	0	root	_	_
32	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nur	nur	A	ADV	_	3	adv	_	_
3	um	um	P	APPR	_	0	root	_	_
4	so	so	A	ADV	_	3	adv	_	_
5	mehr	mehr	A	ADV	_	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	Elsi	Elsi	N	NE	_	0	root	157	157
8	,	,	$	$,	_	0	root	_	_
9	da	da	K	KOUS	_	16	konj	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	173	173
11	dich	du	P	PPER	2|Sg|_|Acc	15	obja	195	195
12	auch	auch	A	ADV	_	15	adv	_	_
13	hier	hier	A	ADV	_	15	adv	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	schützen	schützen	V	VVINF	_	16	aux	_	_
16	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	hatten	haben	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	202	202
4	unser	unsre	A	PPOSAT	Neut|_|Sg	5	det	202	202
5	Haus	Haus	N	NN	Neut|_|Sg	6	obja	_	_
6	erreicht	erreichen	V	VVPP	_	2	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Als	Als	K	KOUS	_	11	konj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	173	173
5	am	an	P	APPRART	Dat	11	pp	_	_
6	andern	andern	A	ADJA	_|_|Dat|Sg|_	7	attr	_	_
7	Mittag	Mittag	N	NN	_|Dat|Sg	5	pn	_	_
8	in	in	P	APPR	Acc	11	objp	_	_
9	die	die	A	ART	Def|_|Acc|_	10	det	_	_
10	Eßstube	Eßstube	N	NN	_|Acc|_	8	pn	_	_
11	trat	treten	V	VVFIN	1|Sg|Past|Ind	13	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
14	mir	ich	P	PPER	1|Sg|_|Dat	13	objd	173	173
15	Elsi	Elsi	N	NE	_|Nom|Sg	13	subj	181	181
16	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
17	wenig	wenig	A	ADV	_	18	adv	_	_
18	erregt	erregen	V	VVPP	_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	aber	aber	K	KON	_	0	root	_	_
21	mit	mit	P	APPR	Dat	20	cj	_	_
22	auffallend	auffallen	A	ADJD	_|<PPRES	23	adv	_	_
23	heiterem	heiter	A	ADJA	Pos|Neut|Dat|Sg|St|	24	attr	_	_
24	Angesicht	Angesicht	N	NN	Neut|Dat|Sg	21	pn	_	_
25	entgegen	entgegen	P	PTKVZ	_	0	root	_	_
26	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nun	nun	A	ADV	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	rief	rufen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	173	173
7	,	,	$	$,	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	was	was	P	PWS	Neut|_|Sg	10	obja	_	_
10	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
11	du	du	P	PPER	2|Sg|_|Nom	10	subj	203	203
12	?	?	$	$.	_	0	root	_	_

1	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	ein	eine	A	ART	Indef|Neut|Nom|Sg	3	det	_	_
3	Glück	Glück	N	NN	Neut|Nom|Sg	1	subj	_	_
4	in	in	P	APPR	Acc	7	objp	_	_
5	unser	unsre	A	PPOSAT	Neut|Acc|Sg	6	det	_	_
6	Haus	Haus	N	NN	Neut|Acc|Sg	4	pn	_	_
7	gefallen	fallen	V	VVPP	_	1	aux	_	_
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	173	173
3	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
4	nichts	nichts	P	PIS	_	3	obja	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	sagte	sagen	V	VVFIN	3|Sg|Past|_	4	par	_	_
8	sie	sie	P	PPER	3|Sg|Fem|Nom	7	subj	_	_
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	oder	oder	K	KON	_	3	kon	_	_
12	-	-	$	$(	_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	173	173
14	will	wollen	V	VMFIN	1|Sg|Pres|Ind	11	par	_	_
15	nicht	nicht	P	PTKNEG	_	16	adv	_	_
16	lügen	lügen	V	VVINF	_	14	aux	_	_
17	-	-	$	$(	_	0	root	_	_
18	du	du	P	PPER	2|Sg|_|Nom	19	subj	203	203
19	darfst	dürfen	V	VMFIN	2|Sg|Pres|Ind	11	cj	_	_
20	es	es	P	PPER	3|Sg|Neut|_	23	expl	_	_
21	noch	noch	A	ADV	_	22	adv	_	_
22	nicht	nicht	P	PTKNEG	_	23	adv	_	_
23	wissen	wissen	V	VVINF	_	19	aux	_	_
24	!	!	$	$.	_	0	root	_	_
25	«	«	$	$(	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	173	173
2	hob	heben	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	drohend	drohen	A	ADJD	_|<PPRES	2	adv	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	_	_
5	Finger	Finger	N	NN	Masc|Acc|Sg	2	obja	_	_
6	:	\:	$	$.	_	0	root	_	_
7	»	»	$	$(	_	0	root	_	_
8	Weißt	weißen	V	VVIMP	Pl	0	root	_	_
9	du	du	P	PPER	2|Sg|_|Nom	0	root	203	203
10	schon	schon	A	ADV	_	9	adv	_	_
11	nicht	nicht	P	PTKNEG	_	9	adv	_	_
12	mehr	mehr	A	ADV	_	11	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	wie	wie	P	PWAV	_	17	adv	_	_
15	dich	du	P	PPER	2|Sg|_|Acc	17	obja	203	203
16	Geheimnisse	Geheimnis	N	NN	Neut|Nom|Pl	17	subj	_	_
17	drücken	drücken	V	VVFIN	3|Pl|Pres|_	0	root	_	_
18	?	?	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nein	nein	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Franz	Franz	N	NE	_|_|Sg	0	root	34	34
5	,	,	$	$,	_	0	root	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	7	subj	_	_
9	nicht	nicht	P	PTKNEG	_	7	adv	_	_
10	;	;	$	$.	_	0	root	_	_
11	um	um	P	APPR	_	18	objp	_	_
12	ein	eine	A	ART	Indef|_|_|Sg	14	det	_	_
13	paar	paar	A	PIDAT	Masc|_|Pl	14	attr	_	_
14	Tage	Tag	N	NN	Masc|_|Pl	11	pn	_	_
15	sollst	sollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
16	du	du	P	PPER	2|Sg|_|Nom	15	subj	203	203
17	alles	alle	P	PIS	Neut|Nom|Sg	16	app	_	_
18	wissen	wissen	V	VVINF	_	15	aux	_	_
19	!	!	$	$.	_	0	root	_	_

1	Vielleicht	vielleicht	A	ADV	_	2	adv	_	_
2	auch	auch	A	ADV	_	3	adv	_	_
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	173	173
5	nur	nur	A	ADV	_	3	adv	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	froh	froh	A	ADJD	Pos|	3	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	weil	weil	K	KOUS	_	0	root	_	_
10	du	du	P	PPER	2|Sg|_|Nom	0	root	203	203
11	gestern	gestern	A	ADV	_	12	adv	_	_
12	meine	meinen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
13	Schuld	Schuld	N	NN	Fem|Nom|Sg	12	subj	204	204
14	so	so	A	ADV	_	15	adv	_	_
15	liebreich	liebreich	A	ADJD	Pos|	12	adv	_	_
16	von	von	P	APPR	Dat	12	pp	_	_
17	mir	ich	P	PPER	1|Sg|_|Dat	16	pn	173	173
18	nahmst	nehmen	V	VVFIN	2|Sg|Past|Ind	0	root	_	_
19	.	.	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	statt	statt	P	APPR	Gen	6	pp	_	_
4	des	die	A	ART	Def|_|Gen|Sg	5	det	_	_
5	großen	groß	A	ADJA	_|Gen|Sg	3	pn	_	_
6	hast	haben	V	VAFIN	2|Sg|Pres|Ind	2	cj	_	_
7	du	du	P	PPER	2|Sg|_|Nom	6	subj	203	203
8	nun	nun	A	ADV	_	14	adv	_	_
9	glücklich	glücklich	A	ADJD	Pos|	14	adv	_	_
10	ein	eine	A	ART	Indef|Neut|_|Sg	12	det	_	_
11	kleines	klein	A	ADJA	Pos|Neut|_|Sg|St|	12	attr	_	_
12	Geheimnis	Geheimnis	N	NN	Neut|_|Sg	14	obja	_	_
13	dir	du	P	PPER	2|Sg|_|Dat	14	objd	_	_
14	gewonnen	gewinnen	V	VVPP	_	6	aux	_	_
15	;	;	$	$.	_	0	root	_	_
16	o	o	F	FM	_|_|Sg	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	ihr	ihre	A	PPOSAT	_|_|Sg	19	det	204	204
19	Weiber	Weib	N	NN	_|_|Sg	16	app	_	_
20	!	!	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|Nom	2	subj	204	204
2	faßte	faßte	V	VVFIN	3|_|_|_	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	173	173
4	um	um	P	APPR	Acc	2	pp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	205	205
6	Hals	Hals	N	NN	Masc|Acc|Sg	4	pn	205	205
7	:	\:	$	$.	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	Laß	Laß	V	VVIMP	_	0	root	_	_
10	mich	ich	P	PPER	1|Sg|_|Acc	9	obja	173	173
11	'	'	$	$(	_	0	root	_	_
12	s	s	P	PPER	_|_|_|Dat	9	objd	204	204
13	behalten	behalten	V	VVINF	_	0	root	_	_
14	;	;	$	$.	_	0	root	_	_
15	nur	nur	A	ADV	_	18	adv	_	_
16	die	die	A	ART	Def|Masc|_|Pl	18	det	_	_
17	paar	paar	A	PIDAT	Masc|_|Pl	18	attr	_	_
18	Tage	Tag	N	NN	Masc|_|Pl	19	grad	_	_
19	noch	noch	A	ADV	_	0	root	_	_
20	!	!	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nun	nun	A	ADV	_	10	adv	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagte	sagen	V	VVFIN	1|Sg|Past|_	2	par	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	173	173
7	lachend	lachen	A	ADJD	_|<PPRES	5	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	du	du	P	PPER	2|Sg|_|Nom	11	subj	203	203
11	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
