1	Selbige	selbige	P	PDS	_|Nom|Sg	3	subj	_	_
5	das	die	A	ART	Def|Neut|Nom|Sg	6	det	_	_
6	Bellen	Bellen	N	NN	Neut|Nom|Sg	15	subj	_	_
7	der	die	A	ART	Def|Masc|Gen|Pl	8	det	169	169
8	Hunde	Hund	N	NN	Masc|Gen|Pl	6	gmod	169	169
9	wie	wie	K	KOKOM	_	15	kom	_	_
10	ein	eine	A	ART	Indef|Neut|_|Sg	11	det	_	_
11	Triumphgeheule	Triumphgeheule	N	NN	Neut|_|Sg	9	cj	_	_
12	innerhalb	innerhalb	P	APPR	_	15	pp	_	_
13	der	die	A	ART	Def|_|_|_	14	det	_	_
14	Gartenmauer	Gartenmauer	N	NN	_|_|_	12	pn	_	_
15	scholl	schallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	ersahe	ersahe	K	KOUS	_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	0	root	389	389
19	in	in	P	APPR	Dat	24	pp	409	409
20	meiner	meine	A	PPOSAT	Fem|Dat|Sg	21	det	389	389
21	Noth	Noth	N	NN	Fem|Dat|Sg	19	pn	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	24	det	_	_
23	alten	alt	A	ADJA	Pos|Masc|Acc|Sg|_|	24	attr	_	_
24	Epheubaum	Epheubaum	N	NN	Masc|Acc|Sg	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	der	die	P	PRELS	Masc|Nom|Sg	34	subj	409	409
27	sich	sie	P	PRF	3|_|_	34	obja	_	_
28	mit	mit	P	APPR	Dat	34	pp	_	_
29	starkem	stark	A	ADJA	Pos|Masc|Dat|Sg|St|	30	attr	_	_
30	Stamme	Stamm	N	NN	Masc|Dat|Sg	28	pn	_	_
31	an	an	P	APPR	Dat	34	pp	_	_
32	dem	die	A	ART	Def|_|Dat|Sg	33	det	_	_
33	Thurm	Thurm	N	NN	_|Dat|Sg	31	pn	_	_
34	hinaufreckt	hinaufrecken	V	VVFIN	3|Sg|Pres|Ind	24	rel	_	_
35	;	;	$	$.	_	0	root	_	_
36	und	und	K	KON	_	0	root	_	_
37	da	da	A	ADV	_	51	adv	_	_
38	dann	dann	A	ADV	_	51	adv	_	_
39	die	die	A	ART	Def|Masc|Nom|Pl	40	det	169	169
40	Hunde	Hund	N	NN	Masc|Nom|Pl	49	subj	169	169
41	aus	aus	P	APPR	Dat	49	pp	_	_
42	den	die	A	ART	Def|_|Dat|Pl	43	det	318	318
43	Hecken	Heck	N	NN	_|Dat|Pl	41	pn	318	318
44	auf	auf	P	APPR	Acc	41	kon	_	_
45	den	die	A	ART	Def|Masc|Acc|Sg	47	det	_	_
46	mondhellen	mondhellen	A	ADJA	_|Masc|Acc|Sg|_	47	attr	_	_
47	Platz	Platz	N	NN	Masc|Acc|Sg	44	pn	_	_
48	hinaus	hinaus	A	APZR	_	44	part	_	_
49	raseten	raseten	V	VVPP	_	51	neb	_	_
50	,	,	$	$,	_	0	root	_	_
51	war	sein	V	VAFIN	1|Sg|Past|Ind	36	cj	_	_
52	ich	ich	P	PPER	1|Sg|_|Nom	51	subj	389	389
53	schon	schon	A	ADV	_	51	adv	_	_
54	hoch	hoch	A	ADJD	Pos|	55	adv	_	_
55	genug	genug	A	ADV	_	51	pred	_	_
56	,	,	$	$,	_	0	root	_	_
57	daß	daß	K	KOUS	_	66	konj	_	_
58	sie	sie	P	PPER	3|Pl|_|Nom	66	subj	318	318
59	mit	mit	P	APPR	Dat	65	pp	_	_
60	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	61	det	318	318
61	Anspringen	Anspringen	N	NN	Neut|Dat|Sg	59	pn	_	_
62	mich	ich	P	PPER	1|Sg|_|Acc	65	obja	389	389
63	nicht	nicht	P	PTKNEG	_	65	adv	_	_
64	mehr	mehr	A	ADV	_	63	adv	_	_
65	erreichen	erreichen	V	VVINF	_	66	aux	_	_
66	konnten	können	V	VMFIN	3|Pl|Past|Ind	51	objc	_	_
67	;	;	$	$.	_	0	root	_	_
68	nur	nur	A	ADV	_	69	adv	_	_
69	meinen	meinen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
70	Mantel	Mantel	N	NN	Masc|Nom|Sg	76	subj	_	_
71	,	,	$	$,	_	0	root	_	_
72	so	so	A	ADV	_	76	adv	_	_
73	von	von	P	APPR	_	76	pp	_	_
74	der	die	A	ART	Def|_|_|_	75	det	241	241
75	Schulter	Schulter	N	NN	_|_|_	73	pn	241	241
76	geglitten	gleiten	V	VVPP	_	69	neb	_	_
77	,	,	$	$,	_	0	root	_	_
78	hatten	haben	V	VAFIN	_|Pl|Past|Ind	69	kon	_	_
79	sie	sie	P	PPER	3|_|_|_	84	obja	241	241
80	mit	mit	P	APPR	Dat	84	pp	_	_
81	ihren	ihre	A	PPOSAT	Masc|Dat|Pl	82	det	318	318
82	Zähnen	Zahn	N	NN	Masc|Dat|Pl	80	pn	_	_
83	mir	ich	P	PPER	1|Sg|_|Dat	84	objd	389	389
84	herabgerissen	herabreißen	V	VVPP	_	78	aux	_	_
85	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	389	389
2	aber	aber	A	ADV	_	5	adv	_	_
3	,	,	$	$,	_	0	root	_	_
4	also	also	A	ADV	_	5	adv	_	_
5	angeklammert	anklammern	V	VVPP	_	0	root	_	_
6	und	und	K	KON	_	0	root	_	_
7	fürchtend	fürchten	A	ADJD	_|<PPRES	6	cj	_	_
8	,	,	$	$,	_	0	root	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
10	werde	werden	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
11	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
12	nach	nach	P	APPR	Dat	16	pp	_	_
13	oben	oben	A	ADV	_	14	adv	_	_
14	schwächere	schwach	A	ADJA	Comp|_|_|_|_|	15	attr	_	_
15	Geäste	Geäste	N	NN	_|_|_	12	pn	_	_
16	mich	ich	P	PPER	1|Sg|_|Acc	0	root	389	389
17	auf	auf	P	APPR	Acc	16	pp	_	_
18	die	die	A	ART	Def|Fem|Acc|Sg	19	det	496	496
19	Dauer	Dauer	N	NN	Fem|Acc|Sg	17	pn	496	496
20	nicht	nicht	P	PTKNEG	_	17	adv	_	_
21	ertragen	ertragen	V	VVINF	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	blickte	blicken	V	VVFIN	_|Sg|Past|_	0	root	_	_
24	suchend	suchen	A	ADJD	_|<PPRES	23	adv	_	_
25	um	um	P	APPR	Acc	23	pp	_	_
26	mich	ich	P	PRF	1|Sg|Acc	25	pn	_	_
27	,	,	$	$,	_	0	root	_	_
28	ob	ob	K	KOUS	_	35	konj	_	_
29	ich	ich	P	PPER	1|Sg|_|Nom	35	subj	389	389
30	nicht	nicht	P	PTKNEG	_	34	adv	_	_
31	irgend	irgend	A	ADV	_	34	adv	_	_
32	besseren	gut	A	ADJA	Comp|Masc|_|Sg|_|	33	attr	_	_
33	Halt	Halt	N	NN	Masc|_|Sg	34	obja	_	_
34	gewinnen	gewinnen	V	VVINF	_	35	aux	_	_
35	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	23	subjc	_	_
36	;	;	$	$.	_	0	root	_	_
37	aber	aber	K	KON	_	0	root	_	_
38	es	es	P	PPER	3|Sg|Neut|Nom	39	subj	_	_
39	war	sein	V	VAFIN	_|Sg|Past|Ind	37	cj	_	_
40	nichts	nichts	P	PIS	_	39	obja	_	_
41	zu	zu	P	PTKZU	_	42	part	_	_
42	sehen	sehen	V	VVINF	_	39	aux	_	_
43	als	als	K	KOKOM	_	39	kom	_	_
44	die	die	A	ART	Def|Neut|_|Pl	46	det	_	_
45	dunklen	dunkel	A	ADJA	Pos|Neut|_|Pl|Wk|	46	attr	_	_
46	Epheublätter	Epheublatt	N	NN	Neut|_|Pl	43	cj	_	_
47	um	um	P	APPR	Acc	39	pp	_	_
48	mich	ich	P	PRF	1|Sg|Acc	47	pn	_	_
49	her	her	P	PTKVZ	_	0	root	_	_
50	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Da	Da	K	KOUS	_	8	konj	_	_
3	,	,	$	$,	_	0	root	_	_
4	in	in	P	APPR	Dat	8	pp	_	_
5	solcher	solche	A	PIDAT	Fem|Dat|Sg	6	det	_	_
6	Noth	Noth	N	NN	Fem|Dat|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	hörete	hörete	V	VVFIN	1|Sg|_|_	10	neb	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	389	389
10	ober	ober	V	VVFIN	_|Sg|_|_	0	root	_	_
11	mir	ich	P	PPER	1|Sg|_|Dat	10	objd	389	389
12	ein	eine	A	ART	Indef|Neut|Nom|Sg	13	det	_	_
13	Fenster	Fenster	N	NN	Neut|Nom|Sg	10	subj	_	_
14	öffnen	öffnen	V	VVINF	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	0	root	_	_
17	eine	eine	A	ART	Indef|Fem|Nom|Sg	18	det	410	410
18	Stimme	Stimme	N	NN	Fem|Nom|Sg	19	subj	410	410
19	scholl	schallen	V	VVFIN	3|Sg|Past|Ind	16	cj	_	_
20	zu	zu	P	APPR	Dat	19	pp	_	_
21	mir	ich	P	PPER	1|Sg|_|Dat	20	pn	389	389
22	herab	herab	A	ADV	_	19	adv	_	_
23	-	-	$	$(	_	0	root	_	_
24	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	19	kon	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	389	389
26	sie	sie	P	PPER	3|_|_|_	28	obja	410	410
27	wieder	wieder	A	ADV	_	28	adv	_	_
28	hören	hören	V	VVINF	_	24	aux	_	_
29	,	,	$	$,	_	0	root	_	_
30	wenn	wenn	K	KOUS	_	0	root	_	_
31	du	du	P	PPER	2|Sg|_|Nom	0	root	411	411
32	,	,	$	$,	_	0	root	_	_
33	mein	mein	V	VVFIN	_|Sg|_|_	0	root	_	_
34	Gott	Gott	N	NN	Masc|Nom|Sg	33	subj	87	87
35	,	,	$	$,	_	0	root	_	_
36	mich	ich	P	PPER	1|Sg|_|Acc	40	obja	389	389
37	bald	bald	A	ADV	_	39	adv	_	_
38	nun	nun	A	ADV	_	39	adv	_	_
39	rufen	rufen	V	VVINF	_	40	obji	_	_
40	läßt	lassen	V	VVFIN	_|Sg|Pres|Ind	0	root	_	_
41	aus	aus	P	APPR	Dat	40	pp	_	_
42	diesem	diese	A	PDAT	Neut|Dat|Sg	43	det	_	_
43	Erdenthal	Erdenthal	N	NN	Neut|Dat|Sg	41	pn	_	_
44	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Johannes	Johannes	N	NE	Masc|_|Sg	0	root	129	129
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	6	subj	410	410
8	;	;	$	$.	_	0	root	_	_
9	leis	leis	A	ADJD	Pos|	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	doch	doch	K	KON	_	0	root	_	_
12	deutlich	deutlich	A	ADJD	Pos|	13	adv	_	_
13	hörete	hörete	V	VVFIN	1|Sg|_|_	11	cj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	389	389
15	meinen	meine	A	PPOSAT	Masc|_|_	16	det	389	389
16	Namen	Name	N	NN	Masc|_|_	13	obja	541	541
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	13	kon	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	389	389
20	kletterte	klettern	V	VVFIN	1|Sg|Past|_	18	cj	_	_
21	höher	hoch	A	ADJD	Comp|	20	adv	_	_
22	an	an	P	APPR	Dat	20	pp	_	_
23	dem	die	A	ART	Def|_|Dat|Sg	26	det	_	_
24	immer	immer	A	ADV	_	25	adv	_	_
25	schwächeren	schwach	A	ADJA	Comp|_|Dat|Sg|Wk|	26	attr	_	_
26	Gezweige	Gezweige	N	NN	_|Dat|Sg	22	pn	_	_
27	,	,	$	$,	_	0	root	_	_
28	indeß	indeß	V	VVFIN	_	20	kon	_	_
29	die	die	A	ART	Def|Masc|_|Pl	31	det	_	_
30	schlafenden	schlafend	A	ADJA	Pos|Masc|_|Pl|Wk|<PPRES	31	attr	_	_
31	Vögel	Vogel	N	NN	Masc|_|Pl	28	obja	_	_
32	um	um	P	APPR	Acc	28	pp	_	_
33	mich	ich	P	PPER	1|Sg|_|Acc	32	pn	389	389
34	auffuhren	auffahren	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
35	und	und	K	KON	_	34	kon	_	_
36	die	die	A	ART	Def|Masc|Nom|Pl	37	det	_	_
37	Hunde	Hund	N	NN	Masc|Nom|Pl	42	subj	_	_
38	von	von	P	APPR	_	37	pp	_	_
39	unten	unten	A	ADV	_	41	adv	_	_
40	ein	eine	A	ART	Indef|_|_|Sg	41	det	_	_
41	Geheul	Geheul	N	NN	_|_|Sg	38	pn	_	_
42	heraufstießen	heraufstoßen	V	VVFIN	3|Pl|Past|_	35	cj	_	_
43	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Katharina	Katharina	N	NN	Fem|_|Sg	0	root	115	115
4	!	!	$	$.	_	0	root	_	_

1	Bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	411	411
3	es	es	P	PPER	3|Sg|Neut|_	1	expl	_	_
4	wirklich	wirklich	A	ADJD	Pos|	1	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	Katharina	Katharina	N	NN	Fem|_|Sg	1	vok	115	115
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	schon	schon	A	ADV	_	3	adv	_	_
3	kam	kommen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	ein	eine	A	ART	Indef|Neut|Nom|Sg	6	det	413	413
5	zitternd	zitternd	A	ADJA	_|Neut|Nom|Sg|_	6	attr	413	413
6	Händlein	Händlein	N	NN	Neut|Nom|Sg	3	subj	413	413
7	zu	zu	P	APPR	Dat	3	objp	_	_
8	mir	ich	P	PPER	1|Sg|_|Dat	7	pn	389	389
9	herab	herab	A	ADV	_	3	adv	_	_
10	und	und	K	KON	_	3	kon	_	_
11	zog	ziehen	V	VVFIN	_|Sg|Past|Ind	10	cj	_	_
12	mich	ich	P	PRF	1|Sg|Acc	11	obja	_	_
13	gegen	gegen	P	APPR	Acc	11	pp	_	_
14	das	die	A	ART	Def|Neut|Acc|Sg	16	det	_	_
15	offene	offen	A	ADJA	Pos|Neut|Acc|Sg|Wk|	16	attr	_	_
16	Fenster	Fenster	N	NN	Neut|Acc|Sg	13	pn	_	_
17	;	;	$	$.	_	0	root	_	_
18	und	und	K	KON	_	0	root	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	389	389
20	sah	sehen	V	VVFIN	1|Sg|Past|Ind	18	cj	_	_
21	in	in	P	APPR	Acc	20	pp	_	_
22	ihre	ihre	A	PPOSAT	Neut|Acc|Pl	23	det	46	46
23	Augen	Auge	N	NN	Neut|Acc|Pl	21	pn	412	412
24	,	,	$	$,	_	0	root	412	412
25	die	die	P	PRELS	Neut|Nom|Pl	31	subj	412	412
26	voll	voll	A	ADJD	Pos|	31	adv	_	_
27	Entsetzen	Entsetzen	N	NN	Neut|_|Sg	26	grad	_	_
28	in	in	P	APPR	Acc	31	pp	_	_
29	die	die	A	ART	Def|_|Acc|_	30	det	_	_
30	Tiefe	Tiefe	N	NN	_|Acc|_	28	pn	_	_
31	starrten	starren	V	VVFIN	3|Pl|Past|_	23	rel	_	_
32	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Komm	kommen	V	VVIMP	Sg	0	root	_	_
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	sie	sie	P	PPER	3|Sg|Fem|Nom	5	subj	46	46
7	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	412	412
3	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	_
4	dich	du	P	PPER	2|Sg|_|Acc	5	obja	_	_
5	zerreißen	zerreißen	V	VVINF	_	3	aux	_	_
6	.	.	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	Da	da	A	ADV	_	9	adv	_	_
9	schwang	schwingen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	389	389
11	mich	ich	P	PRF	1|Sg|Acc	9	obja	_	_
12	in	in	P	APPR	Acc	9	pp	_	_
13	ihre	ihre	A	PPOSAT	Fem|Acc|Sg	14	det	412	412
14	Kammer	Kammer	N	NN	Fem|Acc|Sg	12	pn	_	_
15	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Doch	doch	K	KON	_	0	root	_	_
3	als	als	K	KOUS	_	6	konj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	389	389
5	drinnen	drinnen	A	ADV	_	6	adv	_	_
6	war	sein	V	VAFIN	1|Sg|Past|Ind	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	2	cj	_	_
9	mich	ich	P	PPER	1|Sg|_|Acc	8	obja	389	389
10	das	die	A	ART	Def|Neut|Nom|Sg	11	det	413	413
11	Händlein	Händlein	N	NN	Neut|Nom|Sg	8	subj	413	413
12	los	los	P	PTKVZ	_	8	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	8	kon	_	_
15	Katharina	Katharina	N	NN	Fem|Nom|Sg	16	subj	115	115
16	sank	sinken	V	VVFIN	3|Sg|Past|Ind	14	cj	_	_
17	auf	auf	P	APPR	Acc	16	pp	_	_
18	einen	eine	A	ART	Indef|Masc|Acc|Sg	19	det	_	_
19	Sessel	Sessel	N	NN	Masc|Acc|Sg	17	pn	_	_
20	,	,	$	$,	_	0	root	_	_
21	so	so	A	ADV	_	24	adv	_	_
22	am	an	P	APPRART	Dat	24	pp	_	_
23	Fenster	Fenster	N	NN	Neut|Dat|Sg	22	pn	499	499
24	stund	stund	V	VVPP	_	16	neb	_	_
25	,	,	$	$,	_	0	root	_	_
26	und	und	K	KON	_	16	kon	_	_
27	hatte	haben	V	VAFIN	_|Sg|Past|Ind	26	cj	_	_
28	ihre	ihre	A	PPOSAT	Neut|_|Pl	29	det	115	115
29	Augen	Auge	N	NN	Neut|_|Pl	31	obja	_	_
30	dicht	dicht	A	ADJD	Pos|	31	adv	_	_
31	geschlossen	geschlossen	V	VVPP	_	27	aux	_	_
32	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Pl	3	det	414	414
2	dicken	dick	A	ADJA	Pos|Fem|Nom|Pl|Wk|	3	attr	414	414
3	Flechten	Flechte	N	NN	Fem|Nom|Pl	6	subj	414	414
4	ihres	ihre	A	PPOSAT	Neut|Gen|Sg	5	det	414	414
5	Haares	Haar	N	NN	Neut|Gen|Sg	3	gmod	_	_
6	lagen	liegen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
7	über	über	P	APPR	Dat	6	objp	_	_
8	dem	die	A	ART	Def|Neut|Dat|Sg	10	det	_	_
9	weißen	weiß	A	ADJA	Pos|Neut|Dat|Sg|Wk|	10	attr	_	_
10	Nachtgewand	Nachtgewand	N	NN	Neut|Dat|Sg	7	pn	_	_
11	bis	bis	P	APPR	Acc	7	kon	_	_
12	in	in	P	APPR	Acc	11	pp	_	_
13	den	die	A	ART	Def|Masc|Acc|Sg	14	det	415	415
14	Schoß	Schoß	N	NN	Masc|Acc|Sg	12	pn	415	415
15	hinab	hinab	A	ADV	_	6	adv	_	_
16	;	;	$	$.	_	0	root	_	_
17	der	die	A	ART	Def|Masc|Nom|Sg	18	det	416	416
18	Mond	Mond	N	NN	Masc|Nom|Sg	27	subj	416	416
19	,	,	$	$,	_	0	root	416	416
20	der	die	P	PRELS	Masc|Nom|Sg	25	subj	416	416
21	draußen	draußen	A	ADV	_	24	adv	_	_
22	die	die	A	ART	Def|Fem|_|Pl	23	det	417	417
23	Gartenhecken	Gartenheck	N	NN	Fem|_|Pl	24	obja	417	417
24	überstiegen	übersteigen	V	VVPP	_	25	aux	_	_
25	hatte	haben	V	VAFIN	3|Sg|Past|Ind	18	rel	_	_
26	,	,	$	$,	_	0	root	_	_
27	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
28	voll	voll	A	ADJD	Pos|	27	adv	_	_
29	herein	herein	P	PTKVZ	_	27	avz	_	_
30	und	und	K	KON	_	0	root	_	_
31	zeigete	zeigete	T	TRUNC	_	0	root	_	_
32	mir	ich	P	PPER	1|Sg|_|Dat	0	root	389	389
33	alles	alle	P	PIS	_|_|Sg	32	app	_	_
34	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	389	389
2	stund	stund	V	VVFIN	1|Sg|_|_	0	root	_	_
3	wie	wie	K	KOKOM	_	2	kom	_	_
4	fest	fest	A	ADJD	Pos|	5	adv	_	_
5	gezaubert	zaubern	V	VVPP	_	3	cj	_	_
6	vor	vor	P	APPR	Dat	2	pp	_	_
7	ihr	ihr	P	PPER	3|Sg|Fem|Dat	6	pn	115	115
8	;	;	$	$.	_	0	root	_	_
9	so	so	A	ADV	_	11	adv	_	_
10	lieblich	lieblich	A	ADJD	Pos|	11	adv	_	_
11	fremde	fremd	A	ADJA	Pos|_|_|_|_|	0	root	_	_
12	und	und	K	KON	_	11	kon	_	_
13	doch	doch	A	ADV	_	14	adv	_	_
14	so	so	A	ADV	_	15	adv	_	_
15	ganz	ganz	A	ADV	_	12	cj	_	_
16	mein	meine	A	PPOSAT	_|_|Sg	0	root	389	389
17	eigen	eigen	A	ADJD	Pos|	18	pred	_	_
18	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
19	sie	sie	P	PPER	3|Sg|Fem|Nom	18	subj	115	115
20	mir	ich	P	PPER	1|Sg|_|Dat	18	objd	389	389
21	;	;	$	$.	_	0	root	_	_
22	nur	nur	A	ADV	_	24	adv	_	_
23	meine	meine	A	PPOSAT	Neut|Nom|Pl	24	det	389	389
24	Augen	Auge	N	NN	Neut|Nom|Pl	25	subj	_	_
25	tranken	trinken	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
26	sich	sie	P	PRF	3|_|_	25	obja	_	_
27	satt	satt	A	ADJD	Pos|	25	adv	_	_
28	an	an	P	APPR	Dat	25	pp	_	_
29	all	all	A	PIDAT	Fem|Dat|Sg	31	det	_	_
30	der	die	A	ART	Def|Fem|Dat|Sg	31	det	_	_
31	Schönheit	Schönheit	N	NN	Fem|Dat|Sg	28	pn	_	_
32	.	.	$	$.	_	0	root	_	_

1	Erst	erst	A	ADV	_	6	adv	418	418
2	als	als	K	KOKOM	_	1	kom	418	418
3	ein	eine	A	ART	Indef|Neut|_|Sg	4	det	418	418
4	Seufzen	Seufzen	N	NN	Neut|_|Sg	2	cj	418	418
5	ihre	ihre	A	PPOSAT	Fem|Nom|Sg	6	det	418	418
6	Brust	Brust	N	NN	Fem|Nom|Sg	7	subj	_	_
7	erhob	erheben	V	VVFIN	3|Sg|Past|Ind	9	s	_	_
8	,	,	$	$,	_	0	root	_	_
9	sprach	sprechen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	389	389
11	zu	zu	P	APPR	Dat	9	pp	_	_
12	ihr	ihr	P	PPER	3|Sg|Fem|Dat	11	pn	418	418
13	:	\:	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	Katharina	Katharina	N	NN	Fem|_|Sg	20	obja	193	193
16	,	,	$	$,	_	0	root	193	193
17	liebe	lieb	A	ADJA	Pos|Fem|_|Sg|_|	18	attr	193	193
18	Katharina	Katharina	N	NN	Fem|_|Sg	15	app	193	193
19	,	,	$	$,	_	0	root	_	_
