1	Wer	wer	P	PWS	_|Nom|Sg	2	pred	_	_
11	Gitter	Gitter	N	NN	Neut|_|Sg	9	obja	943	943
12	auf	auf	P	PTKVZ	_	9	avz	_	_
13	;	;	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	wo	wo	P	PWAV	_	16	adv	_	_
16	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
17	Sie	sie	P	PPER	3|Sg|Fem|Nom	16	subj	236	236
18	doch	doch	A	ADV	_	16	adv	_	_
19	daher	daher	P	PROAV	_	16	pp	_	_
20	so	so	A	ADV	_	21	adv	_	_
21	mitten	mitten	A	ADV	_	22	adv	_	_
22	in	in	P	APPR	Dat	16	pp	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	26	det	_	_
24	bitter	bitter	A	ADJD	Pos|	25	adv	_	_
25	kalten	kalt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	26	attr	_	_
26	Nacht	Nacht	N	NN	Fem|Dat|Sg	22	pn	_	_
27	?	?	$	$.	_	0	root	_	_
28	«	«	$	$(	_	0	root	_	_

1	Aber	aber	K	KON	_	3	koord	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	82	82
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	also	also	A	ADV	_	3	adv	_	_
5	außer	außer	P	APPR	Dat	3	pp	_	_
6	Atem	Atem	N	NN	Masc|Dat|Sg	5	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	sie	sie	P	PPER	3|Sg|Fem|Nom	9	subj	82	82
9	antwortete	antworten	V	VVFIN	3|Sg|Past|_	3	kon	_	_
10	nicht	nicht	P	PTKNEG	_	9	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	sondern	sondern	K	KON	_	9	kon	_	_
13	setzte	setzen	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	sich	sie	P	PRF	3|_|_	13	obja	_	_
15	nur	nur	A	ADV	_	13	adv	_	_
16	auf	auf	P	APPR	Acc	13	objp	_	_
17	die	die	A	ART	Def|Fem|Acc|Sg	18	det	404	404
18	Treppe	Treppe	N	NN	Fem|Acc|Sg	16	pn	404	404
19	,	,	$	$,	_	0	root	_	_
20	so	so	A	ADV	_	21	adv	_	_
21	nach	nach	P	APPR	Dat	25	pp	_	_
22	meiner	meine	A	PPOSAT	Fem|Dat|Sg	24	det	944	944
23	früheren	früh	A	ADJA	_|Fem|Dat|Sg|Wk|	24	attr	_	_
24	Kammer	Kammer	N	NN	Fem|Dat|Sg	21	pn	_	_
25	führte	führen	V	VVFIN	_|Sg|Past|_	13	kon	_	_
26	,	,	$	$,	_	0	root	_	_
27	ich	ich	P	PPER	1|Sg|_|Nom	0	root	944	944
28	ihre	ihre	A	PPOSAT	Fem|Nom|Pl	30	det	82	82
29	kleinen	klein	A	ADJA	Pos|Fem|Nom|Pl|Wk|	30	attr	_	_
30	Hände	Hand	N	NN	Fem|Nom|Pl	31	subj	_	_
31	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
32	schier	schier	A	ADJD	Pos|	33	adv	_	_
33	verklommen	verklimmen	V	VVPP	_	31	aux	_	_
34	.	.	$	$.	_	0	root	_	_

1	Einen	ein	A	ART	Indef|Masc|Acc|Sg	2	det	_	_
2	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	3	grad	_	_
3	nur	nur	A	ADV	_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	6	subj	82	82
8	dann	dann	A	ADV	_	6	adv	_	_
9	;	;	$	$.	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	aber	aber	A	ADV	_	12	adv	_	_
12	eilet	eilen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
13	!	!	$	$.	_	0	root	_	_

1	Wecket	wecken	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
2	den	die	A	ART	Def|Masc|Acc|Sg	3	det	945	945
3	Herrn	Herrn	N	NN	Masc|Acc|Sg	1	obja	945	945
4	Oberst	Oberst	N	NN	Masc|Acc|Sg	3	app	945	945
5	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	946	946
2	folge	folgen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	Euch	ihr	P	PRF	2|Pl|Dat	2	objd	_	_
4	sogleich	sogleich	A	ADV	_	2	adv	_	_
5	-	-	$	$(	_	0	root	_	_
6	nur	nur	A	ADV	_	7	adv	_	_
7	eilet	eilen	V	VVFIN	2|Pl|Pres|Subj	2	kon	_	_
8	,	,	$	$,	_	0	root	_	_
9	eilet	eilen	V	VVFIN	2|Pl|Pres|Subj	7	kon	_	_
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	tat	tun	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	946	946
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	P	PWAV	_	7	adv	_	_
6	sie	sie	P	PPER	3|Sg|Fem|Nom	7	subj	82	82
7	wollte	wollen	V	VMFIN	3|Sg|Past|_	2	objc	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	7	kon	_	_
10	ging	gehen	V	VVFIN	_|Sg|Past|Ind	9	cj	_	_
11	eilig	eilig	A	ADJD	Pos|	10	adv	_	_
12	in	in	P	APPR	Acc	10	objp	_	_
13	das	die	A	ART	Def|Neut|Acc|Sg	14	det	48	48
14	Haus	Haus	N	NN	Neut|Acc|Sg	12	pn	48	48
15	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	als	als	K	KOUS	_	14	konj	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	651	651
4	Herr	Herr	N	NN	Masc|Nom|Sg	14	subj	651	651
5	Oberst	Oberst	N	NN	Masc|Nom|Sg	4	app	651	651
6	kaum	kaum	A	ADV	_	14	adv	_	_
7	aus	aus	P	APPR	Dat	14	pp	_	_
8	seiner	seine	A	PPOSAT	Fem|Dat|Sg	9	det	651	651
9	Schlafkammer	Schlafkammer	N	NN	Fem|Dat|Sg	7	pn	_	_
10	in	in	P	APPR	Acc	14	pp	_	_
11	das	die	A	ART	Def|Neut|Acc|Sg	12	det	533	533
12	Wohngemach	Wohngemach	N	NN	Neut|Acc|Sg	10	pn	533	533
13	gelanget	gelanget	N	NE	_|Nom|_	14	pred	_	_
14	war	sein	V	VAFIN	3|Sg|Past|Ind	17	neb	_	_
15	,	,	$	$,	_	0	root	_	_
16	da	da	A	ADV	_	17	adv	_	_
17	öffnete	öffnen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
18	sich	sie	P	PRF	3|_|_	17	obja	_	_
19	auch	auch	A	ADV	_	17	adv	_	_
20	die	die	A	ART	Def|Fem|Nom|Sg	21	det	_	_
21	Tür	Tür	N	NN	Fem|Nom|Sg	17	subj	_	_
22	vom	von	P	APPRART	Dat	21	pp	_	_
23	Flur	Flur	N	NN	_|Dat|Sg	22	pn	_	_
24	aus	aus	P	PTKVZ	_	17	avz	_	_
25	,	,	$	$,	_	0	root	_	_
26	und	und	K	KON	_	17	kon	_	_
27	das	die	A	ART	Def|Neut|Nom|Sg	28	det	277	277
28	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	29	subj	277	277
29	war	sein	V	VAFIN	3|Sg|Past|Ind	26	cj	_	_
30	hereingetreten	hereintreten	V	VVPP	_	29	aux	_	_
31	;	;	$	$.	_	0	root	_	_
32	die	die	A	ART	Def|Neut|Nom|Pl	34	det	947	947
33	dunklen	dunkel	A	ADJA	Pos|Neut|Nom|Pl|Wk|	34	attr	947	947
34	Augen	Auge	N	NN	Neut|Nom|Pl	35	subj	947	947
35	lagen	liegen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
36	fast	fast	A	ADV	_	37	adv	_	_
37	schwarz	schwarz	A	ADJD	Pos|	35	adv	_	_
38	in	in	P	APPR	_	35	objp	_	_
39	ihren	ihre	A	PPOSAT	Fem|_|Pl	40	det	947	947
40	Höhlen	Höhle	N	NN	Fem|_|Pl	38	pn	_	_
41	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	583	583
2	Oberst	Oberst	N	NN	Masc|Nom|Sg	3	subj	583	583
3	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	am	an	P	APPRART	Dat	3	pp	_	_
5	Tisch	Tisch	N	NN	Masc|Dat|Sg	4	pn	_	_
6	inmitten	inmitten	P	APPR	Gen	3	pp	_	_
7	des	die	A	ART	Def|Neut|Gen|Sg	8	det	659	659
8	Zimmers	Zimmer	N	NN	Neut|Gen|Sg	6	pn	659	659
9	;	;	$	$.	_	0	root	_	_
10	eine	eine	A	ART	Indef|Fem|Nom|Sg	11	det	_	_
11	Flasche	Flasche	N	NN	Fem|Nom|Sg	14	subj	_	_
12	roten	rot	A	ADJA	Pos|Masc|Gen|Sg|_|	13	attr	_	_
13	Weines	Wein	N	NN	Masc|Gen|Sg	11	gmod	_	_
14	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	noch	noch	A	ADV	_	14	adv	_	_
16	vom	von	P	APPRART	Dat	14	pp	_	_
17	Abend	Abend	N	NN	Masc|Dat|Sg	16	pn	_	_
18	halb	halb	A	ADJD	Pos|	19	adv	_	_
19	gefüllet	gefüllet	A	ADJD	_	14	adv	_	_
20	neben	neben	P	APPR	Dat	14	pp	_	_
21	ihm	er	P	PPER	3|Sg|_|Dat	20	pn	583	583
22	;	;	$	$.	_	0	root	_	_
23	er	er	P	PPER	3|Sg|Masc|Nom	24	subj	583	583
24	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
25	bleich	bleich	A	ADJD	Pos|	24	adv	_	_
26	und	und	K	KON	_	25	kon	_	_
27	matt	matt	A	ADJD	Pos|	26	cj	_	_
28	in	in	P	APPR	Dat	24	pp	_	_
29	seinem	seine	A	PPOSAT	Masc|Dat|Sg	30	det	583	583
30	Schlafpelz	Schlafpelz	N	NN	Masc|Dat|Sg	28	pn	_	_
31	auf	auf	P	APPR	Dat	24	pp	_	_
32	dem	die	A	ART	Def|Masc|Dat|Sg	33	det	948	948
33	Sessel	Sessel	N	NN	Masc|Dat|Sg	31	pn	948	948
34	,	,	$	$,	_	0	root	_	_
35	sein	seine	A	PPOSAT	Neut|Nom|Sg	37	det	948	948
36	altes	alt	A	ADJA	Pos|Neut|Nom|Sg|St|	37	attr	_	_
37	Übel	Übel	N	NN	Neut|Nom|Sg	38	subj	_	_
38	plagte	plagen	V	VVFIN	3|Sg|Past|_	24	kon	_	_
39	ihn	er	P	PPER	3|Sg|Masc|Acc	38	obja	948	948
40	itzo	itzo	A	ADV	_	38	adv	_	_
41	sehr	sehr	A	ADV	_	38	adv	_	_
42	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Abel	Abel	N	NE	_|_|Sg	5	vok	828	828
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	948	948
7	,	,	$	$,	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	warum	warum	P	PWAV	_	10	adv	_	_
10	kommst	kommen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
11	du	du	P	PPER	2|Sg|_|Nom	10	subj	949	949
12	mitten	mitten	A	ADV	_	13	adv	_	_
13	in	in	P	APPR	Dat	10	pp	_	_
14	der	die	A	ART	Def|Fem|Dat|Sg	15	det	50	50
15	Nacht	Nacht	N	NN	Fem|Dat|Sg	13	pn	50	50
16	?	?	$	$.	_	0	root	_	_

1	Hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	949	949
3	Unfrieden	Unfriede	N	NN	Masc|_|_	4	obja	_	_
4	gehabt	haben	V	VAPP	_	1	aux	_	_
5	mit	mit	P	APPR	Dat	4	pp	_	_
6	deinen	deine	A	PPOSAT	_|Dat|Pl	7	det	949	949
7	Leuten	Leute	N	NN	_|Dat|Pl	5	pn	_	_
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	50	50
3	schüttelte	schütteln	V	VVFIN	3|Sg|Past|_	1	cj	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	133	133
5	Kopf	Kopf	N	NN	Masc|Acc|Sg	3	obja	133	133
6	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	740	740
3	Wildmeister	Wildmeister	N	NN	Masc|Nom|Sg	4	subj	740	740
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	in	in	P	APPR	Dat	4	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	39	39
7	Stadt	Stadt	N	NN	Fem|Dat|Sg	5	pn	39	39
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	50	50
12	hastig	hastig	A	ADJD	Pos|	10	adv	_	_
13	;	;	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	aber	aber	A	ADV	_	16	adv	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	740	740
17	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
18	erst	erst	A	ADV	_	20	adv	_	_
19	ein	eine	A	ART	Indef|Neut|_|Sg	20	det	_	_
20	Pferd	Pferd	N	NN	Neut|_|Sg	22	obja	_	_
21	sich	sie	P	PRF	3|_|Dat	22	objd	_	_
22	suchen	suchen	V	VVINF	_	17	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	50	50
4	ihm	er	P	PPER	3|Sg|_|Dat	5	objd	740	740
5	vorausgelaufen	vorauslaufen	V	VVPP	_	2	aux	_	_
6	;	;	$	$.	_	0	root	_	_
7	denn	denn	K	KON	_	0	root	_	_
8	die	die	A	ART	Def|Masc|Nom|Pl	9	det	950	950
9	Schweden	Schwede	N	NN	Masc|Nom|Pl	10	subj	950	950
10	haben	haben	V	VAFIN	3|Pl|Pres|_	7	cj	_	_
11	die	die	A	ART	Def|Neut|_|Pl	12	det	551	551
12	Pferde	Pferd	N	NN	Neut|_|Pl	10	obja	551	551
13	all	all	A	PIDAT	_	0	root	_	_
14	genommen	nehmen	V	VVPP	_	0	root	_	_
15	!	!	$	$.	_	0	root	_	_

1	Lasset	lassen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
2	die	die	A	ART	Def|Masc|_|Pl	3	det	951	951
3	Knechte	Knecht	N	NN	Masc|_|Pl	4	obja	951	951
4	wecken	wecken	V	VVINF	_	1	obji	_	_
5	,	,	$	$,	_	0	root	_	_
6	Herr	Herr	N	NN	Masc|_|Sg	1	vok	952	952
7	Oberst	Oberst	N	NN	Masc|_|Sg	6	app	952	952
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
11	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	50	50
12	,	,	$	$,	_	0	root	_	_
13	indem	indem	K	KOUS	_	18	konj	_	_
14	sie	sie	P	PPER	3|Sg|Fem|Nom	18	subj	50	50
15	ihm	er	P	PPER	3|Sg|_|Dat	18	objd	952	952
16	zu	zu	P	APPR	Dat	18	pp	_	_
17	Füßen	Fuß	N	NN	Masc|Dat|Pl	16	pn	549	549
18	stürzte	stürzen	V	VVFIN	3|Sg|Past|_	10	neb	_	_
19	,	,	$	$,	_	0	root	_	_
20	»	»	$	$(	_	0	root	_	_
21	nehmet	nehmen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
22	den	die	A	ART	Def|_|_|_	23	det	_	_
23	besten	gut	A	ADJA	_|_|_	21	obja	_	_
24	;	;	$	$.	_	0	root	_	_
25	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	952	952
26	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
27	reiten	reiten	V	VVINF	_	26	aux	_	_
28	,	,	$	$,	_	0	root	_	_
29	über	über	P	APPR	Acc	27	pp	_	_
30	die	die	A	ART	Def|Fem|Acc|Sg	31	det	7	7
31	Heide	Heide	N	NN	Fem|Acc|Sg	29	pn	7	7
32	und	und	K	KON	_	29	kon	_	_
33	durch	durch	P	APPR	Acc	32	cj	_	_
34	die	die	A	ART	Def|Masc|Acc|Pl	35	det	_	_
35	Wälder	Wald	N	NN	Masc|Acc|Pl	33	pn	_	_
36	nach	nach	P	APPR	Dat	35	pp	_	_
37	dem	die	A	ART	Def|Masc|Dat|Sg	38	det	_	_
38	Fluß	Fluß	N	NN	Masc|Dat|Sg	36	pn	_	_
39	hinunter	hinunter	A	ADV	_	38	adv	_	_
40	:	\:	$	$.	_	0	root	_	_
41	aber	aber	A	ADV	_	43	adv	_	_
42	keine	keine	A	PIAT	Fem|Nom|Sg	43	det	_	_
43	Viertelstunde	Viertelstunde	N	NN	Fem|Nom|Sg	44	subj	_	_
44	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
45	zu	zu	P	PTKZU	_	46	part	_	_
46	verlieren	verlieren	V	VVINF	_	44	aux	_	_
47	!	!	$	$.	_	0	root	_	_
48	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	3	obja	_	_
3	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	583	583
9	Oberst	Oberst	N	NN	Masc|Nom|Sg	7	subj	583	583
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Reiten	Reiten	N	NN	Neut|_|Sg	0	root	_	_
3	?	?	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	itzo	itzo	A	ADV	_	3	adv	_	_
3	in	in	P	APPR	Dat	1	cj	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	50	50
5	Nacht	Nacht	N	NN	Fem|Dat|Sg	3	pn	50	50
6	?	?	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	_	_
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Masc|_|Pl	5	det	739	739
4	schlimmen	schlimm	A	ADJA	Pos|Masc|_|Pl|Wk|	5	attr	739	739
5	Tage	Tag	N	NN	Masc|_|Pl	7	obja	739	739
6	wohl	wohl	A	ADV	_	7	adv	_	_
7	vergessen	veressen	V	VVPP	_	2	aux	_	_
8	?	?	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	953	953
2	Kerle	Kerl	N	NN	Masc|Nom|Pl	3	subj	953	953
3	fürchten	fürchten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	_	_
5	Teufel	Teufel	N	NN	Masc|Acc|Sg	3	obja	_	_
6	oder	oder	K	KON	_	5	kon	_	_
7	was	was	P	PWS	Neut|Acc|Sg	6	cj	_	_
8	sonst	sonst	A	ADV	_	7	adv	_	_
9	heute	heute	A	ADV	_	3	adv	_	_
10	umgehen	umgehen	V	VVINF	_	11	aux	_	_
11	soll	sollen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
12	;	;	$	$.	_	0	root	_	_
13	ja	ja	P	PTKANT	_	0	root	_	_
