1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	840	840
20	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	842	842
2	erreichten	erreichen	V	VVFIN	1|Pl|Past|_	0	root	_	_
3	die	die	A	ART	Def|_|_|_	4	det	843	843
4	Ecke	Eck	N	NN	Fem|_|Sg	2	obja	843	843
5	,	,	$	$,	_	0	root	843	843
6	an	an	P	APPR	Dat	15	pp	843	843
7	welcher	welche	P	PRELS	Fem|Dat|Sg	6	pn	843	843
8	wir	wir	P	PPER	1|Pl|_|Nom	16	subj	842	842
9	gestern	gestern	A	ADV	_	15	adv	_	_
10	Abend	Abend	N	NN	Masc|_|Sg	15	zeit	235	235
11	mit	mit	P	APPR	Dat	15	pp	_	_
12	dem	die	A	ART	Def|Masc|Dat|Sg	13	det	24	24
13	Manne	Mann	N	NN	Masc|Dat|Sg	11	pn	24	24
14	zusammen	zusammen	A	ADV	_	15	adv	_	_
15	getroffen	treffen	V	VVPP	_	16	aux	_	_
16	waren	sein	V	VAFIN	1|Pl|Past|Ind	4	rel	_	_
17	.	.	$	$.	_	0	root	_	_

1	Auch	auch	A	ADV	_	2	adv	12	12
2	Hulam	Hulam	N	NE	_|Nom|Sg	3	subj	12	12
3	erinnerte	erinnern	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	ihrer	ihre	A	PPOSAT	_|_|_	0	root	843	843
6	genau	genau	A	ADJD	Pos|	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Von	von	P	APPR	_	5	pp	_	_
2	hier	hier	A	ADV	_	1	adv	_	_
3	an	an	A	APZR	_	1	part	_	_
4	aber	aber	A	ADV	_	1	adv	_	_
5	mußte	müssen	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	12	12
7	allein	allein	A	ADV	_	10	adv	_	_
8	als	als	K	KOKOM	_	10	kom	_	_
9	Führer	Führer	N	NN	Masc|_|_	8	cj	_	_
10	dienen	dienen	V	VVINF	_	5	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	10	expl	_	_
2	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	12	12
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	schwer	schwer	A	ADJD	Pos|	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	17	17
8	Haus	Haus	N	NN	Neut|_|Sg	10	obja	17	17
9	zu	zu	P	PTKZU	_	10	part	_	_
10	finden	finden	V	VVINF	_	2	subjc	_	_
11	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	844	844
2	Thüre	Thüre	N	NN	Fem|Nom|Sg	3	subj	844	844
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	verschlossen	verschlossen	A	ADJD	Pos|	3	pred	_	_
5	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	846	846
2	klopften	klopfen	V	VVFIN	1|Pl|Past|_	0	root	_	_
3	;	;	$	$.	_	0	root	_	_
4	aber	aber	K	KON	_	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	6	subj	_	_
6	erschien	erscheinen	V	VVFIN	3|Sg|Past|Ind	4	cj	_	_
7	kein	keine	A	PIAT	_|Nom|Sg	8	det	_	_
8	Mensch	Mensch	N	NN	_|Nom|Sg	6	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	um	um	K	KOUI	_	13	konj	_	_
11	uns	wir	P	PRF	1|Pl|_	13	obja	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	öffnen	öffnen	V	VVINF	_	6	neb	_	_
14	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	845	845
3	fürchten	fürchten	V	VVFIN	3|Pl|Pres|_	7	s	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	145	145
9	Kadi	Kadi	N	NN	Masc|Nom|Sg	7	subj	145	145
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	845	845
3	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
4	uns	wir	P	PPER	1|Pl|_|_	3	obja	846	846
5	kommen	kommen	V	VVINF	_	6	aux	_	_
6	sehen	sehen	V	VVINF	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	verstecken	verstecken	V	VVFIN	_|Pl|Pres|_	7	cj	_	_
9	sich	sie	P	PRF	3|_|_	8	obja	_	_
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|_|Sg	0	root	_	_
3	glaube	glauben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	847	847
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	antwortete	antworten	V	VVFIN	1|Sg|Past|_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	847	847
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|_	19	expl	_	_
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	19	objd	847	847
5	einer	eine	P	PIS	Masc|Nom|Sg	3	subj	_	_
6	dieser	diese	A	PDAT	_|Gen|Pl	7	det	848	848
7	Leute	Leute	N	NN	_|Gen|Pl	5	gmod	848	848
8	,	,	$	$,	_	0	root	_	_
9	als	als	K	KOUS	_	17	konj	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	847	847
11	mit	mit	P	APPR	Dat	17	pp	_	_
12	Ali	Ali	N	NE	_|Dat|_	11	pn	641	641
13	Manach	Manach	N	NE	_|Dat|_	12	app	641	641
14	durch	durch	P	APPR	Acc	17	pp	_	_
15	die	die	A	ART	Def|Fem|Acc|Pl	16	det	849	849
16	Straßen	Straß	N	NN	Fem|Acc|Pl	14	pn	849	849
17	ritt	reiten	V	VVFIN	1|Sg|Past|Ind	3	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	begegnet	begegnen	V	VVPP	_	20	aux	_	_
20	sein	sein	V	VAINF	_	3	aux	_	_
21	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	8	8
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	gesehen	sehen	V	VVPP	_	2	aux	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	549	549
7	Derwisch	Derwisch	N	NN	Masc|Nom|Sg	0	root	549	549
8	gefangen	fangen	V	VVPP	_	0	root	_	_
9	und	und	K	KON	_	0	root	_	_
10	daß	daß	K	KOUS	_	14	konj	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	850	850
12	Anschlag	Anschlag	N	NN	Masc|Nom|Sg	14	subj	850	850
13	verunglückt	verunglückt	N	NE	Masc|Nom|Sg	12	app	850	850
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	cj	_	_
15	.	.	$	$.	_	0	root	_	_

1	Daher	Daher	P	PROAV	_	2	pp	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	850	850
4	die	die	A	ART	Def|_|_|_	5	det	851	851
5	Anderen	Anderen	N	NN	_|_|_	7	obja	851	851
6	sogleich	sogleich	A	ADV	_	7	adv	_	_
7	benachrichtigt	benachrichtigen	V	VVPP	_	2	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	2	kon	_	_
10	nun	nun	A	ADV	_	11	adv	_	_
11	haben	haben	V	VAFIN	3|Pl|Pres|_	9	cj	_	_
12	sie	sie	P	PPER	3|Pl|_|Nom	11	subj	851	851
13	die	die	A	ART	Def|Fem|_|Sg	14	det	264	264
14	Flucht	Flucht	N	NN	Fem|_|Sg	15	obja	264	264
15	ergriffen	ergreifen	V	VVPP	_	11	aux	_	_
16	.	.	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	3	adv	_	_
3	müssen	müssen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	_	_
5	mit	mit	P	APPR	Dat	7	pp	_	_
6	Gewalt	Gewalt	N	NN	Fem|Dat|Sg	5	pn	_	_
7	eindringen	eindringen	V	VVINF	_	3	aux	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	blieben	bleiben	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	die	die	A	ART	Def|_|Nom|Pl	4	det	_	_
4	Passanten	Passant	N	NN	_|Nom|Pl	2	subj	_	_
5	stehen	stehen	V	VVINF	_	2	obji	_	_
6	,	,	$	$,	_	0	root	_	_
7	um	um	K	KOUI	_	9	konj	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	sehen	sehen	V	VVINF	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	was	was	P	PRELS	Neut|Nom|Sg	15	subj	852	852
12	sich	sie	P	PRF	3|_|_	14	obja	_	_
13	hier	hier	A	ADV	_	14	adv	_	_
14	ereignen	ereignen	V	VVINF	_	15	aux	_	_
15	würde	werden	V	VAFIN	3|Sg|Past|Subj	9	objc	_	_
16	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	145	145
2	Kadi	Kadi	N	NN	Masc|Nom|Sg	3	subj	145	145
3	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	sie	sie	P	PPER	3|_|_|_	3	obja	852	852
5	durch	durch	P	APPR	Acc	8	pp	_	_
6	seine	seine	A	PPOSAT	_|Acc|_	7	det	396	396
7	Khawassen	Khawassen	N	NN	_|Acc|_	5	pn	396	396
8	fortweisen	fortweisen	V	VVINF	_	3	obji	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	3	kon	_	_
11	dann	dann	A	ADV	_	12	adv	_	_
12	wurde	werden	V	VAFIN	3|Sg|Past|Ind	10	cj	_	_
13	die	die	A	ART	Def|Fem|Nom|Sg	14	det	844	844
14	Thüre	Thüre	N	NN	Fem|Nom|Sg	12	subj	844	844
15	,	,	$	$,	_	0	root	_	_
16	welche	welche	A	PWAT	_|_|_	0	root	_	_
17	keinen	keine	A	PIAT	Masc|Acc|Sg	19	det	_	_
18	großen	groß	A	ADJA	Pos|Masc|Acc|Sg|_|	19	attr	_	_
19	Widerstand	Widerstand	N	NN	Masc|Acc|Sg	20	obja	_	_
20	bot	bieten	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	einfach	einfach	A	ADJD	Pos|	0	root	_	_
23	eingestoßen	einstoßen	V	VVPP	_	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	8	8
2	erkannte	erkennen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
4	langen	lang	A	ADJA	Pos|Masc|Acc|Sg|_|	6	attr	_	_
5	schmalen	schmal	A	ADJA	Pos|Masc|Acc|Sg|_|	6	attr	_	_
6	Gang	Gang	N	NN	Masc|Acc|Sg	2	obja	_	_
7	sogleich	sogleich	A	ADV	_	2	adv	_	_
8	wieder	wieder	A	ADV	_	2	adv	_	_
9	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	713	713
2	Polizisten	Polizist	N	NN	Masc|Nom|Pl	3	subj	713	713
3	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	im	in	P	APPRART	Dat	3	pp	_	_
6	Nu	Nu	N	NN	_|Dat|Sg	5	pn	_	_
7	über	über	P	APPR	Acc	6	pp	_	_
8	alle	alle	A	PIDAT	Masc|Acc|Pl	10	det	_	_
9	vorhandenen	vorhanden	A	ADJA	Pos|Masc|Acc|Pl|Wk|	10	attr	_	_
10	Räume	Raum	N	NN	Masc|Acc|Pl	7	pn	_	_
11	vertheilt	vertheilt	N	NE	Masc|Acc|Pl	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	vermochten	vermögen	V	VVFIN	_|Pl|Past|Ind	3	kon	_	_
14	aber	aber	A	ADV	_	13	adv	_	_
15	nicht	nicht	P	PTKNEG	_	13	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	ein	eine	A	ART	Indef|Neut|_|Sg	19	det	_	_
18	menschliches	menschlich	A	ADJA	Pos|Neut|_|Sg|St|	19	attr	_	_
19	Wesen	Wesen	N	NN	Neut|_|Sg	20	obja	_	_
20	aufzufinden	auffinden	V	VVIZU	_	13	obji	_	_
21	.	.	$	$.	_	0	root	_	_

1	Verschiedene	verschieden	A	ADJA	Pos|Neut|Nom|Pl|St|	2	attr	_	_
2	Anzeichen	Anzeichen	N	NN	Neut|Nom|Pl	3	subj	_	_
3	ließen	lassen	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	darauf	darauf	P	PROAV	_	5	pp	_	_
5	schließen	schließen	V	VVINF	_	3	obji	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	15	konj	_	_
8	die	die	A	ART	Def|Masc|Nom|Pl	9	det	853	853
9	Bewohner	Bewohner	N	NN	Masc|Nom|Pl	15	subj	853	853
10	eine	eine	A	ART	Indef|Fem|_|Sg	13	det	_	_
11	sehr	sehr	A	ADV	_	12	adv	_	_
12	eilige	eilig	A	ADJA	Pos|Fem|_|Sg|_|	13	attr	_	_
13	Flucht	Flucht	N	NN	Fem|_|Sg	14	obja	_	_
14	ergriffen	ergreifen	V	VVPP	_	15	aux	_	_
15	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	855	855
2	suchte	suchen	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	854	854
5	Raum	Raum	N	NN	Masc|Acc|Sg	2	obja	854	854
6	auf	auf	P	PTKVZ	_	2	avz	854	854
7	,	,	$	$,	_	0	root	854	854
8	in	in	P	APPR	Dat	11	objp	854	854
9	welchem	welche	P	PRELS	Masc|Dat|Sg	8	pn	854	854
10	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	855	855
11	gelegen	liegen	V	VVPP	_	12	aux	_	_
12	hatte	haben	V	VAFIN	1|Sg|Past|Ind	5	rel	_	_
13	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	9	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	855	855
3	in	in	P	APPR	Acc	9	pp	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	8	det	_	_
5	kleinen	klein	A	ADJA	Pos|Masc|Acc|Sg|_|	8	attr	_	_
6	,	,	$	$,	_	0	root	_	_
7	engen	eng	A	ADJA	Pos|_|Acc|_|_|	5	kon	_	_
8	Hof	Hof	N	NN	Masc|Acc|Sg	3	pn	_	_
9	zurückkehrte	zurückkehren	V	VVFIN	1|Sg|Past|_	11	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	145	145
13	Kadi	Kadi	N	NN	Masc|Nom|Sg	11	subj	145	145
14	dort	dort	A	ADV	_	21	adv	_	_
15	ein	eine	A	ART	Indef|Neut|_|Sg	17	det	_	_
16	abermaliges	abermalig	A	ADJA	Pos|Neut|_|Sg|St|	17	attr	_	_
17	Verhör	Verhör	N	NN	Neut|_|Sg	21	obja	_	_
18	mit	mit	P	APPR	Dat	21	pp	_	_
19	Ali	Ali	N	NE	_|Dat|_	18	pn	641	641
20	Manach	Manach	N	NE	_|Dat|_	19	app	641	641
21	begonnen	beginnen	V	VVPP	_	11	aux	_	_
22	.	.	$	$.	_	0	root	_	_

1	Dieser	diese	P	PDS	Masc|Nom|Sg	2	subj	_	_
2	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	jetzt	jetzt	A	ADV	_	2	adv	_	_
4	mit	mit	P	APPR	Dat	2	pp	_	_
5	noch	noch	A	ADV	_	6	adv	_	_
6	größerer	groß	A	ADJA	Comp|Fem|Dat|Sg|St|	7	attr	_	_
7	Sicherheit	Sicherheit	N	NN	Fem|Dat|Sg	4	pn	_	_
8	auf	auf	P	PTKVZ	_	2	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	als	als	K	KOKOM	_	0	root	_	_
11	vorher	vorher	A	ADV	_	10	cj	_	_
12	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	145	145
2	mochte	mögen	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
3	Angst	Angst	N	NN	Fem|_|Sg	4	obja	_	_
4	gehabt	haben	V	VAPP	_	5	aux	_	_
5	haben	haben	V	VAINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	von	von	P	APPR	Dat	14	pp	_	_
8	den	die	A	ART	Def|Masc|Dat|Pl	9	det	_	_
9	Bewohnern	Bewohner	N	NN	Masc|Dat|Pl	7	pn	_	_
10	des	die	A	ART	Def|Neut|Gen|Sg	11	det	856	856
11	Hauses	Haus	N	NN	Neut|Gen|Sg	9	gmod	856	856
12	verrathen	verrathen	N	NE	Neut|Gen|Sg	11	app	856	856
13	zu	zu	P	PTKZU	_	14	part	_	_
14	werden	werden	V	VAINF	_	4	obji	_	_
15	.	.	$	$.	_	0	root	_	_

1	Diese	diese	A	PDAT	Fem|Nom|Sg	2	det	857	857
2	Angst	Angst	N	NN	Fem|Nom|Sg	3	subj	857	857
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	jetzt	jetzt	A	ADV	_	6	adv	_	_
5	ebenso	ebenso	A	ADV	_	6	adv	_	_
6	verschwunden	verschwinden	V	VVPP	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	0	root	_	_
9	die	die	A	ART	Def|_|_|Pl	10	det	848	848
10	Leute	Leute	N	NN	_|_|Pl	0	root	848	848
11	,	,	$	$,	_	0	root	_	_
12	welche	welche	P	PRELS	_|_|_	0	root	848	848
13	hier	hier	A	ADV	_	0	root	_	_
14	zu	zu	P	PTKZU	_	0	root	_	_
15	finden	finden	V	VVFIN	_|Pl|Pres|_	0	root	_	_
16	wir	wir	P	PPER	1|Pl|_|Nom	18	subj	_	_
17	erwartet	erwarten	V	VVPP	_	18	aux	_	_
18	hatten	haben	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
19	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	858	858
2	mußte	müssen	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
3	meine	meine	A	PPOSAT	_|_|_	4	det	858	858
4	Aussagen	Aussage	N	NN	_|_|_	5	obja	_	_
5	wiederholen	wiederholen	V	VVINF	_	2	aux	_	_
6	;	;	$	$.	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	858	858
8	mußte	müssen	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
9	die	die	A	ART	Def|Fem|_|Sg	10	det	859	859
10	Stelle	Stelle	N	NN	Fem|_|Sg	11	obja	859	859
11	zeigen	zeigen	V	VVINF	_	8	aux	859	859
12	,	,	$	$,	_	0	root	859	859
13	an	an	P	APPR	Dat	18	pp	859	859
14	welcher	welche	P	PRELS	Fem|Dat|Sg	13	pn	859	859
15	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	145	145
16	neben	neben	P	APPR	Dat	18	pp	_	_
17	mir	ich	P	PPER	1|Sg|_|Dat	16	pn	858	858
18	gesessen	sitzen	V	VVPP	_	19	aux	_	_
19	hatte	haben	V	VAFIN	3|Sg|Past|Ind	10	rel	_	_
20	;	;	$	$.	_	0	root	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	858	858
22	zeigte	zeigen	V	VVFIN	1|Sg|Past|_	0	root	_	_
23	auch	auch	A	ADV	_	24	adv	_	_
24	diejenige	diejenige	P	PDS	Fem|_|Sg	22	obja	_	_
25	,	,	$	$,	_	0	root	_	_
26	an	an	P	APPR	Dat	37	pp	_	_
27	welcher	welche	P	PRELS	Fem|Dat|Sg	26	pn	859	859
