1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	406	406
39	Begegnen	Begegnen	N	NN	Neut|Dat|Sg	37	pn	_	_
40	erblickte	erblicken	V	VVFIN	1|Sg|Past|_	32	subjc	_	_
41	.	.	$	$.	_	0	root	_	_

1	O	O	N	NN	Neut|_|_	4	vok	358	358
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	413	413
4	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
5	all	all	A	PIDAT	Neut|_|Pl	8	det	_	_
6	die	die	A	ART	Def|Neut|_|Pl	8	det	_	_
7	vielen	viele	A	PIDAT	Neut|_|Pl	8	attr	_	_
8	Jahre	Jahr	N	NN	Neut|_|Pl	11	obja	_	_
9	des	die	A	ART	Def|Masc|Gen|Sg	10	det	414	414
10	Kummers	Kummer	N	NN	Masc|Gen|Sg	8	gmod	414	414
11	vergessen	vergessen	V	VVINF	_	4	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	wenn	wenn	K	KOUS	_	22	konj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	413	413
15	ihn	er	P	PPER	3|Sg|Masc|Acc	21	obja	414	414
16	nur	nur	A	ADV	_	21	adv	_	_
17	noch	noch	A	ADV	_	21	adv	_	_
18	ein	eine	A	ART	Indef|Neut|_|Sg	20	det	_	_
19	einziges	einzig	A	ADJA	Pos|Neut|_|Sg|St|	20	attr	_	_
20	Mal	Mal	N	NN	Neut|_|Sg	21	zeit	_	_
21	sehen	sehen	V	VVINF	_	22	aux	_	_
22	könnte	können	V	VMFIN	1|Sg|Past|Subj	4	neb	_	_
23	,	,	$	$,	_	0	root	_	_
24	um	um	K	KOUI	_	27	konj	_	_
25	ihm	er	P	PPER	3|Sg|_|Dat	27	objd	414	414
26	zu	zu	P	PTKZU	_	27	part	_	_
27	sagen	sagen	V	VVINF	_	22	neb	_	_
28	,	,	$	$,	_	0	root	_	_
29	wie	wie	K	KOKOM	_	27	par	_	_
30	lieb	lieb	A	ADJD	Pos|	29	cj	_	_
31	,	,	$	$,	_	0	root	_	_
32	wie	wie	P	PWAV	_	38	adv	_	_
33	so	so	A	ADV	_	34	adv	_	_
34	unendlich	unendlich	A	ADJD	Pos|	35	adv	_	_
35	lieb	lieb	A	ADJD	Pos|	38	adv	_	_
36	er	er	P	PPER	3|Sg|Masc|Nom	39	subj	414	414
37	mir	ich	P	PPER	1|Sg|_|Dat	38	objd	413	413
38	gewesen	sein	V	VAPP	_	39	aux	_	_
39	ist	sein	V	VAFIN	3|Sg|Pres|Ind	27	objc	_	_
40	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	11	konj	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	414	414
4	noch	noch	A	ADV	_	11	adv	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	arm	arm	A	ADJD	Pos|	11	adv	_	_
7	und	und	K	KON	_	6	kon	_	_
8	elend	elend	A	ADJD	Pos|	7	cj	_	_
9	vor	vor	P	APPR	Acc	11	pp	_	_
10	mich	ich	P	PPER	1|Sg|_|Acc	9	pn	413	413
11	hinträte	hintreten	V	VVFIN	3|Sg|Past|Subj	1	cj	_	_
12	,	,	$	$,	_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	413	413
14	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
15	ihn	er	P	PPER	3|Sg|Masc|Acc	17	obja	414	414
16	willkommen	willkommen	A	ADJD	Pos|	17	adv	_	_
17	heißen	heißen	V	VVINF	_	14	aux	_	_
18	,	,	$	$,	_	0	root	_	_
19	für	für	P	APPR	Acc	21	objp	_	_
20	ihn	er	P	PPER	3|Sg|Masc|Acc	19	pn	414	414
21	sorgen	sorgen	V	VVFIN	_|Pl|Pres|_	14	kon	_	_
22	Tag	Tag	N	NN	_|Nom|Sg	21	subj	_	_
23	und	und	K	KON	_	22	kon	_	_
24	Nacht	Nacht	N	NN	Fem|Nom|Sg	23	cj	165	165
25	und	und	K	KON	_	0	root	_	_
26	nie	nie	A	ADV	_	25	cj	_	_
27	,	,	$	$,	_	0	root	_	_
28	nie	nie	A	ADV	_	37	adv	_	_
29	ein	eine	A	ART	Indef|Neut|_|Sg	30	det	_	_
30	Wort	Wort	N	NN	Neut|_|Sg	37	obja	_	_
31	des	die	A	ART	Def|Masc|Gen|Sg	32	det	_	_
32	Vorwurfes	Vorwurf	N	NN	Masc|Gen|Sg	30	gmod	_	_
33	über	über	P	APPR	Acc	37	pp	_	_
34	meine	meine	A	PPOSAT	Fem|Acc|Pl	35	det	413	413
35	Lippen	Lippe	N	NN	Fem|Acc|Pl	33	pn	_	_
36	kommen	kommen	V	VVINF	_	37	aux	_	_
37	lassen	lassen	V	VVINF	_	0	root	_	_
38	!	!	$	$.	_	0	root	_	_
39	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	cj	413	413
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	413	413
6	könnte	können	V	VMFIN	1|Sg|Past|Subj	0	root	_	_
7	ihn	er	P	PPER	3|Sg|Masc|Acc	10	obja	7	7
8	nun	nun	A	ADV	_	10	adv	_	_
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	sehen	sehen	V	VVINF	_	6	aux	_	_
11	!	!	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
3	ruhig	ruhig	A	ADJD	Pos|	2	pred	_	_
4	,	,	$	$,	_	0	root	_	_
5	mein	meine	A	PPOSAT	_|_|Sg	6	det	413	413
6	Herz	Herz	N	NN	_|_|Sg	0	root	_	_
7	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Krankheit	Krankheit	N	NN	Fem|Nom|Sg	5	subj	_	_
3	Deiner	deine	A	PPOSAT	Neut|Gen|Pl	4	det	417	417
4	Augen	Auge	N	NN	Neut|Gen|Pl	2	gmod	_	_
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	11	objd	413	413
7	schwere	schwer	A	ADJA	Pos|Fem|_|Sg|_|	10	attr	_	_
8	und	und	K	KON	_	7	kon	_	_
9	bittre	bittre	A	ADJA	_|Fem|_|Sg|_|_	8	cj	_	_
10	Sorge	Sorge	N	NN	Fem|_|Sg	11	obja	_	_
11	verursacht	verursachen	V	VVPP	_	5	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	5	kon	_	_
14	diese	diese	A	PDAT	Fem|Nom|Sg	15	det	415	415
15	Sorge	Sorge	N	NN	Fem|Nom|Sg	16	subj	415	415
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	13	cj	_	_
17	heut	heut	A	ADJD	Pos|	16	adv	_	_
18	größer	groß	A	ADJD	Comp|	16	pred	_	_
19	als	als	K	KOKOM	_	16	kom	_	_
20	je	je	A	ADV	_	21	adv	_	_
21	zuvor	zuvor	A	ADV	_	19	cj	_	_
22	;	;	$	$.	_	0	root	_	_
23	aber	aber	K	KON	_	0	root	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	25	subj	413	413
25	habe	haben	V	VAFIN	1|Sg|Pres|_	23	cj	_	_
26	tausend	tausend	C	CARD	_	27	attr	_	_
27	Mal	Mal	N	NN	Neut|_|Pl	28	grad	_	_
28	unter	unter	P	APPR	_	35	objp	_	_
29	heißen	heiß	A	ADJA	Pos|_|_|_|_|	30	attr	_	_
30	Thränen	Thränen	N	NN	_|_|_	28	pn	_	_
31	im	in	P	APPRART	Dat	30	pp	_	_
32	Gebete	Gebet	N	NN	Neut|Dat|Sg	31	pn	_	_
33	vor	vor	P	APPR	_	32	pp	_	_
34	Gott	Gott	N	NN	Masc|_|Sg	33	pn	505	505
35	gelegen	liegen	V	VVPP	_	25	aux	_	_
36	,	,	$	$,	_	0	root	_	_
37	und	und	K	KON	_	25	kon	_	_
38	er	er	P	PPER	3|Sg|Masc|Nom	39	subj	7	7
39	wird	werden	V	VAFIN	3|Sg|Pres|Ind	37	cj	_	_
40	Dich	Dich	N	NE	_|_|_	45	obja	311	311
41	,	,	$	$,	_	0	root	311	311
42	Unschuldige	Unschuldige	N	NN	_|_|_	40	app	311	311
43	,	,	$	$,	_	0	root	_	_
44	nicht	nicht	P	PTKNEG	_	45	adv	_	_
45	heimsuchen	heimsuchen	V	VVINF	_	39	aux	_	_
46	eines	eine	A	ART	Indef|Masc|Gen|Sg	47	det	416	416
47	Fehltrittes	Fehltritt	N	NN	Masc|Gen|Sg	48	pn	416	416
48	wegen	wegen	P	APPO	Gen	45	pp	416	416
49	,	,	$	$,	_	0	root	416	416
50	an	an	P	APPR	Dat	55	pp	416	416
51	dem	die	P	PRELS	Masc|Dat|Sg	50	pn	416	416
52	Du	du	P	PPER	2|Sg|_|Nom	55	subj	417	417
53	kein	keine	A	PIAT	_|_|Sg	54	det	_	_
54	Antheil	Antheil	N	NN	_|_|Sg	55	obja	_	_
55	hast	haben	V	VAFIN	2|Sg|Pres|Ind	47	rel	_	_
56	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	419	419
2	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
3	nur	nur	A	ADV	_	10	adv	_	_
4	bisher	bisher	A	ADV	_	10	adv	_	_
5	wohl	wohl	A	ADV	_	10	adv	_	_
6	nicht	nicht	P	PTKNEG	_	10	adv	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	9	det	561	561
8	rechten	recht	A	ADJA	Pos|Masc|Acc|Sg|_|	9	attr	561	561
9	Arzt	Arzt	N	NN	Masc|Acc|Sg	10	obja	561	561
10	gefunden	finden	V	VVPP	_	2	aux	_	_
11	und	und	K	KON	_	2	kon	_	_
12	müssen	müssen	V	VMFIN	_|Pl|Pres|_	11	cj	_	_
13	einmal	einmal	A	ADV	_	16	adv	_	_
14	nach	nach	P	APPR	Dat	16	pp	_	_
15	Chemnitz	Chemnitz	N	NE	_|Dat|Sg	14	pn	418	418
16	gehen	gehen	V	VVINF	_	12	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	wo	wo	P	PWAV	_	24	adv	_	_
19	jetzt	jetzt	A	ADV	_	24	adv	_	_
20	ein	eine	A	ART	Indef|Masc|Nom|Sg	23	det	_	_
21	sehr	sehr	A	ADV	_	22	adv	_	_
22	geschickter	geschickt	A	ADJA	Pos|Masc|Nom|Sg|St|	23	attr	_	_
23	Augenheilkundiger	Augenheilkundige	N	NN	Masc|Nom|Sg	25	subj	_	_
24	practiziren	practiziren	V	VVINF	_	25	aux	_	_
25	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	16	rel	_	_
26	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	aber	aber	A	ADV	_	3	adv	_	_
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	263	263
5	Meister	Meister	N	NN	Masc|Nom|Sg	3	subj	263	263
6	mit	mit	P	APPR	Dat	11	pp	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	8	det	_	_
8	Abendsegen	Abendsegen	N	NN	Masc|Dat|Sg	6	pn	_	_
9	auf	auf	P	APPR	_	11	pp	_	_
10	uns	wir	P	PPER	1|Pl|_|_	9	pn	419	419
11	warten	warten	V	VVINF	_	3	aux	_	_
12	.	.	$	$.	_	0	root	_	_

1	Komm	Komm	N	NE	_	3	vok	420	420
2	,	,	$	$,	_	0	root	_	_
3	laß	laß	V	VVFIN	3|Sg|_|_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	für	für	P	APPR	Acc	3	pp	_	_
6	heute	heute	A	ADV	_	5	adv	_	_
7	genug	genug	A	ADV	_	3	adv	_	_
8	sein	sein	V	VAINF	_	0	root	_	_
9	!	!	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	420	420
2	gingen	gehen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	nach	nach	P	APPR	Dat	2	pp	_	_
4	unten	unten	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	fanden	finden	V	VVFIN	_|Pl|Past|Ind	6	cj	_	_
8	allerdings	allerdings	A	ADV	_	7	adv	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	263	263
10	Meister	Meister	N	NN	Masc|Acc|Sg	7	obja	263	263
11	schon	schon	A	ADV	_	7	adv	_	_
12	hinter	hinter	P	APPR	Dat	7	pp	_	_
13	der	die	A	ART	Def|Fem|Dat|Sg	18	det	_	_
14	alten	alt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	18	attr	_	_
15	,	,	$	$,	_	0	root	_	_
16	umfangreichen	umfangreich	A	ADJA	Pos|_|Dat|_|_|	14	kon	_	_
17	Nürnberger	Nürnberger	A	ADJA	Pos|Fem|Dat|Sg|_|	18	attr	_	_
18	Bilderbibel	Bilderbibel	N	NN	Fem|Dat|Sg	12	pn	_	_
19	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Macht	Macht	N	NN	Fem|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	6	konj	_	_
5	Ihr	ihr	P	PPER	2|Pl|_|Nom	6	subj	_	_
6	kommt	kommen	V	VVFIN	2|Pl|Pres|Ind	2	objc	_	_
7	!	!	$	$.	_	0	root	_	_

1	Meine	meine	A	PPOSAT	_|Nom|Sg	2	det	424	424
2	Alte	Alt	N	NN	_|Nom|Sg	3	subj	426	426
3	lauert	lauern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	schon	schon	A	ADV	_	3	adv	_	_
5	längst	längst	A	ADV	_	3	adv	_	_
6	auf	auf	P	APPR	Acc	3	pp	_	_
7	das	die	A	ART	Def|Neut|Acc|Sg	9	det	428	428
8	heutige	heutig	A	ADJA	Pos|Neut|Acc|Sg|Wk|	9	attr	428	428
9	Evangelium	Evangelium	N	NN	Neut|Acc|Sg	6	pn	428	428
10	,	,	$	$,	_	0	root	_	_
11	wir	wir	P	PPER	1|Pl|_|Nom	12	subj	421	421
12	waren	sein	V	VAFIN	1|Pl|Past|Ind	3	kon	_	_
13	nicht	nicht	P	PTKNEG	_	12	adv	_	_
14	in	in	P	APPR	Dat	12	pp	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	16	det	_	_
16	Kirche	Kirche	N	NN	Fem|Dat|Sg	14	pn	_	_
17	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	_	4	pp	_	_
2	den	die	A	ART	Def|_|_|_	3	det	422	422
3	Richard	Richard	N	NE	Masc|Acc|Sg	1	pn	422	422
4	brauchen	brauchen	V	VVFIN	1|Pl|Pres|_	0	root	422	422
5	wir	wir	P	PPER	1|Pl|_|Nom	4	subj	421	421
6	leider	leider	A	ADV	_	4	adv	_	_
7	nicht	nicht	P	PTKNEG	_	9	adv	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	warten	warten	V	VVINF	_	4	obji	_	_
10	,	,	$	$,	_	0	root	_	_
11	der	die	P	PRELS	Masc|Nom|Sg	12	subj	422	422
12	betet	beten	V	VVFIN	3|Sg|Pres|Ind	3	rel	_	_
13	nie	nie	A	ADV	_	12	adv	_	_
14	,	,	$	$,	_	0	root	_	_
15	sondern	sondern	K	KON	_	12	kon	_	_
16	streift	streifen	V	VVFIN	_|_|Pres|Ind	15	cj	_	_
17	lieber	lieb	A	ADJD	Comp|	16	adv	_	_
18	mit	mit	P	APPR	Dat	16	pp	_	_
19	seinem	seine	A	PPOSAT	_|Dat|Sg	20	det	422	422
20	Jägerfranz	Jägerfranz	N	NN	_|Dat|Sg	18	pn	423	423
21	,	,	$	$,	_	0	root	423	423
22	mit	mit	P	APPR	Dat	28	pp	423	423
23	dem	die	P	PRELS	_|Dat|Sg	22	pn	423	423
24	er	er	P	PPER	3|Sg|Masc|Nom	28	subj	422	422
25	dicke	dick	A	ADJA	Pos|_|_|Sg|_|	26	attr	_	_
26	Freundschaft	Freundschaft	N	NN	_|_|Sg	28	obja	_	_
27	geschlossen	geschlossen	V	VVPP	_	28	aux	_	_
28	hat	haben	V	VAFIN	3|Sg|Pres|Ind	20	rel	_	_
29	,	,	$	$,	_	0	root	_	_
30	im	in	P	APPRART	Dat	16	pp	_	_
31	Walde	Wald	N	NN	Masc|Dat|Sg	30	pn	23	23
32	herum	herum	P	PTKVZ	_	16	avz	_	_
33	oder	oder	K	KON	_	16	kon	_	_
34	treibt	treiben	V	VVFIN	_|_|Pres|Ind	33	cj	_	_
35	droben	droben	N	NE	_	34	obja	457	457
36	in	in	P	APPR	Dat	34	pp	_	_
37	seiner	seine	A	PPOSAT	Fem|Dat|Sg	38	det	422	422
38	Kammer	Kammer	N	NN	Fem|Dat|Sg	36	pn	_	_
39	Allotria	Allotria	N	NE	Fem|Dat|Sg	38	app	_	_
40	.	.	$	$.	_	0	root	_	_

1	Aus	aus	P	APPR	Dat	3	pp	_	_
2	dem	die	P	PDS	_|Dat|Sg	1	pn	_	_
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	nichts	nichts	P	PIS	_|Nom|Sg	3	subj	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	3	kon	_	_
7	deshalb	deshalb	P	PROAV	_	8	pp	_	_
8	behalte	behalten	V	VVFIN	1|Sg|Pres|_	6	cj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	424	424
10	auch	auch	A	ADV	_	8	adv	_	_
11	meine	meine	A	PPOSAT	_|_|_	12	det	424	424
12	Langgänghosen	Langgänghosen	N	NN	_|_|_	8	obja	425	425
13	,	,	$	$,	_	0	root	_	_
14	die	die	P	PRELS	_|_|_	0	root	425	425
15	schön	schön	A	ADJD	Pos|	16	adv	_	_
16	gekästelte	gekästelt	A	ADJA	Pos|Fem|Acc|Sg|_|	17	attr	_	_
17	Sammetweste	Sammetweste	N	NN	Fem|Acc|Sg	0	root	_	_
18	und	und	K	KON	_	17	kon	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	21	det	_	_
20	braunen	braun	A	ADJA	Pos|Masc|Acc|Sg|_|	21	attr	_	_
