1	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	995	995
6	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	7	7
7	bethört	bethört	V	VVFIN	3|Sg|_|_	0	root	_	_
8	sie	sie	P	PPER	3|_|_|_	7	obja	1006	1006
9	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	_	_
2	denkt	denken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	4	adv	_	_
4	an	an	P	APPR	Acc	2	objp	_	_
5	seine	seine	A	PPOSAT	Fem|Acc|Sg	6	det	7	7
6	Schlechtigkeit	Schlechtigkeit	N	NN	Fem|Acc|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	sondern	sondern	K	KON	_	4	kon	_	_
9	an	an	P	APPR	Acc	8	cj	_	_
10	sein	seine	A	PPOSAT	Neut|Acc|Sg	11	det	7	7
11	Geld	Geld	N	NN	Neut|Acc|Sg	9	pn	_	_
12	.	.	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	Indem	indem	K	KOUS	_	5	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	1007	1007
3	ihm	er	P	PPER	3|Sg|_|Dat	5	objd	7	7
4	weiter	weiter	A	ADV	_	5	adv	_	_
5	zuredete	zureden	V	VVFIN	1|Sg|Past|_	7	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	beabsichtigte	beabsichtigen	V	VVFIN	1|Sg|Past|_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	1007	1007
9	,	,	$	$,	_	0	root	_	_
10	ihn	er	P	PPER	3|Sg|Masc|Acc	12	obja	7	7
11	zu	zu	P	PTKZU	_	12	part	_	_
12	beruhigen	beruhigen	V	VVINF	_	7	obji	_	_
13	;	;	$	$.	_	0	root	_	_
14	aber	aber	K	KON	_	0	root	_	_
15	die	die	A	ART	Def|Fem|Nom|Sg	16	det	1008	1008
16	Wirkung	Wirkung	N	NN	Fem|Nom|Sg	17	subj	1008	1008
17	war	sein	V	VAFIN	3|Sg|Past|Ind	14	cj	_	_
18	nicht	nicht	P	PTKNEG	_	17	adv	_	_
19	die	die	A	ART	Def|_|_|_	20	det	_	_
20	erwünschte	erwünscht	A	ADJA	_|_|_	17	pred	_	_
21	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wer	wer	P	PWS	_|Nom|Sg	3	subj	_	_
3	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	da	da	A	ADV	_	3	adv	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	7	7
9	zornig	zornig	A	ADJD	Pos|	7	adv	_	_
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	1007	1007
3	kenne	kennen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|_|_|_	3	obja	1008	1008
5	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	1009	1009
2	wollen	wollen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	1007	1007
4	Vorwürfe	Vorwurf	N	NN	Masc|_|Pl	5	obja	434	434
5	machen	machen	V	VVINF	_	2	aux	_	_
6	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	1009	1009
2	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	4	obja	1007	1007
4	gewarnt	warnen	V	VVPP	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	1007	1007
8	habe	haben	V	VAFIN	1|Sg|Pres|_	6	cj	_	_
9	es	es	P	PPER	3|Sg|Neut|_	11	obja	_	_
10	nicht	nicht	P	PTKNEG	_	11	adv	_	_
11	beachtet	beachten	V	VVPP	_	8	aux	_	_
12	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1007	1007
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	1010	1010
5	Lohn	Lohn	N	NN	Masc|Acc|Sg	2	obja	1010	1010
6	.	.	$	$.	_	0	root	_	_

1	Melton	Melton	N	NE	_|Nom|Sg	2	subj	388	388
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	1007	1007
4	Judith	Judith	N	NE	Fem|_|Sg	5	obja	1003	1003
5	genommen	nehmen	V	VVPP	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	Weller	Weller	N	NN	_|Nom|Sg	9	subj	853	853
9	hat	haben	V	VAFIN	3|Sg|Pres|Ind	7	cj	_	_
10	-	-	$	$(	_	0	root	_	_
11	-	-	$	$(	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	stockte	stocken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	letztgenannte	letztgenannt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Name	Name	N	NN	Masc|Nom|Sg	4	subj	_	_
4	erweckte	erwecken	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	eine	eine	A	ART	Indef|Fem|_|Sg	7	det	_	_
6	neue	neu	A	ADJA	Pos|Fem|_|Sg|_|	7	attr	_	_
7	Vorstellung	Vorstellung	N	NN	Fem|_|Sg	4	obja	_	_
8	in	in	P	APPR	Dat	4	pp	_	_
9	ihm	er	P	PPER	3|Sg|_|Dat	8	pn	7	7
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Weller	Weller	N	NN	_	0	root	835	835
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	schrie	schreien	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	7	7
7	dann	dann	A	ADV	_	5	adv	_	_
8	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wo	Wo	P	PWAV	_	3	adv	_	_
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	sie	sie	P	PPER	3|Pl|_|Nom	3	subj	835	835
5	?	?	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|_|Nom|Pl	5	det	1012	1012
4	beiden	beide	A	PIDAT	_|Nom|Pl	5	attr	1012	1012
5	Weller	Weller	N	NN	_|Nom|Pl	2	subj	1012	1012
6	?	?	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	810	810
2	Alte	Alt	N	NN	Masc|Nom|Sg	3	subj	810	810
3	hielt	halten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	mich	ich	P	PPER	1|Sg|_|Acc	3	obja	1011	1011
5	fest	fest	P	PTKVZ	_	3	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	3	kon	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	1014	1014
9	Junge	Junge	N	NN	Masc|Nom|Sg	10	subj	1014	1014
10	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	7	cj	_	_
11	mich	ich	P	PPER	1|Sg|_|Acc	10	obja	1011	1011
12	nieder	nieder	P	PTKVZ	_	10	avz	_	_
13	.	.	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wo	wo	P	PWAV	_	4	adv	_	_
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	sie	sie	P	PPER	3|Pl|_|Nom	4	subj	1012	1012
6	,	,	$	$,	_	0	root	_	_
7	damit	damit	K	KOUS	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1011	1011
9	sie	sie	P	PPER	3|Pl|_|Nom	10	subj	1012	1012
10	erwürgen	erwürgen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	erdrosseln	erdrosseln	V	VVINF	_	0	root	_	_
13	kann	können	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
14	!	!	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	1013	1013
2	Bewußtsein	Bewußtsein	N	NN	Neut|Nom|Sg	3	subj	1013	1013
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	ihm	er	P	PPER	3|Sg|_|Dat	7	objd	7	7
5	mit	mit	P	APPR	Dat	7	pp	_	_
6	einemmal	einemmal	N	NE	_|Dat|_	5	pn	_	_
7	zurückgekehrt	zurückkehren	V	VVPP	_	3	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1014	1014
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	1011	1011
4	an	an	P	PTKVZ	_	2	avz	_	_
5	;	;	$	$.	_	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	1014	1014
7	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	an	an	P	APPR	Dat	7	pp	_	_
9	mir	ich	P	PPER	1|Sg|_|Dat	8	pn	1011	1011
10	vorüber	vorüber	A	ADV	_	7	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	zum	zu	P	APPRART	Dat	0	root	_	_
13	Wagen	Wage	N	NN	_|Dat|_	12	pn	_	_
14	hinaus	hinaus	P	PTKVZ	_	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sein	seine	A	PPOSAT	Masc|Nom|Sg	4	det	1014	1014
4	Blick	Blick	N	NN	Masc|Nom|Sg	2	subj	1015	1015
5	nach	nach	P	APPR	Dat	2	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	76	76
7	Richtung	Richtung	N	NN	Fem|Dat|Sg	5	pn	76	76
8	,	,	$	$,	_	0	root	_	_
9	in	in	P	APPR	Dat	14	objp	_	_
10	welcher	welche	P	PWS	Fem|Dat|Sg	9	pn	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	13	det	922	922
12	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	13	attr	922	922
13	Weller	Weller	N	NN	Masc|Nom|Sg	14	subj	922	922
14	lag	liegen	V	VVFIN	3|Sg|Past|Ind	2	objc	_	_
15	;	;	$	$.	_	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	922	922
17	erkannte	erkennen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
18	ihn	er	P	PPER	3|Sg|Masc|Acc	17	obja	1015	1015
19	und	und	K	KON	_	17	kon	_	_
20	stieg	steigen	V	VVFIN	_|Sg|Past|Ind	19	cj	_	_
21	mit	mit	P	APPR	Dat	20	pp	_	_
22	der	die	A	ART	Def|Fem|Dat|Sg	23	det	_	_
23	Eile	Eile	N	NN	Fem|Dat|Sg	21	pn	_	_
24	eines	eine	A	ART	Indef|_|Gen|Sg	25	det	_	_
25	Wütenden	Wütende	N	NN	_|Gen|Sg	23	gmod	_	_
26	aus	aus	P	APPR	Dat	25	pp	_	_
27	dem	die	A	ART	Def|_|Dat|Sg	28	det	855	855
28	Wagen	Wage	N	NN	_|Dat|Sg	26	pn	855	855
29	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1011	1011
2	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	4	obja	855	855
4	halten	halten	V	VVINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	aber	aber	K	KON	_	2	kon	_	_
7	meine	meine	A	PPOSAT	Fem|Nom|Sg	8	det	1011	1011
8	Kraft	Kraft	N	NN	Fem|Nom|Sg	9	subj	1090	1090
9	reichte	reichen	V	VVFIN	3|Sg|Past|_	6	cj	_	_
10	nicht	nicht	P	PTKNEG	_	9	adv	_	_
11	aus	aus	P	PTKVZ	_	9	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	Winnetou	Winnetou	N	NE	_|Dat|_	2	objd	1	1
2	faßte	faßte	V	VVFIN	_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	855	855
4	auch	auch	A	ADV	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	doch	doch	K	KON	_	0	root	_	_
7	vergeblich	vergeblich	A	ADJD	Pos|	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	denn	denn	K	KON	_	0	root	_	_
10	im	in	P	APPRART	Dat	13	pp	_	_
11	gegenwärtigen	gegenwärtig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	12	attr	1016	1016
12	Zustande	Zustand	N	NN	Masc|Dat|Sg	10	pn	1016	1016
13	vervielfältigten	vervielfältigen	V	VVFIN	3|Pl|Past|_	9	cj	_	_
14	sich	sie	P	PRF	3|_|_	13	obja	_	_
15	seine	seine	A	PPOSAT	Fem|Nom|Pl	16	det	1016	1016
16	Kräfte	Kraft	N	NN	Fem|Nom|Pl	13	subj	_	_
17	in	in	P	APPR	Dat	13	pp	_	_
18	einer	eine	A	ART	Indef|Fem|Dat|Sg	19	det	_	_
19	Weise	Weise	N	NN	Fem|Dat|Sg	17	pn	_	_
20	,	,	$	$,	_	0	root	_	_
21	daß	daß	K	KOUS	_	27	konj	_	_
22	er	er	P	PPER	3|Sg|Masc|Nom	27	subj	855	855
23	uns	wir	P	PPER	1|Pl|_|_	27	obja	_	_
24	beide	beide	P	PIS	_|Acc|Pl	23	app	_	_
25	mit	mit	P	APPR	Dat	27	pp	_	_
26	Leichtigkeit	Leichtigkeit	N	NN	Fem|Dat|Sg	25	pn	1160	1160
27	abschüttelte	abschütteln	V	VVFIN	3|Sg|Past|_	19	objc	_	_
28	.	.	$	$.	_	0	root	_	_

1	Dabei	Dabei	P	PROAV	_	2	pp	_	_
2	brüllte	brüllen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	855	855
4	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dort	dort	A	ADV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	dort	dort	A	ADV	_	5	adv	_	_
5	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	7	7
7	,	,	$	$,	_	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	_	_
9	Mörder	Mörder	N	NN	Masc|Nom|Sg	6	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	der	die	P	PRELS	Masc|Nom|Sg	16	subj	7	7
12	mich	ich	P	PPER	1|Sg|_|Acc	16	obja	1011	1011
13	aus	aus	P	APPR	Dat	16	pp	_	_
14	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	1017	1017
15	Schlafe	Schlaf	N	NN	Masc|Dat|Sg	13	pn	1017	1017
16	weckte	wecken	V	VVFIN	3|Sg|Past|_	9	rel	_	_
17	und	und	K	KON	_	16	kon	_	_
18	dann	dann	A	ADV	_	19	adv	_	_
19	niederschlug	niederschlagen	V	VVFIN	_|Sg|Past|Ind	17	cj	_	_
20	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1011	1011
2	zermalme	zermalmen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	7	7
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	sprang	springen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	auf	auf	P	APPR	_	2	pp	_	_
4	Weller	Weller	N	NN	Masc|_|Sg	3	pn	1018	1018
5	,	,	$	$,	_	0	root	1018	1018
6	der	die	P	PRELS	Masc|Nom|Sg	9	subj	1018	1018
7	vor	vor	P	APPR	_	9	pp	_	_
8	Angst	Angst	N	NN	Fem|_|Sg	7	pn	379	379
9	aufschrie	aufschreien	V	VVFIN	3|Sg|Past|_	4	rel	_	_
10	,	,	$	$,	_	0	root	_	_
11	zu	zu	P	PTKVZ	_	2	avz	_	_
12	,	,	$	$,	_	0	root	_	_
