1	Ihr	ihre	A	PPOSAT	Neut|Nom|Sg	2	det	7	7
22	seinem	seine	A	PPOSAT	Neut|Dat|Sg	23	det	4	4
23	Hause	Haus	N	NN	Neut|Dat|Sg	21	pn	_	_
24	befinden	befinden	V	VVFIN	3|Pl|Pres|_	15	objc	_	_
25	;	;	$	$.	_	0	root	_	_
26	er	er	P	PPER	3|Sg|Masc|Nom	27	subj	4	4
27	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
28	nicht	nicht	P	PTKNEG	_	29	adv	_	_
29	haben	haben	V	VAINF	_	27	aux	_	_
30	,	,	$	$,	_	0	root	_	_
31	daß	daß	K	KOUS	_	34	konj	_	_
32	wir	wir	P	PPER	1|Pl|_|Nom	34	subj	_	_
33	ihn	er	P	PPER	3|Sg|Masc|Acc	34	obja	4	4
34	lieben	lieben	V	VVFIN	1|Pl|Pres|_	29	objc	_	_
35	,	,	$	$,	_	0	root	_	_
36	und	und	K	KON	_	0	root	_	_
37	darum	darum	P	PROAV	_	36	cj	_	_
38	-	-	$	$(	_	0	root	_	_
39	darum	darum	P	PROAV	_	40	pp	_	_
40	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
41	es	es	P	PPER	3|Sg|Neut|Nom	40	subj	_	_
42	keine	keine	A	PIAT	Fem|Nom|Sg	43	det	_	_
43	Sünde	Sünde	N	NN	Fem|Nom|Sg	40	pred	_	_
44	,	,	$	$,	_	0	root	_	_
45	wenn	wenn	K	KOUS	_	0	root	_	_
46	ich	ich	P	PPER	_|Nom|Sg	0	root	12	12
47	Dich	Dich	N	NN	_	46	app	12	12
48	zum	zu	P	APPRART	Dat	47	pp	_	_
49	Ruh	Ruh	N	NN	Fem|_|Sg	48	pn	_	_
50	'	'	$	$(	_	0	root	_	_
51	i	i	F	FM	Fem|Dat|Sg	49	app	_	_
52	kulyan	kulyan	F	FM	Fem|Dat|Sg	51	app	_	_
53	geleite	geleite	F	FM	Fem|Dat|Sg	52	app	_	_
54	.	.	$	$.	_	0	root	_	_
55	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wann	Wann	P	PWAV	_	3	adv	_	_
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	dies	dies	P	PDS	Neut|Nom|Sg	3	subj	_	_
5	geschehen	geschehen	V	VVINF	_	3	aux	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Grad	Grad	N	NN	_|Nom|Sg	5	subj	_	_
3	um	um	P	APPR	_	2	pp	_	_
4	Mitternacht	Mitternacht	N	NN	Fem|_|Sg	3	pn	398	398
5	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
6	man	man	P	PIS	_|Nom|Sg	10	pred	_	_
7	auf	auf	P	APPR	Dat	10	pp	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	373	373
9	Berge	Berg	N	NN	Masc|Dat|Sg	7	pn	373	373
10	sein	sein	V	VAINF	_	5	aux	_	_
11	.	.	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Er	er	P	PPER	3|Sg|Masc|Nom	3	subj	4	4
3	befindet	befinden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	in	in	P	APPR	Dat	3	objp	_	_
6	einer	eine	A	ART	Indef|Fem|Dat|Sg	7	det	400	400
7	Höhle	Höhle	N	NN	Fem|Dat|Sg	5	pn	400	400
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Allemal	Allemal	N	NE	_	0	root	_	_
2	um	um	P	APPR	_	1	pp	_	_
3	Mitternacht	Mitternacht	N	NN	Fem|_|Sg	2	pn	629	629
4	am	an	P	APPRART	Dat	3	pp	629	629
5	ersten	erst	A	ADJA	_|Masc|Dat|Sg|Wk|	6	attr	629	629
6	Tage	Tag	N	NN	Masc|Dat|Sg	4	pn	629	629
7	der	die	A	ART	Def|Fem|Gen|Sg	9	det	629	629
8	zweiten	zweit	A	ADJA	_|Fem|Gen|Sg|Wk|	9	attr	629	629
9	Woche	Woche	N	NN	Fem|Gen|Sg	6	gmod	629	629
10	.	.	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	wie	wie	P	PWAV	_	4	adv	_	_
4	merkt	merken	V	VVFIN	3|Sg|Pres|Ind	2	cj	_	_
5	man	man	P	PIS	_|Nom|Sg	4	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	10	konj	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	4	4
9	zugegen	zugegen	A	ADJD	Pos|	10	pred	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	objc	_	_
11	?	?	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	An	an	P	APPR	Dat	0	root	_	_
3	dem	die	A	ART	Def|Neut|Dat|Sg	4	det	399	399
4	Lichte	Licht	N	NN	Neut|Dat|Sg	2	pn	399	399
5	,	,	$	$,	_	0	root	399	399
6	welches	welche	P	PRELS	Neut|_|Sg	8	obja	399	399
7	man	man	P	PIS	_|Nom|Sg	9	subj	_	_
8	mitbringen	mitbringen	V	VVINF	_	9	aux	_	_
9	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	4	rel	_	_
10	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	setzt	setzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|_|Sg	4	det	_	_
4	Licht	Licht	N	NN	Neut|_|Sg	2	obja	_	_
5	vor	vor	P	APPR	Acc	2	objp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	_	_
7	Eingang	Eingang	N	NN	Masc|Acc|Sg	5	pn	_	_
8	der	die	A	ART	Def|Fem|Gen|Sg	9	det	400	400
9	Höhle	Höhle	N	NN	Fem|Gen|Sg	7	gmod	400	400
10	und	und	K	KON	_	2	kon	_	_
11	zieht	zeihen	V	VVFIN	_|_|_|Ind	10	cj	_	_
12	sich	sie	P	PRF	3|_|_	11	obja	_	_
13	zurück	zurück	P	PTKVZ	_	11	avz	_	_
14	.	.	$	$.	_	0	root	_	_

1	Brennt	brennen	V	VVFIN	3|Sg|Pres|Ind	6	neb	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	1	subj	_	_
3	fort	fort	P	PTKVZ	_	1	avz	_	_
4	,	,	$	$,	_	0	root	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	355	355
8	Geist	Geist	N	NN	Masc|Nom|Sg	6	subj	355	355
9	nicht	nicht	P	PTKNEG	_	6	adv	_	_
10	da	da	P	PTKVZ	_	6	avz	_	_
11	;	;	$	$.	_	0	root	_	_
12	verlöscht	verlöschen	V	VVFIN	3|Sg|Pres|Ind	17	neb	_	_
13	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
14	aber	aber	A	ADV	_	12	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	so	so	A	ADV	_	17	adv	_	_
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	355	355
19	zugegen	zugegen	A	ADJD	Pos|	17	pred	_	_
20	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	wieder	wieder	A	ADV	_	2	adv	_	_
5	hinzu	hinzu	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	geht	gehen	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
8	drei	drei	C	CARD	_	9	attr	_	_
9	Schritte	Schritt	N	NN	Masc|_|Pl	10	grad	_	_
10	weit	weit	A	ADJD	Pos|	11	adv	_	_
11	in	in	P	APPR	Acc	7	objp	_	_
12	die	die	A	ART	Def|Fem|Acc|Sg	13	det	400	400
13	Höhle	Höhle	N	NN	Fem|Acc|Sg	11	pn	400	400
14	hinein	hinein	P	PTKVZ	_	7	avz	_	_
15	und	und	K	KON	_	7	kon	_	_
16	sagt	sagen	V	VVFIN	_|_|Pres|Ind	15	cj	_	_
17	,	,	$	$,	_	0	root	_	_
18	was	was	P	PWS	Neut|_|Sg	20	obja	_	_
19	man	man	P	PIS	_|Nom|Sg	20	subj	_	_
20	will	wollen	V	VMFIN	3|Sg|Pres|Ind	16	objc	_	_
21	.	.	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	In	in	P	APPR	Dat	5	pp	_	_
3	welchen	welche	A	PWAT	Fem|Dat|Pl	4	det	_	_
4	Angelegenheiten	Angelegenheit	N	NN	Fem|Dat|Pl	2	pn	_	_
5	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
6	man	man	P	PIS	_|Nom|Sg	5	subj	_	_
7	mit	mit	P	APPR	Dat	10	pp	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	355	355
9	Geiste	Geist	N	NN	Masc|Dat|Sg	7	pn	355	355
10	sprechen	sprechen	V	VVINF	_	5	aux	_	_
11	?	?	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	In	in	P	APPR	_	0	root	_	_
3	allen	alle	P	PIS	_|_|_	2	pn	_	_
4	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	6	obja	4	4
4	um	um	P	APPR	_	6	objp	_	_
5	etwas	etwas	P	PIS	_|_|_	4	pn	_	_
6	bitten	bitten	V	VVINF	_	2	aux	_	_
7	;	;	$	$.	_	0	root	_	_
8	man	man	P	PIS	_|Nom|Sg	9	subj	_	_
9	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
10	einen	eine	A	ART	Indef|Masc|Acc|Sg	11	det	_	_
11	Andern	Andern	N	NN	Masc|Acc|Sg	12	obja	_	_
12	verklagen	verklagen	V	VVINF	_	9	aux	_	_
13	;	;	$	$.	_	0	root	_	_
14	man	man	P	PIS	_|Nom|Sg	15	subj	_	_
15	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
16	sich	sie	P	PRF	3|_|_	20	obja	_	_
17	auch	auch	A	ADV	_	20	adv	_	_
18	nach	nach	P	APPR	Dat	20	objp	_	_
19	etwas	etwas	A	ADV	_	18	adv	_	_
20	erkundigen	erkundigen	V	VVINF	_	15	aux	_	_
21	.	.	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	355	355
4	denke	denken	V	VVFIN	1|Sg|Pres|_	2	cj	_	_
5	,	,	$	$,	_	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	355	355
7	Geist	Geist	N	NN	Masc|Nom|Sg	8	subj	355	355
8	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	4	s	_	_
9	nicht	nicht	P	PTKNEG	_	8	adv	_	_
10	!	!	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	erhält	erhalten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	seine	seine	A	PPOSAT	Fem|_|Sg	5	det	355	355
5	Antwort	Antwort	N	NN	Fem|_|Sg	2	obja	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wenn	wenn	K	KOUS	_	7	konj	_	_
3	man	man	P	PIS	_|Nom|Sg	7	subj	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	401	401
5	Wunsch	Wunsch	N	NN	Masc|Acc|Sg	6	obja	401	401
6	gesagt	sagen	V	VVPP	_	7	aux	_	_
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	10	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
11	man	man	P	PIS	_|Nom|Sg	10	subj	_	_
12	bis	bis	P	APPR	Acc	10	pp	_	_
13	an	an	P	APPR	Acc	12	pp	_	_
14	das	die	A	ART	Def|Neut|Acc|Sg	15	det	406	406
15	Bild	Bild	N	NN	Neut|Acc|Sg	13	pn	406	406
16	zurück	zurück	P	PTKVZ	_	10	avz	_	_
17	und	und	K	KON	_	10	kon	_	_
18	wartet	warten	V	VVFIN	_|_|Pres|_	17	cj	_	_
19	kurze	kurz	A	ADJA	Pos|Fem|_|Sg|_|	20	attr	_	_
20	Zeit	Zeit	N	NN	Fem|_|Sg	18	zeit	_	_
21	.	.	$	$.	_	0	root	_	_

1	Beginnt	beginnen	V	VVFIN	3|Sg|Pres|Ind	9	neb	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	399	399
3	Licht	Licht	N	NN	Neut|Nom|Sg	1	subj	399	399
4	wieder	wieder	A	ADV	_	6	adv	_	_
5	zu	zu	P	PTKZU	_	6	part	_	_
6	brennen	brennen	V	VVINF	_	1	obji	_	_
7	,	,	$	$,	_	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	11	det	541	541
11	Bitte	Bitte	N	NN	Fem|Nom|Sg	9	subj	541	541
12	erfüllt	erfüllen	V	VVPP	_	9	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	9	kon	_	_
15	nach	nach	P	APPR	Dat	27	pp	_	_
16	kurzer	kurz	A	ADJA	Pos|Fem|Dat|Sg|St|	17	attr	_	_
17	Zeit	Zeit	N	NN	Fem|Dat|Sg	15	pn	_	_
18	,	,	$	$,	_	0	root	_	_
19	oft	oft	A	ADV	_	21	adv	_	_
20	schon	schon	A	ADV	_	21	adv	_	_
21	in	in	P	APPR	Dat	15	kon	_	_
22	der	die	A	ART	Def|Fem|Dat|Sg	24	det	464	464
23	ersten	erst	A	ADJA	_|Fem|Dat|Sg|Wk|	24	attr	464	464
24	Nacht	Nacht	N	NN	Fem|Dat|Sg	21	pn	464	464
25	noch	noch	A	ADV	_	21	adv	_	_
26	,	,	$	$,	_	0	root	_	_
27	erhält	erhalten	V	VVFIN	3|Sg|Pres|Ind	14	cj	_	_
28	man	man	P	PIS	_|Nom|Sg	27	subj	_	_
29	auf	auf	P	APPR	Acc	27	pp	_	_
30	irgend	irgend	A	ADV	_	32	adv	_	_
31	eine	eine	A	ART	Indef|Fem|Acc|Sg	32	det	_	_
32	Weise	Weise	N	NN	Fem|Acc|Sg	29	pn	_	_
33	die	die	A	ART	Def|Fem|_|Sg	34	det	402	402
34	Nachricht	Nachricht	N	NN	Fem|_|Sg	27	obja	402	402
35	,	,	$	$,	_	0	root	402	402
36	welche	welche	P	PRELS	Fem|_|Sg	38	obja	402	402
37	man	man	P	PIS	_|Nom|Sg	39	subj	_	_
38	erwartet	erwarten	V	VVPP	_	39	aux	_	_
39	hat	haben	V	VAFIN	3|Sg|Pres|Ind	34	rel	_	_
40	.	.	$	$.	_	0	root	_	_
41	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|Nom|Sg	3	pred	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
5	für	für	P	APPR	Acc	3	pp	_	_
6	ein	eine	A	ART	Indef|Neut|Acc|Sg	7	det	403	403
7	Bild	Bild	N	NN	Neut|Acc|Sg	5	pn	403	403
8	,	,	$	$,	_	0	root	403	403
9	von	von	P	APPR	Dat	12	pp	403	403
10	dem	die	P	PRELS	Neut|Dat|Sg	9	pn	403	403
11	Du	du	P	PPER	2|Sg|_|Nom	12	subj	_	_
12	redest	reden	V	VVFIN	2|Sg|Pres|_	7	rel	_	_
13	?	?	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	404	404
5	hoher	hoch	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	404	404
6	Pfahl	Pfahl	N	NN	Masc|Nom|Sg	3	pred	404	404
7	,	,	$	$,	_	0	root	404	404
8	an	an	P	APPR	Dat	16	pp	404	404
9	welchem	welche	P	PRELS	Masc|Dat|Sg	8	pn	404	404
10	das	die	A	ART	Def|Neut|Nom|Sg	11	det	_	_
11	Bild	Bild	N	NN	Neut|Nom|Sg	17	subj	_	_
12	der	die	A	ART	Def|_|_|_	14	det	_	_
13	heiligen	heilig	A	ADJA	Pos|Masc|Gen|Sg|_|	14	attr	_	_
14	Mutter	Mutter	N	NN	Masc|Gen|Sg	11	gmod	_	_
15	Gottes	Gott	N	NN	Masc|Gen|Sg	14	app	_	_
16	befestigt	befestigen	V	VVPP	_	17	aux	_	_
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	rel	_	_
18	.	.	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	überraschte	überraschen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	405	405
4	,	,	$	$,	_	0	root	_	_
5	da	da	K	KOUS	_	7	konj	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	405	405
7	wußte	wußte	V	VVFIN	1|Sg|_|_	2	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	12	konj	_	_
10	die	die	A	ART	Def|_|Nom|Pl	11	det	228	228
11	Chaldani	Chaldani	N	NN	_|Nom|Pl	12	subj	228	228
12	lehren	lehren	V	VVFIN	3|Pl|Pres|_	7	objc	_	_
13	,	,	$	$,	_	0	root	_	_
14	die	die	A	ART	Def|Fem|Nom|Sg	16	det	_	_
15	heilige	heilig	A	ADJA	Pos|Fem|Nom|Sg|_|	16	attr	_	_
16	Maria	Maria	N	NE	Fem|Nom|Sg	17	subj	_	_
17	sei	sein	V	VAFIN	3|Sg|Pres|Subj	2	kon	_	_
18	nicht	nicht	P	PTKNEG	_	20	adv	_	_
19	die	die	A	ART	Def|_|_|_	20	det	_	_
20	Mutter	Mutter	N	NN	_|Nom|_	17	pred	_	_
21	Gottes	Gott	N	NN	Masc|Gen|Sg	20	app	_	_
22	,	,	$	$,	_	0	root	_	_
23	sondern	sondern	K	KON	_	20	kon	_	_
24	nur	nur	A	ADV	_	26	adv	_	_
25	die	die	A	ART	Def|Fem|Nom|Sg	26	det	_	_
26	Mutter	Mutter	N	NN	Fem|Nom|Sg	23	cj	_	_
27	des	die	A	ART	Def|Masc|Gen|Sg	28	det	571	571
28	Menschen	Mensch	N	NN	Masc|Gen|Sg	26	gmod	571	571
29	Jesus	Jesus	N	NE	Masc|Gen|Sg	28	app	571	571
30	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|_|_|_	3	det	_	_
2	geheimnißvolle	geheimnißvoll	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Ruh	Ruh	N	NN	Masc|Nom|Sg	7	subj	_	_
4	'	'	$	$(	_	0	root	_	_
5	i	i	F	FM	Masc|Nom|Sg	3	app	_	_
6	kulyan	kulyan	F	FM	Masc|Nom|Sg	5	app	_	_
7	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	sonach	sonach	N	NE	_|Dat|_	7	objd	_	_
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	11	det	_	_
10	guter	gut	A	ADJA	Pos|Masc|Nom|Sg|St|	11	attr	_	_
11	Katholik	Katholik	N	NN	Masc|Nom|Sg	13	pred	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	sein	sein	V	VAINF	_	7	obji	_	_
14	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wie	Wie	P	PWAV	_	3	adv	_	_
3	lange	lange	A	ADJD	_	5	adv	_	_
4	bereits	bereits	A	ADV	_	5	adv	_	_
5	stehet	stehen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
6	dieses	diese	A	PDAT	Neut|_|Sg	7	det	406	406
7	Bild	Bild	N	NN	Neut|_|Sg	0	root	406	406
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	frug	frug	V	VVFIN	1|Sg|_|_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	405	405
12	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	405	405
3	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|_	3	expl	_	_
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	;	;	$	$.	_	0	root	_	_
7	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
8	stehet	stehen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
9	schon	schon	A	ADV	_	8	adv	_	_
10	länger	lang	A	ADJD	Comp|	8	adv	_	_
11	als	als	K	KOKOM	_	8	kom	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	11	cj	405	405
13	lebe	leben	V	VVFIN	_|Sg|Pres|_	0	root	_	_
14	.	.	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	noch	noch	A	ADV	_	9	adv	_	_
5	kein	keine	A	PIAT	Masc|Nom|Sg	6	det	_	_
6	Kurde	Kurde	N	NN	Masc|Nom|Sg	3	subj	_	_
7	oder	oder	K	KON	_	6	kon	_	_
8	Chaldani	Chaldani	N	NN	Masc|Nom|Sg	7	cj	407	407
9	gesagt	sagen	V	VVPP	_	3	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	daß	daß	K	KOUS	_	14	konj	_	_
12	es	es	P	PPER	3|Sg|Neut|Nom	14	subj	_	_
13	fort	fort	P	PROAV	_	14	pp	_	_
14	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	9	objc	_	_
15	?	?	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nein	nein	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	denn	denn	K	KON	_	0	root	_	_
5	dann	dann	A	ADV	_	6	adv	_	_
6	würde	werden	V	VAFIN	3|Sg|Past|Subj	4	cj	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	408	408
8	Ruh	Ruh	N	NN	Fem|Dat|Sg	14	objd	408	408
9	'	'	$	$(	_	0	root	_	_
10	i	i	F	FM	_|Nom|Sg	6	subj	_	_
11	kulyan	kulyan	F	FM	_|Nom|Sg	10	app	_	_
12	für	für	P	APPR	Acc	14	pp	_	_
13	immer	immer	A	ADV	_	12	adv	_	_
14	verschwunden	verschwinden	V	VVPP	_	15	aux	_	_
15	sein	sein	V	VAINF	_	6	aux	_	_
16	.	.	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	dies	dies	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	wünscht	wünschen	V	VVFIN	3|Sg|Pres|Ind	2	cj	_	_
5	Niemand	niemand	P	PIS	_|Dat|_	4	objd	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Niemand	niemand	P	PIS	Masc|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Herr	Herr	N	NN	Masc|_|Sg	2	app	_	_
5	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Geist	Geist	N	NN	Masc|Nom|Sg	0	root	_	_
3	thut	thut	A	ADJA	_	4	attr	_	_
