1	Et	Et	N	NE	_	0	root	10	10
27	de	de	N	NE	_	26	app	4	4
28	eine	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
29	noch	noch	A	ADV	_	33	adv	_	_
30	mehr	mehr	A	ADV	_	33	adv	_	_
31	vom	von	P	APPRART	Dat	33	pp	_	_
32	Paen	Paen	N	NN	_|Dat|_	31	pn	0	0
33	kriegt	kriegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
34	ase	ase	F	FM	_|Nom|Sg	33	subj	_	_
35	de	de	F	FM	_|Nom|Sg	34	app	_	_
36	annere	annere	F	FM	_|Nom|Sg	35	app	_	_
37	,	,	$	$,	_	0	root	_	_
38	he	he	F	FM	_|Nom|Sg	36	app	_	_
39	awerst	awerst	F	FM	_|Nom|Sg	38	app	_	_
40	kunne	kunne	F	FM	_|Nom|Sg	39	app	_	_
41	nix	nix	F	FM	_|Nom|Sg	40	app	_	_
42	seggen	seggen	F	FM	_|Nom|Sg	41	app	_	_
43	,	,	$	$,	_	0	root	_	_
44	un	un	F	FM	_	33	obja	_	_
45	da	da	F	FM	_	44	app	_	_
46	grinde	grinde	F	FM	_	45	app	_	_
47	he	he	F	FM	_	46	app	_	_
48	un	un	F	FM	_	47	app	_	_
49	gienk	gienk	F	FM	_	48	app	_	_
50	nah	nah	F	FM	_	49	app	_	_
51	Hus	Hus	F	FM	_	50	app	_	_
52	un	un	F	FM	_	51	app	_	_
53	segde	segde	F	FM	_	52	app	_	_
54	tom	tom	F	FM	_	53	app	_	_
55	Vaer	Vaer	F	FM	_	54	app	_	_
56	'	'	$	$(	_	0	root	_	_
57	hewe	hewe	F	FM	_	55	app	_	_
58	ik	ik	F	FM	_	57	app	_	_
59	denn	denn	A	ADV	_	33	adv	_	_
60	gar	gar	A	ADV	_	33	adv	_	_
61	nix	nix	P	PIS	_|Nom|Sg	64	subj	_	_
62	vom	von	P	APPRART	Dat	64	pp	_	_
63	Paen	Paen	N	NN	_|Dat|_	62	pn	0	0
64	kriegt	kriegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
65	?	?	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	O	O	N	NN	Neut|_|_	0	root	_	_
4	ja	ja	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	segde	segde	F	FM	Neut|_|_	3	app	_	_
8	de	de	F	FM	Neut|_|_	7	app	_	_
9	Vaer	Vaer	F	FM	Neut|_|_	8	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	'	'	$	$(	_	0	root	_	_
12	du	du	F	FM	_|Nom|Sg	16	subj	_	_
13	hest	hest	F	FM	_|Nom|Sg	12	app	_	_
14	en	en	F	FM	_|Nom|Sg	13	app	_	_
15	SchIüttel	SchIüttel	F	FM	_|Nom|Sg	14	app	_	_
16	kriegt	kriegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	wenn	wenn	K	KOUS	_	0	root	_	_
19	up	up	F	FM	_	0	root	_	_
20	de	de	F	FM	_	19	app	_	_
21	Heide	Heide	F	FM	_	20	app	_	_
22	'	'	$	$(	_	0	root	_	_
23	n	n	F	FM	_	21	app	_	_
24	Schlott	Schlott	F	FM	_	23	app	_	_
25	steit	steit	F	FM	_	24	app	_	_
26	,	,	$	$,	_	0	root	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	gah	gah	V	VVFIN	_|Sg|_|_	0	root	_	_
29	man	man	P	PIS	_|Nom|Sg	28	subj	_	_
30	hen	hen	F	FM	_	28	obja	_	_
31	un	un	F	FM	_	30	app	_	_
32	schlut	schlut	F	FM	_	31	app	_	_
33	et	et	F	FM	_	32	app	_	_
34	up	up	F	FM	_	33	app	_	_
35	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Da	Da	K	KOUS	_	0	root	_	_
3	gienk	gienk	N	NE	_	0	root	3	3
4	he	he	F	FM	_	3	app	3	3
5	hen	hen	F	FM	_	4	app	3	3
6	,	,	$	$,	_	0	root	_	_
7	awerst	awerst	F	FM	_	0	root	_	_
8	et	et	F	FM	_	7	app	_	_
9	was	was	P	PRELS	Neut|_|Sg	16	obja	3	3
10	kein	keine	A	PIAT	_|_|Sg	11	det	_	_
11	Schlote	Schlot	N	NN	Masc|Nom|Pl	16	subj	_	_
12	to	to	F	FM	Masc|Nom|Pl	11	app	_	_
13	hören	hören	F	FM	Masc|Nom|Pl	12	app	_	_
14	un	un	F	FM	Masc|Nom|Pl	13	app	_	_
15	to	to	F	FM	Masc|Nom|Pl	14	app	_	_
16	sehen	sehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_

1	Wier	Wier	N	NE	Neut|Dat|Pl	0	root	_	_
2	na	na	F	FM	Neut|Dat|Pl	1	app	_	_
3	sewen	sewen	F	FM	Neut|Dat|Pl	2	app	_	_
4	Jahren	Jahr	N	NN	Neut|Dat|Pl	3	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	ase	ase	F	FM	Neut|Dat|Pl	4	app	_	_
7	he	he	F	FM	Neut|Dat|Pl	6	app	_	_
8	vertein	vertein	F	FM	Neut|Dat|Pl	7	app	_	_
9	Johr	Johr	F	FM	Neut|Dat|Pl	8	app	_	_
10	old	old	F	FM	Neut|Dat|Pl	9	app	_	_
11	is	is	F	FM	Neut|Dat|Pl	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	geit	geit	F	FM	_	0	root	_	_
14	he	he	F	FM	_	13	app	_	_
15	nochmals	nochmals	A	ADV	_	16	adv	_	_
16	hen	hen	A	ADJD	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	da	da	K	KOUS	_	0	root	_	_
19	steit	steit	F	FM	_	0	root	_	_
20	en	en	F	FM	_	19	app	_	_
21	Schlott	Schlott	F	FM	_	20	app	_	_
22	darup	darup	F	FM	_	21	app	_	_
23	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	he	he	F	FM	_	0	root	_	_
3	et	et	F	FM	_	2	app	_	_
4	upschloten	upschloten	F	FM	_	3	app	_	_
5	het	het	F	FM	_	4	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	da	da	K	KOUS	_	0	root	_	_
8	is	is	F	FM	_	0	root	_	_
9	der	die	A	ART	Def|_|Gen|_	10	det	_	_
10	nix	nix	F	FM	_|Gen|_	8	gmod	_	_
11	enne	enne	F	FM	_|Gen|_	10	app	_	_
12	ase	ase	F	FM	_|Gen|_	11	app	_	_
13	'	'	$	$(	_	0	root	_	_
14	n	n	N	NN	_|Gen|_	12	app	_	_
15	Perd	Perd	N	NE	_|Gen|_	14	app	_	_
16	,	,	$	$,	_	0	root	_	_
17	'	'	$	$(	_	0	root	_	_
18	n	n	N	NN	_	8	app	_	_
19	Schümmel	Schümmel	N	NE	_	18	app	_	_
20	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	26	konj	_	_
2	werd	werd	N	NE	_	26	obja	4	4
3	de	de	N	NE	_	2	app	4	4
4	Junge	jung	A	ADJA	Pos|_|Nom|Sg|_|	7	attr	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	vuller	vuller	A	ADJA	_	7	attr	_	_
7	Früden	Früden	N	NN	_|Nom|Sg	26	subj	_	_
8	,	,	$	$,	_	0	root	_	_
9	dat	dat	F	FM	_|Nom|Sg	7	app	_	_
10	he	he	F	FM	_|Nom|Sg	9	app	_	_
11	dat	dat	F	FM	_|Nom|Sg	10	app	_	_
12	Perd	Perd	F	FM	_|Nom|Sg	11	app	_	_
13	hadde	hadde	F	FM	_|Nom|Sg	12	app	_	_
14	,	,	$	$,	_	0	root	_	_
15	dat	dat	F	FM	_|Nom|Sg	13	app	_	_
16	he	he	F	FM	_|Nom|Sg	15	app	_	_
17	sik	sik	F	FM	_|Nom|Sg	16	app	_	_
18	darup	darup	F	FM	_|Nom|Sg	17	app	_	_
19	sett	sett	F	FM	_|Nom|Sg	18	app	_	_
20	un	un	F	FM	_|Nom|Sg	19	app	_	_
21	to	to	F	FM	_|Nom|Sg	20	app	_	_
22	sinen	sinen	F	FM	_|Nom|Sg	21	app	_	_
23	Vaer	Vaer	F	FM	_|Nom|Sg	22	app	_	_
24	jegd	jegd	F	FM	_|Nom|Sg	23	app	_	_
25	(	(	$	$(	_	0	root	_	_
26	jagt	jagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
27	)	)	$	$(	_	0	root	_	_
28	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Nu	Nu	F	FM	_	0	root	_	_
3	hew	hew	F	FM	_	2	app	_	_
4	ik	ik	F	FM	_	3	app	_	_
5	auck	auck	F	FM	_	4	app	_	_
6	'	'	$	$(	_	0	root	_	_
7	n	n	N	NN	_	5	app	_	_
8	Schümmel	Schümmel	N	NE	_	7	app	_	_
9	,	,	$	$,	_	0	root	_	_
10	nu	nu	A	ADV	_	11	adv	_	_
11	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
12	ik	ik	F	FM	_|Nom|Sg	11	subj	_	_
13	auck	auck	F	FM	_|Nom|Sg	12	app	_	_
14	reisen	reisen	V	VVINF	_	11	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	'	'	$	$(	_	0	root	_	_
