1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
12	Königssohn	Königssohn	N	NN	Masc|Acc|Sg	10	pn	35	35
13	versprochen	versprechen	V	VVPP	_	5	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	5	kom	_	_
2	nun	nun	A	ADV	_	4	adv	_	_
3	die	die	A	ART	Def|Fem|_|Sg	4	det	_	_
4	Zeit	Zeit	N	NN	Fem|_|Sg	1	cj	_	_
5	kam	kommen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	wo	wo	P	PWAV	_	9	adv	_	_
8	sie	sie	P	PPER	3|Pl|_|Nom	11	subj	4	4
9	vermählt	vermählen	V	VVPP	_	10	aux	_	_
10	werden	werden	V	VAINF	_	11	aux	_	_
11	sollten	sollen	V	VMFIN	3|Pl|Past|_	5	rel	_	_
12	und	und	K	KON	_	11	kon	_	_
13	das	die	A	ART	Def|Neut|Nom|Sg	14	det	1	1
14	Kind	Kind	N	NN	Neut|Nom|Sg	20	subj	1	1
15	in	in	P	APPR	Acc	19	pp	_	_
16	das	die	A	ART	Def|Neut|Acc|Sg	18	det	_	_
17	fremde	fremd	A	ADJA	Pos|Neut|Acc|Sg|Wk|	18	attr	_	_
18	Reich	Reich	N	NN	Neut|Acc|Sg	15	pn	_	_
19	abreisen	abreisen	V	VVINF	_	20	aux	_	_
20	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	12	cj	_	_
21	,	,	$	$,	_	0	root	_	_
22	packte	packen	V	VVFIN	_|Sg|Past|_	5	kon	_	_
23	ihr	ihr	P	PPER	_|_|_|_	0	root	1	1
24	die	die	A	ART	Def|_|_|_	25	det	_	_
25	Alte	Alt	N	NN	_|_|_	0	root	_	_
26	gar	gar	A	ADV	_	29	adv	_	_
27	viel	viel	A	PIDAT	Neut|_|Sg	29	det	_	_
28	köstliches	köstlich	A	ADJA	Pos|Neut|_|Sg|St|	29	attr	_	_
29	Gerät	Gerät	N	NN	Neut|_|Sg	0	root	_	_
30	und	und	K	KON	_	29	kon	_	_
31	Geschmeide	Geschmeide	N	NN	Neut|_|_	30	cj	_	_
32	ein	ein	P	PTKVZ	_	0	root	_	_
33	,	,	$	$,	_	0	root	_	_
34	Gold	Gold	N	NN	Neut|_|Sg	0	root	55	55
35	und	und	K	KON	_	34	kon	_	_
36	Silber	Silber	N	NN	Neut|_|Sg	35	cj	_	_
37	,	,	$	$,	_	0	root	_	_
38	Becher	Becher	N	NN	Masc|_|_	36	app	_	_
39	und	und	K	KON	_	38	kon	_	_
40	Kleinode	Kleinod	N	NN	_|_|_	39	cj	2	2
41	,	,	$	$,	_	0	root	_	_
42	kurz	kurz	A	ADJD	Pos|	43	attr	_	_
43	alles	alle	P	PIS	Neut|_|Sg	36	adv	_	_
44	,	,	$	$,	_	0	root	_	_
45	was	was	P	PRELS	Neut|Nom|Sg	51	subj	2	2
46	nur	nur	A	ADV	_	51	adv	_	_
47	zu	zu	P	APPR	Dat	51	objp	_	_
48	einem	eine	A	ART	Indef|Masc|Dat|Sg	50	det	_	_
49	königlichen	königlich	A	ADJA	Pos|Masc|Dat|Sg|Wk|	50	attr	_	_
50	Brautschatz	Brautschatz	N	NN	Masc|Dat|Sg	47	pn	_	_
51	gehörte	gehören	V	VVFIN	3|Sg|Past|_	43	rel	_	_
52	,	,	$	$,	_	0	root	_	_
53	denn	denn	K	KON	_	51	kon	_	_
54	sie	sie	P	PPER	3|Sg|Fem|Nom	55	subj	2	2
55	hatte	haben	V	VAFIN	3|Sg|Past|Ind	53	cj	_	_
56	ihr	ihre	A	PPOSAT	Neut|_|Sg	57	det	2	2
57	Kind	Kind	N	NN	Neut|_|Sg	55	obja	_	_
58	von	von	P	APPR	Dat	57	pp	_	_
59	Herzen	Herzen	N	NN	Neut|Dat|Sg	58	pn	_	_
60	lieb	lieb	A	ADJD	Pos|	55	pred	_	_
61	.	.	$	$.	_	0	root	_	_

1	Auch	auch	A	ADV	_	2	adv	_	_
2	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	2	2
4	ihr	ihr	P	PPER	3|Sg|Fem|Dat	2	objd	0	0
5	eine	eine	A	ART	Indef|Fem|_|Sg	6	det	13	13
6	Kammerjungfer	Kammerjungfer	N	NN	Fem|_|Sg	2	obja	13	13
7	bei	bei	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	welche	welche	A	PWAT	_|_|_	0	root	_	_
10	mitreiten	mitreiten	V	VVFIN	_|Pl|Pres|_	0	root	_	_
11	und	und	K	KON	_	10	kon	_	_
12	die	die	A	ART	Def|Fem|Nom|Sg	13	det	27	27
13	Braut	Braut	N	NN	Fem|Nom|Sg	20	subj	27	27
14	in	in	P	APPR	Acc	19	pp	_	_
15	die	die	A	ART	Def|Fem|Acc|Pl	16	det	_	_
16	Hände	Hand	N	NN	Fem|Acc|Pl	14	pn	_	_
17	des	die	A	ART	Def|Masc|Gen|Sg	18	det	77	77
18	Bräutigams	Bräutigam	N	NN	Masc|Gen|Sg	16	gmod	77	77
19	überliefern	überliefern	V	VVINF	_	20	aux	_	_
20	sollte	sollen	V	VMFIN	3|Sg|Past|_	11	cj	_	_
21	,	,	$	$,	_	0	root	_	_
22	und	und	K	KON	_	20	kon	_	_
23	jede	jede	P	PIS	_|Nom|Sg	24	subj	_	_
24	bekam	bekommen	V	VVFIN	3|Sg|Past|Ind	22	cj	_	_
25	ein	eine	A	ART	Indef|Neut|_|Sg	26	det	44	44
26	Pferd	Pferd	N	NN	Neut|_|Sg	24	obja	44	44
27	zur	zu	P	APPRART	Dat	24	objp	_	_
28	Reise	Reis	N	NN	_|Dat|Sg	27	pn	_	_
29	,	,	$	$,	_	0	root	_	_
30	aber	aber	K	KON	_	24	kon	_	_
31	das	die	A	ART	Def|Neut|Nom|Sg	32	det	_	_
32	Pferd	Pferd	N	NN	Neut|Nom|Sg	35	subj	_	_
33	der	die	A	ART	Def|Fem|Gen|Sg	34	det	15	15
34	Königstochter	Königstochter	N	NN	Fem|Gen|Sg	32	gmod	15	15
35	hieß	heißen	V	VVFIN	3|Sg|Past|Ind	30	cj	_	_
36	Falada	Falada	N	NE	_|Nom|_	35	pred	29	29
37	und	und	K	KON	_	35	kon	_	_
38	konnte	können	V	VMFIN	_|Sg|Past|Ind	37	cj	_	_
39	sprechen	sprechen	V	VVINF	_	38	aux	_	_
40	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	6	adv	_	_
2	nun	nun	A	ADV	_	6	adv	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	8	8
4	Abschiedsstunde	Abschiedsstunde	N	NN	Fem|Nom|Sg	6	subj	8	8
5	da	da	A	ADV	_	6	adv	_	_
6	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	begab	begeben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	sich	sie	P	PRF	3|_|_	8	obja	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	12	det	3	3
11	alte	alt	A	ADJA	Pos|Fem|Nom|Sg|_|	12	attr	3	3
12	Mutter	Mutter	N	NN	Fem|Nom|Sg	8	subj	3	3
13	in	in	P	APPR	Acc	8	objp	_	_
14	ihre	ihre	A	PPOSAT	Fem|Acc|Sg	15	det	3	3
15	Schlafkammer	Schlafkammer	N	NN	Fem|Acc|Sg	13	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	nahm	nehmen	V	VVFIN	_|Sg|Past|Ind	8	kon	_	_
18	ein	eine	A	ART	Indef|_|_|Sg	19	det	_	_
19	Messerlein	Messerlein	N	NN	_|_|Sg	17	obja	_	_
20	und	und	K	KON	_	17	kon	_	_
21	schnitt	schneiden	V	VVFIN	_|Sg|Past|Ind	20	cj	_	_
22	damit	damit	P	PROAV	_	21	pp	_	_
23	in	in	P	APPR	Acc	21	pp	_	_
24	ihre	ihre	A	PPOSAT	Masc|Acc|Pl	25	det	3	3
25	Finger	Finger	N	NN	Masc|Acc|Pl	23	pn	_	_
26	,	,	$	$,	_	0	root	_	_
27	daß	daß	K	KOUS	_	29	konj	_	_
28	sie	sie	P	PPER	3|Pl|_|Nom	29	subj	4	4
29	bluteten	bluten	V	VVFIN	3|Pl|Past|_	21	objc	_	_
30	;	;	$	$.	_	0	root	_	_
31	darauf	darauf	P	PROAV	_	32	pp	_	_
32	hielt	halten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
33	sie	sie	P	PPER	3|Sg|Fem|Nom	32	subj	3	3
34	ein	eine	A	ART	Indef|Neut|_|Sg	36	det	6	6
35	weißes	weiß	A	ADJA	Pos|Neut|_|Sg|St|	36	attr	6	6
36	Läppchen	Läppchen	N	NN	Neut|_|Sg	32	obja	6	6
37	unter	unter	P	PTKVZ	_	32	avz	_	_
38	und	und	K	KON	_	32	kon	_	_
39	ließ	lassen	V	VVFIN	_|Sg|Past|Ind	38	cj	_	_
40	drei	drei	C	CARD	_	41	attr	_	_
41	Tropfen	Tropfen	N	NN	Neut|_|Sg	39	obja	_	_
42	Blut	Blut	N	NN	Neut|_|Sg	41	app	_	_
43	hineinfallen	hineinfallen	V	VVINF	_	39	obji	_	_
44	,	,	$	$,	_	0	root	_	_
45	gab	geben	V	VVFIN	_|Sg|Past|Ind	39	kon	_	_
46	sie	sie	P	PPER	3|_|_|_	45	obja	3	3
47	der	die	A	ART	Def|Fem|Dat|Sg	48	det	5	5
48	Tochter	Tochter	N	NN	Fem|Dat|Sg	45	objd	5	5
49	und	und	K	KON	_	45	kon	_	_
50	sprach	sprechen	V	VVFIN	_|Sg|Past|Ind	49	cj	_	_
51	:	\:	$	$.	_	0	root	_	_
52	»	»	$	$(	_	0	root	_	_
53	Liebes	lieb	A	ADJA	Pos|Neut|_|Sg|St|	54	attr	_	_
54	Kind	Kind	N	NN	Neut|_|Sg	0	root	_	_
55	,	,	$	$,	_	0	root	_	_
56	verwahre	verwahren	V	VVFIN	_|Sg|Pres|_	0	root	_	_
57	sie	sie	P	PPER	3|_|_|_	56	obja	4	4
58	wohl	wohl	A	ADV	_	56	adv	_	_
59	,	,	$	$,	_	0	root	_	_
60	sie	sie	P	PPER	3|Pl|_|Nom	61	subj	4	4
61	werden	werden	V	VAFIN	3|Pl|Pres|_	56	kon	_	_
62	dir	du	P	PPER	2|Sg|_|Dat	65	objd	10	10
63	unterwegs	unterwegs	A	ADV	_	65	adv	_	_
64	not	not	A	ADJD	Pos|	65	adv	_	_
65	tun	tun	V	VVINF	_	61	aux	_	_
66	.	.	$	$.	_	0	root	_	_
67	«	«	$	$(	_	0	root	_	_

1	Also	also	A	ADV	_	2	adv	_	_
2	nahmen	nehmen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	beide	beide	P	PIS	_|Nom|Pl	2	subj	_	_
4	voneinander	voneinander	A	ADV	_	2	adv	_	_
5	betrübten	betrübt	A	ADJA	Pos|Masc|_|Sg|_|	6	attr	_	_
6	Abschied	Abschied	N	NN	Masc|_|Sg	2	obja	_	_
7	;	;	$	$.	_	0	root	_	_
8	das	die	A	ART	Def|Neut|Nom|Sg	9	det	6	6
9	Läppchen	Läppchen	N	NN	Neut|Nom|Sg	10	subj	6	6
10	steckte	stecken	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	die	die	A	ART	Def|_|_|_	12	det	7	7
12	Köngstochter	Köngstochter	N	NN	_|_|_	10	obja	7	7
13	in	in	P	APPR	_	10	objp	_	_
14	ihren	ihre	A	PPOSAT	Masc|_|_	15	det	7	7
15	Busen	Busen	N	NN	Masc|_|_	13	pn	_	_
16	vor	vor	P	APPR	_	15	pp	_	_
17	sich	sie	P	PRF	3|_|_	16	pn	_	_
18	,	,	$	$,	_	0	root	_	_
19	setzte	setzen	V	VVFIN	_|Sg|Past|_	10	kon	_	_
20	sich	sie	P	PRF	3|_|_	19	obja	_	_
21	aufs	auf	P	APPRART	Acc	19	objp	_	_
22	Pferd	Pferd	N	NN	Neut|Acc|Sg	21	pn	17	17
23	und	und	K	KON	_	19	kon	_	_
24	zog	ziehen	V	VVFIN	_|Sg|Past|Ind	23	cj	_	_
25	nun	nun	A	ADV	_	24	adv	_	_
26	fort	fort	P	PTKVZ	_	24	avz	_	_
27	zu	zu	P	APPR	Dat	24	pp	_	_
28	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	29	det	7	7
29	Bräutigam	Bräutigam	N	NN	Masc|Dat|Sg	27	pn	_	_
30	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	6	konj	_	_
2	sie	sie	P	PPER	3|Pl|_|Nom	6	subj	7	7
3	eine	eine	A	ART	Indef|Fem|_|Sg	4	det	_	_
4	Stunde	Stunde	N	NN	Fem|_|Sg	5	zeit	_	_
5	geritten	reiten	V	VVPP	_	6	aux	_	_
6	waren	sein	V	VAFIN	3|Pl|Past|Ind	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	empfand	empfinden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	8	8
10	heißen	heiß	A	ADJA	Pos|Masc|_|Sg|_|	11	attr	_	_
11	Durst	Durst	N	NN	Masc|_|Sg	8	obja	_	_
12	und	und	K	KON	_	8	kon	_	_
13	sprach	sprechen	V	VVFIN	_|Sg|Past|Ind	12	cj	_	_
14	zu	zu	P	APPR	Dat	13	pp	_	_
15	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	16	det	8	8
16	Kammerjungfer	Kammerjungfer	N	NN	Fem|Dat|Sg	14	pn	_	_
17	:	\:	$	$.	_	0	root	_	_
18	»	»	$	$(	_	0	root	_	_
19	Steig	Steig	N	NN	Masc|_|Sg	0	root	19	19
20	ab	ab	P	PTKVZ	_	0	root	_	_
21	und	und	K	KON	_	0	root	_	_
22	schöpfe	schöpfen	V	VVFIN	_|Sg|Pres|_	21	cj	_	_
23	mir	ich	P	PPER	1|Sg|_|Dat	22	objd	8	8
24	mit	mit	P	APPR	Dat	22	pp	_	_
25	meinem	meine	A	PPOSAT	Masc|Dat|Sg	26	det	8	8
26	Becher	Becher	N	NN	Masc|Dat|Sg	24	pn	9	9
27	,	,	$	$,	_	0	root	9	9
28	den	die	P	PRELS	Masc|Acc|Sg	32	obja	9	9
29	du	du	P	PPER	2|Sg|_|Nom	33	subj	10	10
30	für	für	P	APPR	Acc	32	pp	_	_
31	mich	ich	P	PPER	1|Sg|_|Acc	30	pn	8	8
32	mitgenommen	mitnehmen	V	VVPP	_	33	aux	_	_
33	hast	haben	V	VAFIN	2|Sg|Pres|Ind	26	rel	_	_
34	,	,	$	$,	_	0	root	_	_
35	Wasser	Wasser	N	NN	Neut|_|_	22	obja	14	14
36	aus	aus	P	APPR	Dat	22	objp	_	_
37	dem	die	A	ART	Def|Masc|Dat|Sg	38	det	_	_
38	Bache	Bach	N	NN	Masc|Dat|Sg	36	pn	_	_
39	,	,	$	$,	_	0	root	_	_
40	ich	ich	P	PPER	1|Sg|_|Nom	41	subj	8	8
41	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	22	kon	_	_
42	gern	gern	A	ADV	_	44	adv	_	_
43	einmal	einmal	A	ADV	_	44	adv	_	_
44	trinken	trinken	V	VVINF	_	41	aux	_	_
45	.	.	$	$.	_	0	root	_	_
46	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wenn	wenn	K	KOUS	_	0	root	_	_
3	Ihr	ihre	A	PPOSAT	Masc|Nom|Sg	4	det	11	11
4	Durst	Durst	N	NN	Masc|Nom|Sg	0	root	_	_
5	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	13	13
10	Kammerjungfer	Kammerjungfer	N	NN	Fem|Nom|Sg	8	subj	13	13
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	steigt	steigen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
15	selber	selber	A	ADV	_	14	adv	_	_
16	ab	ab	P	PTKVZ	_	14	avz	_	_
17	,	,	$	$,	_	0	root	_	_
18	legt	legen	V	VVFIN	_|_|Pres|Ind	14	kon	_	_
19	Euch	ihr	P	PPER	2|Pl|_|_	18	obja	16	16
20	ans	an	P	APPRART	Acc	18	objp	_	_
21	Wasser	Wasser	N	NN	Neut|Acc|_	20	pn	14	14
22	und	und	K	KON	_	18	kon	_	_
23	trinkt	trinken	V	VVFIN	_|_|Pres|Ind	22	cj	_	_
24	,	,	$	$,	_	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	30	pred	8	8
26	mag	mögen	V	VMFIN	3|Sg|Pres|Ind	23	kon	_	_
27	Eure	eure	A	PPOSAT	Fem|Nom|Sg	28	det	11	11
28	Magd	Magd	N	NN	Fem|Nom|Sg	26	subj	37	37
29	nicht	nicht	P	PTKNEG	_	30	adv	_	_
30	sein	sein	V	VAINF	_	26	aux	_	_
31	.	.	$	$.	_	0	root	_	_
32	«	«	$	$(	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	stieg	steigen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	15	15
4	Königstochter	Königstochter	N	NN	Fem|Nom|Sg	2	subj	15	15
5	vor	vor	P	APPR	Dat	2	pp	_	_
6	großem	groß	A	ADJA	Pos|Masc|Dat|Sg|St|	7	attr	_	_
7	Durst	Durst	N	NN	Masc|Dat|Sg	5	pn	_	_
8	herunter	herunter	A	ADV	_	2	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	neigte	neigen	V	VVFIN	_|Sg|Past|_	2	kon	_	_
11	sich	sie	P	PRF	3|_|_	10	obja	_	_
12	über	über	P	APPR	Acc	10	pp	_	_
13	das	die	A	ART	Def|Neut|Acc|Sg	14	det	26	26
14	Wasser	Wasser	N	NN	Neut|Acc|Sg	12	pn	26	26
15	im	in	P	APPRART	Dat	10	pp	_	_
16	Bach	Bach	N	NN	Masc|Dat|Sg	15	pn	_	_
17	und	und	K	KON	_	10	kon	_	_
18	trank	trinken	V	VVFIN	_|Sg|Past|Ind	17	cj	_	_
19	und	und	K	KON	_	18	kon	_	_
20	durfte	dürfen	V	VMFIN	_|Sg|Past|Ind	19	cj	_	_
21	nicht	nicht	P	PTKNEG	_	26	adv	_	_
22	aus	aus	P	APPR	Dat	26	pp	_	_
23	dem	die	A	ART	Def|Masc|Dat|Sg	25	det	_	_
24	goldenen	golden	A	ADJA	Pos|Masc|Dat|Sg|Wk|	25	attr	_	_
25	Becher	Becher	N	NN	Masc|Dat|Sg	22	pn	_	_
26	trinken	trinken	V	VVINF	_	20	aux	_	_
27	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	15	15
4	:	\:	$	$.	_	0	root	_	_
5	»	»	$	$(	_	0	root	_	_
6	Ach	ach	I	ITJ	_	0	root	_	_
7	Gott	Gott	N	NN	Masc|_|Sg	0	root	20	20
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	Da	da	A	ADV	_	11	adv	_	_
11	antworteten	antworten	V	VVFIN	3|Pl|Past|_	0	root	_	_
12	die	die	A	ART	Def|Masc|Nom|Pl	14	det	21	21
13	drei	drei	C	CARD	_	14	attr	21	21
14	Blutstropfen	Blutstropfen	N	NN	Masc|Nom|Pl	11	subj	21	21
15	:	\:	$	$.	_	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	Wenn	wenn	K	KOUS	_	21	konj	_	_
18	das	die	P	PDS	Neut|Nom|Sg	21	subj	_	_
19	deine	deine	A	PPOSAT	Fem|_|Sg	20	det	10	10
20	Mutter	Mutter	N	NN	Fem|_|Sg	21	obja	_	_
21	wüßte	wüßte	V	VVFIN	_|Sg|_|_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	das	die	A	ART	Def|Neut|_|Sg	24	det	22	22
24	Herz	Herz	N	NN	Neut|_|Sg	27	obja	22	22
25	im	in	P	APPRART	Dat	24	pp	22	22
26	Leibe	Leib	N	NN	Masc|Dat|Sg	25	pn	22	22
27	tät	tät	V	VVFIN	2|Pl|_|_	0	root	23)	23)
28	ihr	ihr	P	PPER	2|Pl|_|Nom	27	subj	16	16
29	zerspringen	zerspringen	V	VVINF	_	0	root	_	_
30	.	.	$	$.	_	0	root	_	_
31	«	«	$	$(	_	0	root	_	_

1	Aber	aber	K	KON	_	4	koord	_	_
2	die	die	A	ART	Def|Fem|Nom|Sg	3	det	_	_
3	Königsbraut	Königsbraut	N	NN	Fem|Nom|Sg	4	subj	_	_
4	war	sein	V	VAFIN	3|Sg|Past|Ind	7	s	_	_
5	demütig	demütig	A	ADJD	Pos|	4	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	nichts	nichts	P	PIS	_|Nom|Sg	7	subj	_	_
9	und	und	K	KON	_	7	kon	_	_
10	stieg	steigen	V	VVFIN	_|Sg|Past|Ind	9	cj	_	_
11	wieder	wieder	A	ADV	_	10	adv	_	_
12	zu	zu	P	APPR	Dat	10	pp	_	_
13	Pferd	Pferd	N	NN	Neut|Dat|Sg	12	pn	17	17
14	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	ritten	reiten	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	11	11
4	etliche	etliche	A	PIAT	Fem|_|Pl	5	det	_	_
5	Meilen	Meile	N	NN	Fem|_|Pl	2	obja	_	_
6	weiter	weiter	A	ADV	_	2	adv	_	_
7	fort	fort	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	aber	aber	K	KON	_	2	kon	_	_
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	_	_
11	Tag	Tag	N	NN	Masc|Nom|Sg	12	subj	_	_
12	war	sein	V	VAFIN	3|Sg|Past|Ind	9	cj	_	_
13	warm	warm	A	ADJD	Pos|	12	pred	_	_
14	,	,	$	$,	_	0	root	_	_
15	die	die	A	ART	Def|Fem|Nom|Sg	16	det	18	18
16	Sonne	Sonne	N	NN	Fem|Nom|Sg	17	subj	18	18
17	stach	stechen	V	VVFIN	3|Sg|Past|Ind	12	kon	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	17	kon	_	_
20	sie	sie	P	PPER	3|Sg|Fem|Nom	21	subj	18	18
21	durstete	dursten	V	VVFIN	3|Sg|Past|_	19	cj	_	_
22	bald	bald	A	ADV	_	21	adv	_	_
23	von	von	P	APPR	Dat	21	pp	_	_
24	neuem	neu	A	ADJA	Pos|_|Dat|Sg|St|	23	pn	_	_
25	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	7	konj	_	_
2	sie	sie	P	PPER	3|Pl|_|Nom	7	subj	11	11
3	nun	nun	A	ADV	_	7	adv	_	_
4	an	an	P	APPR	Acc	7	objp	_	_
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	_	_
6	Wasserfluß	Wasserfluß	N	NN	Masc|Acc|Sg	4	pn	_	_
7	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	9	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	sie	sie	P	PPER	3|Sg|Fem|Nom	9	subj	18	18
11	noch	noch	A	ADV	_	9	adv	_	_
12	einmal	einmal	A	ADV	_	9	adv	_	_
13	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	14	det	18	18
14	Kammerjungfer	Kammerjungfer	N	NN	Fem|Dat|Sg	9	objd	_	_
15	:	\:	$	$.	_	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	Steig	Steig	N	NN	Masc|_|Sg	0	root	19	19
18	ab	ab	P	PTKVZ	_	0	root	_	_
19	und	und	K	KON	_	0	root	_	_
20	gib	geben	V	VVIMP	Sg	19	cj	_	_
21	mir	ich	P	PRF	1|Sg|Dat	20	objd	_	_
22	aus	aus	P	APPR	Dat	26	pp	_	_
23	meinem	meine	A	PPOSAT	Masc|Dat|Sg	24	det	18	18
24	Goldbecher	Goldbecher	N	NN	Masc|Dat|Sg	22	pn	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	trinken	trinken	V	VVINF	_	20	obji	_	_
27	«	«	$	$(	_	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	denn	denn	K	KON	_	0	root	_	_
30	sie	sie	P	PPER	3|Sg|Fem|Nom	31	subj	18	18
31	hatte	haben	V	VAFIN	3|Sg|Past|Ind	29	cj	_	_
32	alle	alle	A	PIDAT	Neut|_|Pl	34	det	_	_
33	bösen	bös	A	ADJA	Pos|Neut|_|Pl|Wk|	34	attr	_	_
34	Worte	Wort	N	NN	Neut|_|Pl	36	obja	_	_
35	längst	längst	A	ADV	_	36	adv	_	_
